Embryo_ID,Cell_ID,TE_ICM,Cell_cycle,Size,X,Y,Z,CH1-Avg,CH1-Sum,CH2-Avg,CH2-Sum,CH3-Avg,CH3-Sum,CH4-Avg,CH4-Sum,CH5-Avg,CH5-Sum, 
030918FVB_C4,1,TE,I,12491,289.05,260.43,3.8444,3211.9,4.01E+07,1101.2,1.38E+07,837.29,1.05E+07,563.23,7.04E+06,1065,1.33E+07,
030918FVB_C4,2,TE,I,11942,220.29,289.43,5.4743,3207.1,3.83E+07,863.21,1.03E+07,169.35,2.02E+06,565.15,6.75E+06,996.71,1.19E+07,
030918FVB_C4,3,TE,I,13113,221.72,207.78,6.7515,2879.4,3.78E+07,752.08,9.86E+06,186.97,2.45E+06,557.97,7.32E+06,823.72,1.08E+07,
030918FVB_C4,4,TE,I,11217,161.84,222.1,10.273,2111.6,2.37E+07,298.47,3.35E+06,1203.5,1.35E+07,542.99,6.09E+06,1101.8,1.24E+07,
030918FVB_C4,5,ICM,I,13245,192.75,243.99,10.599,2384,3.16E+07,32.949,4.36E+05,1119.6,1.48E+07,549.24,7.27E+06,416.88,5.52E+06,
030918FVB_C4,6,TE,I,17139,140.73,278.96,11.478,2039.1,3.49E+07,523.46,8.97E+06,188.7,3.23E+06,493.63,8.46E+06,502.6,8.61E+06,
030918FVB_C4,7,TE,I,12484,294.38,312.45,10.446,3026.3,3.78E+07,567.43,7.08E+06,742.41,9.27E+06,525.66,6.56E+06,599.9,7.49E+06,
030918FVB_C4,8,TE,I,14413,249.35,165.14,18.65,2107.2,3.04E+07,543.75,7.84E+06,115.67,1.67E+06,575.12,8.29E+06,491.41,7.08E+06,
030918FVB_C4,9,TE,I,10153,358.34,291.98,16.662,3314.3,3.37E+07,581.89,5.91E+06,68.79,6.98E+05,511.54,5.19E+06,501.88,5.10E+06,
030918FVB_C4,10,ICM,I,10921,236.44,260.87,18.453,2778,3.03E+07,73.47,8.02E+05,273.54,2.99E+06,567.5,6.20E+06,1779.3,1.94E+07,
030918FVB_C4,11,ICM,M,10045,225.43,320.33,18.387,2739.9,2.75E+07,86.298,8.67E+05,134.9,1.36E+06,522.81,5.25E+06,763.14,7.67E+06,
030918FVB_C4,12,TE,I,11224,329.13,183.59,20.414,3002.7,3.37E+07,533.54,5.99E+06,75.04,8.42E+05,542.14,6.08E+06,478.16,5.37E+06,
030918FVB_C4,13,TE,I,8500,126,203.63,20.082,2322.9,1.97E+07,595.93,5.07E+06,126.49,1.08E+06,529.81,4.50E+06,664.64,5.65E+06,
030918FVB_C4,14,ICM,I,7678,185.48,294.56,21.646,1336.1,1.03E+07,25.098,1.93E+05,144.27,1.11E+06,513.68,3.94E+06,988.45,7.59E+06,
030918FVB_C4,15,TE,I,11634,324.69,344.07,21.64,3034.8,3.53E+07,537.01,6.25E+06,344.41,4.01E+06,540.2,6.28E+06,552.24,6.42E+06,
030918FVB_C4,16,ICM,I,10095,173.14,205.38,21.616,1623.2,1.64E+07,73.239,7.39E+05,279.08,2.82E+06,567.28,5.73E+06,1217.8,1.23E+07,
030918FVB_C4,17,ICM,I,11125,233.59,218.35,21.744,1825.1,2.03E+07,42.687,4.75E+05,504.44,5.61E+06,473.41,5.27E+06,702.17,7.81E+06,
030918FVB_C4,18,TE,I,9427,215.25,353.92,23.899,2306.8,2.17E+07,456.64,4.30E+06,112.54,1.06E+06,549.41,5.18E+06,437.84,4.13E+06,
030918FVB_C4,19,ICM,I,4916,159.32,262.23,19.259,1284.4,6.31E+06,36.894,1.81E+05,967.31,4.76E+06,379.86,1.87E+06,184.81,9.09E+05,
030918FVB_C4,20,TE,I,5255,301.71,147.08,25.853,2985.3,1.57E+07,595.27,3.13E+06,109.71,5.77E+05,564.23,2.97E+06,336.23,1.77E+06,
030918FVB_C4,21,ICM,I,5060,126.48,263.2,24.441,1366.4,6.91E+06,36.509,1.85E+05,780.98,3.95E+06,478.92,2.42E+06,156.83,7.94E+05,
030918FVB_C4,22,TE,I,11147,271.2,356.65,27.276,2260.3,2.52E+07,359.05,4.00E+06,371.46,4.14E+06,573.89,6.40E+06,463.48,5.17E+06,
030918FVB_C4,23,TE,I,13145,173.31,166.46,30.133,1316.5,1.73E+07,204.9,2.69E+06,267.02,3.51E+06,554.54,7.29E+06,381.04,5.01E+06,
030918FVB_C4,24,ICM,I,4414,139.37,231.86,25.043,1357.2,5.99E+06,35.386,1.56E+05,209.13,9.23E+05,481.2,2.12E+06,1140.2,5.03E+06,
030918FVB_C4,25,TE,I,12069,377.31,259.37,29.938,1209.4,1.46E+07,247.91,2.99E+06,363.44,4.39E+06,470.57,5.68E+06,339.96,4.10E+06,
030918FVB_C4,26,TE,I,12755,366.69,205.68,32.211,1854.6,2.37E+07,334.14,4.26E+06,168.39,2.15E+06,578.64,7.38E+06,191.46,2.44E+06,
030918FVB_C4,27,TE,I,13653,154.91,338.58,32.479,1928.6,2.63E+07,394.54,5.39E+06,95.154,1.30E+06,554.65,7.57E+06,411.82,5.62E+06,
030918FVB_C4,28,ICM,I,11648,221.63,275.29,30.312,1481.5,1.73E+07,25.908,3.02E+05,790.47,9.21E+06,547.68,6.38E+06,240.63,2.80E+06,
030918FVB_C4,29,ICM,I,5471,152.45,307.24,27.931,1480.9,8.10E+06,27.015,1.48E+05,332.01,1.82E+06,553.79,3.03E+06,274.61,1.50E+06,
030918FVB_C4,30,TE,I,12054,362.71,325.96,32.637,1727,2.08E+07,272.08,3.28E+06,188.98,2.28E+06,585.63,7.06E+06,535.52,6.46E+06,
030918FVB_C4,31,ICM,I,8156,228.15,183.54,31.747,1118.8,9.12E+06,39.117,3.19E+05,226.19,1.84E+06,482.46,3.93E+06,527.22,4.30E+06,
030918FVB_C4,32,ICM,I,12914,181.38,254.04,30.67,884.35,1.14E+07,21.742,2.81E+05,314.73,4.06E+06,536.66,6.93E+06,331.14,4.28E+06,
030918FVB_C4,33,TE,I,8655,114.54,278.18,34.107,1438.3,1.24E+07,293.43,2.54E+06,117.82,1.02E+06,522.67,4.52E+06,368.19,3.19E+06,
030918FVB_C4,34,ICM,I,11754,176.13,211.79,35.579,1111.3,1.31E+07,22.639,2.66E+05,507.51,5.97E+06,522.34,6.14E+06,187.03,2.20E+06,
030918FVB_C4,35,TE,I,14603,113.97,231.2,37.069,913.74,1.33E+07,238.29,3.48E+06,53.615,7.83E+05,536.64,7.84E+06,317.33,4.63E+06,
030918FVB_C4,36,ICM,I,7950,146.75,200.9,35.769,1002.5,7.97E+06,28.801,2.29E+05,668.01,5.31E+06,543.55,4.32E+06,130.14,1.03E+06,
030918FVB_C4,38,ICM,I,14602,243.21,318.7,35.855,1075.2,1.57E+07,89.32,1.30E+06,129.28,1.89E+06,541.61,7.91E+06,417.34,6.09E+06,
030918FVB_C4,39,ICM,I,9120,219.67,218.83,34.932,842.9,7.69E+06,49.835,4.55E+05,194.52,1.77E+06,494.4,4.51E+06,689.29,6.29E+06,
030918FVB_C4,40,TE,I,14151,232.9,159.25,38.843,844.66,1.20E+07,210.16,2.97E+06,58.938,8.34E+05,470.16,6.65E+06,313.48,4.44E+06,
030918FVB_C4,41,TE,I,10769,389.34,299.18,40.738,1277.9,1.38E+07,223.53,2.41E+06,187.9,2.02E+06,553.71,5.96E+06,326.72,3.52E+06,
030918FVB_C4,42,ICM,I,11582,196.2,304.63,41.206,613.07,7.10E+06,18.903,2.19E+05,388.04,4.49E+06,470.99,5.46E+06,307.16,3.56E+06,
030918FVB_C4,43,TE,I,15479,237.8,361.94,44.51,796.04,1.23E+07,168.44,2.61E+06,393.6,6.09E+06,555.56,8.60E+06,222.17,3.44E+06,
030918FVB_C4,44,TE,I,13956,337.11,357.06,42.151,839.32,1.17E+07,155.85,2.18E+06,124.94,1.74E+06,491.68,6.86E+06,242.1,3.38E+06,
030918FVB_C4,45,ICM,I,3746,213.34,246.63,41.56,687.85,2.58E+06,18.706,70071,364.83,1.37E+06,584.01,2.19E+06,115.51,4.33E+05,
030918FVB_C4,46,ICM,I,5637,175.73,265.9,46.093,522.52,2.95E+06,19.269,1.09E+05,198.65,1.12E+06,449.24,2.53E+06,374.32,2.11E+06,
030918FVB_C4,47,TE,I,12430,202.09,336.61,49.048,518.08,6.44E+06,112.13,1.39E+06,67.283,8.36E+05,529.48,6.58E+06,127.85,1.59E+06,
030918FVB_C4,48,TE,I,10667,382.4,247.3,48.273,751.21,8.01E+06,190.35,2.03E+06,137.67,1.47E+06,377.39,4.03E+06,263.32,2.81E+06,
030918FVB_C4,49,ICM,I,17032,223.11,274.71,49.747,556.1,9.47E+06,21.912,3.73E+05,73.361,1.25E+06,490.1,8.35E+06,486.31,8.28E+06,
030918FVB_C4,50,TE,I,17189,288.06,355.59,48.124,723.7,1.24E+07,150.02,2.58E+06,225.89,3.88E+06,492.81,8.47E+06,163.88,2.82E+06,
030918FVB_C4,51,ICM,I,6168,198.46,213.41,45.941,603.63,3.72E+06,24.08,1.49E+05,224.24,1.38E+06,575.41,3.55E+06,370.46,2.29E+06,
030918FVB_C4,52,ICM,I,8345,151.69,247.67,49.585,427.35,3.57E+06,18.421,1.54E+05,390.51,3.26E+06,487.15,4.07E+06,70.561,5.89E+05,
030918FVB_C4,53,TE,I,6378,277.42,186.37,51.356,1010.5,6.45E+06,161.12,1.03E+06,42.111,2.69E+05,623.35,3.98E+06,114,7.27E+05,
030918FVB_C4,55,TE,I,18210,355.3,314.37,56.969,538.86,9.81E+06,129.85,2.36E+06,90.687,1.65E+06,477.12,8.69E+06,198.94,3.62E+06,
030918FVB_C4,56,TE,I,18155,203.11,195.95,56.37,344.22,6.25E+06,74.983,1.36E+06,51.108,9.28E+05,467.45,8.49E+06,146.55,2.66E+06,
030918FVB_C4,57,TE,I,19667,319.32,209.78,58.229,666.16,1.31E+07,116.19,2.29E+06,115.91,2.28E+06,613.86,1.21E+07,159.65,3.14E+06,
030918FVB_C4,58,ICM,I,7656,183.06,236,58.411,298.69,2.29E+06,14.88,1.14E+05,193.34,1.48E+06,520.09,3.98E+06,65.938,5.05E+05,
030918FVB_C4,59,TE,I,17777,256.35,322.52,58.792,310.21,5.51E+06,66.508,1.18E+06,48.651,8.65E+05,498.18,8.86E+06,111.41,1.98E+06,
030918FVB_C4,60,TE,I,18797,194.21,274.93,62.308,277.12,5.21E+06,55.27,1.04E+06,42.676,8.02E+05,499.79,9.39E+06,143.6,2.70E+06,
030918FVB_C4,61,TE,I,16577,244.83,258.77,61.345,337.55,5.60E+06,67.271,1.12E+06,25.723,4.26E+05,514.11,8.52E+06,117.76,1.95E+06,
030918FVB_C4,62,TE,I,12843,312.45,270.55,63.617,592.95,7.62E+06,116.28,1.49E+06,58.845,7.56E+05,596.53,7.66E+06,160.55,2.06E+06,
