Embryo_ID,Cell_ID,TE_ICM,Cell_cycle, Size, X, Y, Z, CH1-Avg, CH1-Sum, CH2-Avg, CH2-Sum, CH3-Avg, CH3-Sum, CH4-Avg, CH4-Sum, CH5-Avg, CH5-Sum, 
091217Pdgfra_BL9,2,TE,M,12937,318.59,236.49,5.1842,2609.1,3.38E+07,57.933,7.49E+05,107.13,1.39E+06,770.15,9.96E+06,402.27,5.20E+06,
091217Pdgfra_BL9,3,TE,I,9111,254.95,212.43,5.646,1913.2,1.74E+07,81.953,7.47E+05,295.59,2.69E+06,713.16,6.50E+06,1656.2,1.51E+07,
091217Pdgfra_BL9,4,ICM,I,15421,200.95,257.16,8.3952,2521.2,3.89E+07,641.44,9.89E+06,326.51,5.04E+06,736.55,1.14E+07,1515.8,2.34E+07,
091217Pdgfra_BL9,5,TE,M,12875,298.51,309.18,8.4217,2743,3.53E+07,48.531,6.25E+05,128.21,1.65E+06,774.85,9.98E+06,449.25,5.78E+06,
091217Pdgfra_BL9,6,TE,I,11291,217.7,298.1,9.9546,2503.9,2.83E+07,192.76,2.18E+06,292.04,3.30E+06,799.36,9.03E+06,1228.7,1.39E+07,
091217Pdgfra_BL9,7,TE,I,10840,202.26,181.24,12.715,1966.1,2.13E+07,108.46,1.18E+06,281.23,3.05E+06,792.81,8.59E+06,1335.5,1.45E+07,
091217Pdgfra_BL9,8,ICM,I,6634,210.93,214.04,12.038,2543.1,1.69E+07,1240.8,8.23E+06,333.97,2.22E+06,757.99,5.03E+06,976.6,6.48E+06,
091217Pdgfra_BL9,10,TE,I,8383,254.58,170.26,16.438,2091.9,1.75E+07,49.568,4.16E+05,263.9,2.21E+06,738.49,6.19E+06,1378.5,1.16E+07,
091217Pdgfra_BL9,11,ICM,I,13042,179.61,225.51,17.555,2568.6,3.35E+07,1333.5,1.74E+07,325.95,4.25E+06,732.48,9.55E+06,375.4,4.90E+06,
091217Pdgfra_BL9,12,ICM,I,6459,157.71,254.48,15.67,2829.8,1.83E+07,1088.9,7.03E+06,335.17,2.16E+06,720.06,4.65E+06,846.34,5.47E+06,
091217Pdgfra_BL9,13,TE,I,6916,342.35,186.83,18.663,2599.3,1.80E+07,223.05,1.54E+06,249.88,1.73E+06,747.26,5.17E+06,1422.7,9.84E+06,
091217Pdgfra_BL9,14,ICM,I,11787,211.84,292.32,20.55,2201,2.59E+07,1622,1.91E+07,257.24,3.03E+06,816.79,9.63E+06,283.02,3.34E+06,
091217Pdgfra_BL9,15,ICM,I,9481,223.11,248.28,20.967,1876.8,1.78E+07,78.258,7.42E+05,1135.4,1.08E+07,676.41,6.41E+06,2381,2.26E+07,
091217Pdgfra_BL9,16,ICM,I,14893,215.82,196.26,22.165,2085.9,3.11E+07,953.83,1.42E+07,267.29,3.98E+06,765.42,1.14E+07,484.58,7.22E+06,
091217Pdgfra_BL9,17,TE,I,23283,132,282,24,2360.907,,203.174,,267.454,,764.795,,1280.05,,
091217Pdgfra_BL9,17.2,ICM,I,23283,136,273,34,2299.667,,1414.421,,226.386,,714.412,,352.172,,
091217Pdgfra_BL9,18,TE,I,7087,302.17,151.75,23.983,2270.9,1.61E+07,130.01,9.21E+05,247.1,1.75E+06,733.56,5.20E+06,1299.2,9.21E+06,
091217Pdgfra_BL9,19,ICM,I,4587,175.81,277.02,21.804,2195.4,1.01E+07,179.62,8.24E+05,617.92,2.83E+06,659.17,3.02E+06,2603.9,1.19E+07,
091217Pdgfra_BL9,20,ICM,I,7406,173.58,313.11,23.996,2314.4,1.71E+07,1119.5,8.29E+06,285.87,2.12E+06,738.57,5.47E+06,704.9,5.22E+06,
091217Pdgfra_BL9,21,TE,I,9638,217.56,339.85,24.127,1930.6,1.86E+07,202.71,1.95E+06,214.94,2.07E+06,750.21,7.23E+06,656.66,6.33E+06,
091217Pdgfra_BL9,22,TE,I,8834,200.46,156.83,24.739,1915.1,1.69E+07,151.34,1.34E+06,223.88,1.98E+06,751.81,6.64E+06,916.86,8.10E+06,
091217Pdgfra_BL9,23,TE,I,6875,148.14,183.21,25.383,2266.7,1.56E+07,126.47,8.69E+05,252.99,1.74E+06,748.46,5.15E+06,1085,7.46E+06,
091217Pdgfra_BL9,24,TE,I,8304,384.15,234.31,24.806,2326.3,1.93E+07,412.73,3.43E+06,195.9,1.63E+06,747.17,6.20E+06,839.9,6.97E+06,
091217Pdgfra_BL9,25,TE,M,10047,383.33,298.27,26.706,3097.1,3.11E+07,80.953,8.13E+05,94.555,9.50E+05,751.01,7.55E+06,329.92,3.31E+06,
091217Pdgfra_BL9,26,ICM,I,4740,147.26,215.82,25.47,2041.3,9.68E+06,1272.2,6.03E+06,309.35,1.47E+06,697.43,3.31E+06,892.53,4.23E+06,
091217Pdgfra_BL9,27,TE,I,7519,333.27,346.5,26.216,2602,1.96E+07,404.9,3.04E+06,180.15,1.35E+06,768.92,5.78E+06,682.27,5.13E+06,
091217Pdgfra_BL9,28,TE,I,9166,173.79,342.95,28.84,2341.9,2.15E+07,90.593,8.30E+05,210.62,1.93E+06,760.38,6.97E+06,976.11,8.95E+06,
091217Pdgfra_BL9,29,TE,I,4672,369.87,187.52,30.46,3068.1,1.43E+07,81.252,3.80E+05,215.84,1.01E+06,771.94,3.61E+06,780.72,3.65E+06,
091217Pdgfra_BL9,30,ICM,I,11598,182.92,217.83,30.102,2020.4,2.34E+07,147.27,1.71E+06,660.47,7.66E+06,718.44,8.33E+06,2101,2.44E+07,
091217Pdgfra_BL9,31,TE,I,7371,300.08,365.75,31.324,2050.9,1.51E+07,128.43,9.47E+05,171.52,1.26E+06,817.35,6.02E+06,519.45,3.83E+06,
091217Pdgfra_BL9,32,TE,I,5570,123.12,239.16,31.284,2240.5,1.25E+07,285.42,1.59E+06,259.59,1.45E+06,684.07,3.81E+06,989.92,5.51E+06,
091217Pdgfra_BL9,33,ICM,I,10817,174.59,254.29,32.67,1954.9,2.11E+07,607.42,6.57E+06,322.2,3.49E+06,725.61,7.85E+06,1631.3,1.76E+07,
091217Pdgfra_BL9,34,ICM,I,18725,202,168,33,1790.39,,891.203,,206.112,,729.578,,253.62,,
091217Pdgfra_BL9,34.2,ICM,I,18725,174,175,42,1233.327,,863.262,,182.765,,714.457,,520.897,,
091217Pdgfra_BL9,35,ICM,M,9688,209.15,286.62,34.945,1743.1,1.69E+07,212.15,2.06E+06,176.77,1.71E+06,785.52,7.61E+06,710.01,6.88E+06,
091217Pdgfra_BL9,37,ICM,I,13047,220.69,205.51,34.504,1739.6,2.27E+07,138.09,1.80E+06,426.84,5.57E+06,705.48,9.20E+06,1980.3,2.58E+07,
091217Pdgfra_BL9,38,ICM,I,11034,166.06,293.81,37.593,1685.3,1.86E+07,680.2,7.51E+06,193.78,2.14E+06,733.58,8.09E+06,189.09,2.09E+06,
091217Pdgfra_BL9,39,TE,I,8853,236.16,139.74,38.678,1144.6,1.01E+07,69.963,6.19E+05,151.37,1.34E+06,749.55,6.64E+06,672.73,5.96E+06,
091217Pdgfra_BL9,40,ICM,I,12259,184.06,337.7,38.381,2249.8,2.76E+07,476.81,5.85E+06,318.46,3.90E+06,737.89,9.05E+06,1662.6,2.04E+07,
091217Pdgfra_BL9,40.2,ICM,I,12259,208,325,42,1247.279,,658.509,,155.681,,698.186,,362.86,,
091217Pdgfra_BL9,41,TE,I,7729,139.83,189.45,38.38,1679.8,1.30E+07,264.61,2.05E+06,253.76,1.96E+06,707.44,5.47E+06,878.05,6.79E+06,
091217Pdgfra_BL9,42,TE,I,10626,286.78,130.47,42.055,1133.5,1.20E+07,60.526,6.43E+05,139.63,1.48E+06,734.07,7.80E+06,638.07,6.78E+06,
091217Pdgfra_BL9,43,TE,I,10487,402.55,260.28,42.858,1475.8,1.55E+07,172.89,1.81E+06,133.64,1.40E+06,784.29,8.22E+06,523.52,5.49E+06,
091217Pdgfra_BL9,44,ICM,I,12649,194.99,214.14,42.82,1300.6,1.65E+07,231.94,2.93E+06,242.98,3.07E+06,714.66,9.04E+06,1190.4,1.51E+07,
091217Pdgfra_BL9,45,TE,I,10899,396.81,212.49,44.93,1185.9,1.29E+07,206.53,2.25E+06,140.85,1.54E+06,711.84,7.76E+06,437,4.76E+06,
091217Pdgfra_BL9,46,ICM,M,6960,147.85,230.65,46.239,2008,1.40E+07,169.41,1.18E+06,139.68,9.72E+05,696.4,4.85E+06,152.47,1.06E+06,
091217Pdgfra_BL9,47,ICM,I,5241,200.72,252.29,44.525,993.77,5.21E+06,328.21,1.72E+06,162.96,8.54E+05,764.94,4.01E+06,675.58,3.54E+06,
091217Pdgfra_BL9,48,TE,I,14486,119.24,282.13,49.211,1305.6,1.89E+07,112.43,1.63E+06,159.06,2.30E+06,684.1,9.91E+06,550.4,7.97E+06,
091217Pdgfra_BL9,48.2,ICM,I,14486,138,259,53,899.238,,92.166,,398.688,,702.685,,893.929,,
091217Pdgfra_BL9,49,TE,I,10192,199.6,141.83,49.548,1114,1.14E+07,118.67,1.21E+06,141.05,1.44E+06,683.43,6.97E+06,536.2,5.47E+06,
091217Pdgfra_BL9,50,TE,I,8915,139.63,325.3,48.303,1118.2,9.97E+06,68.752,6.13E+05,132.31,1.18E+06,719.91,6.42E+06,561.68,5.01E+06,
091217Pdgfra_BL9,51,TE,I,14916,217.7,359.98,48.568,1102.9,1.65E+07,64.286,9.59E+05,91.297,1.36E+06,596.55,8.90E+06,413.47,6.17E+06,
091217Pdgfra_BL9,52,TE,I,7522,289.41,374.35,46.698,1389.9,1.05E+07,42.126,3.17E+05,121.82,9.16E+05,695.82,5.23E+06,307.45,2.31E+06,
091217Pdgfra_BL9,53,TE,I,9238,127.44,201.14,50.186,1170.8,1.08E+07,130.71,1.21E+06,158.18,1.46E+06,706.21,6.52E+06,440.42,4.07E+06,
091217Pdgfra_BL9,55,TE,I,7995,344.69,151.46,52.28,1347,1.08E+07,56.961,4.55E+05,156.2,1.25E+06,727.6,5.82E+06,570.64,4.56E+06,
091217Pdgfra_BL9,56,ICM,I,8829,198.73,288.07,49.155,943.19,8.33E+06,352.18,3.11E+06,129.87,1.15E+06,703.37,6.21E+06,231.7,2.05E+06,
091217Pdgfra_BL9,57,ICM,I,5837,159.83,296.82,50.582,1288.8,7.52E+06,548.09,3.20E+06,186.19,1.09E+06,732.43,4.28E+06,211.18,1.23E+06,
091217Pdgfra_BL9,58,TE,I,19200,368.38,317.7,55.664,1217,2.34E+07,358.7,6.89E+06,117.42,2.25E+06,720.72,1.38E+07,362.33,6.96E+06,
091217Pdgfra_BL9,60,ICM,I,17932,170.7,173.67,55.946,953.71,1.71E+07,251.84,4.52E+06,189.94,3.41E+06,678.66,1.22E+07,941.44,1.69E+07,
091217Pdgfra_BL9,61,ICM,I,15931,215.42,176.34,54.784,928.68,1.48E+07,317.76,5.06E+06,147.96,2.36E+06,686.71,1.09E+07,756.27,1.20E+07,
091217Pdgfra_BL9,62,TE,I,9107,313.8,355.05,56.557,1090,9.93E+06,165.69,1.51E+06,96.871,8.82E+05,705.67,6.43E+06,350.8,3.19E+06,
091217Pdgfra_BL9,63,ICM,M,9994,203.35,250.16,56.649,1051,1.05E+07,173.04,1.73E+06,108.65,1.09E+06,692.81,6.92E+06,276.89,2.77E+06,
091217Pdgfra_BL9,64,ICM,I,16312,226.14,290.26,61.333,573.46,9.35E+06,288.52,4.71E+06,104.52,1.71E+06,651.5,1.06E+07,162.58,2.65E+06,
091217Pdgfra_BL9,66,ICM,I,9830,238.29,153.88,62.983,571.62,5.62E+06,69.495,6.83E+05,94.366,9.28E+05,693.73,6.82E+06,357.2,3.51E+06,
091217Pdgfra_BL9,68,ICM,I,3957,152.4,293.8,61.18,1073.4,4.25E+06,100.95,3.99E+05,397.61,1.57E+06,688.89,2.73E+06,697.85,2.76E+06,
091217Pdgfra_BL9,69,ICM,I,12774,203.93,202.05,62.295,701.8,8.96E+06,87.644,1.12E+06,184.51,2.36E+06,691.56,8.83E+06,757.66,9.68E+06,
091217Pdgfra_BL9,69.2,ICM,I,12774,171,220,64,509.172,,57.184,,329.681,,697.422,,617.339,,
091217Pdgfra_BL9,70,TE,I,12435,391.33,252.97,63.409,880.66,1.10E+07,136.83,1.70E+06,111.88,1.39E+06,709.38,8.82E+06,338.59,4.21E+06,
091217Pdgfra_BL9,71,TE,I,9064,232.08,336.77,65.069,492.37,4.46E+06,39.113,3.55E+05,73.181,6.63E+05,691.85,6.27E+06,157.71,1.43E+06,
091217Pdgfra_BL9,72,TE,I,17744,298.62,332,68.735,836.27,1.48E+07,64.36,1.14E+06,74.862,1.33E+06,766.04,1.36E+07,213.89,3.80E+06,
091217Pdgfra_BL9,73,TE,I,12286,362.7,201.38,70.119,735.5,9.04E+06,101,1.24E+06,75.05,9.22E+05,778.9,9.57E+06,297.85,3.66E+06,
091217Pdgfra_BL9,74,TE,I,7763,148.07,265.89,69.835,474.03,3.68E+06,50.055,3.89E+05,121.47,9.43E+05,704.85,5.47E+06,291.81,2.27E+06,
091217Pdgfra_BL9,76,TE,I,10364,173.45,188.78,69.516,563.85,5.84E+06,71.508,7.41E+05,121.84,1.26E+06,684.8,7.10E+06,422.3,4.38E+06,
091217Pdgfra_BL9,77,TE,I,14911,196.59,314,73.697,347.2,5.18E+06,57.046,8.51E+05,72.506,1.08E+06,632.83,9.44E+06,174.1,2.60E+06,
091217Pdgfra_BL9,78,TE,M,12408,350.45,292.08,72.632,1229.9,1.53E+07,60.119,7.46E+05,40.907,5.08E+05,839.11,1.04E+07,159.32,1.98E+06,
091217Pdgfra_BL9,79,TE,I,11194,251.84,320.07,75.691,364.56,4.08E+06,94.792,1.06E+06,59.401,6.65E+05,804.78,9.01E+06,191.87,2.15E+06,
091217Pdgfra_BL9,80,TE,M,5974,284.78,179.99,77.028,915.71,5.47E+06,18.746,1.12E+05,28.472,1.70E+05,828.25,4.95E+06,103.06,6.16E+05,
091217Pdgfra_BL9,81,ICM,I,18950,186,241.55,74.668,390.07,7.39E+06,183.89,3.48E+06,99.199,1.88E+06,673.56,1.28E+07,137.69,2.61E+06,
091217Pdgfra_BL9,82,ICM,I,7983,206.94,279.97,74.59,486.16,3.88E+06,84.693,6.76E+05,210.89,1.68E+06,649.59,5.19E+06,361.51,2.89E+06,
