Embryo_ID,Cell_ID,TE_ICM,Cell_cycle, Size, X, Y, Z, CH1-Avg, CH1-Sum, CH2-Avg, CH2-Sum, CH3-Avg, CH3-Sum, CH4-Avg, CH4-Sum, CH5-Avg, CH5-Sum, 
071317Pdgfra_AW3,1,TE,I,7838,270.68,234.54,4.4541,2184.9,1.71E+07,81.919,6.42E+05,197.99,1.55E+06,558.43,4.38E+06,558,4.37E+06,
071317Pdgfra_AW3,2,TE,I,5769,209.89,255.5,3.6696,2047.2,1.18E+07,110.56,6.38E+05,110.97,6.40E+05,644.11,3.72E+06,452.46,2.61E+06,
071317Pdgfra_AW3,3,TE,I,5234,261.14,284.94,3.7579,1899.4,9.94E+06,95.67,5.01E+05,776.36,4.06E+06,629.88,3.30E+06,534.78,2.80E+06,
071317Pdgfra_AW3,4,TE,I,6116,296.57,258.05,6.3958,2181.2,1.33E+07,75.092,4.59E+05,287.09,1.76E+06,577.4,3.53E+06,495.72,3.03E+06,
071317Pdgfra_AW3,5,TE,I,11787,301.34,298.02,8.2968,1975.6,2.33E+07,63.091,7.44E+05,135.06,1.59E+06,596.99,7.04E+06,534.89,6.30E+06,
071317Pdgfra_AW3,6,ICM,I,15906,237.62,280.33,10.606,1558,2.48E+07,105.28,1.67E+06,765.98,1.22E+07,587.89,9.35E+06,474.08,7.54E+06,
071317Pdgfra_AW3,7,TE,I,12167,208.88,331.3,9.6314,2127.5,2.59E+07,65.011,7.91E+05,90.737,1.10E+06,622.56,7.57E+06,366.96,4.46E+06,
071317Pdgfra_AW3,8,TE,I,8198,226,205.15,12.687,2288.4,1.88E+07,63.731,5.22E+05,122.95,1.01E+06,640.28,5.25E+06,358.22,2.94E+06,
071317Pdgfra_AW3,9,ICM,I,9916,253.88,236.86,14.534,1423.5,1.41E+07,89.027,8.83E+05,592.44,5.87E+06,590.63,5.86E+06,444.67,4.41E+06,
071317Pdgfra_AW3,10,ICM,I,7118,191.66,253.94,12.852,1878.6,1.34E+07,250.29,1.78E+06,171.09,1.22E+06,605.39,4.31E+06,1032.5,7.35E+06,
071317Pdgfra_AW3,11,TE,I,9756,333.22,267.68,15.035,1283.6,1.25E+07,60.136,5.87E+05,231.83,2.26E+06,632.83,6.17E+06,342.47,3.34E+06,
071317Pdgfra_AW3,12,ICM,I,8818,261.07,308.54,15.443,1187.7,1.05E+07,83.962,7.40E+05,588.6,5.19E+06,621.11,5.48E+06,241.46,2.13E+06,
071317Pdgfra_AW3,13,ICM,I,8785,191.6,295.42,15.496,1784.4,1.57E+07,99.963,8.78E+05,741.9,6.52E+06,634.3,5.57E+06,348.97,3.07E+06,
071317Pdgfra_AW3,14,TE,I,10067,282.15,206.02,16.631,1546,1.56E+07,51.407,5.18E+05,60.692,6.11E+05,655.88,6.60E+06,413.56,4.16E+06,
071317Pdgfra_AW3,15,TE,I,10428,332.28,234.2,20.351,1036.2,1.08E+07,48.96,5.11E+05,119.58,1.25E+06,666.67,6.95E+06,243.46,2.54E+06,
071317Pdgfra_AW3,16,ICM,I,9916,220.58,323.64,19.676,1756.6,1.74E+07,93.398,9.26E+05,364.95,3.62E+06,669.18,6.64E+06,670.53,6.65E+06,
071317Pdgfra_AW3,17,TE,I,8541,169.27,224.76,22.658,1714.8,1.46E+07,49.711,4.25E+05,56.739,4.85E+05,612.33,5.23E+06,269.99,2.31E+06,
071317Pdgfra_AW3,18,ICM,I,6236,224.62,256.97,21.242,1209.4,7.54E+06,91.897,5.73E+05,266.95,1.66E+06,619.88,3.87E+06,572.17,3.57E+06,
071317Pdgfra_AW3,19,TE,I,7511,320.16,318.57,24.205,1330.6,9.99E+06,48,3.61E+05,290.14,2.18E+06,590.84,4.44E+06,256.18,1.92E+06,
071317Pdgfra_AW3,20,ICM,I,6246,241.73,282.72,23.714,1218.6,7.61E+06,71.407,4.46E+05,481.86,3.01E+06,582.33,3.64E+06,216.69,1.35E+06,
071317Pdgfra_AW3,21,TE,I,10845,340.79,285.58,25.338,1009.1,1.09E+07,50.135,5.44E+05,121.6,1.32E+06,681.64,7.39E+06,229.26,2.49E+06,
071317Pdgfra_AW3,22,ICM,I,5672,174.19,256.49,25.694,1711,9.70E+06,114.8,6.51E+05,198.62,1.13E+06,631.3,3.58E+06,694.69,3.94E+06,
071317Pdgfra_AW3,23,TE,I,10692,162.71,299.16,27.003,1383.3,1.48E+07,55.094,5.89E+05,63.567,6.80E+05,627.69,6.71E+06,266.05,2.84E+06,
071317Pdgfra_AW3,24,TE,I,10159,268.22,364.45,26.975,1544,1.57E+07,45.679,4.64E+05,74.647,7.58E+05,653.59,6.64E+06,287.4,2.92E+06,
071317Pdgfra_AW3,25,ICM,I,7089,252.22,231.66,25.811,1022.4,7.25E+06,137.56,9.75E+05,156.32,1.11E+06,593.1,4.20E+06,703.75,4.99E+06,
