Embryo_ID,Cell_ID,TE_ICM,Cell_cycle,Size,X,Y,Z,CH1-Avg,CH1-Sum,CH2-Avg,CH2-Sum,CH3-Avg,CH3-Sum,CH4-Avg,CH4-Sum,CH5-Avg,CH5-Sum, 
031618FVB_E2,1,TE,M,4482,185.4,254.86,5.5745,3279.7,1.47E+07,588.54,2.64E+06,40.565,1.82E+05,571.97,2.56E+06,222.27,9.96E+05,
031618FVB_E2,2,TE,I,12203,224.87,255.85,5.1903,3242.1,3.96E+07,746.94,9.11E+06,49.75,6.07E+05,548.68,6.70E+06,379.09,4.63E+06,
031618FVB_E2,3,TE,I,10936,152.78,269.28,6.6813,2893.2,3.16E+07,573.54,6.27E+06,44.914,4.91E+05,481.36,5.26E+06,341.44,3.73E+06,
031618FVB_E2,4,TE,I,13885,296.83,296.85,6.1999,2960.1,4.11E+07,452.87,6.29E+06,43.214,6.00E+05,533.52,7.41E+06,304.61,4.23E+06,
031618FVB_E2,5,TE,I,9068,201.38,297.64,7.0803,2606.1,2.36E+07,636.18,5.77E+06,48.291,4.38E+05,511.99,4.64E+06,662.38,6.01E+06,
031618FVB_E2,6,TE,I,12455,121.48,298.13,7.7676,2778.1,3.46E+07,599.58,7.47E+06,47.612,5.93E+05,524.98,6.54E+06,282.77,3.52E+06,
031618FVB_E2,7,TE,I,11455,176.82,325.04,8.7979,3102.7,3.55E+07,637.61,7.30E+06,43.639,5.00E+05,512.99,5.88E+06,305.98,3.51E+06,
031618FVB_E2,8,TE,I,8051,242.55,325.77,7.941,2750.3,2.21E+07,633.86,5.10E+06,50.348,4.05E+05,532.43,4.29E+06,632.25,5.09E+06,
031618FVB_E2,9,TE,I,7492,281.39,336.25,8.1532,2896.5,2.17E+07,612.39,4.59E+06,52.258,3.92E+05,546.29,4.09E+06,503.52,3.77E+06,
031618FVB_E2,10,TE,I,14092,259.07,231.77,10.807,2593.8,3.66E+07,186.68,2.63E+06,26.791,3.78E+05,546.77,7.71E+06,96.889,1.37E+06,
031618FVB_E2,11,TE,I,15347,345.94,320.82,10.796,2811.9,4.32E+07,268.13,4.12E+06,35.048,5.38E+05,492.17,7.55E+06,174.36,2.68E+06,
031618FVB_E2,12,TE,I,7831,120.97,232.3,11.071,2810.1,2.20E+07,855.54,6.70E+06,68.028,5.33E+05,585.31,4.58E+06,246.14,1.93E+06,
031618FVB_E2,13,TE,I,6284,312.73,349.3,12.123,3108.2,1.95E+07,481.09,3.02E+06,40.912,2.57E+05,561.22,3.53E+06,455.69,2.86E+06,
031618FVB_E2,14,TE,I,6757,82.887,294.87,12.578,3093.2,2.09E+07,865.18,5.85E+06,100.53,6.79E+05,560.76,3.79E+06,215.56,1.46E+06,
031618FVB_E2,15,TE,M,4670,162.27,207.31,12.671,3143.8,1.47E+07,461.15,2.15E+06,35.305,1.65E+05,496.43,2.32E+06,169.41,7.91E+05,
031618FVB_E2,16,ICM,I,8805,227.92,271.36,12.878,2849.9,2.51E+07,61.041,5.37E+05,58.279,5.13E+05,540.27,4.76E+06,1551.5,1.37E+07,
031618FVB_E2,17,TE,I,9961,134.79,342.18,14.01,2648.1,2.64E+07,497.8,4.96E+06,34.627,3.45E+05,532.72,5.31E+06,147.16,1.47E+06,
031618FVB_E2,18,ICM,I,8868,168.59,244.03,16.223,2109.6,1.87E+07,30.495,2.70E+05,60.648,5.38E+05,593.05,5.26E+06,1880.5,1.67E+07,
031618FVB_E2,19,TE,I,14474,352.08,263.33,16.435,2511.4,3.64E+07,385.6,5.58E+06,51.144,7.40E+05,513.11,7.43E+06,267.61,3.87E+06,
031618FVB_E2,20,ICM,I,10184,79.571,273.22,16.931,2855.2,2.91E+07,49.939,5.09E+05,1012.8,1.03E+07,505.63,5.15E+06,125.97,1.28E+06,
031618FVB_E2,21,ICM,I,7018,183.36,283.33,14.328,2659.6,1.87E+07,45.778,3.21E+05,47.103,3.31E+05,539.01,3.78E+06,1349.2,9.47E+06,
031618FVB_E2,22,TE,I,7385,186.65,184.76,17.051,2417.9,1.79E+07,724.32,5.35E+06,37.133,2.74E+05,506.26,3.74E+06,164.89,1.22E+06,
031618FVB_E2,23,TE,I,17167,374.86,316.52,18.487,2596.5,4.46E+07,223.03,3.83E+06,36.88,6.33E+05,500.87,8.60E+06,103.59,1.78E+06,
031618FVB_E2,24,TE,I,10590,350.7,354.32,19.557,2784.4,2.95E+07,283.1,3.00E+06,43.201,4.58E+05,523.66,5.55E+06,154.65,1.64E+06,
031618FVB_E2,25,TE,I,8421,239.01,360.8,17.413,2872.9,2.42E+07,461.33,3.88E+06,34.832,2.93E+05,569.22,4.79E+06,238.33,2.01E+06,
