Embryo_ID,Cell_ID,TE_ICM,Cell_cycle, Size, X, Y, Z, CH1-Avg, CH1-Sum, CH2-Avg, CH2-Sum, CH3-Avg, CH3-Sum, CH4-Avg, CH4-Sum, CH5-Avg, CH5-Sum, 
041817Pdgfra_AA4,1,TE,I,7990,137.15,259.92,4.6518,1767.2,1.41E+07,193.05,1.54E+06,41.033,3.28E+05,859.4,6.87E+06,216.37,1.73E+06,
041817Pdgfra_AA4,2,TE,I,6976,144.15,209.94,5.0105,1916.6,1.34E+07,80.748,5.63E+05,37.355,2.61E+05,839.25,5.85E+06,180.67,1.26E+06,
041817Pdgfra_AA4,3,TE,I,10348,493.38,222.16,6.4587,2717.4,2.81E+07,49.524,5.12E+05,25.336,2.62E+05,867.95,8.98E+06,64.521,6.68E+05,
041817Pdgfra_AA4,4,TE,I,18475,281.89,210.73,8.6202,2148.3,3.97E+07,50.855,9.40E+05,27.28,5.04E+05,896.82,1.66E+07,54.706,1.01E+06,
041817Pdgfra_AA4,5,TE,M,4503,179.53,301.03,5.5989,2821.7,1.27E+07,37.603,1.69E+05,20.954,94354,834.19,3.76E+06,39.187,1.76E+05,
041817Pdgfra_AA4,6,TE,I,11147,391.81,192,7.8505,2970.6,3.31E+07,40.018,4.46E+05,24.814,2.77E+05,861.72,9.61E+06,83.435,9.30E+05,
041817Pdgfra_AA4,7,TE,I,11572,80.551,194.64,10.406,1134.3,1.31E+07,163.28,1.89E+06,34.597,4.00E+05,837.66,9.69E+06,181.13,2.10E+06,
041817Pdgfra_AA4,8,TE,I,11147,230.93,247,10.689,2500.4,2.79E+07,64.15,7.15E+05,34.198,3.81E+05,889.88,9.92E+06,81.157,9.05E+05,
041817Pdgfra_AA4,9,TE,I,7021,187.6,266.9,8.0546,2060.6,1.45E+07,60.856,4.27E+05,31.981,2.25E+05,946.98,6.65E+06,142.37,1.00E+06,
041817Pdgfra_AA4,10,TE,M,4564,195.53,294.95,8.856,2736.6,1.25E+07,39.584,1.81E+05,19.989,91232,803.29,3.67E+06,41.481,1.89E+05,
041817Pdgfra_AA4,11,TE,I,15042,289.46,334.38,10.967,2882,4.34E+07,46.999,7.07E+05,31.854,4.79E+05,887.37,1.33E+07,79.316,1.19E+06,
041817Pdgfra_AA4,12,TE,I,9542,467.35,194.5,10.178,2016.1,1.92E+07,53.468,5.10E+05,25.682,2.45E+05,829.19,7.91E+06,55.957,5.34E+05,
041817Pdgfra_AA4,13,TE,I,14044,230,223,9,2130.115,,42.619,,26.067,,855.894,,74.175,,
041817Pdgfra_AA4,13.2,TE,I,14044,223,205,15,1710.851,,37.017,,23.949,,833.532,,72.856,,
041817Pdgfra_AA4,14,TE,I,16840,322.31,231.47,11.113,1544.2,2.60E+07,65.537,1.10E+06,30.032,5.06E+05,865.26,1.46E+07,91.095,1.53E+06,
041817Pdgfra_AA4,15,ICM,I,3274,128.89,230.22,8.2489,1703.8,5.58E+06,1709.9,5.60E+06,51.695,1.69E+05,891.26,2.92E+06,938.75,3.07E+06,
041817Pdgfra_AA4,16,TE,I,8213,188.95,234.22,10.151,2043,1.68E+07,58.466,4.80E+05,30.865,2.53E+05,915.83,7.52E+06,134.31,1.10E+06,
041817Pdgfra_AA4,17,TE,I,9104,354.11,301.69,13.586,2394.6,2.18E+07,55.742,5.07E+05,31.508,2.87E+05,854.93,7.78E+06,84.803,7.72E+05,
041817Pdgfra_AA4,18,TE,I,8069,254.1,174.73,13.223,1442.6,1.16E+07,45.591,3.68E+05,27.222,2.20E+05,986.66,7.96E+06,85.093,6.87E+05,
041817Pdgfra_AA4,19,TE,I,7457,177.12,194.94,14.581,1764.6,1.32E+07,59.324,4.42E+05,30.535,2.28E+05,931.5,6.95E+06,112.78,8.41E+05,
041817Pdgfra_AA4,20,TE,I,6784,449.83,249.49,14.439,2487.1,1.69E+07,59.144,4.01E+05,31.386,2.13E+05,865.95,5.87E+06,117.07,7.94E+05,
041817Pdgfra_AA4,21,TE,I,5029,231.86,352.38,12.785,2091.1,1.05E+07,50.33,2.53E+05,30.501,1.53E+05,829.19,4.17E+06,108.36,5.45E+05,
041817Pdgfra_AA4,22,ICM,I,11814,320.77,171.06,16.217,1840.9,2.17E+07,49.674,5.87E+05,32.999,3.90E+05,839.69,9.92E+06,99.654,1.18E+06,
041817Pdgfra_AA4,23,ICM,I,6968,65.355,226.71,13.99,963.4,6.71E+06,926.47,6.46E+06,49.494,3.45E+05,848.45,5.91E+06,1011.9,7.05E+06,
041817Pdgfra_AA4,24,TE,I,20209,87,289,13,1380.494,,49.899,,32.629,,915.299,,105.407,,
041817Pdgfra_AA4,24.2,ICM,I,20209,90,281,21,1151.722,,91.995,,63.32,,883.971,,88.374,,
041817Pdgfra_AA4,25,TE,I,4283,137.63,288.05,13.281,1462.1,6.26E+06,61.908,2.65E+05,33.328,1.43E+05,786.69,3.37E+06,103.34,4.43E+05,
041817Pdgfra_AA4,26,TE,I,9685,218.3,316.2,17.575,1814,1.76E+07,51.774,5.01E+05,31.34,3.04E+05,901.01,8.73E+06,103.51,1.00E+06,
041817Pdgfra_AA4,27,TE,I,6897,428.14,227.09,16.998,1666.4,1.15E+07,54.26,3.74E+05,29.153,2.01E+05,857.57,5.91E+06,74.585,5.14E+05,
041817Pdgfra_AA4,28,ICM,I,3311,109.4,252.86,14.691,1286.7,4.26E+06,1219.8,4.04E+06,59.111,1.96E+05,864.6,2.86E+06,1322.4,4.38E+06,
041817Pdgfra_AA4,29,TE,I,6470,263.52,261.07,17.759,1702.5,1.10E+07,43.115,2.79E+05,26.15,1.69E+05,972.62,6.29E+06,86.266,5.58E+05,
041817Pdgfra_AA4,30,TE,I,4721,459.63,275.78,16.203,1865.7,8.81E+06,68.003,3.21E+05,30.822,1.46E+05,853.78,4.03E+06,92.159,4.35E+05,
041817Pdgfra_AA4,31,TE,I,6017,187.29,335.03,14.203,1315,7.91E+06,45.055,2.71E+05,27.514,1.66E+05,870.44,5.24E+06,96.816,5.83E+05,
041817Pdgfra_AA4,32,TE,I,7740,315.63,273.85,17.904,2521.2,1.95E+07,46.202,3.58E+05,24.578,1.90E+05,936.61,7.25E+06,64.908,5.02E+05,
041817Pdgfra_AA4,33,TE,I,7379,130.09,165.42,17.712,1246.1,9.20E+06,202.41,1.49E+06,32.783,2.42E+05,872.79,6.44E+06,286.7,2.12E+06,
041817Pdgfra_AA4,34,ICM,I,5451,137.24,261.01,16.441,1868.8,1.02E+07,1575.4,8.59E+06,57.178,3.12E+05,813.46,4.43E+06,1319.3,7.19E+06,
