Embryo_ID,Cell_ID,TE_ICM,Cell_cycle, Size, X, Y, Z, CH1-Avg, CH1-Sum, CH2-Avg, CH2-Sum, CH3-Avg, CH3-Sum, CH4-Avg, CH4-Sum, CH5-Avg, CH5-Sum, 
042018FVB_K1,1,TE,I,6247,142.19,231.66,5.0131,3118.8,1.95E+07,742.05,4.64E+06,52.441,3.28E+05,541.21,3.38E+06,135.63,8.47E+05,
042018FVB_K1,2,TE,I,2930,369.81,267.72,5.3297,2653.6,7.78E+06,61.008,1.79E+05,33.661,98627,514.03,1.51E+06,31.564,92483,
042018FVB_K1,3,TE,I,7746,188.01,264.23,6.767,3367.8,2.61E+07,661.35,5.12E+06,46.465,3.60E+05,536.99,4.16E+06,201.98,1.56E+06,
042018FVB_K1,4,TE,I,7001,126.01,284.86,5.1607,2995.5,2.10E+07,892.48,6.25E+06,55.316,3.87E+05,569.24,3.99E+06,157.79,1.10E+06,
042018FVB_K1,5,TE,I,5490,168.52,239.84,6.8607,3211.4,1.76E+07,861.49,4.73E+06,56.422,3.10E+05,614.87,3.38E+06,538.86,2.96E+06,
042018FVB_K1,6,TE,I,6748,100.28,247.29,7.787,3005.7,2.03E+07,567.43,3.83E+06,78.3,5.28E+05,547.33,3.69E+06,96.857,6.54E+05,
042018FVB_K1,7,TE,I,6831,164.41,304.74,7.5759,2815.7,1.92E+07,868.9,5.94E+06,59.347,4.05E+05,623.25,4.26E+06,540.55,3.69E+06,
042018FVB_K1,8,TE,I,5989,199.08,227.43,9.5427,2991,1.79E+07,795.96,4.77E+06,44.478,2.66E+05,531.18,3.18E+06,191.27,1.15E+06,
042018FVB_K1,11,TE,I,7671,75.524,272.47,11.562,2648.6,2.03E+07,697.41,5.35E+06,70.177,5.38E+05,606.14,4.65E+06,146.14,1.12E+06,
042018FVB_K1,12,TE,I,7410,299.95,202.05,13.142,2861.1,2.12E+07,72.429,5.37E+05,49.701,3.68E+05,433.76,3.21E+06,44.573,3.30E+05,
042018FVB_K1,13,TE,I,7901,273.38,258.75,14.094,2481.9,1.96E+07,263.07,2.08E+06,33.091,2.61E+05,567.27,4.48E+06,82.98,6.56E+05,
042018FVB_K1,14,TE,I,5399,210.13,277.32,13.356,2977.2,1.61E+07,589.23,3.18E+06,43.897,2.37E+05,556.88,3.01E+06,415.13,2.24E+06,
042018FVB_K1,15,TE,I,6571,103.12,325.86,12.197,2860.1,1.88E+07,741.71,4.87E+06,66.051,4.34E+05,604.78,3.97E+06,119.47,7.85E+05,
042018FVB_K1,16,TE,I,6072,136.28,333.92,12.01,3005.2,1.82E+07,952.1,5.78E+06,52.778,3.20E+05,530.12,3.22E+06,129.2,7.85E+05,
042018FVB_K1,17,TE,I,9483,165.36,191.15,13.358,3127.4,2.97E+07,497.51,4.72E+06,36.987,3.51E+05,625.89,5.94E+06,182.24,1.73E+06,
042018FVB_K1,18,TE,I,8097,249.74,203.9,14.286,2321.1,1.88E+07,426.4,3.45E+06,37.716,3.05E+05,548.15,4.44E+06,173.87,1.41E+06,
042018FVB_K1,19,TE,I,6173,237.25,269.79,13.165,2370.4,1.46E+07,634.5,3.92E+06,44.465,2.74E+05,607.14,3.75E+06,309.91,1.91E+06,
042018FVB_K1,20,TE,M,8165,191.05,311.97,15.077,3065.5,2.50E+07,143.73,1.17E+06,25.94,2.12E+05,572.58,4.68E+06,66.811,5.46E+05,
042018FVB_K1,22,TE,I,5817,223.3,180.32,13.482,2971.3,1.73E+07,681.36,3.96E+06,41.694,2.43E+05,513.97,2.99E+06,163.84,9.53E+05,
042018FVB_K1,23,TE,I,6413,122.42,189.71,15.844,2730.6,1.75E+07,530.98,3.41E+06,48.215,3.09E+05,596.26,3.82E+06,97.636,6.26E+05,
042018FVB_K1,24,ICM,I,7124,139.34,285.99,12.876,2732.3,1.95E+07,50.858,3.62E+05,75.697,5.39E+05,578.24,4.12E+06,1987.3,1.42E+07,
042018FVB_K1,25,TE,I,5029,294.8,299.75,14.437,2402.9,1.21E+07,570.87,2.87E+06,48.1,2.42E+05,519.65,2.61E+06,363.5,1.83E+06,
042018FVB_K1,26,TE,I,8352,347.53,315.66,17.119,2666.3,2.23E+07,202.16,1.69E+06,37.983,3.17E+05,478.09,3.99E+06,93.042,7.77E+05,
042018FVB_K1,27,ICM,I,4641,101.7,229.63,14.981,2487.1,1.15E+07,39.301,1.82E+05,739.38,3.43E+06,565.24,2.62E+06,105.92,4.92E+05,
042018FVB_K1,28,TE,I,12746,354.75,270.2,18.222,2032.3,2.59E+07,165.85,2.11E+06,32.274,4.11E+05,528.45,6.74E+06,76.926,9.81E+05,
042018FVB_K1,29,TE,I,7846,66.546,309.24,16.327,3109.4,2.44E+07,499.27,3.92E+06,57.714,4.53E+05,600.97,4.72E+06,134.16,1.05E+06,
042018FVB_K1,30,TE,I,12229,305.16,323.57,20.057,2022.6,2.47E+07,234.11,2.86E+06,35.17,4.30E+05,549.42,6.72E+06,163.96,2.01E+06,
042018FVB_K1,31,ICM,I,3963,106.76,301.2,16.065,2412.8,9.56E+06,41.651,1.65E+05,646.14,2.56E+06,589.68,2.34E+06,107.23,4.25E+05,
042018FVB_K1,32,TE,I,5998,71.407,217.2,18.754,2951.5,1.77E+07,643.84,3.86E+06,54.771,3.29E+05,641.24,3.85E+06,148.76,8.92E+05,
042018FVB_K1,33,TE,I,9283,156.41,236.97,17.637,2827.4,2.62E+07,42.651,3.96E+05,73.682,6.84E+05,515.04,4.78E+06,1723.7,1.60E+07,
042018FVB_K1,34,TE,I,5753,313.7,275.71,20.63,1984.4,1.14E+07,176.39,1.01E+06,31.611,1.82E+05,544.02,3.13E+06,106.59,6.13E+05,
042018FVB_K1,35,TE,I,3589,223.4,230.86,18.849,1782.3,6.40E+06,307.61,1.10E+06,26.81,96220,577.01,2.07E+06,107.9,3.87E+05,
042018FVB_K1,36,TE,I,7077,298.48,245.83,20.447,1959.3,1.39E+07,146.54,1.04E+06,30.926,2.19E+05,563.76,3.99E+06,81.084,5.74E+05,
042018FVB_K1,36.2,TE,I,7077,268,214,24,716.459,,84.49,,20.61,,478.011,,56.555,,
042018FVB_K1,37,ICM,I,4969,92.755,270.24,19.206,2557.7,1.27E+07,42.141,2.09E+05,346.56,1.72E+06,594.15,2.95E+06,114.4,5.68E+05,
042018FVB_K1,38,TE,I,17275,452.23,307.7,22.758,878.74,1.52E+07,74.991,1.30E+06,24.588,4.25E+05,569.54,9.84E+06,48.321,8.35E+05,
042018FVB_K1,39,TE,I,7693,262.06,301.39,20.118,2827,2.17E+07,246.35,1.90E+06,34.802,2.68E+05,549.31,4.23E+06,172.3,1.33E+06,
042018FVB_K1,40,TE,I,4057,236.58,302.26,19.205,3045.6,1.24E+07,445.6,1.81E+06,40.843,1.66E+05,589.05,2.39E+06,322.55,1.31E+06,
042018FVB_K1,41,TE,I,11237,269.6,347.69,22.166,3027.2,3.40E+07,304.88,3.43E+06,39.053,4.39E+05,578.53,6.50E+06,119.04,1.34E+06,
042018FVB_K1,43,TE,I,12772,151.9,342.66,22.081,2535.7,3.24E+07,446.38,5.70E+06,36.671,4.68E+05,559.98,7.15E+06,222.26,2.84E+06,
042018FVB_K1,44,TE,I,9291,209.16,160.52,23.434,2799.7,2.60E+07,456.42,4.24E+06,31.126,2.89E+05,580.36,5.39E+06,182.17,1.69E+06,
042018FVB_K1,45,TE,I,1423,359.04,238.86,18.415,1933.3,2.75E+06,200.9,2.86E+05,30.421,43289,503.27,7.16E+05,90.842,1.29E+05,
042018FVB_K1,46,ICM,I,8324,166.92,279.33,21.917,2037.4,1.70E+07,33.79,2.81E+05,50.453,4.20E+05,607.13,5.05E+06,1358.9,1.13E+07,
042018FVB_K1,49,TE,I,5750,240.69,146.47,21.503,2322.3,1.34E+07,345.53,1.99E+06,31.383,1.80E+05,574.34,3.30E+06,150.6,8.66E+05,
042018FVB_K1,50,TE,I,6417,262.95,169.12,22.267,2299,1.48E+07,95.332,6.12E+05,48.542,3.11E+05,549.23,3.52E+06,64.645,4.15E+05,
042018FVB_K1,51,TE,I,10535,36.967,248.25,23.574,3064.4,3.23E+07,547.34,5.77E+06,44.806,4.72E+05,580.36,6.11E+06,363.29,3.83E+06,
042018FVB_K1,52,ICM,I,5388,88.333,301.31,21.992,2285.8,1.23E+07,31.473,1.70E+05,736.3,3.97E+06,591.77,3.19E+06,102,5.50E+05,
042018FVB_K1,53,TE,M,8750,169.78,157.92,24.665,2989.6,2.62E+07,106.22,9.29E+05,20.876,1.83E+05,599.23,5.24E+06,86.259,7.55E+05,
042018FVB_K1,54,ICM,I,2816,162.9,208.43,18.447,3643,1.03E+07,47.352,1.33E+05,56.654,1.60E+05,624.03,1.76E+06,1979.7,5.57E+06,
042018FVB_K1,55,TE,I,11806,387.5,244.51,25.568,1558.9,1.84E+07,145.78,1.72E+06,28.089,3.32E+05,506.43,5.98E+06,74.08,8.75E+05,
042018FVB_K1,56,TE,I,8508,376.36,325.76,25.285,1493.1,1.27E+07,113.81,9.68E+05,24.234,2.06E+05,587.09,5.00E+06,64.709,5.51E+05,
042018FVB_K1,57,TE,M,8330,219.52,332.08,25.081,2759.8,2.30E+07,168.05,1.40E+06,23.43,1.95E+05,588.89,4.91E+06,83.203,6.93E+05,
042018FVB_K1,59,TE,I,10314,334.9,217.41,27.893,1594.3,1.64E+07,72.119,7.44E+05,29.805,3.07E+05,485.54,5.01E+06,53.932,5.56E+05,
042018FVB_K1,60,ICM,I,5105,106.68,247.22,22.581,2155.6,1.10E+07,22.233,1.14E+05,647.44,3.31E+06,548.91,2.80E+06,94.113,4.80E+05,
042018FVB_K1,61,ICM,M,3246,148.69,252.86,23.391,3006.8,9.76E+06,20.913,67884,266.25,8.64E+05,552.25,1.79E+06,179.45,5.83E+05,
042018FVB_K1,62,ICM,M,2524,141.79,302.51,21.613,3123,7.88E+06,28.595,72174,267.96,6.76E+05,521.6,1.32E+06,187.56,4.73E+05,
042018FVB_K1,64,ICM,I,5717,128.06,220.07,24.171,1848.6,1.06E+07,21.493,1.23E+05,417.47,2.39E+06,573.37,3.28E+06,103.74,5.93E+05,
042018FVB_K1,66,ICM,I,4129,64.248,276.29,25.905,2826.3,1.17E+07,25.206,1.04E+05,77.53,3.20E+05,617.31,2.55E+06,1697.6,7.01E+06,
042018FVB_K1,67,ICM,I,7863,109.49,187.22,27.998,2100.6,1.65E+07,34.467,2.71E+05,409.04,3.22E+06,589.74,4.64E+06,80.982,6.37E+05,
042018FVB_K1,68,ICM,I,10068,73.749,237.58,29.49,2128.9,2.14E+07,31.369,3.16E+05,542.85,5.47E+06,561.52,5.65E+06,94.93,9.56E+05,
042018FVB_K1,70,ICM,I,11165,125.2,315.12,31.704,1774.7,1.98E+07,20.763,2.32E+05,561.54,6.27E+06,635.46,7.09E+06,89.199,9.96E+05,
042018FVB_K1,71,TE,I,6684,58.309,330.94,29.864,2185,1.46E+07,412.66,2.76E+06,36.435,2.44E+05,599.72,4.01E+06,83.497,5.58E+05,
042018FVB_K1,72,TE,I,7823,367.33,210.67,32.289,1387,1.09E+07,173.32,1.36E+06,27.66,2.16E+05,597.83,4.68E+06,75.984,5.94E+05,
042018FVB_K1,73,ICM,I,6894,97.861,213.66,30.491,2056.1,1.42E+07,22.327,1.54E+05,560.33,3.86E+06,571.15,3.94E+06,92.47,6.37E+05,
042018FVB_K1,74,TE,I,5129,120.01,155.99,30.921,2676.4,1.37E+07,414.07,2.12E+06,30.937,1.59E+05,544.49,2.79E+06,82.567,4.23E+05,
042018FVB_K1,75,ICM,I,5022,176.62,229.15,30.112,2067.5,1.04E+07,19.275,96799,44.209,2.22E+05,517.67,2.60E+06,1343.5,6.75E+06,
042018FVB_K1,76,ICM,I,4500,122.38,277.98,31.378,1484,6.68E+06,17.699,79646,384.86,1.73E+06,594.04,2.67E+06,73.289,3.30E+05,
042018FVB_K1,77,TE,I,9796,408.01,301.66,33.444,489.87,4.80E+06,60.323,5.91E+05,18.497,1.81E+05,507.34,4.97E+06,42.687,4.18E+05,
042018FVB_K1,78,TE,I,4147,297.81,175.04,31.231,902.16,3.74E+06,58.051,2.41E+05,20.99,87044,602.06,2.50E+06,50.794,2.11E+05,
042018FVB_K1,79,TE,I,8881,20.376,275.64,36.822,2380.6,2.11E+07,368.45,3.27E+06,33.284,2.96E+05,577.66,5.13E+06,111.81,9.93E+05,
042018FVB_K1,80,ICM,I,3782,161.94,317.3,30.827,1528.1,5.78E+06,28.701,1.09E+05,49.884,1.89E+05,557.04,2.11E+06,1284.7,4.86E+06,
042018FVB_K1,81,ICM,I,4768,85.289,318.21,31.26,1673.2,7.98E+06,23.865,1.14E+05,572.15,2.73E+06,558,2.66E+06,84.454,4.03E+05,
042018FVB_K1,82,ICM,I,4761,159.73,177.17,32.655,2343,1.12E+07,29.773,1.42E+05,46.623,2.22E+05,546.71,2.60E+06,1382.6,6.58E+06,
042018FVB_K1,83,ICM,I,3752,38.99,245.02,31.639,2895.4,1.09E+07,73.313,2.75E+05,59.858,2.25E+05,539.64,2.02E+06,1975.7,7.41E+06,
042018FVB_K1,84,ICM,I,4754,52.334,304.24,33.845,1986.7,9.44E+06,23.347,1.11E+05,63.836,3.03E+05,508.5,2.42E+06,1170,5.56E+06,
042018FVB_K1,85,TE,I,10556,188.98,335.29,38.34,1350.3,1.43E+07,180.64,1.91E+06,22.067,2.33E+05,541.66,5.72E+06,71.214,7.52E+05,
042018FVB_K1,86,ICM,I,7946,164.71,203.06,35.585,1806.4,1.44E+07,17.645,1.40E+05,82.601,6.56E+05,538.94,4.28E+06,872.45,6.93E+06,
042018FVB_K1,87,TE,I,2598,310.43,323.93,30.792,778.82,2.02E+06,101.81,2.64E+05,22.052,57290,532.41,1.38E+06,61.103,1.59E+05,
042018FVB_K1,88,ICM,I,2880,112.44,195.56,34.785,1950.4,5.62E+06,18.181,52361,384.85,1.11E+06,535.79,1.54E+06,76.482,2.20E+05,
042018FVB_K1,89,TE,I,10380,454.38,262.95,37.713,547.79,5.69E+06,63.066,6.55E+05,22.378,2.32E+05,578.09,6.00E+06,57.141,5.93E+05,
042018FVB_K1,90,ICM,I,5327,107,265.66,36.385,1407,7.50E+06,16.302,86839,297.08,1.58E+06,527.26,2.81E+06,70.476,3.75E+05,
