Embryo_ID,Cell_ID, Size,TE_ICM, X, Y, Z, CH1-Avg, CH1-Sum, CH2-Avg, CH2-Sum, CH3-Avg, CH3-Sum, CH4-Avg, CH4-Sum, CH5-Avg, CH5-Sum, 
032317Abl_H2,1,5931,TE,200.09,276.45,5.7272,2444.8,1.45E+07,68.822,4.08E+05,155.31,9.21E+05,1074.9,6.38E+06,360.38,2.14E+06,
032317Abl_H2,2,16620,TE,228.5,222.78,7.861,1848,3.07E+07,64.389,1.07E+06,126.91,2.11E+06,1045.5,1.74E+07,357.21,5.94E+06,
032317Abl_H2,3,8153,TE,272.1,222.67,7.2793,2119.1,1.73E+07,56.351,4.59E+05,254.84,2.08E+06,994.59,8.11E+06,401.41,3.27E+06,
032317Abl_H2,4,15955,TE,289.89,342.12,10.805,2104.4,3.36E+07,56.666,9.04E+05,54.405,8.68E+05,1120.7,1.79E+07,411.26,6.56E+06,
032317Abl_H2,5,8591,TE,177,238.6,9.5553,1590.8,1.37E+07,52.576,4.52E+05,187.31,1.61E+06,1085.1,9.32E+06,465.14,4.00E+06,
032317Abl_H2,6,8441,TE,247.88,295.34,10.496,1808.4,1.53E+07,49.867,4.21E+05,200.9,1.70E+06,1040.2,8.78E+06,289.23,2.44E+06,
032317Abl_H2,7,10932,ICM,155.37,284.54,15.21,1412.8,1.54E+07,48.286,5.28E+05,160.43,1.75E+06,1019.6,1.11E+07,492.05,5.38E+06,
032317Abl_H2,9,17777,TE,310.87,190.36,21.047,1709.8,3.04E+07,39.565,7.03E+05,92.653,1.65E+06,1050.9,1.87E+07,240.1,4.27E+06,
032317Abl_H2,11,5556,TE,230.52,362.63,18.35,2300.8,1.28E+07,51.032,2.84E+05,111.6,6.20E+05,1024.6,5.69E+06,279.67,1.55E+06,
032317Abl_H2,12,13976,ICM,236.25,255.19,21.01,939.83,1.31E+07,52.627,7.36E+05,185.33,2.59E+06,1077,1.51E+07,382.65,5.35E+06,
032317Abl_H2,13,20050,ICM,193.07,287.2,20.987,966.45,1.94E+07,51.905,1.04E+06,405.22,8.12E+06,1009.5,2.02E+07,456.32,9.15E+06,
032317Abl_H2,14,11499,ICM,243.39,219.57,26.326,959.29,1.10E+07,38.268,4.40E+05,238.25,2.74E+06,1036.2,1.19E+07,325.95,3.75E+06,
032317Abl_H2,15,14707,ICM,186.96,238.51,27.294,969.49,1.43E+07,43.615,6.41E+05,363.88,5.35E+06,1043.7,1.54E+07,320.17,4.71E+06,
032317Abl_H2,16,13766,ICM,231.48,294.16,28.435,855.42,1.18E+07,47.845,6.59E+05,166,2.29E+06,1067.2,1.47E+07,392.17,5.40E+06,
032317Abl_H2,17,12203,TE,236.7,161.15,31.674,703.08,8.58E+06,31.24,3.81E+05,105.18,1.28E+06,1085.6,1.32E+07,214.07,2.61E+06,
032317Abl_H2,18,10969,TE,216.71,199.92,32.104,649.07,7.12E+06,34.524,3.79E+05,202.63,2.22E+06,954.24,1.05E+07,217.74,2.39E+06,
032317Abl_H2,20,14228,ICM,223.56,337.43,33.789,605.56,8.62E+06,42.882,6.10E+05,279.17,3.97E+06,1092.5,1.55E+07,237.33,3.38E+06,
032317Abl_H2,21,12292,ICM,179.17,352.38,33.283,911.63,1.12E+07,34.069,4.19E+05,112.13,1.38E+06,1093,1.34E+07,316.75,3.89E+06,
032317Abl_H2,22,7590,TE,146.07,305.84,32.983,1058.3,8.03E+06,36.929,2.80E+05,143.79,1.09E+06,1005.8,7.63E+06,271.78,2.06E+06,
032317Abl_H2,23,7983,TE,140.39,206.8,34.672,940.41,7.51E+06,35.936,2.87E+05,126.02,1.01E+06,1148.2,9.17E+06,238.14,1.90E+06,
032317Abl_H2,25,18699,TE,250.71,377.94,37.974,980.34,1.83E+07,31.885,5.96E+05,205.84,3.85E+06,1062.7,1.99E+07,250.24,4.68E+06,
032317Abl_H2,27,18294,TE,296.48,168.26,38.455,961.63,1.76E+07,30.669,5.61E+05,98.772,1.81E+06,1060.7,1.94E+07,198.9,3.64E+06,
032317Abl_H2,28,14316,ICM,205.1,289.07,38.394,687.42,9.84E+06,39.142,5.60E+05,230.75,3.30E+06,957.8,1.37E+07,441.98,6.33E+06,
032317Abl_H2,29,12499,ICM,197.76,225.74,40.733,611.62,7.64E+06,33.066,4.13E+05,151.04,1.89E+06,1031.2,1.29E+07,321.43,4.02E+06,
032317Abl_H2,30,14960,TE,376.96,299.56,41.168,1420,2.12E+07,30.964,4.63E+05,63.648,9.52E+05,1091.2,1.63E+07,267.3,4.00E+06,
032317Abl_H2,31,14283,ICM,162.54,259.83,43.197,609.79,8.71E+06,34.267,4.89E+05,226.3,3.23E+06,1013.6,1.45E+07,285.34,4.08E+06,
032317Abl_H2,32,16238,ICM,175.36,303.16,48.118,475.63,7.72E+06,30.941,5.02E+05,163.02,2.65E+06,1024.8,1.66E+07,287.47,4.67E+06,
032317Abl_H2,33,27670,TE,161.97,202.68,51.845,404.41,1.12E+07,24.401,6.75E+05,94.322,2.61E+06,1097.5,3.04E+07,129.14,3.57E+06,
032317Abl_H2,34,12703,ICM,212.34,254.06,48.073,430.07,5.46E+06,28.631,3.64E+05,252.34,3.21E+06,936.58,1.19E+07,277.58,3.53E+06,
032317Abl_H2,35,15417,ICM,226.18,330.91,50.05,348.77,5.38E+06,27.563,4.25E+05,151.86,2.34E+06,988.28,1.52E+07,230.79,3.56E+06,
032317Abl_H2,36,29533,TE,240.61,175.42,58.334,281.85,8.32E+06,19.538,5.77E+05,31.649,9.35E+05,1057,3.12E+07,64.799,1.91E+06,
032317Abl_H2,37,15531,ICM,226.79,276.86,57.288,304.77,4.73E+06,28.473,4.42E+05,203.35,3.16E+06,930.65,1.45E+07,144.56,2.25E+06,
032317Abl_H2,38,17996,TE,293.93,357.9,62.049,553.3,9.96E+06,22.576,4.06E+05,25.103,4.52E+05,1117.7,2.01E+07,116.91,2.10E+06,
032317Abl_H2,39,22512,TE,186.02,313.01,63.773,219.77,4.95E+06,20.063,4.52E+05,62.503,1.41E+06,925.71,2.08E+07,93.47,2.10E+06,
