Embryo_ID,Cell_ID, Size, TE_ICM, X, Y, Z, CH1-Avg, CH1-Sum, CH2-Avg, CH2-Sum, CH3-Avg, CH3-Sum, CH4-Avg, CH4-Sum, CH5-Avg, CH5-Sum, 
032317Abl_I1,1,13720,TE,213.28,241.48,4.7834,2659.2,3.65E+07,56.543,7.76E+05,50.661,6.95E+05,919.68,1.26E+07,492.56,6.76E+06,
032317Abl_I1,2,13363,TE,286.37,236.03,5.908,2648.4,3.54E+07,40.966,5.47E+05,45.746,6.11E+05,945.85,1.26E+07,475.9,6.36E+06,
032317Abl_I1,3,17359,TE,272.67,298.69,7.5819,2306.6,4.00E+07,41.221,7.16E+05,51.7,8.97E+05,952.22,1.65E+07,416.13,7.22E+06,
032317Abl_I1,4,10374,TE,254.33,230.74,10.934,2244.1,2.33E+07,248.24,2.58E+06,544.71,5.65E+06,946.79,9.82E+06,320.83,3.33E+06,
032317Abl_I1,5,17182,TE,292.95,174.19,10.89,1859.8,3.20E+07,30.125,5.18E+05,26.794,4.60E+05,978.71,1.68E+07,204.03,3.51E+06,
032317Abl_I1,6,6118,ICM,237.23,269.43,11.118,2301.2,1.41E+07,380.7,2.33E+06,65.712,4.02E+05,1046.7,6.40E+06,1469.2,8.99E+06,
032317Abl_I1,7,10686,TE,193.76,281.94,13.075,2399.1,2.56E+07,131.91,1.41E+06,602.28,6.44E+06,943.07,1.01E+07,220.68,2.36E+06,
032317Abl_I1,8,7274,TE,336.06,310.79,10.874,2136.9,1.55E+07,35.594,2.59E+05,43.534,3.17E+05,984.65,7.16E+06,223.01,1.62E+06,
032317Abl_I1,9,9740,TE,357.2,214.89,11.515,1443.5,1.41E+07,32.499,3.17E+05,38.01,3.70E+05,986.91,9.61E+06,196.36,1.91E+06,
032317Abl_I1,10,8853,TE,248.78,301,15.055,2134.9,1.89E+07,123.74,1.10E+06,544.76,4.82E+06,978.79,8.67E+06,267.24,2.37E+06,
032317Abl_I1,11,13109,TE,211.47,172.76,17.747,2586,3.39E+07,36.714,4.81E+05,38.947,5.11E+05,1023.4,1.34E+07,344.73,4.52E+06,
032317Abl_I1,12,11304,ICM,228.28,215.66,16.224,2325.1,2.63E+07,360.69,4.08E+06,93.074,1.05E+06,938.34,1.06E+07,1446.3,1.63E+07,
032317Abl_I1,13,6506,TE,372.09,304.08,15.88,1967.5,1.28E+07,37.505,2.44E+05,40.026,2.60E+05,974.53,6.34E+06,261.8,1.70E+06,
032317Abl_I1,14,8835,TE,209.45,315.61,17.344,2355.4,2.08E+07,147.79,1.31E+06,505.87,4.47E+06,988.17,8.73E+06,325.64,2.88E+06,
032317Abl_I1,15,12569,ICM,165.81,260.13,19.047,2428.4,3.05E+07,238.42,3.00E+06,451.84,5.68E+06,952.92,1.20E+07,594.32,7.47E+06,
032317Abl_I1,16,4611,TE,310.76,339.2,17.457,2986.7,1.38E+07,38.301,1.77E+05,31.19,1.44E+05,970.57,4.48E+06,201.18,9.28E+05,
032317Abl_I1,17,7522,ICM,190.18,206.82,18.175,1931.2,1.45E+07,179.81,1.35E+06,507.91,3.82E+06,956.36,7.19E+06,732.67,5.51E+06,
032317Abl_I1,18,13077,TE,226.55,348.15,21.082,2555,3.34E+07,39.129,5.12E+05,34.49,4.51E+05,1018.9,1.33E+07,366.65,4.79E+06,
032317Abl_I1,19,8500,TE,397.11,235.56,19.546,1396.9,1.19E+07,35.653,3.03E+05,41.632,3.54E+05,919.11,7.81E+06,263.49,2.24E+06,
