Embryo_ID,Cell_ID,TE_ICM,Cell_cycle, Size, X, Y, Z, CH1-Avg, CH1-Sum, CH2-Avg, CH2-Sum, CH3-Avg, CH3-Sum, CH4-Avg, CH4-Sum, CH5-Avg, CH5-Sum, 
052617Pdgfra_AF4,1,TE,I,9209,279.49,265.97,3.8893,2200.4,2.03E+07,54.015,4.97E+05,33.824,3.11E+05,698,6.43E+06,350.84,3.23E+06,
052617Pdgfra_AF4,2,TE,I,29181,233,282,4,2674.108,,82.861,,36.145,,673.885,,251.647,,
052617Pdgfra_AF4,2.2,ICM,I,29181,222,279,10,2310.577,,207.512,,261.387,,681.565,,132.551,,
052617Pdgfra_AF4,2.3,TE,I,29181,248,280,10,1938.712,,664.811,,45.326,,674.927,,1109.653,,
052617Pdgfra_AF4,3,TE,I,8252,256.13,210.8,5.6577,1878.6,1.55E+07,83.51,6.89E+05,43.817,3.62E+05,659.77,5.44E+06,360.54,2.98E+06,
052617Pdgfra_AF4,4,TE,I,7947,217.37,219.08,6.7204,1921.7,1.53E+07,58.172,4.62E+05,24.29,1.93E+05,711.3,5.65E+06,173.66,1.38E+06,
052617Pdgfra_AF4,5,TE,I,15242,150.95,227.16,9.007,1507.3,2.30E+07,53.008,8.08E+05,27.146,4.14E+05,642.17,9.79E+06,157.26,2.40E+06,
052617Pdgfra_AF4,6,ICM,I,10314,182.13,244.67,14.911,1698.7,1.75E+07,105.84,1.09E+06,271.28,2.80E+06,690.97,7.13E+06,121.01,1.25E+06,
052617Pdgfra_AF4,7,TE,I,6118,178.07,281.21,10.299,1461.9,8.94E+06,425.61,2.60E+06,38.601,2.36E+05,640.87,3.92E+06,672.43,4.11E+06,
052617Pdgfra_AF4,8,TE,I,8652,263.47,338.96,13.113,1472.3,1.27E+07,43.244,3.74E+05,28.848,2.50E+05,682.56,5.91E+06,313.19,2.71E+06,
052617Pdgfra_AF4,9,TE,I,9159,341.72,277.73,14.462,1659.1,1.52E+07,39.856,3.65E+05,29.432,2.70E+05,674,6.17E+06,278.83,2.55E+06,
052617Pdgfra_AF4,10,TE,I,17591,124,292,17,1960.216,,52.642,,37.612,,640.643,,222.754,,
052617Pdgfra_AF4,10.2,ICM,I,17591,150,291,17,1829.118,,78.134,,243.114,,653.844,,127.206,,
052617Pdgfra_AF4,11,ICM,I,6188,186.93,208.79,17.543,2002.5,1.24E+07,436.35,2.70E+06,50.905,3.15E+05,621.97,3.85E+06,1037.1,6.42E+06,
052617Pdgfra_AF4,12,TE,I,7770,221.49,346.52,17.102,2049.9,1.59E+07,69.539,5.40E+05,28.325,2.20E+05,672.15,5.22E+06,220.24,1.71E+06,
052617Pdgfra_AF4,13,TE,I,6693,238.14,159.82,17.682,2096,1.40E+07,50.456,3.38E+05,23.282,1.56E+05,717.21,4.80E+06,176.79,1.18E+06,
052617Pdgfra_AF4,14,ICM,I,5785,241.82,198.09,17.061,1546,8.94E+06,487.25,2.82E+06,40.953,2.37E+05,674.14,3.90E+06,885.25,5.12E+06,
052617Pdgfra_AF4,15,TE,I,5777,358.49,231.9,18.774,2397.3,1.38E+07,49.827,2.88E+05,81.723,4.72E+05,676.78,3.91E+06,234.53,1.35E+06,
052617Pdgfra_AF4,16,TE,I,8433,165.5,336.72,20.288,1564.1,1.32E+07,47.482,4.00E+05,30.271,2.55E+05,634.49,5.35E+06,255.92,2.16E+06,
052617Pdgfra_AF4,17,TE,I,7430,279.9,149.51,22.502,1904.4,1.42E+07,37.31,2.77E+05,23.933,1.78E+05,674.35,5.01E+06,289.37,2.15E+06,
052617Pdgfra_AF4,18,ICM,I,11791,213.12,197.1,21.655,1847.5,2.18E+07,472.5,5.57E+06,33.342,3.93E+05,731.12,8.62E+06,721.13,8.50E+06,
052617Pdgfra_AF4,19,ICM,I,3665,224.35,258.17,18.386,1595.1,5.85E+06,293.72,1.08E+06,37.35,1.37E+05,662.72,2.43E+06,688.92,2.52E+06,
052617Pdgfra_AF4,20,ICM,I,11658,220.44,308.17,20.099,1509.1,1.76E+07,385.36,4.49E+06,42.289,4.93E+05,662.01,7.72E+06,880.97,1.03E+07,
052617Pdgfra_AF4,21,TE,I,11918,113.63,221.81,25.302,1640.1,1.95E+07,47.786,5.70E+05,55.923,6.67E+05,752.75,8.97E+06,139.78,1.67E+06,
052617Pdgfra_AF4,22,ICM,I,2316,150.78,253.42,20.328,1568.2,3.63E+06,375.26,8.69E+05,42.038,97360,749.23,1.74E+06,740.03,1.71E+06,
052617Pdgfra_AF4,23,ICM,I,3045,198.18,162.29,23.711,1845.2,5.62E+06,308.52,9.39E+05,204.48,6.23E+05,685.04,2.09E+06,249.31,7.59E+05,
052617Pdgfra_AF4,24,TE,I,4206,338.17,177.08,22.777,3063.4,1.29E+07,42.767,1.80E+05,22.978,96645,679.27,2.86E+06,166.1,6.99E+05,
052617Pdgfra_AF4,25,ICM,I,5083,132.48,209.64,23.652,1751.4,8.90E+06,50.969,2.59E+05,169,8.59E+05,558.74,2.84E+06,169.56,8.62E+05,
052617Pdgfra_AF4,26,TE,I,8207,167.62,157.47,29.617,1957.9,1.61E+07,42.613,3.50E+05,28.973,2.38E+05,807.19,6.62E+06,160.8,1.32E+06,
052617Pdgfra_AF4,27,TE,I,6249,380.72,273.54,27.157,1987.4,1.24E+07,40.781,2.55E+05,24.28,1.52E+05,664.85,4.15E+06,149.16,9.32E+05,
052617Pdgfra_AF4,28,ICM,I,6370,203.12,332.56,26.139,1113.1,7.09E+06,346.83,2.21E+06,31.952,2.04E+05,676.99,4.31E+06,731.25,4.66E+06,
052617Pdgfra_AF4,30,ICM,I,15542,204.76,274.77,30.893,842.73,1.31E+07,125.44,1.95E+06,38.335,5.96E+05,691.17,1.07E+07,411.57,6.40E+06,
052617Pdgfra_AF4,31,ICM,I,10501,167.83,207.79,28.725,1249.2,1.31E+07,88.42,9.29E+05,160.66,1.69E+06,671.37,7.05E+06,98.55,1.03E+06,
