Embryo_ID,Cell_ID,TE_ICM,Cell_cycle, Size, X, Y, Z, CH1-Avg, CH1-Sum, CH2-Avg, CH2-Sum, CH3-Avg, CH3-Sum, CH4-Avg, CH4-Sum, CH5-Avg, CH5-Sum, 
062917Pdgfra_AT4,1,TE,I,14676,305.38,238.36,4.8302,1714.2,2.52E+07,44.765,6.57E+05,69.81,1.02E+06,613.14,9.00E+06,291.29,4.27E+06,
062917Pdgfra_AT4,2,TE,I,15366,304.78,296.43,5.8423,1509.7,2.32E+07,44.425,6.83E+05,81.302,1.25E+06,608.89,9.36E+06,290.36,4.46E+06,
062917Pdgfra_AT4,4,TE,I,15220,228.09,215.25,8.9365,1816.5,2.76E+07,50.46,7.68E+05,55.407,8.43E+05,540.97,8.23E+06,243.25,3.70E+06,
062917Pdgfra_AT4,5,TE,I,15988,349.26,194.3,11.41,1568.1,2.51E+07,40.068,6.41E+05,94.263,1.51E+06,603.64,9.65E+06,178.74,2.86E+06,
062917Pdgfra_AT4,6,TE,I,12643,241.98,307.75,13.006,1693,2.14E+07,42.093,5.32E+05,31.214,3.95E+05,604.18,7.64E+06,271.78,3.44E+06,
062917Pdgfra_AT4,7,TE,I,6291,183.18,209.32,13.16,2170.9,1.37E+07,49.305,3.10E+05,33.545,2.11E+05,604.25,3.80E+06,252.35,1.59E+06,
062917Pdgfra_AT4,8,TE,I,15874,255.17,164.89,13.991,1595.1,2.53E+07,35.939,5.71E+05,31.729,5.04E+05,577.11,9.16E+06,185.27,2.94E+06,
062917Pdgfra_AT4,9,ICM,I,10815,190.78,278.29,17.47,1590.9,1.72E+07,45.308,4.90E+05,28.454,3.08E+05,638.27,6.90E+06,178.96,1.94E+06,
062917Pdgfra_AT4,10,TE,I,5028,388.77,290.17,16.849,1736.2,8.73E+06,48.743,2.45E+05,120.08,6.04E+05,605.95,3.05E+06,184.6,9.28E+05,
062917Pdgfra_AT4,11,ICM,I,11722,164.86,233.83,22.503,1647.9,1.93E+07,65.788,7.71E+05,165.5,1.94E+06,584.19,6.85E+06,261.81,3.07E+06,
