Embryo_ID,Cell_ID,TE_ICM,Cell_cycle, Size, X, Y, Z, CH1-Avg, CH1-Sum, CH2-Avg, CH2-Sum, CH3-Avg, CH3-Sum, CH4-Avg, CH4-Sum, CH5-Avg, CH5-Sum, 
073117Pdgfra_BJ5,1,TE,I,19349,96.302,219.66,8.1523,2021.8,3.91E+07,192.63,3.73E+06,233.46,4.52E+06,554.34,1.07E+07,146.99,2.84E+06,
073117Pdgfra_BJ5,1.2,ICM,I,19349,89,212,10,2174.729,,258.067,,385.316,,565.891,,173.969,,
073117Pdgfra_BJ5,2,TE,I,10825,194.47,278.04,6.8039,2020.6,2.19E+07,406.7,4.40E+06,83.41,9.03E+05,501.07,5.42E+06,522.23,5.65E+06,
073117Pdgfra_BJ5,2.2,ICM,I,10825,192,272,12,2146.19,,1154.813,,105.921,,492.205,,1593.909,,
073117Pdgfra_BJ5,4,TE,I,11254,107,291.46,6.3352,1858.8,2.09E+07,126.06,1.42E+06,88.81,9.99E+05,599.89,6.75E+06,138.59,1.56E+06,
073117Pdgfra_BJ5,5,TE,I,11219,130.14,322.85,7.0119,1167.9,1.31E+07,175.93,1.97E+06,54.357,6.10E+05,544.13,6.10E+06,228.06,2.56E+06,
073117Pdgfra_BJ5,6,TE,I,9008,200.14,220.62,10.814,2257.5,2.03E+07,126.49,1.14E+06,71.728,6.46E+05,432.84,3.90E+06,150.05,1.35E+06,
073117Pdgfra_BJ5,7,TE,I,13434,327.11,246.33,9.6894,1461.5,1.96E+07,109.48,1.47E+06,53.914,7.24E+05,485.05,6.52E+06,93.804,1.26E+06,
073117Pdgfra_BJ5,7.2,TE,I,13434,310,250,12,1373.393,,175.166,,67.508,,492.893,,57.153,,
073117Pdgfra_BJ5,8,ICM,I,7999,79.624,252.12,8.9575,2231.7,1.79E+07,242.6,1.94E+06,430.75,3.45E+06,500.18,4.00E+06,184.05,1.47E+06,
073117Pdgfra_BJ5,9,TE,I,10994,289.54,325.76,10.407,1729.1,1.90E+07,71.302,7.84E+05,46.883,5.15E+05,461.55,5.07E+06,108.98,1.20E+06,
073117Pdgfra_BJ5,10,ICM,I,4214,121.53,260.12,9.5816,1622.3,6.84E+06,201.65,8.50E+05,397.23,1.67E+06,597.18,2.52E+06,171.58,7.23E+05,
073117Pdgfra_BJ5,11,TE,I,12685,278.12,269.14,11.582,1783.4,2.26E+07,119.61,1.52E+06,61.987,7.86E+05,548.42,6.96E+06,120.74,1.53E+06,
073117Pdgfra_BJ5,12,TE,I,4245,224.49,276.61,10.734,2096.3,8.90E+06,153.75,6.53E+05,87.013,3.69E+05,571.94,2.43E+06,172.66,7.33E+05,
073117Pdgfra_BJ5,13,TE,I,9489,416.97,233.75,10.938,681.05,6.46E+06,141.38,1.34E+06,72.32,6.86E+05,420.43,3.99E+06,108.74,1.03E+06,
073117Pdgfra_BJ5,14,TE,I,7857,236.32,246.2,12.344,1866.5,1.47E+07,127.46,1.00E+06,74.636,5.86E+05,541.67,4.26E+06,146.71,1.15E+06,
073117Pdgfra_BJ5,15,ICM,I,3660,157.09,290.75,11.472,2141.5,7.84E+06,1058.2,3.87E+06,97.362,3.56E+05,468.01,1.71E+06,1393.8,5.10E+06,
073117Pdgfra_BJ5,16,TE,I,8289,49.681,287.44,13.781,1532.3,1.27E+07,92.762,7.69E+05,65.487,5.43E+05,562.47,4.66E+06,113.52,9.41E+05,
