Embryo_ID,Cell_ID,TE_ICM,Cell_cycle,Size,X,Y,Z,CH1-Avg,CH1-Sum,CH2-Avg,CH2-Sum,CH3-Avg,CH3-Sum,CH4-Avg,CH4-Sum,CH5-Avg,CH5-Sum, 
040318FVB_F4,1,TE,I,10515,243.58,261.55,5.9551,2592,2.73E+07,548.34,5.77E+06,290.94,3.06E+06,539.15,5.67E+06,1051.2,1.11E+07,
040318FVB_F4,2,TE,I,8407,304.45,279.06,6.1675,2310.9,1.94E+07,739.26,6.22E+06,152.28,1.28E+06,491.22,4.13E+06,689.59,5.80E+06,
040318FVB_F4,3,TE,I,10698,311.16,233.32,12.002,2017.7,2.16E+07,397.97,4.26E+06,335.64,3.59E+06,561.82,6.01E+06,734.19,7.85E+06,
040318FVB_F4,4,TE,I,11681,206.76,308.52,9.9877,2329.3,2.72E+07,435.26,5.08E+06,320.62,3.75E+06,589.99,6.89E+06,688.08,8.04E+06,
040318FVB_F4,5,TE,I,7738,239.73,325.97,8.2944,2379.1,1.84E+07,744.52,5.76E+06,141.99,1.10E+06,523.17,4.05E+06,683.71,5.29E+06,
040318FVB_F4,6,ICM,I,18198,200.99,238.93,10.288,2314.4,4.21E+07,40.009,7.28E+05,470.98,8.57E+06,513.38,9.34E+06,1014.5,1.85E+07,
040318FVB_F4,7,TE,I,4923,285.14,325.24,13.013,3149.3,1.55E+07,432.45,2.13E+06,124.01,6.11E+05,586.95,2.89E+06,562.06,2.77E+06,
040318FVB_F4,8,TE,I,7908,340.41,281.5,13.098,2244.8,1.78E+07,355.77,2.81E+06,162.1,1.28E+06,535.93,4.24E+06,657.72,5.20E+06,
040318FVB_F4,9,ICM,I,16534,264.22,233.59,15.681,1987.5,3.29E+07,27.868,4.61E+05,764.8,1.26E+07,558.34,9.23E+06,432.43,7.15E+06,
040318FVB_F4,10,TE,M,16276,138.73,243.16,18.46,2640.6,4.30E+07,100.53,1.64E+06,61.729,1.00E+06,593.28,9.66E+06,161.08,2.62E+06,
040318FVB_F4,12,TE,M,9935,263.87,307.53,19.263,2691,2.67E+07,147.85,1.47E+06,70.582,7.01E+05,539.54,5.36E+06,370.14,3.68E+06,
040318FVB_F4,13,ICM,I,9675,194.08,295.05,21.854,1607.1,1.55E+07,38.772,3.75E+05,698.37,6.76E+06,584.49,5.65E+06,651.79,6.31E+06,
040318FVB_F4,15,TE,I,8718,174.67,189.81,24.145,2275.8,1.98E+07,382.19,3.33E+06,316.31,2.76E+06,564.12,4.92E+06,681.85,5.94E+06,
040318FVB_F4,16,TE,I,10849,186.88,333.89,23.216,1453.1,1.58E+07,335.14,3.64E+06,129.69,1.41E+06,556.98,6.04E+06,355.22,3.85E+06,
040318FVB_F4,17,ICM,M,10225,265.58,185.11,24.67,2580.2,2.64E+07,25.977,2.66E+05,255.66,2.61E+06,515.76,5.27E+06,155.73,1.59E+06,
040318FVB_F4,18,ICM,M,8548,168.38,236.29,25.95,2978.4,2.55E+07,21.349,1.82E+05,176.37,1.51E+06,548.11,4.69E+06,148.39,1.27E+06,
040318FVB_F4,20,ICM,I,9185,228.34,257.12,24.407,1421.5,1.31E+07,23.81,2.19E+05,640.03,5.88E+06,510.79,4.69E+06,819.66,7.53E+06,
040318FVB_F4,21,TE,I,7363,346.44,291.3,25.283,1880.8,1.38E+07,274.07,2.02E+06,110.37,8.13E+05,509.12,3.75E+06,391.23,2.88E+06,
040318FVB_F4,23,TE,I,9852,327.58,337.08,28.403,1114.4,1.10E+07,381.06,3.75E+06,63.005,6.21E+05,572.88,5.64E+06,455.78,4.49E+06,
040318FVB_F4,24,ICM,M,8994,310.14,233.04,32.854,1921.9,1.73E+07,25.28,2.27E+05,78.699,7.08E+05,531.79,4.78E+06,300.96,2.71E+06,
040318FVB_F4,25,TE,I,8950,231.08,151.45,32.229,1948,1.74E+07,155.45,1.39E+06,343.55,3.07E+06,561.39,5.02E+06,517.7,4.63E+06,
040318FVB_F4,28,ICM,I,13026,212.72,301.1,33.374,1433.9,1.87E+07,28.526,3.72E+05,452.45,5.89E+06,528.63,6.89E+06,291.79,3.80E+06,
040318FVB_F4,29,ICM,I,18811,248.53,223.89,36.1,1084.2,2.04E+07,17.67,3.32E+05,480.99,9.05E+06,561.25,1.06E+07,455.57,8.57E+06,
040318FVB_F4,30,ICM,I,13231,201.3,185.3,36.388,1528.1,2.02E+07,30.466,4.03E+05,128.57,1.70E+06,590.17,7.81E+06,917.95,1.21E+07,
040318FVB_F4,32,ICM,I,7687,253.38,269.77,35.902,920.53,7.08E+06,17.648,1.36E+05,212.84,1.64E+06,579.24,4.45E+06,145.33,1.12E+06,
040318FVB_F4,33,TE,I,10308,317.65,163.38,39.061,1451.6,1.50E+07,246.84,2.54E+06,360.08,3.71E+06,556,5.73E+06,491.91,5.07E+06,
040318FVB_F4,34,ICM,I,17072,295.66,196.46,40.393,951.14,1.62E+07,16.766,2.86E+05,461.51,7.88E+06,542.41,9.26E+06,132.16,2.26E+06,
040318FVB_F4,35,TE,I,19713,357.73,301.23,38.113,873.6,1.72E+07,243.47,4.80E+06,165.75,3.27E+06,545.14,1.07E+07,357,7.04E+06,
040318FVB_F4,36,ICM,I,7531,327.35,271.49,38.754,976.75,7.36E+06,103,7.76E+05,77.678,5.85E+05,528.72,3.98E+06,275.74,2.08E+06,
040318FVB_F4,37,TE,I,11896,281.47,350.68,40.797,596.22,7.09E+06,214.43,2.55E+06,48.321,5.75E+05,512.93,6.10E+06,272.77,3.24E+06,
040318FVB_F4,38,ICM,I,6984,197.22,222.21,41.703,888.99,6.21E+06,16.59,1.16E+05,178.32,1.25E+06,482.27,3.37E+06,136.2,9.51E+05,
040318FVB_F4,39,TE,I,10334,241.7,332.85,42.662,554.22,5.73E+06,139.25,1.44E+06,77.269,7.99E+05,561.27,5.80E+06,188.79,1.95E+06,
040318FVB_F4,40,ICM,I,12709,199.18,273.76,44.034,682.96,8.68E+06,23.27,2.96E+05,119.17,1.51E+06,570.32,7.25E+06,564.36,7.17E+06,
040318FVB_F4,41,TE,I,25966,147.91,255.67,44.216,667.82,1.73E+07,135.67,3.52E+06,108.94,2.83E+06,583.14,1.51E+07,220.28,5.72E+06,
040318FVB_F4,42,ICM,I,15711,265.02,296.84,44.332,559.59,8.79E+06,19.27,3.03E+05,127.74,2.01E+06,505.04,7.93E+06,547.68,8.60E+06,
040318FVB_F4,43,TE,I,11991,345.41,236.94,48.108,591.32,7.09E+06,128.17,1.54E+06,172.04,2.06E+06,578.39,6.94E+06,280.51,3.36E+06,
040318FVB_F4,44,TE,I,19058,295.8,317.03,53.283,464.43,8.85E+06,109.07,2.08E+06,146.21,2.79E+06,575.85,1.10E+07,184.43,3.51E+06,
040318FVB_F4,45,ICM,I,15247,205.24,209.2,51.829,728.32,1.11E+07,15.129,2.31E+05,136.36,2.08E+06,528.25,8.05E+06,473.81,7.22E+06,
040318FVB_F4,46,TE,I,13476,208.98,169.31,54.736,912.72,1.23E+07,126.52,1.71E+06,142.9,1.93E+06,571.54,7.70E+06,189.21,2.55E+06,
040318FVB_F4,47,TE,I,9933,274.74,175.28,54.663,520.14,5.17E+06,55.52,5.51E+05,143.73,1.43E+06,524.11,5.21E+06,193.62,1.92E+06,
040318FVB_F4,48,ICM,I,20536,256.97,220.66,53.239,473.12,9.72E+06,14.29,2.93E+05,277.94,5.71E+06,549.39,1.13E+07,84.479,1.73E+06,
040318FVB_F4,49,TE,M,8551,311.11,249.43,57.053,750.33,6.42E+06,43.357,3.71E+05,36.366,3.11E+05,519.01,4.44E+06,109.03,9.32E+05,
040318FVB_F4,50,TE,M,9443,242.94,270.35,61.212,402.87,3.80E+06,33.866,3.20E+05,28.651,2.71E+05,533.16,5.03E+06,82.173,7.76E+05,
