Embryo_ID,Cell_ID,TE_ICM,Cell_cycle,Size,X,Y,Z,CH1-Avg,CH1-Sum,CH2-Avg,CH2-Sum,CH3-Avg,CH3-Sum,CH4-Avg,CH4-Sum,CH5-Avg,CH5-Sum, 
040318FVB_G10,1,TE,I,13461,144.37,255.87,5.782,2660.9,3.58E+07,822.63,1.11E+07,125.18,1.69E+06,534.55,7.20E+06,815.55,1.10E+07,
040318FVB_G10,2,TE,I,13950,257.63,215.21,6.7237,2923,4.08E+07,873.92,1.22E+07,71.525,9.98E+05,598.45,8.35E+06,831.18,1.16E+07,
040318FVB_G10,3,TE,M,6148,218.5,205.99,8.5519,2416.9,1.49E+07,375.04,2.31E+06,49.716,3.06E+05,521.42,3.21E+06,404.52,2.49E+06,
040318FVB_G10,4,TE,I,12816,206.88,284.96,7.4543,2743.7,3.52E+07,683.45,8.76E+06,131.89,1.69E+06,510.05,6.54E+06,541.65,6.94E+06,
040318FVB_G10,5,TE,I,16291,269.47,286.36,6.9974,2455.1,4.00E+07,558.46,9.10E+06,57.757,9.41E+05,573.19,9.34E+06,508.49,8.28E+06,
040318FVB_G10,6,TE,M,5348,159.22,202.82,7.1657,2706.4,1.45E+07,436.79,2.34E+06,78.482,4.20E+05,512.53,2.74E+06,445.03,2.38E+06,
040318FVB_G10,7,TE,I,11075,182.38,167.18,13.826,2678.2,2.97E+07,627.77,6.95E+06,176.88,1.96E+06,559.15,6.19E+06,638.23,7.07E+06,
040318FVB_G10,8,ICM,I,9410,170.99,254.77,11.858,2247.4,2.11E+07,52.733,4.96E+05,850.96,8.01E+06,529,4.98E+06,375.47,3.53E+06,
040318FVB_G10,9,TE,I,9668,111.74,188.87,15.839,2541,2.46E+07,697.14,6.74E+06,86.674,8.38E+05,548.14,5.30E+06,650.56,6.29E+06,
040318FVB_G10,10,ICM,I,9988,146.41,196.7,15.467,1976.6,1.97E+07,57.428,5.74E+05,1071,1.07E+07,518.08,5.17E+06,491.24,4.91E+06,
