Embryo_ID,Cell_ID,TE_ICM,Cell_cycle,Size,X,Y,Z,CH1-Avg,CH1-Sum,CH2-Avg,CH2-Sum,CH3-Avg,CH3-Sum,CH4-Avg,CH4-Sum,CH5-Avg,CH5-Sum, 
030918FVB_C2,1,TE,M,13425,233.47,212.37,8.0023,2957.7,3.97E+07,323.54,4.34E+06,78.201,1.05E+06,537.42,7.21E+06,441.01,5.92E+06,
030918FVB_C2,2,TE,I,15729,211.21,282.07,7.8352,2874.2,4.52E+07,782.34,1.23E+07,261.72,4.12E+06,552.39,8.69E+06,1005.8,1.58E+07,
030918FVB_C2,3,TE,I,14457,170.9,203.57,12.89,2988.6,4.32E+07,888,1.28E+07,80.57,1.16E+06,466.82,6.75E+06,649.49,9.39E+06,
030918FVB_C2,4,TE,I,20999,330.44,264.93,9.6295,1762.4,3.70E+07,540.82,1.14E+07,569.7,1.20E+07,560.42,1.18E+07,474.19,9.96E+06,
030918FVB_C2,5,TE,I,5019,254.02,318.48,12.736,3346.7,1.68E+07,973.54,4.89E+06,61.586,3.09E+05,514.3,2.58E+06,553.49,2.78E+06,
030918FVB_C2,6,TE,I,14475,289.33,186.34,16.062,2983.5,4.32E+07,819.25,1.19E+07,318.32,4.61E+06,545.72,7.90E+06,554.87,8.03E+06,
030918FVB_C2,7,ICM,I,11863,206.83,242.1,16.108,2444.9,2.90E+07,50.283,5.97E+05,811.12,9.62E+06,494,5.86E+06,627.87,7.45E+06,
030918FVB_C2,9,TE,I,13951,117.59,266.37,19.898,3137.1,4.38E+07,709.86,9.90E+06,136.36,1.90E+06,527.86,7.36E+06,717.41,1.00E+07,
030918FVB_C2,10,TE,I,6937,298.56,325.7,17.316,2471.6,1.71E+07,614.92,4.27E+06,60.226,4.18E+05,539.57,3.74E+06,511.51,3.55E+06,
030918FVB_C2,11,ICM,I,11017,157.91,272.24,18.186,2587.7,2.85E+07,30.429,3.35E+05,1054.4,1.16E+07,530.94,5.85E+06,250.24,2.76E+06,
030918FVB_C2,12,TE,I,14015,370.6,223.08,21.981,2523.9,3.54E+07,643.17,9.01E+06,280.76,3.93E+06,538.79,7.55E+06,402.36,5.64E+06,
030918FVB_C2,13,ICM,I,11707,217.55,289.96,19.171,2252.5,2.64E+07,71.129,8.33E+05,421.63,4.94E+06,515.91,6.04E+06,1515.7,1.77E+07,
030918FVB_C2,14,ICM,I,12003,231.41,197.38,22.48,2329.8,2.80E+07,48.641,5.84E+05,339.13,4.07E+06,510.5,6.13E+06,1212.3,1.46E+07,
