
Intensity Mean Ch=1 Img=1
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,NS-labs,TrackID,ID,
114.638,,Spot,1,Image 1,1,PRE,1000000000,0,
64.7279,,Spot,1,Image 1,1,DP,1000000001,1,
229.666,,Spot,1,Image 1,1,PRE,1000000002,2,
61.2165,,Spot,1,Image 1,1,DP,1000000003,3,
121.554,,Spot,1,Image 1,2,PRE,1000000000,5,
61.463,,Spot,1,Image 1,2,DP,1000000001,16,
204.209,,Spot,1,Image 1,2,PRE,1000000002,35,
42.3242,,Spot,1,Image 1,2,DP,1000000003,94,
132.539,,Spot,1,Image 1,3,PRE,1000000000,110,
61.3146,,Spot,1,Image 1,3,DP,1000000001,111,
224.445,,Spot,1,Image 1,3,PRE,1000000002,112,
41.8158,,Spot,1,Image 1,3,DP,1000000003,113,
155.778,,Spot,1,Image 1,4,PRE,1000000000,115,
61.5501,,Spot,1,Image 1,4,DP,1000000001,116,
225.646,,Spot,1,Image 1,4,PRE,1000000002,117,
38.8159,,Spot,1,Image 1,4,DP,1000000003,118,
154.505,,Spot,1,Image 1,5,PRE,1000000000,120,
57.8575,,Spot,1,Image 1,5,DP,1000000001,121,
214.331,,Spot,1,Image 1,5,PRE,1000000002,122,
44.5162,,Spot,1,Image 1,5,DP,1000000003,123,
151.112,,Spot,1,Image 1,6,PRE,1000000000,125,
63.742,,Spot,1,Image 1,6,DP,1000000001,126,
212.189,,Spot,1,Image 1,6,PRE,1000000002,127,
41.5596,,Spot,1,Image 1,6,DP,1000000003,128,
155.335,,Spot,1,Image 1,7,PRE,1000000000,130,
75.3401,,Spot,1,Image 1,7,DP,1000000001,131,
251.137,,Spot,1,Image 1,7,PRE,1000000002,132,
44.7028,,Spot,1,Image 1,7,DP,1000000003,133,
153.966,,Spot,1,Image 1,8,PRE,1000000000,135,
71.7554,,Spot,1,Image 1,8,DP,1000000001,136,
237.336,,Spot,1,Image 1,8,PRE,1000000002,137,
48.0094,,Spot,1,Image 1,8,DP,1000000003,138,
170.875,,Spot,1,Image 1,9,PRE,1000000000,140,
73.5,,Spot,1,Image 1,9,DP,1000000001,141,
235.407,,Spot,1,Image 1,9,PRE,1000000002,142,
46.8907,,Spot,1,Image 1,9,DP,1000000003,143,
169.062,,Spot,1,Image 1,10,PRE,1000000000,145,
66.3022,,Spot,1,Image 1,10,DP,1000000001,146,
248.192,,Spot,1,Image 1,10,PRE,1000000002,147,
40.4084,,Spot,1,Image 1,10,DP,1000000003,148,
156.309,,Spot,1,Image 1,11,PRE,1000000000,150,
66.6518,,Spot,1,Image 1,11,DP,1000000001,151,
212.334,,Spot,1,Image 1,11,PRE,1000000002,152,
48.3674,,Spot,1,Image 1,11,DP,1000000003,153,
170.329,,Spot,1,Image 1,12,Apoptosis;PRE,1000000000,155,
57.6674,,Spot,1,Image 1,12,DP,1000000001,156,
224.927,,Spot,1,Image 1,12,PRE,1000000002,157,
42.054,,Spot,1,Image 1,12,DP,1000000003,158,
59.6296,,Spot,1,Image 1,13,DP,1000000001,160,
219.543,,Spot,1,Image 1,13,PRE,1000000002,161,
37.4909,,Spot,1,Image 1,13,DP,1000000003,162,
68.4084,,Spot,1,Image 1,14,DP,1000000001,164,
243.448,,Spot,1,Image 1,14,PRE,1000000002,165,
38.7689,,Spot,1,Image 1,14,DP,1000000003,166,
63.7376,,Spot,1,Image 1,15,DP,1000000001,168,
228.412,,Spot,1,Image 1,15,PRE,1000000002,169,
47.2238,,Spot,1,Image 1,15,DP,1000000003,170,
71.7967,,Spot,1,Image 1,16,Apoptosis;DP,1000000001,172,
234.515,,Spot,1,Image 1,16,PRE,1000000002,173,
41.7765,,Spot,1,Image 1,16,DP;Mito,1000000003,174,
258.873,,Spot,1,Image 1,17,PRE,1000000002,176,
254.273,,Spot,1,Image 1,18,PRE,1000000002,178,
241.371,,Spot,1,Image 1,19,PRE,1000000002,180,
251.461,,Spot,1,Image 1,20,PRE,1000000002,182,
241.066,,Spot,1,Image 1,21,PRE,1000000002,184,
241.551,,Spot,1,Image 1,22,PRE,1000000002,186,
212.604,,Spot,1,Image 1,23,PRE,1000000002,188,
259.316,,Spot,1,Image 1,24,PRE,1000000002,189,
170.325,,Spot,1,Image 1,25,PRE,1000000002,190,
178.335,,Spot,1,Image 1,26,PRE,1000000002,191,
184.8,,Spot,1,Image 1,27,PRE,1000000002,192,
190.63,,Spot,1,Image 1,28,PRE,1000000002,193,
154.851,,Spot,1,Image 1,29,PRE,1000000002,194,
106.392,,Spot,1,Image 1,30,PRE,1000000002,195,
118.805,,Spot,1,Image 1,31,PRE,1000000002,196,
118.72,,Spot,1,Image 1,32,PRE,1000000002,197,
119.718,,Spot,1,Image 1,33,PRE,1000000002,198,
139.465,,Spot,1,Image 1,34,PRE,1000000002,199,
134.249,,Spot,1,Image 1,35,PRE,1000000002,200,
145.205,,Spot,1,Image 1,36,PRE,1000000002,201,
160.548,,Spot,1,Image 1,37,PRE,1000000002,202,
164.138,,Spot,1,Image 1,38,PRE,1000000002,203,
164.617,,Spot,1,Image 1,39,PRE,1000000002,204,
171.739,,Spot,1,Image 1,40,PRE,1000000002,205,
173.952,,Spot,1,Image 1,41,PRE,1000000002,206,
164.079,,Spot,1,Image 1,42,PRE,1000000002,207,
192.556,,Spot,1,Image 1,43,PRE,1000000002,208,
194.085,,Spot,1,Image 1,44,PRE,1000000002,209,
196.897,,Spot,1,Image 1,45,PRE,1000000002,210,
176.044,,Spot,1,Image 1,46,PRE,1000000002,211,
184.768,,Spot,1,Image 1,47,PRE,1000000002,212,
167.56,,Spot,1,Image 1,48,PRE,1000000002,213,
180.868,,Spot,1,Image 1,49,PRE,1000000002,214,
182.171,,Spot,1,Image 1,50,PRE,1000000002,215,
171.318,,Spot,1,Image 1,51,PRE,1000000002,216,
227.643,,Spot,1,Image 1,52,PRE,1000000002,217,
218.981,,Spot,1,Image 1,53,PRE,1000000002,218,
199.784,,Spot,1,Image 1,54,PRE,1000000002,219,
181.351,,Spot,1,Image 1,55,PRE,1000000002,220,
167.323,,Spot,1,Image 1,56,PRE,1000000002,221,
153.857,,Spot,1,Image 1,57,PRE,1000000002,222,
155.182,,Spot,1,Image 1,58,PRE,1000000002,223,
128.548,,Spot,1,Image 1,59,PRE,1000000002,224,
185.217,,Spot,1,Image 1,60,PRE,1000000002,225,
36.2703,,Spot,1,Image 1,19,DP;d1,1000000003,228,
34.0323,,Spot,1,Image 1,20,DP;d1,1000000003,229,
37.4481,,Spot,1,Image 1,17,DP;d1,1000000003,230,
