
Position
 ==================== 
Position X,Position Y,Position Z,Unit,Category,Collection,Time,NS-labs,TrackID,ID,
133.156,7004.68,1970.03,um,Spot,Position,1,DP,1000001085,1085,
143.123,7027.66,1928,um,Spot,Position,1,PRE,1000000000,0,
135.92,7024.32,1936.19,um,Spot,Position,1,PRE,1000000060,60,
117.824,7023.78,1936.27,um,Spot,Position,1,PRE,1000000116,116,
139.02,7011.29,1935.05,um,Spot,Position,1,PRE,1000000118,118,
150.912,7014.1,1941.93,um,Spot,Position,1,PRE,1000000148,148,
150.67,6997.86,1949.05,um,Spot,Position,1,PRE,1000000208,208,
167.193,7009.11,1941.9,um,Spot,Position,1,PRE,1000000268,268,
129.278,7013.4,1964.1,um,Spot,Position,1,PRE,1000000328,328,
130.108,7001.65,1962.02,um,Spot,Position,1,PRE,1000000331,331,
126.233,7011.72,1952.83,um,Spot,Position,1,PRE,1000000391,391,
141.479,7015.2,1950.68,um,Spot,Position,1,PRE,1000000417,417,
120.145,7038.21,1946.79,um,Spot,Position,1,PRE,1000000546,546,
132.613,7002.75,1965.69,um,Spot,Position,2,DP,1000001085,1086,
143.157,7025.72,1930.41,um,Spot,Position,2,PRE,1000000000,547,
134.536,7024.3,1935.9,um,Spot,Position,2,PRE,1000000060,548,
122.942,7025.72,1939.43,um,Spot,Position,2,PRE,1000000116,549,
137.125,7012.16,1932.5,um,Spot,Position,2,PRE,1000000118,550,
151.927,7013.54,1941.79,um,Spot,Position,2,PRE,1000000148,551,
149.038,6996.12,1947.05,um,Spot,Position,2,PRE,1000000208,552,
163.042,7007.37,1945.48,um,Spot,Position,2,PRE,1000000268,553,
130.108,7009.45,1961.28,um,Spot,Position,2,PRE,1000000328,554,
128.171,7000.16,1956,um,Spot,Position,2,PRE,1000000331,555,
126.51,7011.55,1951.76,um,Spot,Position,2,PRE,1000000391,556,
144.596,7011.33,1950.07,um,Spot,Position,2,PRE,1000000417,557,
117.377,7035.94,1945.85,um,Spot,Position,2,PRE,1000000546,559,
131.009,6998.87,1966.73,um,Spot,Position,3,DP,1000001085,1087,
141.833,7023.78,1933.88,um,Spot,Position,3,PRE,1000000000,560,
134.259,7021.52,1939.94,um,Spot,Position,3,PRE,1000000060,561,
136.104,7010.5,1931.02,um,Spot,Position,3,PRE,1000000118,562,
149.457,7011.05,1943.24,um,Spot,Position,3,PRE,1000000148,563,
147.987,6993.54,1947.05,um,Spot,Position,3,PRE,1000000208,564,
163.595,7004.46,1944.43,um,Spot,Position,3,PRE,1000000268,565,
127.617,6998.45,1957.69,um,Spot,Position,3,PRE,1000000331,567,
127.34,7008.91,1953.64,um,Spot,Position,3,PRE,1000000391,568,
146.599,7007.18,1951.84,um,Spot,Position,3,PRE,1000000417,569,
113.779,7038.54,1946.54,um,Spot,Position,3,PRE,1000000546,572,
129.479,7006.9,1963.59,um,Spot,Position,3,Apoptosis;PRE,1000000328,566,
133.951,6995.27,1972.84,um,Spot,Position,4,DP,1000001085,1088,
142.723,7019.52,1931.05,um,Spot,Position,4,PRE,1000000000,573,
138.687,7015.41,1948.31,um,Spot,Position,4,PRE,1000000060,574,
136.915,7009.67,1934.09,um,Spot,Position,4,PRE,1000000118,575,
151.045,7008.29,1944.98,um,Spot,Position,4,PRE,1000000148,576,
148.978,6991.95,1951.05,um,Spot,Position,4,PRE,1000000208,577,
165.809,7000.95,1947.82,um,Spot,Position,4,PRE,1000000268,578,
