
Time
 ==================== 
Time,Unit,Category,Time,NS-labs,TrackID,ID,
0,min,Spot,1,PRE;targeted,1000000001,1,
0,min,Spot,1,PRE;targeted,1000000002,2,
0,min,Spot,1,PRE;targeted,1000000003,3,
0,min,Spot,1,PRE;targeted,1000000004,4,
0,min,Spot,1,PRE;targeted,1000000005,5,
0,min,Spot,1,PRE;targeted,1000000006,6,
0,min,Spot,1,PRE;targeted,1000000007,7,
0,min,Spot,1,DP;targeted,1000000008,8,
0,min,Spot,1,PRE;targeted,1000000009,9,
0,min,Spot,1,DP;targeted,1000000010,10,
0,min,Spot,1,PRE;targeted,1000000079,79,
0,min,Spot,1,EPI,1000000306,306,
0,min,Spot,1,EPI,1000000308,308,
0,min,Spot,1,DP,1000000310,310,
0,min,Spot,1,DP,1000000311,311,
0,min,Spot,1,EPI,1000000312,312,
0,min,Spot,1,EPI,1000000313,313,
0,min,Spot,1,EPI,1000000315,315,
0,min,Spot,1,DP,1000000316,316,
0,min,Spot,1,DP,1000000318,318,
0,min,Spot,1,DP,1000000319,319,
0,min,Spot,1,DP,1000000320,320,
14.9547,min,Spot,2,PRE;targeted,1000000002,321,
14.9547,min,Spot,2,PRE;targeted,1000000001,322,
14.9547,min,Spot,2,PRE;targeted,1000000005,323,
14.9547,min,Spot,2,PRE;targeted,1000000004,324,
14.9547,min,Spot,2,PRE;targeted,1000000079,325,
14.9547,min,Spot,2,PRE;targeted,1000000003,326,
14.9547,min,Spot,2,PRE;targeted,1000000006,327,
14.9547,min,Spot,2,DP;targeted,1000000010,328,
14.9547,min,Spot,2,PRE;targeted,1000000009,329,
14.9547,min,Spot,2,PRE;targeted,1000000007,330,
14.9547,min,Spot,2,DP;targeted,1000000008,331,
14.9547,min,Spot,2,EPI,1000000306,332,
14.9547,min,Spot,2,DP,1000000311,405,
14.9547,min,Spot,2,EPI;Mito,1000000312,442,
14.9547,min,Spot,2,DP,1000000318,546,
14.9547,min,Spot,2,DP,1000000319,587,
14.9547,min,Spot,2,EPI,1000000313,646,
14.9547,min,Spot,2,EPI,1000000315,724,
14.9547,min,Spot,2,DP,1000000310,828,
14.9547,min,Spot,2,EPI,1000000308,939,
14.9547,min,Spot,2,DP,1000000320,1045,
14.9547,min,Spot,2,DP,1000000316,1104,
29.9197,min,Spot,3,PRE;targeted,1000000002,1105,
29.9197,min,Spot,3,PRE;targeted,1000000001,1106,
29.9197,min,Spot,3,PRE;targeted,1000000005,1107,
29.9197,min,Spot,3,PRE;targeted,1000000004,1108,
29.9197,min,Spot,3,PRE;targeted,1000000079,1109,
29.9197,min,Spot,3,PRE;targeted,1000000003,1110,
29.9197,min,Spot,3,PRE;targeted,1000000006,1111,
29.9197,min,Spot,3,DP;targeted,1000000010,1112,
29.9197,min,Spot,3,PRE;targeted,1000000009,1113,
29.9197,min,Spot,3,PRE;targeted,1000000007,1114,
29.9197,min,Spot,3,DP;targeted,1000000008,1115,
29.9197,min,Spot,3,EPI,1000000306,1116,
29.9197,min,Spot,3,DP,1000000311,1117,
29.9197,min,Spot,3,EPI;d1,1000000312,1118,
29.9197,min,Spot,3,EPI;d2,1000000312,1119,
29.9197,min,Spot,3,DP,1000000318,1120,
29.9197,min,Spot,3,DP,1000000319,1121,
29.9197,min,Spot,3,EPI,1000000313,1122,
29.9197,min,Spot,3,EPI,1000000315,1123,
29.9197,min,Spot,3,DP,1000000310,1124,
29.9197,min,Spot,3,EPI;d1,1000001125,1125,
29.9197,min,Spot,3,EPI,1000000308,1126,
29.9197,min,Spot,3,DP,1000000320,1127,
29.9197,min,Spot,3,DP,1000000316,1128,
44.8855,min,Spot,4,PRE;targeted,1000000002,1129,
44.8855,min,Spot,4,PRE;targeted,1000000001,1130,
44.8855,min,Spot,4,PRE;targeted,1000000005,1131,
44.8855,min,Spot,4,PRE;targeted,1000000004,1132,
44.8855,min,Spot,4,PRE;targeted,1000000079,1133,
44.8855,min,Spot,4,PRE;targeted,1000000003,1134,
44.8855,min,Spot,4,PRE;targeted,1000000006,1135,
44.8855,min,Spot,4,DP;targeted,1000000010,1136,
44.8855,min,Spot,4,PRE;targeted,1000000009,1137,
44.8855,min,Spot,4,PRE;targeted,1000000007,1138,
44.8855,min,Spot,4,Apoptosis;DP;targeted,1000000008,1139,
44.8855,min,Spot,4,EPI;Mito,1000000306,1140,
44.8855,min,Spot,4,DP,1000000311,1141,
44.8855,min,Spot,4,EPI;d1,1000000312,1142,
44.8855,min,Spot,4,EPI;d2,1000000312,1143,
44.8855,min,Spot,4,DP,1000000318,1144,
44.8855,min,Spot,4,DP,1000000319,1145,
44.8855,min,Spot,4,EPI,1000000313,1146,
44.8855,min,Spot,4,EPI,1000000315,1147,
44.8855,min,Spot,4,DP,1000000310,1148,
44.8855,min,Spot,4,EPI;d1,1000001125,1149,
44.8855,min,Spot,4,EPI,1000000308,1150,
44.8855,min,Spot,4,DP,1000000320,1151,
44.8855,min,Spot,4,DP,1000000316,1152,
59.8507,min,Spot,5,PRE;targeted,1000000002,1153,
59.8507,min,Spot,5,PRE;targeted,1000000001,1154,
