
Intensity Median Ch=2 Img=1
 ==================== 
Intensity Median,Unit,Category,Channel,Image,Time,NS-labs,TrackID,ID,
211.476,,Spot,2,Image 1,1,DP,1000000000,0,
189.6,,Spot,2,Image 1,1,PRE,1000000001,1,
203.092,,Spot,2,Image 1,1,DP,1000000002,2,
154.88,,Spot,2,Image 1,1,PRE,1000000003,3,
344.057,,Spot,2,Image 1,1,PRE,1000000004,4,
233.016,,Spot,2,Image 1,1,PRE,1000000005,5,
185.919,,Spot,2,Image 1,1,PRE,1000000006,6,
230.056,,Spot,2,Image 1,1,DP,1000000007,7,
191.08,,Spot,2,Image 1,1,DP,1000000008,8,
197.916,,Spot,2,Image 1,1,DP,1000000009,9,
103.04,,Spot,2,Image 1,1,PRE,1000000010,10,
175.092,,Spot,2,Image 1,1,PRE,1000000011,11,
143.09,,Spot,2,Image 1,1,PRE,1000000012,12,
125.966,,Spot,2,Image 1,1,PRE,1000000013,13,
146.12,,Spot,2,Image 1,1,PRE,1000000014,14,
107.9,,Spot,2,Image 1,1,PRE,1000000015,15,
87.072,,Spot,2,Image 1,1,PRE,1000000016,16,
100.052,,Spot,2,Image 1,1,PRE,1000000017,17,
130,,Spot,2,Image 1,1,DP,1000000018,18,
127.484,,Spot,2,Image 1,1,DP,1000000019,19,
150.12,,Spot,2,Image 1,1,DP,1000000020,20,
157.11,,Spot,2,Image 1,1,DP,1000000022,22,
133.09,,Spot,2,Image 1,1,DP,1000000023,23,
120.88,,Spot,2,Image 1,1,DP,1000000024,24,
160.496,,Spot,2,Image 1,1,DP,1000000025,25,
176.048,,Spot,2,Image 1,1,DP,1000000026,26,
119.068,,Spot,2,Image 1,1,DP,1000000027,27,
55.985,,Spot,2,Image 1,1,EPI;targeted,1000003049,3049,
161.04,,Spot,2,Image 1,2,PRE,1000000003,3050,
193.932,,Spot,2,Image 1,2,PRE,1000000006,3051,
222.96,,Spot,2,Image 1,2,DP,1000000002,3052,
244.96,,Spot,2,Image 1,2,DP,1000000007,3053,
233.88,,Spot,2,Image 1,2,PRE,1000000005,3054,
185.804,,Spot,2,Image 1,2,DP,1000000008,3055,
198.892,,Spot,2,Image 1,2,DP;Mito,1000000000,3056,
343.088,,Spot,2,Image 1,2,PRE,1000000004,3057,
131.152,,Spot,2,Image 1,2,PRE,1000000011,3058,
101.004,,Spot,2,Image 1,2,PRE,1000000015,3059,
152.068,,Spot,2,Image 1,2,PRE,1000000014,3060,
97.976,,Spot,2,Image 1,2,PRE,1000000017,3061,
91.008,,Spot,2,Image 1,2,PRE,1000000016,3062,
135.92,,Spot,2,Image 1,2,PRE,1000000013,3063,
175.928,,Spot,2,Image 1,2,PRE,1000000012,3064,
182.192,,Spot,2,Image 1,2,DP,1000000009,3065,
110.944,,Spot,2,Image 1,2,DP,1000000018,3066,
141.976,,Spot,2,Image 1,2,DP,1000000020,3067,
134,,Spot,2,Image 1,2,DP,1000000019,3068,
114.9,,Spot,2,Image 1,2,PRE,1000000010,3069,
217.01,,Spot,2,Image 1,2,Mito;PRE,1000000001,3070,
169.496,,Spot,2,Image 1,2,DP,1000000022,3071,
135.064,,Spot,2,Image 1,2,DP,1000000024,3072,
141.202,,Spot,2,Image 1,2,DP,1000000023,3073,
155,,Spot,2,Image 1,2,DP,1000000025,3074,
172.56,,Spot,2,Image 1,2,DP,1000000026,3075,
117.032,,Spot,2,Image 1,2,DP,1000000027,3076,
59.02,,Spot,2,Image 1,2,EPI;targeted,1000003049,3077,
156.017,,Spot,2,Image 1,3,PRE,1000000003,3078,
185.984,,Spot,2,Image 1,3,PRE,1000000006,3079,
189,,Spot,2,Image 1,3,DP,1000000002,3080,
216,,Spot,2,Image 1,3,DP,1000000007,3081,
219.148,,Spot,2,Image 1,3,PRE,1000000005,3082,
181.458,,Spot,2,Image 1,3,DP,1000000008,3083,
236.432,,Spot,2,Image 1,3,DP;d1,1000000000,3084,
227.64,,Spot,2,Image 1,3,DP;d2,1000000000,3085,
316.84,,Spot,2,Image 1,3,PRE,1000000004,3086,
124.916,,Spot,2,Image 1,3,PRE,1000000011,3087,
104.04,,Spot,2,Image 1,3,PRE,1000000015,3088,
144.012,,Spot,2,Image 1,3,PRE,1000000014,3089,
92.48,,Spot,2,Image 1,3,PRE,1000000017,3090,
88.14,,Spot,2,Image 1,3,PRE,1000000016,3091,
124.044,,Spot,2,Image 1,3,PRE,1000000013,3092,
169,,Spot,2,Image 1,3,PRE,1000000012,3093,
186.984,,Spot,2,Image 1,3,DP,1000000009,3094,
101.02,,Spot,2,Image 1,3,DP,1000000018,3095,
145.392,,Spot,2,Image 1,3,DP,1000000020,3096,
132.872,,Spot,2,Image 1,3,DP,1000000019,3097,
113.968,,Spot,2,Image 1,3,PRE,1000000010,3098,
168.972,,Spot,2,Image 1,3,PRE;d2,1000000001,3099,
190.52,,Spot,2,Image 1,3,PRE;d1,1000000001,3100,
171.05,,Spot,2,Image 1,3,DP,1000000022,3101,
130.488,,Spot,2,Image 1,3,DP,1000000024,3102,
154.935,,Spot,2,Image 1,3,DP,1000000023,3103,
171.106,,Spot,2,Image 1,3,DP,1000000025,3104,
190.008,,Spot,2,Image 1,3,DP,1000000026,3105,
116.066,,Spot,2,Image 1,3,DP,1000000027,3106,
60.012,,Spot,2,Image 1,3,EPI;targeted,1000003049,3107,
145.984,,Spot,2,Image 1,4,PRE,1000000003,3108,
179.945,,Spot,2,Image 1,4,PRE,1000000006,3109,
207.473,,Spot,2,Image 1,4,DP,1000000002,3110,
208,,Spot,2,Image 1,4,DP,1000000007,3111,
203.114,,Spot,2,Image 1,4,PRE,1000000005,3112,
170.136,,Spot,2,Image 1,4,DP,1000000008,3113,
281.8,,Spot,2,Image 1,4,DP;d2,1000000000,3114,
