
Intensity Min Ch=2 Img=1
 ==================== 
Intensity Min,Unit,Category,Channel,Image,Time,NS-labs,TrackID,ID,
65,,Spot,2,Image 1,1,PRE,1000000000,0,
35,,Spot,2,Image 1,1,PRE,1000000001,1,
28,,Spot,2,Image 1,1,PRE,1000000002,2,
42,,Spot,2,Image 1,1,PRE,1000000003,3,
28,,Spot,2,Image 1,1,PRE,1000000004,4,
41,,Spot,2,Image 1,1,PRE,1000000005,5,
55,,Spot,2,Image 1,1,PRE,1000000006,6,
23,,Spot,2,Image 1,1,PRE,1000000007,7,
19,,Spot,2,Image 1,1,PRE,1000000008,8,
18,,Spot,2,Image 1,1,PRE,1000000009,9,
83,,Spot,2,Image 1,1,PRE,1000000010,10,
21,,Spot,2,Image 1,1,PRE,1000000011,11,
71,,Spot,2,Image 1,1,PRE,1000000012,12,
28,,Spot,2,Image 1,1,PRE,1000000013,13,
27,,Spot,2,Image 1,1,PRE,1000000014,14,
19,,Spot,2,Image 1,1,DP,1000000015,15,
23,,Spot,2,Image 1,1,DP,1000000016,16,
37,,Spot,2,Image 1,1,DP,1000000017,17,
66,,Spot,2,Image 1,1,DP,1000000018,18,
63,,Spot,2,Image 1,1,DP,1000000019,19,
42,,Spot,2,Image 1,1,DP,1000000020,20,
61,,Spot,2,Image 1,1,DP,1000000021,21,
64,,Spot,2,Image 1,1,DP,1000000022,22,
30,,Spot,2,Image 1,1,DP,1000000023,23,
17,,Spot,2,Image 1,1,DP,1000000024,24,
23,,Spot,2,Image 1,1,DP,1000000025,25,
16,,Spot,2,Image 1,1,DP,1000000026,26,
21,,Spot,2,Image 1,1,DP,1000000027,27,
21,,Spot,2,Image 1,1,DP,1000000028,28,
73,,Spot,2,Image 1,1,DP,1000000029,29,
70,,Spot,2,Image 1,1,DP,1000000030,30,
42,,Spot,2,Image 1,2,DP,1000000023,31,
9,,Spot,2,Image 1,2,DP,1000000025,48,
22,,Spot,2,Image 1,2,DP,1000000024,114,
34,,Spot,2,Image 1,2,DP,1000000026,134,
38,,Spot,2,Image 1,2,DP,1000000019,214,
50,,Spot,2,Image 1,2,DP,1000000021,244,
29,,Spot,2,Image 1,2,DP,1000000028,322,
19,,Spot,2,Image 1,2,DP,1000000015,349,
59,,Spot,2,Image 1,2,DP,1000000030,366,
17,,Spot,2,Image 1,2,DP,1000000027,418,
55,,Spot,2,Image 1,2,DP,1000000022,423,
27,,Spot,2,Image 1,2,DP,1000000018,477,
10,,Spot,2,Image 1,2,DP,1000000017,479,
17,,Spot,2,Image 1,2,DP,1000000016,531,
91,,Spot,2,Image 1,2,DP,1000000020,559,
39,,Spot,2,Image 1,2,PRE,1000000013,656,
30,,Spot,2,Image 1,2,PRE,1000000014,704,
83,,Spot,2,Image 1,2,PRE,1000000012,787,
29,,Spot,2,Image 1,2,PRE,1000000009,804,
29,,Spot,2,Image 1,2,PRE,1000000008,855,
52,,Spot,2,Image 1,2,DP,1000000029,941,
44,,Spot,2,Image 1,2,PRE,1000000006,957,
26,,Spot,2,Image 1,2,PRE,1000000007,1022,
35,,Spot,2,Image 1,2,PRE,1000000011,1087,
15,,Spot,2,Image 1,2,PRE,1000000005,1152,
54,,Spot,2,Image 1,2,PRE,1000000002,1182,
34,,Spot,2,Image 1,2,PRE,1000000000,1211,
42,,Spot,2,Image 1,2,PRE,1000000003,1268,
43,,Spot,2,Image 1,2,PRE,1000000001,1341,
52,,Spot,2,Image 1,2,PRE,1000000010,1427,
26,,Spot,2,Image 1,2,PRE,1000000004,1553,
45,,Spot,2,Image 1,3,DP,1000000023,1554,
16,,Spot,2,Image 1,3,DP,1000000025,1555,
21,,Spot,2,Image 1,3,DP,1000000024,1556,
19,,Spot,2,Image 1,3,DP,1000000026,1557,
30,,Spot,2,Image 1,3,DP,1000000019,1558,
62,,Spot,2,Image 1,3,DP,1000000021,1559,
25,,Spot,2,Image 1,3,DP,1000000028,1560,
10,,Spot,2,Image 1,3,DP,1000000015,1561,
28,,Spot,2,Image 1,3,DP,1000000030,1562,
28,,Spot,2,Image 1,3,DP,1000000027,1563,
39,,Spot,2,Image 1,3,DP,1000000022,1564,
86,,Spot,2,Image 1,3,Apoptosis;DP,1000000018,1565,
40,,Spot,2,Image 1,3,DP,1000000017,1566,
5,,Spot,2,Image 1,3,DP,1000000016,1567,
49,,Spot,2,Image 1,3,DP,1000000020,1568,
42,,Spot,2,Image 1,3,PRE,1000000013,1569,
17,,Spot,2,Image 1,3,PRE,1000000014,1570,
64,,Spot,2,Image 1,3,PRE,1000000012,1571,
34,,Spot,2,Image 1,3,PRE,1000000009,1572,
22,,Spot,2,Image 1,3,PRE,1000000008,1573,
42,,Spot,2,Image 1,3,DP,1000000029,1574,
16,,Spot,2,Image 1,3,PRE,1000000006,1575,
48,,Spot,2,Image 1,3,PRE,1000000007,1576,
30,,Spot,2,Image 1,3,PRE,1000000011,1577,
22,,Spot,2,Image 1,3,PRE,1000000005,1578,
47,,Spot,2,Image 1,3,PRE,1000000002,1579,
36,,Spot,2,Image 1,3,PRE,1000000000,1580,
15,,Spot,2,Image 1,3,PRE,1000000003,1581,
19,,Spot,2,Image 1,3,PRE,1000000001,1582,
73,,Spot,2,Image 1,3,PRE,1000000010,1583,
18,,Spot,2,Image 1,3,PRE,1000000004,1584,
39,,Spot,2,Image 1,4,DP,1000000023,1585,
18,,Spot,2,Image 1,4,DP,1000000025,1586,
28,,Spot,2,Image 1,4,DP,1000000024,1587,
17,,Spot,2,Image 1,4,DP,1000000026,1588,
20,,Spot,2,Image 1,4,DP,1000000019,1589,
46,,Spot,2,Image 1,4,DP,1000000021,1590,
21,,Spot,2,Image 1,4,DP,1000000028,1591,
12,,Spot,2,Image 1,4,DP,1000000015,1592,
50,,Spot,2,Image 1,4,DP,1000000030,1593,
33,,Spot,2,Image 1,4,DP,1000000027,1594,
60,,Spot,2,Image 1,4,DP,1000000022,1595,
39,,Spot,2,Image 1,4,DP,1000000017,1596,
11,,Spot,2,Image 1,4,DP,1000000016,1597,
29,,Spot,2,Image 1,4,DP,1000000020,1598,
39,,Spot,2,Image 1,4,PRE,1000000013,1599,
16,,Spot,2,Image 1,4,PRE,1000000014,1600,
40,,Spot,2,Image 1,4,PRE,1000000012,1601,
27,,Spot,2,Image 1,4,PRE,1000000009,1602,
26,,Spot,2,Image 1,4,PRE,1000000008,1603,
14,,Spot,2,Image 1,4,DP,1000000029,1604,
44,,Spot,2,Image 1,4,PRE,1000000006,1605,
31,,Spot,2,Image 1,4,PRE,1000000007,1606,
29,,Spot,2,Image 1,4,PRE,1000000011,1607,
31,,Spot,2,Image 1,4,PRE,1000000005,1608,
24,,Spot,2,Image 1,4,PRE,1000000002,1609,
52,,Spot,2,Image 1,4,PRE,1000000000,1610,
57,,Spot,2,Image 1,4,PRE,1000000003,1611,
40,,Spot,2,Image 1,4,PRE,1000000001,1612,
21,,Spot,2,Image 1,4,PRE,1000000010,1613,
31,,Spot,2,Image 1,4,PRE,1000000004,1614,
40,,Spot,2,Image 1,5,DP,1000000023,1615,
13,,Spot,2,Image 1,5,DP,1000000025,1616,
42,,Spot,2,Image 1,5,DP,1000000024,1617,
18,,Spot,2,Image 1,5,DP,1000000026,1618,
45,,Spot,2,Image 1,5,DP,1000000019,1619,
60,,Spot,2,Image 1,5,DP,1000000021,1620,
26,,Spot,2,Image 1,5,DP,1000000028,1621,
6,,Spot,2,Image 1,5,DP,1000000015,1622,
61,,Spot,2,Image 1,5,DP,1000000030,1623,
27,,Spot,2,Image 1,5,DP,1000000027,1624,
31,,Spot,2,Image 1,5,DP,1000000022,1625,
29,,Spot,2,Image 1,5,DP,1000000017,1626,
45,,Spot,2,Image 1,5,DP,1000000016,1627,
40,,Spot,2,Image 1,5,DP,1000000020,1628,
35,,Spot,2,Image 1,5,PRE,1000000013,1629,
21,,Spot,2,Image 1,5,PRE,1000000014,1630,
