
Position
 ==================== 
Position X,Position Y,Position Z,Unit,Category,Collection,Time,NS-labs,TrackID,ID,
27721.8,29602.6,-1186.43,um,Spot,Position,1,PRE,1000000000,0,
27701.9,29595.7,-1196.1,um,Spot,Position,1,PRE,1000000077,77,
27704.1,29612.9,-1187.55,um,Spot,Position,1,PRE,1000000144,144,
27694.2,29600.9,-1163.13,um,Spot,Position,1,PRE,1000000384,384,
27688.9,29594.4,-1169.76,um,Spot,Position,1,PRE,1000000466,466,
27723.2,29605.3,-1187.98,um,Spot,Position,2,PRE,1000000000,145,
27702.9,29598.5,-1196.33,um,Spot,Position,2,PRE,1000000077,146,
27706.3,29618.2,-1187.16,um,Spot,Position,2,PRE,1000000144,147,
27695.6,29607.6,-1161.91,um,Spot,Position,2,PRE,1000000384,385,
27690.4,29599.4,-1165.86,um,Spot,Position,2,PRE,1000000466,467,
27720.7,29608.7,-1192,um,Spot,Position,3,PRE,1000000000,148,
27703.8,29601.6,-1199.2,um,Spot,Position,3,PRE,1000000077,149,
27705.7,29621.8,-1191.14,um,Spot,Position,3,PRE,1000000144,150,
27692.3,29610.8,-1167.28,um,Spot,Position,3,PRE,1000000384,386,
27687.8,29604.7,-1172.31,um,Spot,Position,3,PRE,1000000466,468,
27723.8,29607.6,-1186.45,um,Spot,Position,4,PRE,1000000000,151,
27709,29600.4,-1197.47,um,Spot,Position,4,PRE,1000000077,152,
27708.2,29624.5,-1191.08,um,Spot,Position,4,PRE,1000000144,153,
27694.8,29615.2,-1168.66,um,Spot,Position,4,PRE,1000000384,387,
27691.2,29607.6,-1173.73,um,Spot,Position,4,PRE,1000000466,469,
27728.8,29608.1,-1181.59,um,Spot,Position,5,PRE,1000000000,154,
27710.5,29602.4,-1191.07,um,Spot,Position,5,PRE,1000000077,155,
27714.1,29628.4,-1190.67,um,Spot,Position,5,PRE,1000000144,156,
27699.5,29621.7,-1166.84,um,Spot,Position,5,PRE,1000000384,388,
27695.6,29614.1,-1169.5,um,Spot,Position,5,PRE,1000000466,470,
27731,29611.5,-1183.03,um,Spot,Position,6,PRE,1000000000,157,
27713.2,29606.8,-1188.11,um,Spot,Position,6,PRE,1000000077,158,
27720,29632.6,-1186.68,um,Spot,Position,6,PRE,1000000144,159,
27699.5,29626.3,-1164.52,um,Spot,Position,6,PRE,1000000384,389,
27697.2,29619,-1170.84,um,Spot,Position,6,PRE,1000000466,471,
27731.8,29615.3,-1185.41,um,Spot,Position,7,PRE,1000000000,160,
27716.7,29607.9,-1183.45,um,Spot,Position,7,PRE,1000000077,161,
27723,29633.1,-1186.31,um,Spot,Position,7,PRE,1000000144,162,
27698.9,29625.6,-1165.77,um,Spot,Position,7,PRE,1000000384,390,
27700,29619.6,-1169.55,um,Spot,Position,7,PRE,1000000466,472,
27731.8,29617.1,-1184.67,um,Spot,Position,8,PRE,1000000000,163,
27718.7,29608.2,-1181.52,um,Spot,Position,8,PRE,1000000077,164,
27723.7,29634.5,-1186.8,um,Spot,Position,8,PRE,1000000144,165,
27700.6,29628.7,-1170.29,um,Spot,Position,8,PRE,1000000384,391,
27703.3,29622.5,-1168.69,um,Spot,Position,8,PRE,1000000466,473,
27732.6,29617.4,-1183.12,um,Spot,Position,9,PRE,1000000000,166,
27719.8,29611.8,-1183.87,um,Spot,Position,9,PRE,1000000077,167,
27726.4,29635.9,-1186.89,um,Spot,Position,9,PRE,1000000144,168,
27698.9,29629.8,-1173.47,um,Spot,Position,9,PRE,1000000384,392,
27702.5,29623.9,-1168.89,um,Spot,Position,9,PRE,1000000466,474,
27727.4,29614.4,-1181,um,Spot,Position,10,PRE,1000000000,169,
27713.5,29609.6,-1185.47,um,Spot,Position,10,PRE,1000000077,170,
27722.7,29632,-1186.98,um,Spot,Position,10,PRE,1000000144,171,
27695.6,29625.1,-1176.96,um,Spot,Position,10,PRE,1000000384,393,
27700.8,29619.1,-1169.42,um,Spot,Position,10,PRE,1000000466,475,
27725.4,29612.1,-1179.22,um,Spot,Position,11,PRE,1000000000,172,
27708.1,29610.7,-1188.28,um,Spot,Position,11,PRE,1000000077,173,
27717.7,29627.6,-1183.92,um,Spot,Position,11,PRE,1000000144,174,
27691.7,29618.8,-1173.24,um,Spot,Position,11,PRE,1000000384,394,
27698.1,29613.5,-1167.6,um,Spot,Position,11,PRE,1000000466,476,
27724.9,29613.8,-1177.08,um,Spot,Position,12,PRE,1000000000,175,
27705.5,29612.9,-1186.34,um,Spot,Position,12,PRE,1000000077,176,
27718.2,29628.7,-1179.95,um,Spot,Position,12,PRE,1000000144,177,
27690.1,29618.8,-1173.13,um,Spot,Position,12,PRE,1000000384,395,
27694.2,29612.7,-1163.27,um,Spot,Position,12,PRE,1000000466,477,
27720.7,29611.3,-1173.78,um,Spot,Position,13,PRE,1000000000,178,
27702,29611.5,-1183.6,um,Spot,Position,13,PRE,1000000077,179,
27718.2,29629,-1174.88,um,Spot,Position,13,PRE,1000000144,180,
27689.5,29616.3,-1174,um,Spot,Position,13,PRE,1000000384,396,
27690.6,29611.4,-1164.37,um,Spot,Position,13,PRE,1000000466,478,
27726.3,29610.1,-1175.06,um,Spot,Position,14,PRE,1000000000,181,
27705.4,29612.3,-1183.41,um,Spot,Position,14,PRE,1000000077,182,
27721.7,29629,-1174.1,um,Spot,Position,14,PRE,1000000144,183,
27691.7,29615.6,-1175.35,um,Spot,Position,14,PRE,1000000384,397,
27692.5,29612.3,-1163.68,um,Spot,Position,14,PRE,1000000466,479,
27729,29604,-1175.49,um,Spot,Position,15,PRE,1000000000,184,
27704,29609.3,-1185.87,um,Spot,Position,15,PRE,1000000077,185,
27720.6,29625.1,-1172.61,um,Spot,Position,15,PRE,1000000144,186,
27688.7,29613.4,-1177.91,um,Spot,Position,15,PRE,1000000384,398,
27692,29607.1,-1167.48,um,Spot,Position,15,PRE,1000000466,480,
27734.9,29606.7,-1173.72,um,Spot,Position,16,PRE,1000000000,187,
27702.9,29611.6,-1185.87,um,Spot,Position,16,PRE,1000000077,188,
27719.9,29629.8,-1171.82,um,Spot,Position,16,PRE,1000000144,189,
27690.9,29614.7,-1175.02,um,Spot,Position,16,PRE,1000000384,399,
27695.6,29608.5,-1163.06,um,Spot,Position,16,PRE,1000000466,481,
27732.9,29607.8,-1169.36,um,Spot,Position,17,PRE,1000000000,190,
27697.8,29611.7,-1179.87,um,Spot,Position,17,PRE,1000000077,191,
27714.5,29627.8,-1165.89,um,Spot,Position,17,PRE,1000000144,192,
27685.3,29614.1,-1173.28,um,Spot,Position,17,PRE,1000000384,400,
27691.2,29606.9,-1160.61,um,Spot,Position,17,PRE,1000000466,482,
27731.3,29606.5,-1175.36,um,Spot,Position,18,PRE,1000000000,193,
27700.5,29611,-1193.87,um,Spot,Position,18,PRE,1000000077,194,
27718,29624.5,-1174.03,um,Spot,Position,18,PRE,1000000144,195,
27689.2,29614,-1181.4,um,Spot,Position,18,PRE,1000000384,401,
27693.9,29609.8,-1169.33,um,Spot,Position,18,PRE,1000000466,483,
27729.2,29605.7,-1177.02,um,Spot,Position,19,PRE,1000000000,196,
27704.5,29609.1,-1185.87,um,Spot,Position,19,PRE,1000000077,197,
27715.5,29622,-1171.72,um,Spot,Position,19,PRE,1000000144,198,
27692,29614,-1176.83,um,Spot,Position,19,PRE,1000000384,402,
27694.5,29607.8,-1165.84,um,Spot,Position,19,PRE,1000000466,484,
27741.2,29608.2,-1173.79,um,Spot,Position,20,PRE,1000000000,199,
27713.8,29613.6,-1181.87,um,Spot,Position,20,PRE,1000000077,200,
27723.1,29625.4,-1172.93,um,Spot,Position,20,PRE,1000000144,201,
27695.3,29619.4,-1175.62,um,Spot,Position,20,PRE,1000000384,403,
27702,29613.4,-1166.4,um,Spot,Position,20,PRE,1000000466,485,
27741.1,29605.7,-1170.81,um,Spot,Position,21,PRE,1000000000,202,
27714.1,29613.2,-1181.87,um,Spot,Position,21,PRE,1000000077,203,
27722.9,29623.4,-1169.31,um,Spot,Position,21,PRE,1000000144,204,
27687.6,29620.7,-1172.16,um,Spot,Position,21,PRE,1000000384,404,
27701,29611.6,-1166.56,um,Spot,Position,21,PRE,1000000466,486,
27747.1,29609,-1169.84,um,Spot,Position,22,PRE,1000000000,205,
27724.2,29608.8,-1178.81,um,Spot,Position,22,PRE,1000000077,206,
27729.7,29628.1,-1168.5,um,Spot,Position,22,PRE,1000000144,207,
27689.2,29624,-1167.19,um,Spot,Position,22,PRE,1000000384,405,
27705.4,29616.5,-1166.26,um,Spot,Position,22,Mito;PRE,1000000466,487,
27747.6,29606.8,-1168.97,um,Spot,Position,23,PRE,1000000000,208,
27731.8,29606,-1175.71,um,Spot,Position,23,PRE,1000000077,209,
27727.6,29628.1,-1164.39,um,Spot,Position,23,PRE,1000000144,210,
27688.1,29621.5,-1162.26,um,Spot,Position,23,PRE,1000000384,406,
27697,29616.3,-1163.23,um,Spot,Position,23,PRE;d1,1000000466,488,
27715.1,29611,-1160.02,um,Spot,Position,23,PRE;d2,1000000466,535,
27746.6,29605.4,-1165.89,um,Spot,Position,24,PRE,1000000000,211,
27730.8,29605.2,-1173.73,um,Spot,Position,24,PRE,1000000077,212,
27726.5,29629,-1159.69,um,Spot,Position,24,PRE,1000000144,213,
27686.5,29623.1,-1161.62,um,Spot,Position,24,PRE,1000000384,407,
27687.8,29616.7,-1158.86,um,Spot,Position,24,PRE;d1,1000000466,489,
27718.6,29612.1,-1150.03,um,Spot,Position,24,PRE;d2,1000000466,536,
27751.2,29601.6,-1160.82,um,Spot,Position,25,PRE,1000000000,214,
27732.8,29603.2,-1167.08,um,Spot,Position,25,PRE,1000000077,215,
27726.2,29625.9,-1155.87,um,Spot,Position,25,PRE,1000000144,216,
27687,29619.2,-1155.12,um,Spot,Position,25,PRE,1000000384,408,
27682,29611.8,-1150.62,um,Spot,Position,25,PRE;d1,1000000466,490,
27752.6,29600.4,-1158.12,um,Spot,Position,26,PRE,1000000000,217,
27736.2,29603.5,-1156.63,um,Spot,Position,26,PRE,1000000077,218,
27726.3,29622.3,-1149.92,um,Spot,Position,26,PRE,1000000144,219,
27684.2,29612.3,-1150.48,um,Spot,Position,26,PRE,1000000384,409,
27747.7,29598,-1157.91,um,Spot,Position,27,PRE,1000000000,220,
27731.5,29598.5,-1159.83,um,Spot,Position,27,PRE,1000000077,221,
27721.3,29617.6,-1153.14,um,Spot,Position,27,PRE,1000000144,222,
27684.2,29608.3,-1153.45,um,Spot,Position,27,PRE,1000000384,410,
27678.4,29598.3,-1151.1,um,Spot,Position,27,PRE;d1,1000000466,492,
27746.1,29600.2,-1159.8,um,Spot,Position,28,PRE,1000000000,223,
27728.9,29598,-1161.8,um,Spot,Position,28,PRE,1000000077,224,
27726.2,29620.1,-1157.03,um,Spot,Position,28,PRE,1000000144,225,
27686.2,29611.8,-1163.05,um,Spot,Position,28,PRE,1000000384,411,
27680.9,29602.7,-1154.73,um,Spot,Position,28,PRE;d1,1000000466,493,
27743.4,29598,-1162.36,um,Spot,Position,29,PRE,1000000000,226,
27727.4,29595.7,-1160.6,um,Spot,Position,29,PRE,1000000077,227,
27726.9,29618.2,-1159.56,um,Spot,Position,29,PRE,1000000144,228,
27689.5,29611.7,-1163.9,um,Spot,Position,29,PRE,1000000384,412,
27684.2,29602.5,-1154.59,um,Spot,Position,29,PRE;d1,1000000466,494,
27768.1,29621.7,-1167.96,um,Spot,Position,30,PRE,1000000000,229,
27746.1,29621.5,-1171.79,um,Spot,Position,30,PRE,1000000077,230,
27747.3,29641.7,-1181.01,um,Spot,Position,30,PRE,1000000144,231,
27706.7,29636.3,-1168.3,um,Spot,Position,30,PRE,1000000384,413,
27705,29630,-1154.94,um,Spot,Position,30,PRE;d1,1000000466,495,
27778,29627,-1175.33,um,Spot,Position,31,PRE,1000000000,232,
27755.4,29626.5,-1173.84,um,Spot,Position,31,PRE,1000000077,233,
27755.3,29647.2,-1184.32,um,Spot,Position,31,PRE,1000000144,234,
27713.9,29642.7,-1166.34,um,Spot,Position,31,PRE,1000000384,414,
27710.8,29633.8,-1151.02,um,Spot,Position,31,PRE;d1,1000000466,496,
27771.4,29627.1,-1170.1,um,Spot,Position,32,PRE,1000000000,235,
27754.1,29624,-1173.49,um,Spot,Position,32,PRE,1000000077,236,
27748,29645.3,-1181.11,um,Spot,Position,32,PRE,1000000144,237,
27705.3,29633.4,-1165.15,um,Spot,Position,32,PRE,1000000384,415,
27702,29624.2,-1150.1,um,Spot,Position,32,PRE;d1,1000000466,497,
27772.2,29630.8,-1168.65,um,Spot,Position,33,PRE,1000000000,238,
27757.6,29624.8,-1172.97,um,Spot,Position,33,PRE,1000000077,239,
27748.4,29648.1,-1181.53,um,Spot,Position,33,PRE,1000000144,240,
27704.4,29634.1,-1163.94,um,Spot,Position,33,PRE,1000000384,416,
27700.3,29625.4,-1150.6,um,Spot,Position,33,PRE;d1,1000000466,498,
27772.8,29633.1,-1165.58,um,Spot,Position,34,PRE,1000000000,241,
27760.9,29627.6,-1172.39,um,Spot,Position,34,PRE,1000000077,242,
27748.9,29651.4,-1177.81,um,Spot,Position,34,PRE,1000000144,243,
27704.2,29638.6,-1162.12,um,Spot,Position,34,PRE,1000000384,417,
27698.4,29628.2,-1150.11,um,Spot,Position,34,PRE;d1,1000000466,499,
27771.9,29630,-1171.5,um,Spot,Position,35,PRE,1000000000,244,
27757.7,29622.6,-1180.35,um,Spot,Position,35,PRE,1000000077,245,
27748.2,29646.4,-1186.71,um,Spot,Position,35,PRE,1000000144,246,
27710,29635.8,-1170.94,um,Spot,Position,35,PRE,1000000384,418,
27703.9,29630.3,-1156.54,um,Spot,Position,35,PRE;d1,1000000466,500,
27769.4,29640,-1174.47,um,Spot,Position,36,PRE,1000000000,247,
27759.5,29629,-1189.06,um,Spot,Position,36,PRE,1000000077,248,
27743.7,29651.6,-1193.97,um,Spot,Position,36,PRE,1000000144,249,
27704.4,29640.7,-1175.23,um,Spot,Position,36,PRE,1000000384,419,
27698.4,29633.6,-1161.56,um,Spot,Position,36,PRE;d1,1000000466,501,
27771.9,29642.4,-1170.23,um,Spot,Position,37,PRE,1000000000,250,
27773.4,29632.6,-1181.48,um,Spot,Position,37,PRE,1000000077,251,
27744.2,29649.7,-1189.35,um,Spot,Position,37,PRE,1000000144,252,
27703.6,29640.7,-1173.7,um,Spot,Position,37,PRE,1000000384,420,
27698.1,29632,-1159.68,um,Spot,Position,37,PRE;d1,1000000466,502,
27774.4,29641.8,-1171.92,um,Spot,Position,38,PRE,1000000000,253,
27777.9,29633.7,-1182.61,um,Spot,Position,38,PRE,1000000077,254,
27707.8,29644.1,-1174.57,um,Spot,Position,38,PRE,1000000384,421,
27750.9,29646.1,-1185.64,um,Spot,Position,38,Mito;PRE,1000000144,255,
27700.3,29636.1,-1157.88,um,Spot,Position,38,PRE;d1,1000000466,503,
27773,29644.3,-1171.53,um,Spot,Position,39,PRE,1000000000,256,
27777.9,29633.7,-1182.26,um,Spot,Position,39,PRE,1000000077,257,
27705.8,29645.8,-1175.59,um,Spot,Position,39,PRE,1000000384,422,
27744.9,29650.3,-1181.61,um,Spot,Position,39,PRE;d1,1000000144,258,
27698.6,29639,-1156.09,um,Spot,Position,39,PRE;d1,1000000466,504,
27758.7,29646.1,-1181.23,um,Spot,Position,39,PRE;d2,1000000144,259,
27773.3,29645.2,-1170.83,um,Spot,Position,40,PRE,1000000000,260,
27777.8,29633.1,-1178.28,um,Spot,Position,40,PRE,1000000077,261,
27704.4,29649.3,-1176.51,um,Spot,Position,40,PRE,1000000384,423,
27740.2,29658.6,-1185.7,um,Spot,Position,40,PRE;d1,1000000144,262,
27696.1,29641.8,-1158.32,um,Spot,Position,40,PRE;d1,1000000466,505,
27758.5,29653,-1189.35,um,Spot,Position,40,PRE;d2,1000000144,263,
27773.3,29645.4,-1167.09,um,Spot,Position,41,PRE,1000000000,264,
27777.9,29634.5,-1178.47,um,Spot,Position,41,PRE,1000000077,265,
27707.8,29650.3,-1169.18,um,Spot,Position,41,PRE,1000000384,424,
27737.2,29660.2,-1182.12,um,Spot,Position,41,PRE;d1,1000000144,266,
27695.3,29639.3,-1156.85,um,Spot,Position,41,PRE;d1,1000000466,506,
27753.6,29656.9,-1188.13,um,Spot,Position,41,PRE;d2,1000000144,267,
27773.6,29643.4,-1168.95,um,Spot,Position,42,PRE,1000000000,268,
27777.9,29632.8,-1182.27,um,Spot,Position,42,PRE,1000000077,269,
27708.6,29650,-1168.71,um,Spot,Position,42,PRE,1000000384,425,
27735,29659.7,-1183.97,um,Spot,Position,42,PRE;d1,1000000144,270,
27693.4,29637.7,-1158.06,um,Spot,Position,42,PRE;d1,1000000466,507,
27752.4,29656.4,-1189.07,um,Spot,Position,42,PRE;d2,1000000144,271,
27775.8,29642.5,-1167.62,um,Spot,Position,43,PRE,1000000000,272,
27777.3,29631.7,-1176.78,um,Spot,Position,43,PRE,1000000077,273,
27713.3,29655,-1171.34,um,Spot,Position,43,PRE,1000000384,426,
27738,29660.5,-1185.69,um,Spot,Position,43,PRE;d1,1000000144,274,
27695.9,29642,-1157,um,Spot,Position,43,PRE;d1,1000000466,508,
27754.4,29657.7,-1189.33,um,Spot,Position,43,PRE;d2,1000000144,275,
27770.6,29640.3,-1166.01,um,Spot,Position,44,PRE,1000000000,276,
27709.2,29648.4,-1171.35,um,Spot,Position,44,PRE,1000000384,427,
27774.2,29625.9,-1176.87,um,Spot,Position,44,Mito;PRE,1000000077,277,
27732.8,29656.1,-1185.16,um,Spot,Position,44,PRE;d1,1000000144,278,
27691.4,29633.2,-1157.38,um,Spot,Position,44,PRE;d1,1000000466,509,
27749.6,29654.7,-1185.98,um,Spot,Position,44,PRE;d2,1000000144,279,
27770,29639.6,-1165.39,um,Spot,Position,45,PRE,1000000000,280,
27706,29647.3,-1170.94,um,Spot,Position,45,PRE,1000000384,428,
27772.7,29634.8,-1175.88,um,Spot,Position,45,PRE;d1,1000000077,281,
27730.5,29656.1,-1185.65,um,Spot,Position,45,PRE;d1,1000000144,283,
27689.5,29632.2,-1156.9,um,Spot,Position,45,PRE;d1,1000000466,510,
27775.3,29622.4,-1178.79,um,Spot,Position,45,PRE;d2,1000000077,282,
27749.7,29655.8,-1186.25,um,Spot,Position,45,PRE;d2,1000000144,284,
27769.7,29640.6,-1163.9,um,Spot,Position,46,PRE,1000000000,285,
27705.5,29648.6,-1172.89,um,Spot,Position,46,PRE,1000000384,429,
27774.9,29634.2,-1175.41,um,Spot,Position,46,PRE;d1,1000000077,286,
27730.1,29657.2,-1187.59,um,Spot,Position,46,PRE;d1,1000000144,288,
27688.9,29631.3,-1154.95,um,Spot,Position,46,PRE;d1,1000000466,511,
27775.5,29624.1,-1181.98,um,Spot,Position,46,PRE;d2,1000000077,287,
