
Intensity Mean Ch=1 Img=1
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,NS-labs,TrackID,ID,
247.856,,Spot,1,Image 1,1,PRE,1000000000,0,
115.202,,Spot,1,Image 1,1,PRE,1000000087,87,
78.64,,Spot,1,Image 1,1,PRE,1000000122,122,
54.5402,,Spot,1,Image 1,1,PRE,1000000148,148,
234.977,,Spot,1,Image 1,2,PRE,1000000000,149,
119.342,,Spot,1,Image 1,2,PRE,1000000087,150,
69.7525,,Spot,1,Image 1,2,PRE,1000000122,151,
56.1944,,Spot,1,Image 1,2,PRE,1000000148,152,
233.219,,Spot,1,Image 1,3,PRE,1000000000,153,
155.756,,Spot,1,Image 1,3,PRE,1000000087,154,
100.607,,Spot,1,Image 1,3,PRE,1000000122,155,
64.3814,,Spot,1,Image 1,3,PRE,1000000148,156,
229.9,,Spot,1,Image 1,4,PRE,1000000000,157,
165.822,,Spot,1,Image 1,4,PRE,1000000087,158,
96.5355,,Spot,1,Image 1,4,PRE,1000000122,159,
67.6398,,Spot,1,Image 1,4,PRE,1000000148,160,
242.717,,Spot,1,Image 1,5,PRE,1000000000,161,
190.048,,Spot,1,Image 1,5,PRE,1000000087,162,
101.506,,Spot,1,Image 1,5,PRE,1000000122,163,
69.8227,,Spot,1,Image 1,5,PRE,1000000148,164,
217.711,,Spot,1,Image 1,6,PRE,1000000000,165,
171.1,,Spot,1,Image 1,6,PRE,1000000087,166,
123.323,,Spot,1,Image 1,6,PRE,1000000122,167,
87.0616,,Spot,1,Image 1,6,PRE,1000000148,168,
223.867,,Spot,1,Image 1,7,PRE,1000000000,169,
187.311,,Spot,1,Image 1,7,PRE,1000000087,170,
119.121,,Spot,1,Image 1,7,PRE,1000000122,171,
92.9315,,Spot,1,Image 1,7,PRE,1000000148,172,
203.476,,Spot,1,Image 1,8,PRE,1000000000,173,
206.929,,Spot,1,Image 1,8,PRE,1000000087,174,
128.609,,Spot,1,Image 1,8,PRE,1000000122,175,
110.542,,Spot,1,Image 1,8,PRE,1000000148,176,
258.01,,Spot,1,Image 1,9,PRE,1000000000,177,
226.544,,Spot,1,Image 1,9,PRE,1000000087,178,
134.454,,Spot,1,Image 1,9,PRE,1000000122,179,
111.424,,Spot,1,Image 1,9,PRE,1000000148,180,
261.819,,Spot,1,Image 1,10,PRE,1000000000,181,
246.213,,Spot,1,Image 1,10,PRE,1000000087,182,
147.088,,Spot,1,Image 1,10,PRE,1000000122,183,
118.537,,Spot,1,Image 1,10,PRE,1000000148,184,
212.72,,Spot,1,Image 1,11,PRE,1000000000,185,
258.318,,Spot,1,Image 1,11,PRE,1000000087,186,
152.545,,Spot,1,Image 1,11,PRE,1000000122,187,
119.081,,Spot,1,Image 1,11,PRE,1000000148,188,
182.988,,Spot,1,Image 1,12,PRE,1000000000,189,
249.937,,Spot,1,Image 1,12,PRE,1000000087,190,
143.613,,Spot,1,Image 1,12,PRE,1000000122,191,
125.813,,Spot,1,Image 1,12,PRE,1000000148,192,
172.669,,Spot,1,Image 1,13,PRE,1000000000,193,
258.696,,Spot,1,Image 1,13,PRE,1000000087,194,
134.284,,Spot,1,Image 1,13,PRE,1000000122,195,
118.145,,Spot,1,Image 1,13,PRE,1000000148,196,
169.75,,Spot,1,Image 1,14,PRE,1000000000,197,
258.971,,Spot,1,Image 1,14,PRE,1000000087,198,
143.818,,Spot,1,Image 1,14,PRE,1000000122,199,
104.211,,Spot,1,Image 1,14,PRE,1000000148,200,
