
Intensity Max Ch=1 Img=1
 ==================== 
Intensity Max,Unit,Category,Channel,Image,Time,NS-labs,TrackID,ID,
234,,Spot,1,Image 1,1,PRE;targeted,1000000000,0,
377,,Spot,1,Image 1,1,PRE;targeted,1000000002,2,
312,,Spot,1,Image 1,1,PRE;targeted,1000000018,18,
386,,Spot,1,Image 1,1,PRE;targeted,1000000022,22,
376,,Spot,1,Image 1,1,PRE;targeted,1000000023,23,
152,,Spot,1,Image 1,1,PRE;targeted,1000000027,27,
359,,Spot,1,Image 1,2,PRE;targeted,1000000002,28,
270,,Spot,1,Image 1,2,PRE;targeted,1000000018,29,
333,,Spot,1,Image 1,2,PRE;targeted,1000000023,30,
353,,Spot,1,Image 1,3,PRE;targeted,1000000002,32,
464,,Spot,1,Image 1,3,PRE;targeted,1000000018,33,
268,,Spot,1,Image 1,3,PRE;targeted,1000000023,34,
410,,Spot,1,Image 1,4,PRE;targeted,1000000002,35,
333,,Spot,1,Image 1,4,Apoptosis;PRE;targeted,1000000018,36,
264,,Spot,1,Image 1,4,Apoptosis;PRE;targeted,1000000023,37,
354,,Spot,1,Image 1,5,PRE;targeted,1000000002,38,
354,,Spot,1,Image 1,6,PRE;targeted,1000000002,39,
381,,Spot,1,Image 1,7,PRE;targeted,1000000002,40,
355,,Spot,1,Image 1,8,PRE;targeted,1000000002,41,
343,,Spot,1,Image 1,9,PRE;targeted,1000000002,42,
285,,Spot,1,Image 1,10,PRE;targeted,1000000002,43,
309,,Spot,1,Image 1,11,PRE;targeted,1000000002,44,
336,,Spot,1,Image 1,12,PRE;targeted,1000000002,45,
351,,Spot,1,Image 1,13,PRE;targeted,1000000002,46,
343,,Spot,1,Image 1,14,PRE;targeted,1000000002,47,
380,,Spot,1,Image 1,15,PRE;targeted,1000000002,48,
462,,Spot,1,Image 1,16,Apoptosis;PRE;targeted,1000000002,49,
374,,Spot,1,Image 1,2,Apoptosis;PRE;targeted,1000000022,50,
648,,Spot,1,Image 1,2,Apoptosis;PRE;targeted,1000000000,51,
167,,Spot,1,Image 1,2,Apoptosis;PRE;targeted,1000000027,52,
191,,Spot,1,Image 1,1,PRE;targeted,1000000053,53,
160,,Spot,1,Image 1,2,PRE;targeted,1000000053,54,
184,,Spot,1,Image 1,3,PRE;targeted,1000000053,55,
175,,Spot,1,Image 1,4,PRE;targeted,1000000053,56,
212,,Spot,1,Image 1,5,PRE;targeted,1000000053,57,
196,,Spot,1,Image 1,6,PRE;targeted,1000000053,58,
223,,Spot,1,Image 1,7,PRE;targeted,1000000053,59,
209,,Spot,1,Image 1,8,PRE;targeted,1000000053,60,
190,,Spot,1,Image 1,9,PRE;targeted,1000000053,61,
202,,Spot,1,Image 1,10,PRE;targeted,1000000053,62,
179,,Spot,1,Image 1,11,PRE;targeted,1000000053,63,
184,,Spot,1,Image 1,12,PRE;targeted,1000000053,64,
180,,Spot,1,Image 1,13,PRE;targeted,1000000053,65,
220,,Spot,1,Image 1,14,PRE;targeted,1000000053,66,
139,,Spot,1,Image 1,15,PRE;targeted,1000000053,67,
162,,Spot,1,Image 1,16,PRE;targeted,1000000053,68,
169,,Spot,1,Image 1,17,PRE;targeted,1000000053,69,
163,,Spot,1,Image 1,18,PRE;targeted,1000000053,70,
178,,Spot,1,Image 1,19,PRE;targeted,1000000053,71,
185,,Spot,1,Image 1,20,PRE;targeted,1000000053,72,
192,,Spot,1,Image 1,21,PRE;targeted,1000000053,73,
178,,Spot,1,Image 1,22,PRE;targeted,1000000053,74,
167,,Spot,1,Image 1,23,PRE;targeted,1000000053,75,
207,,Spot,1,Image 1,24,PRE;targeted,1000000053,76,
168,,Spot,1,Image 1,25,PRE;targeted,1000000053,77,
174,,Spot,1,Image 1,26,PRE;targeted,1000000053,78,
155,,Spot,1,Image 1,27,PRE;targeted,1000000053,79,
185,,Spot,1,Image 1,28,PRE;targeted,1000000053,80,
223,,Spot,1,Image 1,29,PRE;targeted,1000000053,81,
195,,Spot,1,Image 1,30,PRE;targeted,1000000053,82,
212,,Spot,1,Image 1,31,PRE;targeted,1000000053,83,
226,,Spot,1,Image 1,32,PRE;targeted,1000000053,84,
192,,Spot,1,Image 1,33,PRE;targeted,1000000053,85,
182,,Spot,1,Image 1,34,PRE;targeted,1000000053,86,
197,,Spot,1,Image 1,35,PRE;targeted,1000000053,87,
375,,Spot,1,Image 1,36,Apoptosis;PRE;targeted,1000000053,88,
