
Intensity Median Ch=1 Img=1
 ==================== 
Intensity Median,Unit,Category,Channel,Image,Time,NS-labs,TrackID,ID,
205.96,,Spot,1,Image 1,1,PRE,1000000000,0,
147.48,,Spot,1,Image 1,1,PRE,1000000070,70,
175.98,,Spot,1,Image 1,1,PRE,1000000140,140,
158.5,,Spot,1,Image 1,1,PRE,1000000210,210,
102.04,,Spot,1,Image 1,1,Mito;PRE,1000000280,280,
209.416,,Spot,1,Image 1,2,PRE,1000000000,281,
143.81,,Spot,1,Image 1,2,PRE,1000000070,282,
185.42,,Spot,1,Image 1,2,PRE,1000000140,283,
179.48,,Spot,1,Image 1,2,PRE,1000000210,284,
179.08,,Spot,1,Image 1,2,PRE;d1,1000000280,285,
215.136,,Spot,1,Image 1,2,PRE;d2,1000000280,350,
222.088,,Spot,1,Image 1,3,PRE,1000000000,351,
154.3,,Spot,1,Image 1,3,PRE,1000000070,352,
184.182,,Spot,1,Image 1,3,PRE,1000000140,353,
194.136,,Spot,1,Image 1,3,PRE,1000000210,354,
210.492,,Spot,1,Image 1,3,PRE;d1,1000000280,355,
155.896,,Spot,1,Image 1,3,PRE;d2,1000000280,356,
238.88,,Spot,1,Image 1,4,PRE,1000000000,357,
193.608,,Spot,1,Image 1,4,PRE,1000000070,358,
188.4,,Spot,1,Image 1,4,PRE,1000000140,359,
202.944,,Spot,1,Image 1,4,PRE,1000000210,360,
206.456,,Spot,1,Image 1,4,PRE;d1,1000000280,361,
103.952,,Spot,1,Image 1,4,PRE;d2,1000000280,362,
224.98,,Spot,1,Image 1,5,PRE,1000000000,363,
181.576,,Spot,1,Image 1,5,PRE,1000000070,364,
185.464,,Spot,1,Image 1,5,PRE,1000000140,365,
183.122,,Spot,1,Image 1,5,PRE,1000000210,366,
202.04,,Spot,1,Image 1,5,PRE;d1,1000000280,367,
113.06,,Spot,1,Image 1,5,PRE;d2,1000000280,368,
242.86,,Spot,1,Image 1,6,PRE,1000000000,369,
162.168,,Spot,1,Image 1,6,PRE,1000000070,370,
170.161,,Spot,1,Image 1,6,PRE,1000000140,371,
182.2,,Spot,1,Image 1,6,PRE,1000000210,372,
192.832,,Spot,1,Image 1,6,PRE;d1,1000000280,373,
90.035,,Spot,1,Image 1,6,PRE;d2,1000000280,374,
226.52,,Spot,1,Image 1,7,PRE,1000000000,375,
178.12,,Spot,1,Image 1,7,PRE,1000000070,376,
174.472,,Spot,1,Image 1,7,PRE,1000000140,377,
185.04,,Spot,1,Image 1,7,PRE,1000000210,378,
201.966,,Spot,1,Image 1,7,PRE;d1,1000000280,379,
92.056,,Spot,1,Image 1,7,PRE;d2,1000000280,380,
221.112,,Spot,1,Image 1,8,PRE,1000000000,381,
175.04,,Spot,1,Image 1,8,PRE,1000000070,382,
180.921,,Spot,1,Image 1,8,PRE,1000000140,383,
204.836,,Spot,1,Image 1,8,PRE,1000000210,384,
222.392,,Spot,1,Image 1,8,PRE;d1,1000000280,385,
87.14,,Spot,1,Image 1,8,PRE;d2,1000000280,386,
