
Position
 ==================== 
Position X,Position Y,Position Z,Unit,Category,Collection,Time,NS-labs,TrackID,ID,
28613.6,31562.1,-1204.47,um,Spot,Position,1,DP,1000000759,759,
28597.5,31570.9,-1195.13,um,Spot,Position,1,DP,1000000964,964,
28610.8,31554.2,-1196.25,um,Spot,Position,1,DP,1000001035,1035,
28611,31560.8,-1164.27,um,Spot,Position,1,DP,1000001105,1105,
28618.2,31584.9,-1213.53,um,Spot,Position,1,PRE,1000000000,0,
28621.2,31572.1,-1204.48,um,Spot,Position,1,PRE,1000000070,70,
28635.7,31578.5,-1211.8,um,Spot,Position,1,PRE,1000000140,140,
28640.7,31573.8,-1207.49,um,Spot,Position,1,PRE,1000000210,210,
28606.4,31568.7,-1198.71,um,Spot,Position,1,PRE,1000000894,894,
28612.2,31549.5,-1183.32,um,Spot,Position,1,PRE,1000001153,1153,
28642.2,31566.6,-1199.24,um,Spot,Position,1,Mito;PRE,1000000280,280,
28613,31561.9,-1203.56,um,Spot,Position,2,DP,1000000759,760,
28596.7,31572,-1192.36,um,Spot,Position,2,DP,1000000964,965,
28610.6,31554,-1191.87,um,Spot,Position,2,DP,1000001035,1036,
28608.6,31562.4,-1166.36,um,Spot,Position,2,DP,1000001105,1106,
28615.8,31582.7,-1212.12,um,Spot,Position,2,PRE,1000000000,281,
28618.6,31571,-1202.23,um,Spot,Position,2,PRE,1000000070,282,
28633.4,31576.3,-1211.07,um,Spot,Position,2,PRE,1000000140,283,
28637.9,31570.5,-1207.46,um,Spot,Position,2,PRE,1000000210,284,
28604.4,31566.9,-1194.78,um,Spot,Position,2,PRE,1000000894,895,
28610.5,31551.7,-1182.11,um,Spot,Position,2,PRE,1000001153,1154,
28649.9,31566.6,-1200.09,um,Spot,Position,2,PRE;d1,1000000280,285,
28630.4,31566.3,-1196.81,um,Spot,Position,2,PRE;d2,1000000280,350,
28613.9,31564.8,-1205.74,um,Spot,Position,3,DP,1000000759,761,
28595.9,31574,-1193.55,um,Spot,Position,3,DP,1000000964,966,
28609.4,31560,-1191.09,um,Spot,Position,3,DP,1000001035,1037,
28609.7,31565.5,-1172.84,um,Spot,Position,3,DP,1000001105,1107,
28615.8,31583.8,-1212.56,um,Spot,Position,3,PRE,1000000000,351,
28618.6,31574.4,-1204.85,um,Spot,Position,3,PRE,1000000070,352,
28632.5,31578.2,-1211.33,um,Spot,Position,3,PRE,1000000140,353,
28637.3,31572.4,-1207.4,um,Spot,Position,3,PRE,1000000210,354,
28605,31570.8,-1196.73,um,Spot,Position,3,PRE,1000000894,896,
28612.7,31556,-1181.82,um,Spot,Position,3,PRE,1000001153,1155,
28650.2,31570.5,-1205.08,um,Spot,Position,3,PRE;d1,1000000280,355,
28629.7,31568.6,-1197.56,um,Spot,Position,3,PRE;d2,1000000280,356,
28617.2,31565.1,-1206.87,um,Spot,Position,4,DP,1000000759,762,
28598.1,31572.2,-1193.56,um,Spot,Position,4,DP,1000000964,967,
28611.1,31561,-1192.1,um,Spot,Position,4,DP,1000001035,1038,
28612.9,31564.4,-1174.38,um,Spot,Position,4,DP,1000001105,1108,
28616.3,31583.8,-1212.25,um,Spot,Position,4,PRE,1000000000,357,
28620.3,31575.5,-1206.57,um,Spot,Position,4,PRE,1000000070,358,
28632.5,31579.3,-1211.59,um,Spot,Position,4,PRE,1000000140,359,
28638.4,31574.9,-1208.18,um,Spot,Position,4,PRE,1000000210,360,
28606.1,31571,-1199.33,um,Spot,Position,4,PRE,1000000894,897,
28614.7,31557.1,-1181.59,um,Spot,Position,4,PRE,1000001153,1156,
28648.4,31570.8,-1205.03,um,Spot,Position,4,PRE;d1,1000000280,361,
28627,31569.1,-1195.53,um,Spot,Position,4,PRE;d2,1000000280,362,
28603.7,31582.6,-1203.83,um,Spot,Position,5,DP,1000000964,968,
28612.5,31577.3,-1202.67,um,Spot,Position,5,DP,1000001035,1039,
28614.8,31582.1,-1183.16,um,Spot,Position,5,DP,1000001105,1109,
28618.9,31598.7,-1211.89,um,Spot,Position,5,PRE,1000000000,363,
28620.3,31593.5,-1206.12,um,Spot,Position,5,PRE,1000000070,364,
28630,31595.9,-1210.56,um,Spot,Position,5,PRE,1000000140,365,
28634.9,31594.8,-1205.15,um,Spot,Position,5,PRE,1000000210,366,
28613,31587.8,-1202.9,um,Spot,Position,5,PRE,1000000894,898,
28617.2,31576.9,-1189.69,um,Spot,Position,5,PRE,1000001153,1157,
28620.8,31579.9,-1207.87,um,Spot,Position,5,DP;Mito,1000000759,763,
28644.9,31588.8,-1203.98,um,Spot,Position,5,PRE;d1,1000000280,367,
28626.5,31592.4,-1196.64,um,Spot,Position,5,PRE;d2,1000000280,368,
28606.1,31585.7,-1197.67,um,Spot,Position,6,DP,1000000964,969,
28613.9,31575,-1200.26,um,Spot,Position,6,DP,1000001035,1040,
28614,31582.9,-1179.81,um,Spot,Position,6,DP,1000001105,1110,
28618.7,31597.9,-1211.89,um,Spot,Position,6,PRE,1000000000,369,
28620.9,31592.4,-1206.4,um,Spot,Position,6,PRE,1000000070,370,
28631.3,31593.5,-1209.88,um,Spot,Position,6,PRE,1000000140,371,
