
Intensity Median Ch=1 Img=1
 ==================== 
Intensity Median,Unit,Category,Channel,Image,Time,NS-labs,TrackID,ID,
197.568,,Spot,1,Image 1,1,PRE;targeted,1000000000,0,
133.088,,Spot,1,Image 1,1,PRE;targeted,1000000016,16,
114.903,,Spot,1,Image 1,1,PRE;targeted,1000000034,34,
101.08,,Spot,1,Image 1,1,DP;targeted,1000000060,60,
106.136,,Spot,1,Image 1,1,PRE;targeted,1000000064,64,
110.975,,Spot,1,Image 1,1,PRE;targeted,1000000083,83,
156.054,,Spot,1,Image 1,1,PRE;targeted,1000000088,88,
118.106,,Spot,1,Image 1,2,Apoptosis;PRE;targeted,1000000000,89,
102.576,,Spot,1,Image 1,2,PRE;targeted,1000000016,90,
119.004,,Spot,1,Image 1,2,PRE;targeted,1000000034,91,
94.064,,Spot,1,Image 1,2,DP;targeted,1000000060,92,
123.856,,Spot,1,Image 1,2,PRE;targeted,1000000064,93,
87.052,,Spot,1,Image 1,2,PRE;targeted,1000000083,94,
154.17,,Spot,1,Image 1,2,PRE;targeted,1000000088,95,
92.048,,Spot,1,Image 1,3,PRE;targeted,1000000016,97,
114.12,,Spot,1,Image 1,3,Apoptosis;PRE;targeted,1000000034,98,
116.896,,Spot,1,Image 1,3,DP;targeted,1000000060,99,
123.968,,Spot,1,Image 1,3,PRE;targeted,1000000064,100,
83.01,,Spot,1,Image 1,3,PRE;targeted,1000000083,101,
156.584,,Spot,1,Image 1,3,PRE;targeted,1000000088,102,
81.0275,,Spot,1,Image 1,4,PRE;targeted,1000000016,104,
119.93,,Spot,1,Image 1,4,Apoptosis;DP;targeted,1000000060,106,
105.944,,Spot,1,Image 1,4,PRE;targeted,1000000064,107,
149.094,,Spot,1,Image 1,4,PRE;targeted,1000000083,108,
96.96,,Spot,1,Image 1,4,PRE;targeted,1000000088,109,
100.504,,Spot,1,Image 1,5,Apoptosis;PRE;targeted,1000000016,111,
88.504,,Spot,1,Image 1,5,PRE;targeted,1000000064,113,
67.024,,Spot,1,Image 1,5,Apoptosis;PRE;targeted,1000000083,114,
92.017,,Spot,1,Image 1,5,PRE;targeted,1000000088,115,
89.952,,Spot,1,Image 1,6,PRE;targeted,1000000064,119,
106.978,,Spot,1,Image 1,6,PRE;targeted,1000000088,120,
81.104,,Spot,1,Image 1,7,PRE;targeted,1000000064,124,
114.916,,Spot,1,Image 1,7,PRE;targeted,1000000088,125,
114.95,,Spot,1,Image 1,8,PRE;targeted,1000000088,129,
128.936,,Spot,1,Image 1,9,PRE;targeted,1000000088,133,
125.984,,Spot,1,Image 1,10,PRE;targeted,1000000088,137,
109.1,,Spot,1,Image 1,11,PRE;targeted,1000000088,141,
100.024,,Spot,1,Image 1,12,PRE;targeted,1000000088,145,
95.04,,Spot,1,Image 1,13,PRE;targeted,1000000088,149,
80,,Spot,1,Image 1,14,PRE;targeted,1000000088,153,
69.048,,Spot,1,Image 1,15,Apoptosis;PRE;targeted,1000000088,157,
63.104,,Spot,1,Image 1,1,PRE;targeted,1000000173,173,
71.516,,Spot,1,Image 1,2,PRE;targeted,1000000173,174,
71.018,,Spot,1,Image 1,3,PRE;targeted,1000000173,175,
65.034,,Spot,1,Image 1,4,PRE;targeted,1000000173,176,
50.084,,Spot,1,Image 1,5,PRE;targeted,1000000173,177,
53.025,,Spot,1,Image 1,6,PRE;targeted,1000000173,178,
54.008,,Spot,1,Image 1,7,PRE;targeted,1000000173,179,
50.95,,Spot,1,Image 1,8,PRE;targeted,1000000173,180,
47.99,,Spot,1,Image 1,9,PRE;targeted,1000000173,181,
49.04,,Spot,1,Image 1,10,PRE;targeted,1000000173,182,
48.949,,Spot,1,Image 1,11,PRE;targeted,1000000173,183,
47.92,,Spot,1,Image 1,12,PRE;targeted,1000000173,184,
45,,Spot,1,Image 1,13,PRE;off;targeted,1000000173,185,
