
Intensity Max Ch=2 Img=1
 ==================== 
Intensity Max,Unit,Category,Channel,Image,Time,NS-labs,TrackID,ID,
310,,Spot,2,Image 1,1,PRE,1000000000,0,
308,,Spot,2,Image 1,1,PRE,1000000179,179,
378,,Spot,2,Image 1,1,PRE,1000000182,182,
287,,Spot,2,Image 1,1,PRE,1000000283,283,
338,,Spot,2,Image 1,1,PRE,1000000353,353,
272,,Spot,2,Image 1,1,PRE,1000000423,423,
305,,Spot,2,Image 1,1,PRE,1000000493,493,
283,,Spot,2,Image 1,1,Mito;PRE,1000000526,526,
236,,Spot,2,Image 1,1,PRE,1000000665,665,
275,,Spot,2,Image 1,1,PRE,1000000758,758,
331,,Spot,2,Image 1,1,PRE,1000000828,828,
300,,Spot,2,Image 1,1,PRE,1000000898,898,
299,,Spot,2,Image 1,1,PRE,1000000968,968,
323,,Spot,2,Image 1,2,PRE,1000000000,969,
240,,Spot,2,Image 1,2,PRE,1000000179,970,
264,,Spot,2,Image 1,2,PRE,1000000182,971,
351,,Spot,2,Image 1,2,PRE,1000000283,972,
297,,Spot,2,Image 1,2,PRE,1000000353,973,
264,,Spot,2,Image 1,2,PRE,1000000423,974,
292,,Spot,2,Image 1,2,PRE,1000000493,975,
293,,Spot,2,Image 1,2,PRE;d1,1000000526,976,
277,,Spot,2,Image 1,2,PRE;d2,1000000526,977,
278,,Spot,2,Image 1,2,PRE,1000000665,978,
233,,Spot,2,Image 1,2,PRE,1000000758,979,
441,,Spot,2,Image 1,2,PRE,1000000828,980,
304,,Spot,2,Image 1,2,PRE,1000000898,981,
217,,Spot,2,Image 1,2,PRE,1000000968,982,
319,,Spot,2,Image 1,3,PRE,1000000000,983,
299,,Spot,2,Image 1,3,PRE,1000000179,984,
242,,Spot,2,Image 1,3,PRE,1000000182,985,
386,,Spot,2,Image 1,3,PRE,1000000283,986,
366,,Spot,2,Image 1,3,PRE,1000000353,987,
263,,Spot,2,Image 1,3,PRE,1000000423,988,
297,,Spot,2,Image 1,3,PRE,1000000493,989,
308,,Spot,2,Image 1,3,PRE;d1,1000000526,990,
391,,Spot,2,Image 1,3,PRE;d2,1000000526,991,
265,,Spot,2,Image 1,3,PRE,1000000665,992,
224,,Spot,2,Image 1,3,PRE,1000000758,993,
307,,Spot,2,Image 1,3,PRE,1000000828,994,
255,,Spot,2,Image 1,3,PRE,1000000898,995,
229,,Spot,2,Image 1,3,PRE,1000000968,996,
276,,Spot,2,Image 1,4,PRE,1000000000,997,
296,,Spot,2,Image 1,4,PRE,1000000179,998,
240,,Spot,2,Image 1,4,PRE,1000000182,999,
280,,Spot,2,Image 1,4,PRE,1000000283,1000,
389,,Spot,2,Image 1,4,PRE,1000000353,1001,
304,,Spot,2,Image 1,4,PRE,1000000423,1002,
295,,Spot,2,Image 1,4,PRE,1000000493,1003,
301,,Spot,2,Image 1,4,PRE;d1,1000000526,1004,
318,,Spot,2,Image 1,4,PRE;d2,1000000526,1005,
322,,Spot,2,Image 1,4,PRE,1000000665,1006,
267,,Spot,2,Image 1,4,PRE,1000000758,1007,
378,,Spot,2,Image 1,4,PRE,1000000828,1008,
273,,Spot,2,Image 1,4,PRE,1000000898,1009,
249,,Spot,2,Image 1,4,PRE,1000000968,1010,
280,,Spot,2,Image 1,5,PRE,1000000000,1011,
289,,Spot,2,Image 1,5,PRE,1000000179,1012,
235,,Spot,2,Image 1,5,PRE,1000000182,1013,
279,,Spot,2,Image 1,5,PRE,1000000283,1014,
294,,Spot,2,Image 1,5,PRE,1000000353,1015,
256,,Spot,2,Image 1,5,PRE,1000000423,1016,
245,,Spot,2,Image 1,5,PRE,1000000493,1017,
