
Intensity Min Ch=2 Img=1
 ==================== 
Intensity Min,Unit,Category,Channel,Image,Time,NS-labs,TrackID,ID,
309,,Spot,2,Image 1,1,DP,1000000000,0,
259,,Spot,2,Image 1,2,DP,1000000000,1,
246,,Spot,2,Image 1,3,DP,1000000000,2,
246,,Spot,2,Image 1,4,DP,1000000000,3,
211,,Spot,2,Image 1,5,DP,1000000000,4,
221,,Spot,2,Image 1,6,DP,1000000000,5,
175,,Spot,2,Image 1,7,DP,1000000000,6,
178,,Spot,2,Image 1,8,DP,1000000000,7,
156,,Spot,2,Image 1,9,DP,1000000000,8,
187,,Spot,2,Image 1,10,DP,1000000000,9,
165,,Spot,2,Image 1,11,DP,1000000000,10,
188,,Spot,2,Image 1,12,DP,1000000000,11,
200,,Spot,2,Image 1,13,DP,1000000000,12,
219,,Spot,2,Image 1,14,DP,1000000000,13,
177,,Spot,2,Image 1,15,DP,1000000000,14,
151,,Spot,2,Image 1,16,DP,1000000000,15,
188,,Spot,2,Image 1,17,DP,1000000000,16,
119,,Spot,2,Image 1,18,DP,1000000000,17,
79,,Spot,2,Image 1,19,DP,1000000000,18,
69,,Spot,2,Image 1,20,DP,1000000000,19,
136,,Spot,2,Image 1,21,DP,1000000000,20,
84,,Spot,2,Image 1,22,DP,1000000000,21,
87,,Spot,2,Image 1,23,DP,1000000000,22,
105,,Spot,2,Image 1,24,DP,1000000000,23,
104,,Spot,2,Image 1,25,DP,1000000000,24,
129,,Spot,2,Image 1,26,DP,1000000000,25,
123,,Spot,2,Image 1,27,DP,1000000000,26,
65,,Spot,2,Image 1,28,DP,1000000000,27,
87,,Spot,2,Image 1,29,DP,1000000000,28,
77,,Spot,2,Image 1,30,DP,1000000000,29,
107,,Spot,2,Image 1,31,DP,1000000000,30,
108,,Spot,2,Image 1,32,DP,1000000000,31,
78,,Spot,2,Image 1,33,DP,1000000000,32,
100,,Spot,2,Image 1,34,DP,1000000000,33,
123,,Spot,2,Image 1,35,DP,1000000000,34,
65,,Spot,2,Image 1,36,DP,1000000000,35,
120,,Spot,2,Image 1,37,DP,1000000000,36,
111,,Spot,2,Image 1,38,DP,1000000000,37,
88,,Spot,2,Image 1,39,DP,1000000000,38,
85,,Spot,2,Image 1,40,DP,1000000000,39,
61,,Spot,2,Image 1,41,DP,1000000000,40,
102,,Spot,2,Image 1,42,DP,1000000000,41,
65,,Spot,2,Image 1,43,DP,1000000000,42,
43,,Spot,2,Image 1,44,DP,1000000000,43,
57,,Spot,2,Image 1,45,DP,1000000000,44,
66,,Spot,2,Image 1,46,DP,1000000000,45,
62,,Spot,2,Image 1,47,DP,1000000000,46,
45,,Spot,2,Image 1,48,DP,1000000000,47,
35,,Spot,2,Image 1,49,DP,1000000000,48,
55,,Spot,2,Image 1,50,DP,1000000000,49,
60,,Spot,2,Image 1,51,DP,1000000000,50,
45,,Spot,2,Image 1,52,DP,1000000000,51,
43,,Spot,2,Image 1,53,DP,1000000000,52,
32,,Spot,2,Image 1,54,DP,1000000000,53,
29,,Spot,2,Image 1,55,DP,1000000000,54,
29,,Spot,2,Image 1,56,DP,1000000000,55,
36,,Spot,2,Image 1,57,DP,1000000000,56,
35,,Spot,2,Image 1,58,DP,1000000000,57,
41,,Spot,2,Image 1,59,DP,1000000000,58,
32,,Spot,2,Image 1,60,DP,1000000000,59,
32,,Spot,2,Image 1,61,DP,1000000000,60,
52,,Spot,2,Image 1,62,DP,1000000000,61,
35,,Spot,2,Image 1,63,DP,1000000000,62,
30,,Spot,2,Image 1,64,DP,1000000000,63,
