
Intensity Mean Ch=3 Img=1
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,NS-labs,TrackID,ID,
310.716,,Spot,3,Image 1,1,PRE,1000000000,0,
514.65,,Spot,3,Image 1,1,PRE,1000000001,1,
383.231,,Spot,3,Image 1,1,PRE,1000000002,2,
515.668,,Spot,3,Image 1,1,PRE,1000000003,3,
416.714,,Spot,3,Image 1,1,PRE,1000000004,4,
428.442,,Spot,3,Image 1,1,PRE,1000000005,5,
356.511,,Spot,3,Image 1,2,PRE,1000000000,6,
432.459,,Spot,3,Image 1,2,PRE,1000000001,100,
318.942,,Spot,3,Image 1,2,PRE,1000000002,183,
352.42,,Spot,3,Image 1,2,PRE,1000000005,272,
428.623,,Spot,3,Image 1,2,PRE,1000000003,370,
464.115,,Spot,3,Image 1,2,PRE,1000000004,411,
339.649,,Spot,3,Image 1,3,PRE,1000000000,412,
405.397,,Spot,3,Image 1,3,PRE,1000000001,413,
381.943,,Spot,3,Image 1,3,PRE,1000000002,414,
371.828,,Spot,3,Image 1,3,PRE,1000000005,415,
484.248,,Spot,3,Image 1,3,PRE,1000000003,416,
435.249,,Spot,3,Image 1,3,PRE,1000000004,417,
421.98,,Spot,3,Image 1,4,PRE,1000000000,418,
389.301,,Spot,3,Image 1,4,PRE,1000000001,419,
427.554,,Spot,3,Image 1,4,PRE,1000000002,420,
405.882,,Spot,3,Image 1,4,PRE,1000000005,421,
449.846,,Spot,3,Image 1,4,PRE,1000000003,422,
392.949,,Spot,3,Image 1,4,PRE,1000000004,423,
373.541,,Spot,3,Image 1,5,PRE,1000000000,424,
339.307,,Spot,3,Image 1,5,PRE,1000000001,425,
424.784,,Spot,3,Image 1,5,PRE,1000000002,426,
364.864,,Spot,3,Image 1,5,PRE,1000000005,427,
436.27,,Spot,3,Image 1,5,PRE,1000000003,428,
423.423,,Spot,3,Image 1,5,PRE,1000000004,429,
357.522,,Spot,3,Image 1,6,PRE,1000000000,430,
302.33,,Spot,3,Image 1,6,PRE,1000000001,431,
413.601,,Spot,3,Image 1,6,PRE,1000000002,432,
470.474,,Spot,3,Image 1,6,PRE,1000000005,433,
393.204,,Spot,3,Image 1,6,PRE,1000000003,434,
435.304,,Spot,3,Image 1,6,PRE,1000000004,435,
337.526,,Spot,3,Image 1,7,PRE,1000000000,436,
219.974,,Spot,3,Image 1,7,PRE,1000000001,437,
405.631,,Spot,3,Image 1,7,PRE,1000000002,438,
339.537,,Spot,3,Image 1,7,PRE,1000000005,439,
437.057,,Spot,3,Image 1,7,PRE,1000000003,440,
544.765,,Spot,3,Image 1,7,PRE,1000000004,441,
322.681,,Spot,3,Image 1,8,PRE,1000000000,442,
264.957,,Spot,3,Image 1,8,PRE,1000000001,443,
414.864,,Spot,3,Image 1,8,PRE,1000000002,444,
368.244,,Spot,3,Image 1,8,PRE,1000000005,445,
433.616,,Spot,3,Image 1,8,PRE,1000000003,446,
418.751,,Spot,3,Image 1,8,PRE,1000000004,447,
296.858,,Spot,3,Image 1,9,PRE,1000000000,448,
297.9,,Spot,3,Image 1,9,PRE,1000000001,449,
433.992,,Spot,3,Image 1,9,PRE,1000000002,450,
323.621,,Spot,3,Image 1,9,PRE,1000000005,451,
349.414,,Spot,3,Image 1,9,PRE,1000000003,452,
