
Time
 ==================== 
Time,Unit,Category,Time,NS-labs,TrackID,ID,
0,min,Spot,1,PRE,1000000000,0,
0,min,Spot,1,PRE,1000000001,1,
0,min,Spot,1,PRE,1000000002,2,
0,min,Spot,1,PRE,1000000003,3,
0,min,Spot,1,PRE,1000000004,4,
0,min,Spot,1,PRE,1000000005,5,
0,min,Spot,1,PRE,1000000006,6,
0,min,Spot,1,PRE,1000000007,7,
0,min,Spot,1,PRE,1000000008,8,
0,min,Spot,1,PRE,1000000009,9,
0,min,Spot,1,PRE,1000000010,10,
0,min,Spot,1,PRE,1000000011,11,
0,min,Spot,1,PRE,1000000012,12,
14.9549,min,Spot,2,PRE,1000000001,14,
14.9549,min,Spot,2,PRE,1000000002,77,
14.9549,min,Spot,2,PRE,1000000003,137,
14.9549,min,Spot,2,PRE,1000000004,190,
14.9549,min,Spot,2,PRE,1000000010,231,
14.9549,min,Spot,2,PRE,1000000006,286,
14.9549,min,Spot,2,PRE,1000000007,383,
14.9549,min,Spot,2,PRE,1000000009,446,
14.9549,min,Spot,2,Mito;PRE,1000000000,572,
14.9549,min,Spot,2,PRE,1000000008,631,
14.9549,min,Spot,2,PRE,1000000011,689,
14.9549,min,Spot,2,PRE,1000000012,710,
29.9204,min,Spot,3,PRE,1000000001,711,
29.9204,min,Spot,3,PRE,1000000002,712,
29.9204,min,Spot,3,PRE,1000000003,713,
29.9204,min,Spot,3,PRE,1000000004,714,
29.9204,min,Spot,3,Mito;PRE,1000000010,715,
29.9204,min,Spot,3,PRE,1000000006,716,
29.9204,min,Spot,3,PRE,1000000007,718,
29.9204,min,Spot,3,PRE,1000000009,719,
29.9204,min,Spot,3,PRE;d1,1000000000,720,
29.9204,min,Spot,3,PRE;d2,1000000000,721,
29.9204,min,Spot,3,PRE,1000000008,722,
29.9204,min,Spot,3,PRE,1000000011,723,
29.9204,min,Spot,3,PRE,1000000012,724,
44.8859,min,Spot,4,PRE,1000000001,725,
44.8859,min,Spot,4,PRE,1000000002,726,
44.8859,min,Spot,4,PRE,1000000003,727,
44.8859,min,Spot,4,PRE,1000000004,728,
44.8859,min,Spot,4,PRE;d1,1000000010,729,
44.8859,min,Spot,4,PRE,1000000006,730,
44.8859,min,Spot,4,PRE,1000000005,731,
44.8859,min,Spot,4,PRE,1000000007,732,
44.8859,min,Spot,4,PRE,1000000009,733,
