
Intensity Mean Ch=3 Img=1
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,NS-labs,TrackID,ID,
474.073,,Spot,3,Image 1,1,DP,1000000001,1,
443.366,,Spot,3,Image 1,1,DP,1000000002,2,
349.089,,Spot,3,Image 1,1,DP,1000000004,4,
283.547,,Spot,3,Image 1,1,DP,1000000005,5,
369.453,,Spot,3,Image 1,1,DP,1000000006,6,
348.666,,Spot,3,Image 1,1,DP,1000000007,7,
491.374,,Spot,3,Image 1,1,DP,1000000067,67,
313.221,,Spot,3,Image 1,2,DP,1000000004,68,
512.78,,Spot,3,Image 1,2,DP,1000000002,69,
403.554,,Spot,3,Image 1,2,DP,1000000067,70,
293.997,,Spot,3,Image 1,2,DP,1000000005,131,
413.616,,Spot,3,Image 1,2,DP,1000000001,159,
376.074,,Spot,3,Image 1,2,DP,1000000007,195,
361.533,,Spot,3,Image 1,2,DP,1000000006,258,
429.603,,Spot,3,Image 1,3,DP,1000000004,259,
432.663,,Spot,3,Image 1,3,DP,1000000002,260,
310.096,,Spot,3,Image 1,3,DP,1000000067,261,
323.399,,Spot,3,Image 1,3,DP,1000000005,262,
423.17,,Spot,3,Image 1,3,DP,1000000001,263,
408.043,,Spot,3,Image 1,3,DP,1000000007,264,
324.039,,Spot,3,Image 1,3,DP,1000000006,265,
339.958,,Spot,3,Image 1,4,DP,1000000004,266,
298.2,,Spot,3,Image 1,4,DP,1000000002,267,
285.894,,Spot,3,Image 1,4,DP,1000000067,268,
331.15,,Spot,3,Image 1,4,DP,1000000005,269,
361.88,,Spot,3,Image 1,4,DP,1000000001,270,
358.818,,Spot,3,Image 1,4,DP,1000000007,271,
348.129,,Spot,3,Image 1,4,DP,1000000006,272,
311.684,,Spot,3,Image 1,5,DP,1000000004,273,
293.121,,Spot,3,Image 1,5,DP,1000000002,274,
317.688,,Spot,3,Image 1,5,DP,1000000067,275,
402.392,,Spot,3,Image 1,5,DP,1000000005,276,
231.554,,Spot,3,Image 1,5,DP,1000000001,277,
428.653,,Spot,3,Image 1,5,DP,1000000007,278,
430.984,,Spot,3,Image 1,5,DP,1000000006,279,
365.335,,Spot,3,Image 1,6,DP,1000000004,280,
332.074,,Spot,3,Image 1,6,DP,1000000002,281,
396.52,,Spot,3,Image 1,6,DP,1000000067,282,
433.051,,Spot,3,Image 1,6,DP,1000000005,283,
343.443,,Spot,3,Image 1,6,DP,1000000001,284,
482.599,,Spot,3,Image 1,6,DP,1000000007,285,
391.762,,Spot,3,Image 1,6,DP,1000000006,286,
434.583,,Spot,3,Image 1,7,DP,1000000004,287,
304.225,,Spot,3,Image 1,7,DP,1000000002,288,
319.347,,Spot,3,Image 1,7,DP,1000000067,289,
339.668,,Spot,3,Image 1,7,DP,1000000005,290,
334.827,,Spot,3,Image 1,7,DP,1000000001,291,
377.488,,Spot,3,Image 1,7,DP,1000000007,292,
358.653,,Spot,3,Image 1,7,DP,1000000006,293,
461.484,,Spot,3,Image 1,8,DP,1000000004,294,
339.347,,Spot,3,Image 1,8,DP,1000000002,295,
456.696,,Spot,3,Image 1,8,DP,1000000067,296,
310.566,,Spot,3,Image 1,8,DP,1000000005,297,
361.565,,Spot,3,Image 1,8,DP,1000000001,298,
250.858,,Spot,3,Image 1,8,DP,1000000007,299,
472.451,,Spot,3,Image 1,8,DP,1000000006,300,
364.043,,Spot,3,Image 1,9,DP,1000000004,301,
326.252,,Spot,3,Image 1,9,DP,1000000002,302,
496.169,,Spot,3,Image 1,9,DP,1000000067,303,
318.995,,Spot,3,Image 1,9,DP,1000000005,304,
359.752,,Spot,3,Image 1,9,DP,1000000001,305,
393.506,,Spot,3,Image 1,9,DP,1000000007,306,
385.74,,Spot,3,Image 1,9,DP,1000000006,307,
406.829,,Spot,3,Image 1,10,DP,1000000004,308,
312.696,,Spot,3,Image 1,10,DP,1000000002,309,
453.086,,Spot,3,Image 1,10,DP,1000000067,310,
316.633,,Spot,3,Image 1,10,DP,1000000005,311,
302.135,,Spot,3,Image 1,10,DP,1000000001,312,
439.42,,Spot,3,Image 1,10,DP,1000000007,313,
367.861,,Spot,3,Image 1,10,DP,1000000006,314,
306.796,,Spot,3,Image 1,11,DP,1000000004,315,
355.406,,Spot,3,Image 1,11,DP,1000000002,316,
506.23,,Spot,3,Image 1,11,DP,1000000067,317,
355.342,,Spot,3,Image 1,11,DP,1000000005,318,
404.044,,Spot,3,Image 1,11,DP,1000000001,319,
354.868,,Spot,3,Image 1,11,DP,1000000007,320,
387.624,,Spot,3,Image 1,11,DP,1000000006,321,
285.754,,Spot,3,Image 1,12,DP,1000000004,322,
350.103,,Spot,3,Image 1,12,DP,1000000002,323,
464.084,,Spot,3,Image 1,12,DP,1000000067,324,
389.228,,Spot,3,Image 1,12,DP,1000000005,325,
351.399,,Spot,3,Image 1,12,DP,1000000001,326,
358.531,,Spot,3,Image 1,12,DP,1000000007,327,
367.642,,Spot,3,Image 1,12,DP,1000000006,328,
363.759,,Spot,3,Image 1,13,DP,1000000004,329,
373.354,,Spot,3,Image 1,13,DP,1000000002,330,
384.673,,Spot,3,Image 1,13,DP,1000000067,331,
399.813,,Spot,3,Image 1,13,DP,1000000005,332,
295.151,,Spot,3,Image 1,13,DP,1000000001,333,
310.377,,Spot,3,Image 1,13,DP,1000000007,334,
345.603,,Spot,3,Image 1,13,DP,1000000006,335,
442.595,,Spot,3,Image 1,14,DP,1000000004,336,
361.14,,Spot,3,Image 1,14,DP,1000000002,337,
506.317,,Spot,3,Image 1,14,DP,1000000067,338,
398.667,,Spot,3,Image 1,14,DP,1000000005,339,
285.926,,Spot,3,Image 1,14,DP,1000000001,340,
