
Intensity Min Ch=3 Img=1
 ==================== 
Intensity Min,Unit,Category,Channel,Image,Time,NS-labs,TrackID,ID,
180,,Spot,3,Image 1,1,EPI,1000000000,0,
103,,Spot,3,Image 1,1,EPI,1000000001,1,
163,,Spot,3,Image 1,1,EPI,1000000002,2,
85,,Spot,3,Image 1,2,EPI,1000000001,25,
221,,Spot,3,Image 1,2,EPI,1000000000,46,
95,,Spot,3,Image 1,3,EPI,1000000001,107,
148,,Spot,3,Image 1,3,EPI,1000000000,108,
141,,Spot,3,Image 1,4,EPI,1000000001,110,
196,,Spot,3,Image 1,4,EPI,1000000000,111,
78,,Spot,3,Image 1,5,EPI,1000000001,113,
286,,Spot,3,Image 1,5,EPI,1000000000,114,
132,,Spot,3,Image 1,6,EPI,1000000001,116,
208,,Spot,3,Image 1,6,EPI,1000000000,117,
188,,Spot,3,Image 1,7,EPI,1000000001,119,
154,,Spot,3,Image 1,7,EPI,1000000000,120,
129,,Spot,3,Image 1,8,EPI,1000000001,122,
125,,Spot,3,Image 1,8,EPI,1000000000,123,
144,,Spot,3,Image 1,9,EPI,1000000001,125,
175,,Spot,3,Image 1,9,EPI,1000000000,126,
126,,Spot,3,Image 1,10,EPI,1000000001,128,
156,,Spot,3,Image 1,10,EPI,1000000000,129,
141,,Spot,3,Image 1,11,EPI,1000000001,131,
182,,Spot,3,Image 1,11,EPI,1000000000,132,
228,,Spot,3,Image 1,12,EPI,1000000001,134,
141,,Spot,3,Image 1,12,EPI,1000000000,135,
128,,Spot,3,Image 1,13,EPI,1000000001,137,
144,,Spot,3,Image 1,13,EPI,1000000000,138,
101,,Spot,3,Image 1,14,EPI,1000000001,140,
206,,Spot,3,Image 1,14,EPI,1000000000,141,
121,,Spot,3,Image 1,15,EPI,1000000001,143,
148,,Spot,3,Image 1,15,EPI,1000000000,144,
104,,Spot,3,Image 1,16,EPI,1000000001,146,
164,,Spot,3,Image 1,16,EPI,1000000000,147,
98,,Spot,3,Image 1,17,EPI,1000000001,149,
110,,Spot,3,Image 1,17,EPI,1000000000,150,
110,,Spot,3,Image 1,18,EPI,1000000001,152,
125,,Spot,3,Image 1,18,EPI,1000000000,153,
135,,Spot,3,Image 1,19,EPI,1000000001,155,
120,,Spot,3,Image 1,19,EPI,1000000000,156,
102,,Spot,3,Image 1,20,EPI,1000000001,158,
188,,Spot,3,Image 1,20,EPI,1000000000,159,
115,,Spot,3,Image 1,21,EPI,1000000001,161,
190,,Spot,3,Image 1,21,EPI,1000000000,162,
91,,Spot,3,Image 1,22,EPI,1000000001,164,
186,,Spot,3,Image 1,22,EPI,1000000000,165,
191,,Spot,3,Image 1,23,EPI,1000000000,167,
196,,Spot,3,Image 1,24,EPI,1000000000,169,
206,,Spot,3,Image 1,25,EPI,1000000000,171,
183,,Spot,3,Image 1,26,EPI,1000000000,173,
248,,Spot,3,Image 1,27,EPI,1000000000,175,
267,,Spot,3,Image 1,28,EPI,1000000000,177,
224,,Spot,3,Image 1,29,EPI,1000000000,179,
147,,Spot,3,Image 1,30,EPI,1000000000,181,
66,,Spot,3,Image 1,31,EPI,1000000000,183,
71,,Spot,3,Image 1,32,EPI,1000000000,185,
