
Intensity Max Ch=1 Img=1
 ==================== 
Intensity Max,Unit,Category,Channel,Image,Time,NS-labs,TrackID,ID,
544,,Spot,1,Image 1,1,PRE,1000000000,0,
330,,Spot,1,Image 1,1,PRE,1000000089,89,
230,,Spot,1,Image 1,1,PRE,1000000193,193,
188,,Spot,1,Image 1,1,PRE,1000000288,288,
469,,Spot,1,Image 1,2,PRE,1000000000,289,
334,,Spot,1,Image 1,2,PRE,1000000089,290,
209,,Spot,1,Image 1,2,PRE,1000000193,291,
179,,Spot,1,Image 1,2,PRE,1000000288,292,
403,,Spot,1,Image 1,3,PRE,1000000000,293,
403,,Spot,1,Image 1,3,PRE,1000000089,294,
201,,Spot,1,Image 1,3,PRE,1000000193,295,
178,,Spot,1,Image 1,3,PRE,1000000288,296,
430,,Spot,1,Image 1,4,PRE,1000000000,297,
479,,Spot,1,Image 1,4,PRE,1000000089,298,
179,,Spot,1,Image 1,4,PRE,1000000193,299,
270,,Spot,1,Image 1,4,PRE,1000000288,300,
467,,Spot,1,Image 1,5,PRE,1000000000,301,
374,,Spot,1,Image 1,5,PRE,1000000089,302,
263,,Spot,1,Image 1,5,PRE,1000000193,303,
164,,Spot,1,Image 1,5,PRE,1000000288,304,
363,,Spot,1,Image 1,6,PRE,1000000000,305,
413,,Spot,1,Image 1,6,PRE,1000000089,306,
356,,Spot,1,Image 1,6,PRE,1000000193,307,
164,,Spot,1,Image 1,6,PRE,1000000288,308,
433,,Spot,1,Image 1,7,PRE,1000000000,309,
273,,Spot,1,Image 1,7,PRE,1000000089,310,
263,,Spot,1,Image 1,7,PRE,1000000193,311,
134,,Spot,1,Image 1,7,PRE,1000000288,312,
313,,Spot,1,Image 1,8,PRE,1000000000,313,
279,,Spot,1,Image 1,8,PRE,1000000089,314,
178,,Spot,1,Image 1,8,PRE,1000000193,315,
132,,Spot,1,Image 1,8,PRE,1000000288,316,
416,,Spot,1,Image 1,9,PRE,1000000000,317,
257,,Spot,1,Image 1,9,PRE,1000000089,318,
220,,Spot,1,Image 1,9,PRE,1000000193,319,
127,,Spot,1,Image 1,9,PRE,1000000288,320,
324,,Spot,1,Image 1,10,PRE,1000000000,321,
254,,Spot,1,Image 1,10,PRE,1000000089,322,
185,,Spot,1,Image 1,10,PRE,1000000193,323,
145,,Spot,1,Image 1,10,PRE,1000000288,324,
270,,Spot,1,Image 1,11,PRE,1000000000,325,
296,,Spot,1,Image 1,11,PRE,1000000089,326,
187,,Spot,1,Image 1,11,PRE,1000000193,327,
167,,Spot,1,Image 1,11,PRE,1000000288,328,
