
Intensity Mean Ch=1 Img=1
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,NS-labs,TrackID,ID,
86.722,,Spot,1,Image 1,1,PRE;targeted,1000000013,13,
132.275,,Spot,1,Image 1,1,PRE;targeted,1000000015,15,
104.698,,Spot,1,Image 1,1,PRE;targeted,1000000017,17,
106.385,,Spot,1,Image 1,1,PRE;targeted,1000000019,19,
96.0144,,Spot,1,Image 1,2,PRE;targeted,1000000013,20,
133.778,,Spot,1,Image 1,2,PRE;targeted,1000000015,21,
136.159,,Spot,1,Image 1,2,PRE;targeted,1000000017,22,
128.472,,Spot,1,Image 1,2,PRE;targeted,1000000019,23,
157.175,,Spot,1,Image 1,3,PRE;targeted,1000000013,24,
117.257,,Spot,1,Image 1,3,PRE;targeted,1000000017,25,
125.992,,Spot,1,Image 1,3,PRE;targeted,1000000015,26,
127.492,,Spot,1,Image 1,3,PRE;targeted,1000000019,27,
154.518,,Spot,1,Image 1,4,PRE;targeted,1000000013,28,
146.293,,Spot,1,Image 1,4,PRE;targeted,1000000015,29,
99.3883,,Spot,1,Image 1,4,PRE;targeted,1000000017,36,
197.542,,Spot,1,Image 1,4,PRE;targeted,1000000019,64,
145.648,,Spot,1,Image 1,5,PRE;targeted,1000000015,66,
111.021,,Spot,1,Image 1,5,PRE;targeted,1000000017,67,
151.126,,Spot,1,Image 1,5,Apoptosis;PRE;targeted,1000000019,68,
122.775,,Spot,1,Image 1,6,PRE;targeted,1000000013,69,
139.684,,Spot,1,Image 1,6,PRE;targeted,1000000015,70,
107.945,,Spot,1,Image 1,6,PRE;targeted,1000000017,71,
130.798,,Spot,1,Image 1,7,PRE;targeted,1000000013,72,
136.568,,Spot,1,Image 1,7,PRE;targeted,1000000015,73,
116.964,,Spot,1,Image 1,7,PRE;targeted,1000000017,74,
166.724,,Spot,1,Image 1,8,PRE;targeted,1000000013,75,
128.81,,Spot,1,Image 1,8,PRE;targeted,1000000015,76,
100.486,,Spot,1,Image 1,8,PRE;targeted,1000000017,77,
130.5,,Spot,1,Image 1,9,PRE;targeted,1000000015,79,
105.679,,Spot,1,Image 1,9,PRE;targeted,1000000017,80,
126.132,,Spot,1,Image 1,10,PRE;targeted,1000000015,82,
106.415,,Spot,1,Image 1,10,PRE;targeted,1000000017,83,
205.51,,Spot,1,Image 1,11,PRE;targeted,1000000013,84,
111.235,,Spot,1,Image 1,11,PRE;targeted,1000000015,85,
84.2226,,Spot,1,Image 1,11,PRE;targeted,1000000017,86,
179.404,,Spot,1,Image 1,12,Apoptosis;PRE;targeted,1000000013,87,
93.8845,,Spot,1,Image 1,12,PRE;targeted,1000000015,88,
84.1165,,Spot,1,Image 1,12,PRE;targeted,1000000017,89,
85.6889,,Spot,1,Image 1,13,PRE;targeted,1000000015,90,
93.206,,Spot,1,Image 1,13,PRE;targeted,1000000017,91,
84.6992,,Spot,1,Image 1,14,PRE;targeted,1000000015,92,
97.8943,,Spot,1,Image 1,14,PRE;targeted,1000000017,93,
103.624,,Spot,1,Image 1,15,PRE;targeted,1000000015,94,
84.0705,,Spot,1,Image 1,15,PRE;targeted,1000000017,95,
108.036,,Spot,1,Image 1,16,PRE;targeted,1000000015,96,
73.176,,Spot,1,Image 1,16,PRE;targeted,1000000017,97,
126.421,,Spot,1,Image 1,17,PRE;targeted,1000000015,98,
84.1338,,Spot,1,Image 1,17,PRE;targeted,1000000017,99,
113.103,,Spot,1,Image 1,18,Apoptosis;PRE;targeted,1000000015,100,
93.1168,,Spot,1,Image 1,18,PRE;targeted,1000000017,101,
92.6642,,Spot,1,Image 1,19,PRE;targeted,1000000017,102,
77.9867,,Spot,1,Image 1,20,PRE;targeted,1000000017,103,
81.0758,,Spot,1,Image 1,21,PRE;targeted,1000000017,104,
96.1734,,Spot,1,Image 1,22,PRE;targeted,1000000017,105,
95.8182,,Spot,1,Image 1,23,PRE;targeted,1000000017,106,
96.1789,,Spot,1,Image 1,24,PRE;targeted,1000000017,107,
97.2438,,Spot,1,Image 1,25,PRE;targeted,1000000017,108,
101.327,,Spot,1,Image 1,26,PRE;targeted,1000000017,109,
95.6861,,Spot,1,Image 1,27,PRE;targeted,1000000017,110,
98.9712,,Spot,1,Image 1,28,PRE;targeted,1000000017,111,
91.0145,,Spot,1,Image 1,29,PRE;targeted,1000000017,112,
107.817,,Spot,1,Image 1,30,PRE;targeted,1000000017,113,
115.889,,Spot,1,Image 1,31,Apoptosis;PRE;targeted,1000000017,114,
141.822,,Spot,1,Image 1,5,PRE;targeted,1000000013,115,
166.775,,Spot,1,Image 1,9,PRE;targeted,1000000013,116,
162.389,,Spot,1,Image 1,10,PRE;targeted,1000000013,117,
