
Intensity Min Ch=1 Img=1
 ==================== 
Intensity Min,Unit,Category,Channel,Image,Time,NS-labs,TrackID,ID,
5,,Spot,1,Image 1,1,DP,1000000000,0,
11,,Spot,1,Image 1,1,DP,1000000065,65,
16,,Spot,1,Image 1,1,DP,1000000069,69,
12,,Spot,1,Image 1,1,PRE,1000000157,157,
22,,Spot,1,Image 1,1,DP,1000000383,383,
12,,Spot,1,Image 1,1,DP,1000000493,493,
10,,Spot,1,Image 1,1,DP,1000000495,495,
8,,Spot,1,Image 1,1,DP,1000000566,566,
10,,Spot,1,Image 1,1,DP,1000000603,603,
8,,Spot,1,Image 1,1,DP,1000000671,671,
21,,Spot,1,Image 1,2,DP,1000000000,672,
12,,Spot,1,Image 1,2,DP,1000000065,673,
9,,Spot,1,Image 1,2,DP,1000000069,674,
9,,Spot,1,Image 1,2,PRE,1000000157,675,
23,,Spot,1,Image 1,2,DP,1000000383,676,
12,,Spot,1,Image 1,2,DP,1000000493,677,
9,,Spot,1,Image 1,2,DP,1000000495,678,
8,,Spot,1,Image 1,2,DP,1000000566,679,
7,,Spot,1,Image 1,2,DP,1000000603,680,
10,,Spot,1,Image 1,2,DP,1000000671,681,
18,,Spot,1,Image 1,3,DP,1000000000,682,
14,,Spot,1,Image 1,3,DP,1000000065,683,
11,,Spot,1,Image 1,3,DP,1000000069,684,
11,,Spot,1,Image 1,3,PRE,1000000157,685,
22,,Spot,1,Image 1,3,DP,1000000383,686,
12,,Spot,1,Image 1,3,DP,1000000493,687,
9,,Spot,1,Image 1,3,DP,1000000495,688,
5,,Spot,1,Image 1,3,DP,1000000566,689,
10,,Spot,1,Image 1,3,DP,1000000603,690,
9,,Spot,1,Image 1,3,DP,1000000671,691,
17,,Spot,1,Image 1,4,DP,1000000000,692,
8,,Spot,1,Image 1,4,Apoptosis;DP,1000000065,693,
14,,Spot,1,Image 1,4,DP,1000000069,694,
8,,Spot,1,Image 1,4,PRE,1000000157,695,
15,,Spot,1,Image 1,4,DP,1000000383,696,
12,,Spot,1,Image 1,4,DP,1000000493,697,
11,,Spot,1,Image 1,4,DP,1000000495,698,
3,,Spot,1,Image 1,4,DP,1000000566,699,
9,,Spot,1,Image 1,4,DP,1000000603,700,
11,,Spot,1,Image 1,4,DP,1000000671,701,
19,,Spot,1,Image 1,5,DP,1000000000,702,
13,,Spot,1,Image 1,5,DP,1000000069,703,
10,,Spot,1,Image 1,5,PRE,1000000157,704,
11,,Spot,1,Image 1,5,DP,1000000383,705,
9,,Spot,1,Image 1,5,DP,1000000493,706,
13,,Spot,1,Image 1,5,DP,1000000495,707,
