
Intensity Max Ch=2 Img=1
 ==================== 
Intensity Max,Unit,Category,Channel,Image,Time,NS-labs,TrackID,ID,
119,,Spot,2,Image 1,1,PRE;targeted,1000000000,0,
68,,Spot,2,Image 1,1,PRE;targeted,1000000001,1,
79,,Spot,2,Image 1,1,PRE;targeted,1000000004,4,
77,,Spot,2,Image 1,1,PRE;targeted,1000000005,5,
69,,Spot,2,Image 1,1,PRE;targeted,1000000006,6,
62,,Spot,2,Image 1,1,PRE;targeted,1000000032,32,
53,,Spot,2,Image 1,1,PRE;targeted,1000000033,33,
48,,Spot,2,Image 1,1,PRE;targeted,1000000034,34,
49,,Spot,2,Image 1,1,DP,1000000035,35,
46,,Spot,2,Image 1,1,PRE;targeted,1000000036,36,
50,,Spot,2,Image 1,1,PRE;targeted,1000000037,37,
57,,Spot,2,Image 1,1,PRE;targeted,1000000038,38,
47,,Spot,2,Image 1,1,PRE;targeted,1000000039,39,
58,,Spot,2,Image 1,1,PRE;targeted,1000000040,40,
78,,Spot,2,Image 1,2,Apoptosis;PRE;targeted,1000000000,41,
63,,Spot,2,Image 1,2,Apoptosis;PRE;targeted,1000000001,42,
131,,Spot,2,Image 1,2,Apoptosis;PRE;targeted,1000000004,43,
100,,Spot,2,Image 1,2,Apoptosis;PRE;targeted,1000000005,44,
57,,Spot,2,Image 1,2,PRE;targeted,1000000006,45,
82,,Spot,2,Image 1,2,PRE;targeted,1000000033,46,
61,,Spot,2,Image 1,2,PRE;targeted,1000000034,47,
50,,Spot,2,Image 1,2,DP,1000000035,70,
60,,Spot,2,Image 1,2,PRE;targeted,1000000036,119,
54,,Spot,2,Image 1,2,PRE;targeted,1000000037,124,
43,,Spot,2,Image 1,2,PRE;targeted,1000000038,134,
64,,Spot,2,Image 1,2,PRE;targeted,1000000039,153,
49,,Spot,2,Image 1,2,PRE;targeted,1000000040,186,
51,,Spot,2,Image 1,3,PRE;targeted,1000000006,187,
49,,Spot,2,Image 1,3,Apoptosis;PRE;targeted,1000000033,188,
57,,Spot,2,Image 1,3,PRE;targeted,1000000034,189,
57,,Spot,2,Image 1,3,DP,1000000035,190,
43,,Spot,2,Image 1,3,PRE;targeted,1000000036,191,
51,,Spot,2,Image 1,3,PRE;targeted,1000000037,192,
54,,Spot,2,Image 1,3,PRE;targeted,1000000038,193,
49,,Spot,2,Image 1,3,PRE;targeted,1000000039,194,
45,,Spot,2,Image 1,3,PRE;targeted,1000000040,195,
52,,Spot,2,Image 1,4,Apoptosis;PRE;targeted,1000000006,196,
51,,Spot,2,Image 1,4,PRE;targeted,1000000034,197,
46,,Spot,2,Image 1,4,DP,1000000035,198,
46,,Spot,2,Image 1,4,PRE;targeted,1000000036,199,
66,,Spot,2,Image 1,4,PRE;targeted,1000000037,200,
57,,Spot,2,Image 1,4,PRE;targeted,1000000038,201,
50,,Spot,2,Image 1,4,PRE;targeted,1000000039,202,
43,,Spot,2,Image 1,4,PRE;targeted,1000000040,203,
50,,Spot,2,Image 1,5,PRE;targeted,1000000034,205,
48,,Spot,2,Image 1,5,DP,1000000035,206,
43,,Spot,2,Image 1,5,PRE;targeted,1000000036,207,
77,,Spot,2,Image 1,5,PRE;targeted,1000000037,208,
59,,Spot,2,Image 1,5,PRE;targeted,1000000038,209,
61,,Spot,2,Image 1,5,PRE;targeted,1000000039,210,
53,,Spot,2,Image 1,5,PRE;targeted,1000000040,211,
47,,Spot,2,Image 1,6,PRE;targeted,1000000034,213,
59,,Spot,2,Image 1,6,DP,1000000035,214,
51,,Spot,2,Image 1,6,Apoptosis;PRE;targeted,1000000036,215,
57,,Spot,2,Image 1,6,PRE;targeted,1000000037,216,
51,,Spot,2,Image 1,6,PRE;targeted,1000000038,217,
48,,Spot,2,Image 1,6,PRE;targeted,1000000039,218,
82,,Spot,2,Image 1,6,PRE;targeted,1000000040,219,
45,,Spot,2,Image 1,7,PRE;targeted,1000000034,221,
57,,Spot,2,Image 1,7,DP,1000000035,222,
60,,Spot,2,Image 1,7,PRE;targeted,1000000037,223,
66,,Spot,2,Image 1,7,PRE;targeted,1000000038,224,
48,,Spot,2,Image 1,7,PRE;targeted,1000000039,225,
41,,Spot,2,Image 1,7,PRE;targeted,1000000040,226,
58,,Spot,2,Image 1,8,PRE;targeted,1000000034,228,
46,,Spot,2,Image 1,8,DP,1000000035,229,
84,,Spot,2,Image 1,8,PRE;targeted,1000000037,230,
74,,Spot,2,Image 1,8,PRE;targeted,1000000038,231,
63,,Spot,2,Image 1,8,PRE;targeted,1000000039,232,
57,,Spot,2,Image 1,8,PRE;targeted,1000000040,233,
64,,Spot,2,Image 1,9,PRE;targeted,1000000034,235,
52,,Spot,2,Image 1,9,DP,1000000035,236,
81,,Spot,2,Image 1,9,PRE;targeted,1000000037,237,
53,,Spot,2,Image 1,9,PRE;targeted,1000000038,238,
65,,Spot,2,Image 1,9,PRE;targeted,1000000039,239,
57,,Spot,2,Image 1,9,PRE;targeted,1000000040,240,
41,,Spot,2,Image 1,10,PRE;targeted,1000000034,242,
46,,Spot,2,Image 1,10,DP,1000000035,243,
79,,Spot,2,Image 1,10,PRE;targeted,1000000037,244,
55,,Spot,2,Image 1,10,PRE;targeted,1000000038,245,
47,,Spot,2,Image 1,10,PRE;targeted,1000000039,246,
48,,Spot,2,Image 1,10,PRE;targeted,1000000040,247,
47,,Spot,2,Image 1,11,PRE;targeted,1000000034,249,
54,,Spot,2,Image 1,11,DP,1000000035,250,
62,,Spot,2,Image 1,11,Apoptosis;PRE;targeted,1000000037,251,
48,,Spot,2,Image 1,11,PRE;targeted,1000000038,252,
48,,Spot,2,Image 1,11,PRE;targeted,1000000039,253,
66,,Spot,2,Image 1,11,PRE;targeted,1000000040,254,
45,,Spot,2,Image 1,12,PRE;targeted,1000000034,256,
64,,Spot,2,Image 1,12,DP,1000000035,257,
46,,Spot,2,Image 1,12,Apoptosis;PRE;targeted,1000000038,258,
51,,Spot,2,Image 1,12,PRE;targeted,1000000039,259,
43,,Spot,2,Image 1,12,PRE;targeted,1000000040,260,
64,,Spot,2,Image 1,13,PRE;targeted,1000000034,262,
44,,Spot,2,Image 1,13,DP,1000000035,263,
61,,Spot,2,Image 1,13,PRE;targeted,1000000039,265,
65,,Spot,2,Image 1,13,PRE;targeted,1000000040,266,
56,,Spot,2,Image 1,14,PRE;targeted,1000000034,268,
52,,Spot,2,Image 1,14,DP,1000000035,269,
52,,Spot,2,Image 1,14,PRE;targeted,1000000039,271,
48,,Spot,2,Image 1,14,PRE;targeted,1000000040,272,
42,,Spot,2,Image 1,15,PRE;targeted,1000000034,274,
58,,Spot,2,Image 1,15,DP,1000000035,275,
92,,Spot,2,Image 1,15,Apoptosis;PRE;targeted,1000000039,277,
45,,Spot,2,Image 1,15,PRE;targeted,1000000040,278,
51,,Spot,2,Image 1,16,PRE;targeted,1000000034,280,
57,,Spot,2,Image 1,16,DP,1000000035,281,
53,,Spot,2,Image 1,16,PRE;targeted,1000000040,284,
55,,Spot,2,Image 1,17,PRE;targeted,1000000034,286,
46,,Spot,2,Image 1,17,DP,1000000035,287,
39,,Spot,2,Image 1,17,PRE;targeted,1000000040,290,
45,,Spot,2,Image 1,18,PRE;targeted,1000000034,292,
45,,Spot,2,Image 1,18,DP,1000000035,293,
50,,Spot,2,Image 1,18,PRE;targeted,1000000040,296,
44,,Spot,2,Image 1,19,PRE;targeted,1000000034,298,
45,,Spot,2,Image 1,19,DP,1000000035,299,
43,,Spot,2,Image 1,19,PRE;targeted,1000000040,302,
58,,Spot,2,Image 1,20,PRE;targeted,1000000034,304,
73,,Spot,2,Image 1,20,DP,1000000035,305,
54,,Spot,2,Image 1,20,PRE;targeted,1000000040,308,
59,,Spot,2,Image 1,21,Apoptosis;PRE;targeted,1000000034,310,
52,,Spot,2,Image 1,21,DP,1000000035,311,
43,,Spot,2,Image 1,21,PRE;targeted,1000000040,313,
46,,Spot,2,Image 1,22,DP,1000000035,316,
51,,Spot,2,Image 1,22,PRE;targeted,1000000040,318,
41,,Spot,2,Image 1,23,DP,1000000035,321,
61,,Spot,2,Image 1,23,PRE;targeted,1000000040,323,
46,,Spot,2,Image 1,24,DP,1000000035,326,
41,,Spot,2,Image 1,24,PRE;targeted,1000000040,328,
45,,Spot,2,Image 1,25,DP,1000000035,330,
43,,Spot,2,Image 1,25,PRE;targeted,1000000040,332,
40,,Spot,2,Image 1,26,DP,1000000035,334,
61,,Spot,2,Image 1,26,PRE;targeted,1000000040,336,
48,,Spot,2,Image 1,27,DP,1000000035,338,
53,,Spot,2,Image 1,27,PRE;targeted,1000000040,340,
72,,Spot,2,Image 1,28,DP,1000000035,342,
64,,Spot,2,Image 1,28,PRE;targeted,1000000040,344,
38,,Spot,2,Image 1,29,DP,1000000035,345,
47,,Spot,2,Image 1,29,PRE;targeted,1000000040,347,
45,,Spot,2,Image 1,30,DP,1000000035,348,
