
Intensity Min Ch=3 Img=1
 ==================== 
Intensity Min,Unit,Category,Channel,Image,Time,NS-labs,TrackID,ID,
168,,Spot,3,Image 1,1,DP,1000000000,0,
193,,Spot,3,Image 1,1,DP,1000000002,2,
239,,Spot,3,Image 1,1,DP,1000000003,3,
249,,Spot,3,Image 1,1,DP,1000000215,215,
282,,Spot,3,Image 1,2,DP,1000000003,216,
202,,Spot,3,Image 1,2,DP,1000000000,217,
93,,Spot,3,Image 1,2,DP,1000000002,218,
212,,Spot,3,Image 1,2,DP,1000000215,219,
196,,Spot,3,Image 1,3,DP,1000000003,220,
222,,Spot,3,Image 1,3,DP,1000000000,221,
79,,Spot,3,Image 1,3,DP,1000000002,222,
229,,Spot,3,Image 1,3,DP,1000000215,223,
219,,Spot,3,Image 1,4,DP,1000000003,224,
246,,Spot,3,Image 1,4,DP,1000000000,225,
112,,Spot,3,Image 1,4,DP,1000000002,226,
150,,Spot,3,Image 1,4,DP,1000000215,227,
253,,Spot,3,Image 1,5,DP,1000000003,228,
223,,Spot,3,Image 1,5,DP,1000000000,229,
120,,Spot,3,Image 1,5,DP,1000000002,230,
164,,Spot,3,Image 1,5,DP,1000000215,231,
292,,Spot,3,Image 1,6,DP,1000000003,232,
164,,Spot,3,Image 1,6,DP,1000000000,233,
204,,Spot,3,Image 1,6,DP,1000000002,234,
190,,Spot,3,Image 1,6,DP,1000000215,235,
250,,Spot,3,Image 1,7,DP,1000000003,236,
85,,Spot,3,Image 1,7,DP,1000000000,237,
313,,Spot,3,Image 1,7,DP,1000000002,238,
95,,Spot,3,Image 1,7,DP,1000000215,239,
239,,Spot,3,Image 1,8,DP,1000000003,240,
252,,Spot,3,Image 1,8,DP,1000000000,241,
310,,Spot,3,Image 1,8,DP,1000000002,242,
140,,Spot,3,Image 1,8,DP,1000000215,243,
266,,Spot,3,Image 1,9,DP,1000000003,244,
144,,Spot,3,Image 1,9,DP,1000000000,245,
341,,Spot,3,Image 1,9,DP,1000000002,246,
131,,Spot,3,Image 1,9,DP,1000000215,247,
281,,Spot,3,Image 1,10,DP,1000000003,248,
241,,Spot,3,Image 1,10,DP,1000000000,249,
350,,Spot,3,Image 1,10,DP,1000000002,250,
143,,Spot,3,Image 1,10,DP,1000000215,251,
282,,Spot,3,Image 1,11,DP,1000000003,252,
240,,Spot,3,Image 1,11,DP,1000000000,253,
368,,Spot,3,Image 1,11,DP,1000000002,254,
156,,Spot,3,Image 1,11,DP,1000000215,255,
216,,Spot,3,Image 1,12,DP,1000000003,256,
170,,Spot,3,Image 1,12,DP,1000000000,257,
252,,Spot,3,Image 1,12,DP,1000000002,258,
101,,Spot,3,Image 1,12,DP,1000000215,259,
247,,Spot,3,Image 1,13,DP,1000000003,260,
169,,Spot,3,Image 1,13,DP,1000000000,261,
290,,Spot,3,Image 1,13,DP,1000000002,262,
150,,Spot,3,Image 1,13,DP,1000000215,263,
189,,Spot,3,Image 1,14,DP,1000000003,264,
218,,Spot,3,Image 1,14,DP,1000000000,265,
222,,Spot,3,Image 1,14,DP,1000000002,266,
181,,Spot,3,Image 1,14,DP,1000000215,267,
224,,Spot,3,Image 1,15,DP,1000000003,268,
244,,Spot,3,Image 1,15,DP,1000000000,269,
259,,Spot,3,Image 1,15,DP,1000000002,270,
144,,Spot,3,Image 1,15,DP,1000000215,271,
245,,Spot,3,Image 1,16,Apoptosis;DP,1000000003,272,
209,,Spot,3,Image 1,16,DP,1000000000,273,
177,,Spot,3,Image 1,16,DP,1000000002,274,
98,,Spot,3,Image 1,16,DP,1000000215,275,
215,,Spot,3,Image 1,17,DP,1000000000,276,
162,,Spot,3,Image 1,17,DP,1000000002,277,
149,,Spot,3,Image 1,17,DP,1000000215,278,
209,,Spot,3,Image 1,18,DP,1000000000,279,
198,,Spot,3,Image 1,18,DP,1000000002,280,
236,,Spot,3,Image 1,18,DP,1000000215,281,
149,,Spot,3,Image 1,19,DP,1000000000,282,
227,,Spot,3,Image 1,19,DP,1000000002,283,
271,,Spot,3,Image 1,19,DP,1000000215,284,
112,,Spot,3,Image 1,20,DP,1000000000,285,
177,,Spot,3,Image 1,20,DP,1000000002,286,
228,,Spot,3,Image 1,20,DP;Mito,1000000215,287,
98,,Spot,3,Image 1,21,DP,1000000000,288,
241,,Spot,3,Image 1,21,DP,1000000002,289,
209,,Spot,3,Image 1,21,DP;d1,1000000215,290,
218,,Spot,3,Image 1,21,DP;d2,1000000215,291,
169,,Spot,3,Image 1,22,DP,1000000000,292,
110,,Spot,3,Image 1,22,DP,1000000002,293,
200,,Spot,3,Image 1,22,DP;d1,1000000215,294,
249,,Spot,3,Image 1,22,DP;d2,1000000215,295,
198,,Spot,3,Image 1,23,DP,1000000000,296,
183,,Spot,3,Image 1,23,DP,1000000002,297,
274,,Spot,3,Image 1,23,DP;d1,1000000215,298,
269,,Spot,3,Image 1,23,DP;d2,1000000215,299,
279,,Spot,3,Image 1,24,DP,1000000000,300,
247,,Spot,3,Image 1,24,DP,1000000002,301,
232,,Spot,3,Image 1,24,DP;d1,1000000215,302,
220,,Spot,3,Image 1,24,DP;d2,1000000215,303,
192,,Spot,3,Image 1,25,DP,1000000000,304,
170,,Spot,3,Image 1,25,DP,1000000002,305,
235,,Spot,3,Image 1,25,DP;d1,1000000215,306,
264,,Spot,3,Image 1,25,DP;d2,1000000215,307,
155,,Spot,3,Image 1,26,DP,1000000000,308,
199,,Spot,3,Image 1,26,DP,1000000002,309,
273,,Spot,3,Image 1,26,DP;d1,1000000215,310,
218,,Spot,3,Image 1,26,DP;d2,1000000215,311,
390,,Spot,3,Image 1,27,DP,1000000000,312,
161,,Spot,3,Image 1,27,DP,1000000002,313,
189,,Spot,3,Image 1,27,DP;d1,1000000215,314,
213,,Spot,3,Image 1,27,DP;d2,1000000215,315,
325,,Spot,3,Image 1,28,DP,1000000000,316,
141,,Spot,3,Image 1,28,DP,1000000002,317,
276,,Spot,3,Image 1,28,DP;d1,1000000215,318,
224,,Spot,3,Image 1,28,DP;d2,1000000215,319,
393,,Spot,3,Image 1,29,DP,1000000000,320,
207,,Spot,3,Image 1,29,DP,1000000002,321,
228,,Spot,3,Image 1,29,DP;d1,1000000215,322,
179,,Spot,3,Image 1,29,DP;d2,1000000215,323,
309,,Spot,3,Image 1,30,DP,1000000000,324,
278,,Spot,3,Image 1,30,DP,1000000002,325,
190,,Spot,3,Image 1,30,DP;d2,1000000215,326,
364,,Spot,3,Image 1,31,DP,1000000000,327,
235,,Spot,3,Image 1,31,DP,1000000002,328,
215,,Spot,3,Image 1,31,DP;d2;off,1000000215,329,
401,,Spot,3,Image 1,32,DP,1000000000,330,
232,,Spot,3,Image 1,32,DP,1000000002,331,
261,,Spot,3,Image 1,33,DP,1000000000,332,
384,,Spot,3,Image 1,33,DP,1000000002,333,
200,,Spot,3,Image 1,34,DP,1000000000,334,
308,,Spot,3,Image 1,34,DP,1000000002,335,
242,,Spot,3,Image 1,35,DP,1000000000,336,
281,,Spot,3,Image 1,35,DP,1000000002,337,
260,,Spot,3,Image 1,36,DP,1000000000,338,
226,,Spot,3,Image 1,36,DP,1000000002,339,
219,,Spot,3,Image 1,37,DP,1000000000,340,
275,,Spot,3,Image 1,37,DP,1000000002,341,
285,,Spot,3,Image 1,38,DP,1000000000,342,
273,,Spot,3,Image 1,38,DP,1000000002,343,
287,,Spot,3,Image 1,39,DP,1000000000,344,
250,,Spot,3,Image 1,39,DP,1000000002,345,
245,,Spot,3,Image 1,40,DP,1000000000,346,
224,,Spot,3,Image 1,40,DP,1000000002,347,
326,,Spot,3,Image 1,41,DP,1000000000,348,
279,,Spot,3,Image 1,41,DP,1000000002,349,
339,,Spot,3,Image 1,42,DP,1000000000,350,
215,,Spot,3,Image 1,42,DP,1000000002,351,
310,,Spot,3,Image 1,43,DP,1000000000,352,
339,,Spot,3,Image 1,43,DP,1000000002,353,
259,,Spot,3,Image 1,44,DP,1000000000,354,
277,,Spot,3,Image 1,44,DP,1000000002,355,
238,,Spot,3,Image 1,45,DP,1000000000,356,
318,,Spot,3,Image 1,45,DP,1000000002,357,
250,,Spot,3,Image 1,46,DP,1000000000,358,
300,,Spot,3,Image 1,46,DP,1000000002,359,
208,,Spot,3,Image 1,47,DP;Mito,1000000000,360,
237,,Spot,3,Image 1,47,DP,1000000002,361,
258,,Spot,3,Image 1,48,DP;d1,1000000000,362,
284,,Spot,3,Image 1,48,DP;d2,1000000000,363,
174,,Spot,3,Image 1,48,DP,1000000002,364,
263,,Spot,3,Image 1,49,DP;d1,1000000000,365,
341,,Spot,3,Image 1,49,DP;d2,1000000000,366,
195,,Spot,3,Image 1,49,DP,1000000002,367,
231,,Spot,3,Image 1,50,DP;d1,1000000000,368,
277,,Spot,3,Image 1,50,DP;d2,1000000000,369,
237,,Spot,3,Image 1,50,DP,1000000002,370,
218,,Spot,3,Image 1,1,DP,1000000371,371,
300,,Spot,3,Image 1,2,DP,1000000371,372,
256,,Spot,3,Image 1,3,DP,1000000371,373,
182,,Spot,3,Image 1,4,DP,1000000371,374,
215,,Spot,3,Image 1,5,DP,1000000371,375,
291,,Spot,3,Image 1,6,DP,1000000371,376,
304,,Spot,3,Image 1,7,DP,1000000371,377,
246,,Spot,3,Image 1,8,DP,1000000371,378,
175,,Spot,3,Image 1,9,DP,1000000371,379,
183,,Spot,3,Image 1,10,DP,1000000371,380,
191,,Spot,3,Image 1,11,DP,1000000371,381,
305,,Spot,3,Image 1,12,DP,1000000371,382,
282,,Spot,3,Image 1,13,DP,1000000371,383,
234,,Spot,3,Image 1,14,DP,1000000371,384,
229,,Spot,3,Image 1,15,DP,1000000371,385,
263,,Spot,3,Image 1,16,DP,1000000371,386,
141,,Spot,3,Image 1,17,DP,1000000371,387,
246,,Spot,3,Image 1,18,DP,1000000371,388,
164,,Spot,3,Image 1,19,DP,1000000371,389,
135,,Spot,3,Image 1,20,DP,1000000371,390,
87,,Spot,3,Image 1,21,DP,1000000371,391,
100,,Spot,3,Image 1,22,DP,1000000371,392,
158,,Spot,3,Image 1,23,DP,1000000371,393,
204,,Spot,3,Image 1,24,DP,1000000371,394,
171,,Spot,3,Image 1,25,DP,1000000371,395,
161,,Spot,3,Image 1,26,DP,1000000371,396,
210,,Spot,3,Image 1,27,DP,1000000371,397,
182,,Spot,3,Image 1,28,DP,1000000371,398,
225,,Spot,3,Image 1,29,DP,1000000371,399,
297,,Spot,3,Image 1,30,DP,1000000371,400,
240,,Spot,3,Image 1,31,DP,1000000371,401,
298,,Spot,3,Image 1,32,DP,1000000371,402,
220,,Spot,3,Image 1,33,DP,1000000371,403,
196,,Spot,3,Image 1,34,DP,1000000371,404,
329,,Spot,3,Image 1,35,DP,1000000371,405,
376,,Spot,3,Image 1,36,DP,1000000371,406,
395,,Spot,3,Image 1,37,DP,1000000371,407,
258,,Spot,3,Image 1,38,DP,1000000371,408,
300,,Spot,3,Image 1,39,DP,1000000371,409,
218,,Spot,3,Image 1,40,DP,1000000371,410,
221,,Spot,3,Image 1,41,DP,1000000371,411,
239,,Spot,3,Image 1,42,DP,1000000371,412,
280,,Spot,3,Image 1,43,DP,1000000371,413,
281,,Spot,3,Image 1,44,DP,1000000371,414,
249,,Spot,3,Image 1,45,DP,1000000371,415,
294,,Spot,3,Image 1,46,DP,1000000371,416,
318,,Spot,3,Image 1,47,DP,1000000371,417,
295,,Spot,3,Image 1,48,DP,1000000371,418,
261,,Spot,3,Image 1,49,DP,1000000371,419,
277,,Spot,3,Image 1,50,DP,1000000371,421,
297,,Spot,3,Image 1,1,DP,1000000422,422,
273,,Spot,3,Image 1,2,DP,1000000422,423,
256,,Spot,3,Image 1,3,DP,1000000422,424,
205,,Spot,3,Image 1,4,DP,1000000422,425,
269,,Spot,3,Image 1,5,DP,1000000422,426,
278,,Spot,3,Image 1,6,DP,1000000422,427,
240,,Spot,3,Image 1,7,DP,1000000422,428,
254,,Spot,3,Image 1,8,DP,1000000422,429,
292,,Spot,3,Image 1,9,DP,1000000422,430,
222,,Spot,3,Image 1,10,DP,1000000422,431,
237,,Spot,3,Image 1,11,DP,1000000422,432,
223,,Spot,3,Image 1,12,DP,1000000422,433,
225,,Spot,3,Image 1,13,DP,1000000422,434,
212,,Spot,3,Image 1,14,DP,1000000422,435,
63,,Spot,3,Image 1,15,DP,1000000422,436,
230,,Spot,3,Image 1,16,DP,1000000422,437,
323,,Spot,3,Image 1,17,DP,1000000422,438,
236,,Spot,3,Image 1,18,DP,1000000422,439,
192,,Spot,3,Image 1,19,DP,1000000422,440,
183,,Spot,3,Image 1,20,DP,1000000422,441,
246,,Spot,3,Image 1,21,DP,1000000422,442,
201,,Spot,3,Image 1,22,DP,1000000422,443,
239,,Spot,3,Image 1,23,DP,1000000422,444,
238,,Spot,3,Image 1,24,DP,1000000422,445,
197,,Spot,3,Image 1,25,DP,1000000422,446,
233,,Spot,3,Image 1,26,DP,1000000422,447,
173,,Spot,3,Image 1,27,DP,1000000422,448,
170,,Spot,3,Image 1,28,DP,1000000422,449,
133,,Spot,3,Image 1,29,DP,1000000422,450,
174,,Spot,3,Image 1,30,DP,1000000422,451,
172,,Spot,3,Image 1,31,DP,1000000422,452,
126,,Spot,3,Image 1,32,DP,1000000422,453,
176,,Spot,3,Image 1,33,DP,1000000422,454,
162,,Spot,3,Image 1,34,DP,1000000422,455,
138,,Spot,3,Image 1,35,DP,1000000422,456,
149,,Spot,3,Image 1,37,DP,1000000422,458,
128,,Spot,3,Image 1,38,DP,1000000422,459,
152,,Spot,3,Image 1,39,DP,1000000422,460,
178,,Spot,3,Image 1,40,DP,1000000422,461,
145,,Spot,3,Image 1,41,DP,1000000422,462,
174,,Spot,3,Image 1,42,DP,1000000422,463,
105,,Spot,3,Image 1,43,DP,1000000422,464,
240,,Spot,3,Image 1,44,DP,1000000422,465,
262,,Spot,3,Image 1,45,DP,1000000422,466,
181,,Spot,3,Image 1,46,DP,1000000422,467,
193,,Spot,3,Image 1,47,DP,1000000422,468,
180,,Spot,3,Image 1,48,DP,1000000422,469,
