
Position
 ==================== 
Position X,Position Y,Position Z,Unit,Category,Collection,Time,NS-labs,TrackID,ID,
-10462.5,-1621.4,808.406,um,Spot,Position,1,PRE,1000000002,2,
-10457.8,-1647.73,811.384,um,Spot,Position,1,PRE,1000000003,3,
-10448.4,-1613.37,813.213,um,Spot,Position,1,PRE,1000000004,4,
-10469.2,-1595.14,814.9,um,Spot,Position,1,PRE,1000000005,5,
-10453.6,-1594.87,819.731,um,Spot,Position,1,PRE,1000000006,6,
-10452.8,-1606.21,817.537,um,Spot,Position,1,PRE,1000000007,7,
-10444,-1609.21,821.763,um,Spot,Position,1,PRE,1000000008,8,
-10438,-1618.39,821.391,um,Spot,Position,1,PRE,1000000009,9,
-10447.3,-1629.83,818.769,um,Spot,Position,1,PRE,1000000010,10,
-10443.7,-1655.49,832.467,um,Spot,Position,1,PRE,1000000011,11,
-10453.1,-1662.3,826.573,um,Spot,Position,1,PRE,1000000013,13,
-10440.1,-1600.11,828.921,um,Spot,Position,1,PRE,1000000015,15,
-10446.5,-1588.06,837.882,um,Spot,Position,1,PRE,1000000016,16,
-10466.6,-1643.3,806.683,um,Spot,Position,1,PRE,1000000071,71,
-10441.4,-1647.95,834.999,um,Spot,Position,1,PRE,1000001913,1913,
-10435.4,-1632.64,832.391,um,Spot,Position,1,PRE,1000001914,1914,
-10427.3,-1627.49,844.051,um,Spot,Position,1,PRE,1000001915,1915,
-10428.2,-1610.86,850.869,um,Spot,Position,1,PRE,1000001916,1916,
-10434.5,-1603,842.089,um,Spot,Position,1,PRE,1000001917,1917,
-10450,-1585.98,870.961,um,Spot,Position,1,PRE,1000001918,1918,
-10437.3,-1650.53,851.345,um,Spot,Position,1,PRE,1000001919,1919,
-10467,-1643.57,806.331,um,Spot,Position,2,PRE,1000000071,1921,
-10463.3,-1623.37,807.062,um,Spot,Position,2,PRE,1000000002,1922,
-10458.4,-1650.7,811.602,um,Spot,Position,2,PRE,1000000003,1923,
-10446.9,-1610.92,815.58,um,Spot,Position,2,PRE,1000000004,1924,
-10468,-1589.88,818.657,um,Spot,Position,2,PRE,1000000005,1925,
-10453.4,-1592.54,821.369,um,Spot,Position,2,PRE,1000000006,1926,
-10452,-1603.62,818.399,um,Spot,Position,2,PRE,1000000007,1927,
-10441.5,-1607.89,823.888,um,Spot,Position,2,PRE,1000000008,1928,
-10435.9,-1618.11,823.148,um,Spot,Position,2,PRE,1000000009,1929,
-10448.9,-1628.45,815.367,um,Spot,Position,2,PRE,1000000010,1930,
-10440.9,-1653.38,832.659,um,Spot,Position,2,PRE,1000000011,1931,
-10451.4,-1659.2,826.04,um,Spot,Position,2,PRE,1000000013,1932,
-10438.4,-1598.88,831.052,um,Spot,Position,2,PRE,1000000015,1933,
-10443.8,-1588.22,841.628,um,Spot,Position,2,PRE,1000000016,1934,
-10450,-1586.01,874.456,um,Spot,Position,2,PRE,1000001918,1935,
-10435.1,-1649.86,852.901,um,Spot,Position,2,PRE,1000001919,1936,
-10439.8,-1647.23,837.43,um,Spot,Position,2,PRE,1000001913,1938,
-10434,-1632,829.96,um,Spot,Position,2,PRE,1000001914,1969,
-10425.4,-1627.25,842.576,um,Spot,Position,2,PRE,1000001915,1996,
-10432.9,-1601.89,845.142,um,Spot,Position,2,PRE,1000001917,2010,
-10425.7,-1613.81,851.217,um,Spot,Position,2,PRE,1000001916,2038,
-10466.9,-1642.74,806.471,um,Spot,Position,3,PRE,1000000071,2040,
-10461.6,-1621.99,806.44,um,Spot,Position,3,PRE,1000000002,2041,
-10458.1,-1649.45,811.547,um,Spot,Position,3,PRE,1000000003,2042,
