
Intensity Mean Ch=2 Img=1
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,NS-labs,TrackID,ID,
129.759,,Spot,2,Image 1,1,PRE,1000000000,0,
290.176,,Spot,2,Image 1,1,PRE,1000000001,1,
180.241,,Spot,2,Image 1,1,PRE,1000000002,2,
233.674,,Spot,2,Image 1,1,PRE,1000000004,4,
195.1,,Spot,2,Image 1,1,PRE,1000000006,6,
168.276,,Spot,2,Image 1,1,PRE,1000000007,7,
138.119,,Spot,2,Image 1,1,PRE,1000000008,8,
116.503,,Spot,2,Image 1,1,PRE,1000000009,9,
171.332,,Spot,2,Image 1,1,PRE,1000000010,10,
83.6422,,Spot,2,Image 1,1,PRE,1000000012,12,
219.025,,Spot,2,Image 1,1,DP,1000000013,13,
283.183,,Spot,2,Image 1,1,DP,1000000014,14,
183.555,,Spot,2,Image 1,1,EPI,1000000015,15,
130.224,,Spot,2,Image 1,1,DP,1000000016,16,
121.536,,Spot,2,Image 1,1,DP,1000000017,17,
208.055,,Spot,2,Image 1,1,DP,1000000018,18,
246.46,,Spot,2,Image 1,1,DP,1000000806,806,
137.424,,Spot,2,Image 1,2,DP,1000000016,807,
125.272,,Spot,2,Image 1,2,DP,1000000017,808,
260.494,,Spot,2,Image 1,2,DP,1000000018,809,
198.397,,Spot,2,Image 1,2,EPI,1000000015,810,
339.806,,Spot,2,Image 1,2,DP,1000000014,811,
278.627,,Spot,2,Image 1,2,DP,1000000013,812,
101.712,,Spot,2,Image 1,2,PRE,1000000012,813,
142,,Spot,2,Image 1,2,PRE,1000000008,814,
108.388,,Spot,2,Image 1,2,PRE,1000000009,815,
219.586,,Spot,2,Image 1,2,PRE,1000000010,816,
162.163,,Spot,2,Image 1,2,PRE,1000000000,817,
199.003,,Spot,2,Image 1,2,PRE,1000000007,818,
278.018,,Spot,2,Image 1,2,PRE,1000000004,819,
254.548,,Spot,2,Image 1,2,PRE,1000000006,820,
255.225,,Spot,2,Image 1,2,DP,1000000806,821,
311.409,,Spot,2,Image 1,2,PRE,1000000001,827,
234.603,,Spot,2,Image 1,2,PRE,1000000002,899,
145.452,,Spot,2,Image 1,3,DP,1000000016,900,
121.601,,Spot,2,Image 1,3,DP,1000000017,901,
260.643,,Spot,2,Image 1,3,DP,1000000018,902,
229.197,,Spot,2,Image 1,3,EPI,1000000015,903,
297.307,,Spot,2,Image 1,3,DP,1000000014,904,
287.991,,Spot,2,Image 1,3,DP,1000000013,905,
112.664,,Spot,2,Image 1,3,PRE,1000000012,906,
140.14,,Spot,2,Image 1,3,PRE,1000000008,907,
114.638,,Spot,2,Image 1,3,PRE,1000000009,908,
205.641,,Spot,2,Image 1,3,PRE,1000000010,909,
147.466,,Spot,2,Image 1,3,PRE,1000000000,910,
197.701,,Spot,2,Image 1,3,PRE,1000000007,911,
288.657,,Spot,2,Image 1,3,PRE,1000000004,912,
282.114,,Spot,2,Image 1,3,PRE,1000000006,913,
240.956,,Spot,2,Image 1,3,DP,1000000806,914,
301.351,,Spot,2,Image 1,3,PRE,1000000001,915,
206.636,,Spot,2,Image 1,3,PRE,1000000002,916,
118.559,,Spot,2,Image 1,4,DP,1000000016,917,
100.086,,Spot,2,Image 1,4,DP,1000000017,918,
222.695,,Spot,2,Image 1,4,DP,1000000018,919,
222.084,,Spot,2,Image 1,4,EPI,1000000015,920,
266.952,,Spot,2,Image 1,4,DP,1000000014,921,
258.159,,Spot,2,Image 1,4,DP,1000000013,922,
94.2922,,Spot,2,Image 1,4,PRE,1000000012,923,
118.084,,Spot,2,Image 1,4,PRE,1000000008,924,
113.741,,Spot,2,Image 1,4,PRE,1000000009,925,
174.167,,Spot,2,Image 1,4,PRE,1000000010,926,
148.675,,Spot,2,Image 1,4,PRE,1000000000,927,
150.682,,Spot,2,Image 1,4,PRE,1000000007,928,
220.489,,Spot,2,Image 1,4,Apoptosis;PRE,1000000004,929,
223.234,,Spot,2,Image 1,4,PRE,1000000006,930,
220.197,,Spot,2,Image 1,4,DP,1000000806,931,
247.49,,Spot,2,Image 1,4,PRE,1000000001,932,
102.144,,Spot,2,Image 1,4,PRE,1000000002,933,
117.42,,Spot,2,Image 1,5,DP,1000000016,934,
94.8523,,Spot,2,Image 1,5,DP,1000000017,935,
147.883,,Spot,2,Image 1,5,DP,1000000018,936,
204.867,,Spot,2,Image 1,5,EPI,1000000015,937,
224.399,,Spot,2,Image 1,5,DP,1000000014,938,
239.994,,Spot,2,Image 1,5,DP,1000000013,939,
116.346,,Spot,2,Image 1,5,PRE,1000000012,940,
113.804,,Spot,2,Image 1,5,PRE,1000000008,941,
113.503,,Spot,2,Image 1,5,PRE,1000000009,942,
153.514,,Spot,2,Image 1,5,PRE,1000000010,943,
152.713,,Spot,2,Image 1,5,PRE,1000000000,944,
143.46,,Spot,2,Image 1,5,PRE,1000000007,945,
187.201,,Spot,2,Image 1,5,PRE,1000000006,946,
191.616,,Spot,2,Image 1,5,DP,1000000806,947,
263.067,,Spot,2,Image 1,5,PRE,1000000001,948,
98.8131,,Spot,2,Image 1,5,PRE,1000000002,949,
116.858,,Spot,2,Image 1,6,DP,1000000016,950,
94.9403,,Spot,2,Image 1,6,DP,1000000017,951,
174.673,,Spot,2,Image 1,6,DP,1000000018,952,
214.636,,Spot,2,Image 1,6,EPI,1000000015,953,
258.033,,Spot,2,Image 1,6,DP,1000000014,954,
212.409,,Spot,2,Image 1,6,DP,1000000013,955,
121.944,,Spot,2,Image 1,6,PRE,1000000012,956,
112.568,,Spot,2,Image 1,6,PRE,1000000008,957,
134.381,,Spot,2,Image 1,6,PRE,1000000009,958,
180.628,,Spot,2,Image 1,6,PRE,1000000010,959,
156.443,,Spot,2,Image 1,6,PRE,1000000000,960,
131.639,,Spot,2,Image 1,6,PRE,1000000007,961,
198.376,,Spot,2,Image 1,6,PRE,1000000006,962,
209.089,,Spot,2,Image 1,6,DP,1000000806,963,
259.609,,Spot,2,Image 1,6,PRE,1000000001,964,
87.0252,,Spot,2,Image 1,6,PRE,1000000002,965,
120.293,,Spot,2,Image 1,7,DP,1000000016,966,
90.5745,,Spot,2,Image 1,7,DP,1000000017,967,
210.88,,Spot,2,Image 1,7,DP,1000000018,968,
215.766,,Spot,2,Image 1,7,EPI,1000000015,969,
231.648,,Spot,2,Image 1,7,DP,1000000014,970,
162.027,,Spot,2,Image 1,7,DP,1000000013,971,
116.573,,Spot,2,Image 1,7,PRE,1000000012,972,
110.576,,Spot,2,Image 1,7,PRE,1000000008,973,
117.881,,Spot,2,Image 1,7,PRE,1000000009,974,
154.874,,Spot,2,Image 1,7,PRE,1000000010,975,
125.389,,Spot,2,Image 1,7,PRE,1000000000,976,
115.514,,Spot,2,Image 1,7,PRE,1000000007,977,
180.142,,Spot,2,Image 1,7,PRE,1000000006,978,
220.588,,Spot,2,Image 1,7,DP,1000000806,979,
233.988,,Spot,2,Image 1,7,PRE,1000000001,980,
85.8491,,Spot,2,Image 1,7,PRE,1000000002,981,
118.035,,Spot,2,Image 1,8,DP,1000000016,982,
90.2914,,Spot,2,Image 1,8,DP,1000000017,983,
190.149,,Spot,2,Image 1,8,DP,1000000018,984,
198.216,,Spot,2,Image 1,8,EPI,1000000015,985,
219.435,,Spot,2,Image 1,8,DP,1000000014,986,
200.516,,Spot,2,Image 1,8,DP,1000000013,987,
123.162,,Spot,2,Image 1,8,PRE,1000000012,988,
116.63,,Spot,2,Image 1,8,PRE,1000000008,989,
115.22,,Spot,2,Image 1,8,PRE,1000000009,990,
161.466,,Spot,2,Image 1,8,PRE,1000000010,991,
120.381,,Spot,2,Image 1,8,PRE,1000000000,992,
