
Intensity Max Ch=1 Img=1
 ==================== 
Intensity Max,Unit,Category,Channel,Image,Time,NS-labs,TrackID,ID,
212,,Spot,1,Image 1,1,PRE,1000000000,0,
169,,Spot,1,Image 1,1,PRE,1000000110,110,
167,,Spot,1,Image 1,1,PRE,1000000259,259,
180,,Spot,1,Image 1,1,PRE,1000000328,328,
159,,Spot,1,Image 1,1,PRE,1000000436,436,
155,,Spot,1,Image 1,1,PRE,1000000553,553,
280,,Spot,1,Image 1,2,Mito;PRE,1000000000,554,
184,,Spot,1,Image 1,2,PRE,1000000110,555,
164,,Spot,1,Image 1,2,PRE,1000000259,556,
226,,Spot,1,Image 1,2,PRE,1000000328,557,
184,,Spot,1,Image 1,2,PRE,1000000436,558,
147,,Spot,1,Image 1,2,PRE,1000000553,559,
282,,Spot,1,Image 1,3,PRE;d1,1000000000,560,
276,,Spot,1,Image 1,3,PRE;d2,1000000000,561,
158,,Spot,1,Image 1,3,PRE,1000000110,562,
155,,Spot,1,Image 1,3,PRE,1000000259,563,
179,,Spot,1,Image 1,3,PRE,1000000328,564,
170,,Spot,1,Image 1,3,PRE,1000000436,565,
145,,Spot,1,Image 1,3,PRE,1000000553,566,
263,,Spot,1,Image 1,4,PRE;d1,1000000000,567,
256,,Spot,1,Image 1,4,PRE;d2,1000000000,568,
195,,Spot,1,Image 1,4,PRE,1000000110,569,
155,,Spot,1,Image 1,4,PRE,1000000259,570,
190,,Spot,1,Image 1,4,PRE,1000000328,571,
156,,Spot,1,Image 1,4,PRE,1000000436,572,
108,,Spot,1,Image 1,4,PRE,1000000553,573,
240,,Spot,1,Image 1,5,PRE;d1,1000000000,574,
246,,Spot,1,Image 1,5,PRE;d2,1000000000,575,
204,,Spot,1,Image 1,5,PRE,1000000110,576,
172,,Spot,1,Image 1,5,PRE,1000000259,577,
189,,Spot,1,Image 1,5,PRE,1000000328,578,
127,,Spot,1,Image 1,5,PRE,1000000436,579,
132,,Spot,1,Image 1,5,PRE,1000000553,580,
191,,Spot,1,Image 1,6,PRE;d1,1000000000,581,
245,,Spot,1,Image 1,6,PRE;d2,1000000000,582,
217,,Spot,1,Image 1,6,PRE,1000000110,583,
154,,Spot,1,Image 1,6,PRE,1000000259,584,
163,,Spot,1,Image 1,6,PRE,1000000328,585,
136,,Spot,1,Image 1,6,PRE,1000000436,586,
140,,Spot,1,Image 1,6,PRE,1000000553,587,
152,,Spot,1,Image 1,7,PRE;d1,1000000000,588,
247,,Spot,1,Image 1,7,PRE;d2,1000000000,589,
261,,Spot,1,Image 1,7,PRE,1000000110,590,
181,,Spot,1,Image 1,7,PRE,1000000259,591,
170,,Spot,1,Image 1,7,PRE,1000000328,592,
166,,Spot,1,Image 1,7,PRE,1000000436,593,
135,,Spot,1,Image 1,7,PRE,1000000553,594,
208,,Spot,1,Image 1,8,PRE;d1,1000000000,595,
198,,Spot,1,Image 1,8,PRE;d2,1000000000,596,
273,,Spot,1,Image 1,8,PRE,1000000110,597,
196,,Spot,1,Image 1,8,PRE,1000000259,598,
176,,Spot,1,Image 1,8,PRE,1000000328,599,
163,,Spot,1,Image 1,8,PRE,1000000436,600,
138,,Spot,1,Image 1,8,PRE,1000000553,601,
194,,Spot,1,Image 1,9,PRE;d1,1000000000,602,
240,,Spot,1,Image 1,9,PRE;d2,1000000000,603,
247,,Spot,1,Image 1,9,PRE,1000000110,604,
221,,Spot,1,Image 1,9,PRE,1000000259,605,
239,,Spot,1,Image 1,9,PRE,1000000328,606,
161,,Spot,1,Image 1,9,PRE,1000000436,607,
148,,Spot,1,Image 1,9,PRE,1000000553,608,
186,,Spot,1,Image 1,10,PRE;d1,1000000000,609,
195,,Spot,1,Image 1,10,PRE;d2,1000000000,610,
256,,Spot,1,Image 1,10,PRE,1000000110,611,
248,,Spot,1,Image 1,10,PRE,1000000259,612,
248,,Spot,1,Image 1,10,PRE,1000000328,613,
173,,Spot,1,Image 1,10,PRE,1000000436,614,
142,,Spot,1,Image 1,10,PRE,1000000553,615,
200,,Spot,1,Image 1,11,PRE;d1,1000000000,616,
200,,Spot,1,Image 1,11,PRE;d2,1000000000,617,
290,,Spot,1,Image 1,11,PRE,1000000110,618,
234,,Spot,1,Image 1,11,PRE,1000000259,619,
208,,Spot,1,Image 1,11,PRE,1000000328,620,
138,,Spot,1,Image 1,11,PRE,1000000436,621,
151,,Spot,1,Image 1,11,PRE,1000000553,622,
192,,Spot,1,Image 1,12,PRE;d1,1000000000,623,
234,,Spot,1,Image 1,12,PRE;d2,1000000000,624,
292,,Spot,1,Image 1,12,PRE,1000000110,625,
280,,Spot,1,Image 1,12,PRE,1000000259,626,
274,,Spot,1,Image 1,12,PRE,1000000328,627,
187,,Spot,1,Image 1,12,PRE,1000000436,628,
138,,Spot,1,Image 1,12,PRE,1000000553,629,
273,,Spot,1,Image 1,13,PRE;d1,1000000000,630,
257,,Spot,1,Image 1,13,PRE;d2,1000000000,631,
314,,Spot,1,Image 1,13,PRE,1000000110,632,
259,,Spot,1,Image 1,13,PRE,1000000259,633,
303,,Spot,1,Image 1,13,PRE,1000000328,634,
146,,Spot,1,Image 1,13,PRE,1000000436,635,
164,,Spot,1,Image 1,13,PRE,1000000553,636,
251,,Spot,1,Image 1,14,PRE;d1,1000000000,637,
210,,Spot,1,Image 1,14,PRE;d2,1000000000,638,
298,,Spot,1,Image 1,14,PRE,1000000110,639,
251,,Spot,1,Image 1,14,PRE,1000000259,640,
328,,Spot,1,Image 1,14,PRE,1000000328,641,
175,,Spot,1,Image 1,14,PRE,1000000436,642,
165,,Spot,1,Image 1,14,PRE,1000000553,643,
229,,Spot,1,Image 1,15,PRE;d1,1000000000,644,
252,,Spot,1,Image 1,15,PRE;d2,1000000000,645,
363,,Spot,1,Image 1,15,PRE,1000000110,646,
231,,Spot,1,Image 1,15,PRE,1000000259,647,
362,,Spot,1,Image 1,15,PRE,1000000328,648,
154,,Spot,1,Image 1,15,PRE,1000000436,649,
218,,Spot,1,Image 1,15,PRE,1000000553,650,
241,,Spot,1,Image 1,16,PRE;d1,1000000000,651,
233,,Spot,1,Image 1,16,PRE;d2,1000000000,652,
388,,Spot,1,Image 1,16,PRE,1000000110,653,
289,,Spot,1,Image 1,16,PRE,1000000259,654,
317,,Spot,1,Image 1,16,PRE,1000000328,655,
178,,Spot,1,Image 1,16,PRE,1000000436,656,
232,,Spot,1,Image 1,16,PRE,1000000553,657,
205,,Spot,1,Image 1,17,PRE;d1,1000000000,658,
198,,Spot,1,Image 1,17,PRE;d2,1000000000,659,
336,,Spot,1,Image 1,17,PRE,1000000110,660,
276,,Spot,1,Image 1,17,PRE,1000000259,661,
316,,Spot,1,Image 1,17,PRE,1000000328,662,
194,,Spot,1,Image 1,17,PRE,1000000436,663,
176,,Spot,1,Image 1,17,PRE,1000000553,664,
216,,Spot,1,Image 1,18,PRE;d1,1000000000,665,
251,,Spot,1,Image 1,18,PRE;d2,1000000000,666,
384,,Spot,1,Image 1,18,PRE,1000000110,667,
259,,Spot,1,Image 1,18,PRE,1000000259,668,
330,,Spot,1,Image 1,18,PRE,1000000328,669,
260,,Spot,1,Image 1,18,PRE,1000000436,670,
232,,Spot,1,Image 1,18,PRE,1000000553,671,
226,,Spot,1,Image 1,19,PRE;d1,1000000000,672,
268,,Spot,1,Image 1,19,PRE;d2,1000000000,673,
374,,Spot,1,Image 1,19,PRE,1000000110,674,
379,,Spot,1,Image 1,19,PRE,1000000259,675,
295,,Spot,1,Image 1,19,PRE,1000000328,676,
266,,Spot,1,Image 1,19,Mito;PRE,1000000436,677,
327,,Spot,1,Image 1,19,Mito;PRE,1000000553,678,
223,,Spot,1,Image 1,20,PRE;d1,1000000000,679,
233,,Spot,1,Image 1,20,PRE;d2,1000000000,680,
354,,Spot,1,Image 1,20,PRE,1000000110,681,
404,,Spot,1,Image 1,20,PRE,1000000259,682,
326,,Spot,1,Image 1,20,PRE,1000000328,683,
393,,Spot,1,Image 1,20,PRE;d1,1000000436,684,
296,,Spot,1,Image 1,20,PRE;d2,1000000436,685,
472,,Spot,1,Image 1,20,PRE;d1,1000000553,686,
360,,Spot,1,Image 1,20,PRE;d2,1000000553,687,
260,,Spot,1,Image 1,21,PRE;d1,1000000000,688,
242,,Spot,1,Image 1,21,PRE;d2,1000000000,689,
317,,Spot,1,Image 1,21,PRE,1000000110,690,
374,,Spot,1,Image 1,21,PRE,1000000259,691,
294,,Spot,1,Image 1,21,PRE,1000000328,692,
276,,Spot,1,Image 1,21,PRE;d1,1000000436,693,
264,,Spot,1,Image 1,21,PRE;d2,1000000436,694,
351,,Spot,1,Image 1,21,PRE;d1,1000000553,695,
282,,Spot,1,Image 1,21,PRE;d2,1000000553,696,
215,,Spot,1,Image 1,22,PRE;d1,1000000000,697,
202,,Spot,1,Image 1,22,PRE;d2,1000000000,698,
363,,Spot,1,Image 1,22,PRE,1000000110,699,
341,,Spot,1,Image 1,22,PRE,1000000259,700,
