
Intensity Max Ch=2 Img=1
 ==================== 
Intensity Max,Unit,Category,Channel,Image,Time,NS-labs,TrackID,ID,
447,,Spot,2,Image 1,1,PRE,1000000001,1,
457,,Spot,2,Image 1,1,PRE,1000000002,2,
497,,Spot,2,Image 1,1,PRE,1000000005,5,
556,,Spot,2,Image 1,2,PRE,1000000005,6,
460,,Spot,2,Image 1,2,PRE,1000000001,74,
328,,Spot,2,Image 1,2,PRE,1000000002,146,
730,,Spot,2,Image 1,3,PRE,1000000005,147,
452,,Spot,2,Image 1,3,PRE,1000000001,148,
373,,Spot,2,Image 1,3,PRE,1000000002,149,
742,,Spot,2,Image 1,4,PRE,1000000005,150,
476,,Spot,2,Image 1,4,PRE,1000000001,151,
374,,Spot,2,Image 1,4,PRE,1000000002,152,
669,,Spot,2,Image 1,5,PRE,1000000005,153,
447,,Spot,2,Image 1,5,PRE,1000000001,154,
392,,Spot,2,Image 1,5,PRE,1000000002,155,
708,,Spot,2,Image 1,6,PRE,1000000005,156,
461,,Spot,2,Image 1,6,PRE,1000000001,157,
369,,Spot,2,Image 1,6,PRE,1000000002,158,
688,,Spot,2,Image 1,7,PRE,1000000005,159,
387,,Spot,2,Image 1,7,PRE,1000000001,160,
389,,Spot,2,Image 1,7,PRE,1000000002,161,
535,,Spot,2,Image 1,8,PRE,1000000005,162,
402,,Spot,2,Image 1,8,PRE,1000000001,163,
371,,Spot,2,Image 1,8,PRE,1000000002,164,
810,,Spot,2,Image 1,9,PRE,1000000005,165,
417,,Spot,2,Image 1,9,PRE,1000000001,166,
355,,Spot,2,Image 1,9,PRE,1000000002,167,
372,,Spot,2,Image 1,10,PRE,1000000005,168,
507,,Spot,2,Image 1,10,PRE,1000000001,169,
369,,Spot,2,Image 1,10,PRE,1000000002,170,
451,,Spot,2,Image 1,11,PRE,1000000005,171,
394,,Spot,2,Image 1,11,PRE,1000000001,172,
342,,Spot,2,Image 1,11,PRE,1000000002,173,
498,,Spot,2,Image 1,12,PRE,1000000005,174,
371,,Spot,2,Image 1,12,PRE,1000000001,175,
386,,Spot,2,Image 1,12,PRE,1000000002,176,
542,,Spot,2,Image 1,13,PRE,1000000005,177,
391,,Spot,2,Image 1,13,PRE,1000000001,178,
339,,Spot,2,Image 1,13,PRE,1000000002,179,
446,,Spot,2,Image 1,14,PRE,1000000005,180,
381,,Spot,2,Image 1,14,PRE,1000000001,181,
267,,Spot,2,Image 1,14,PRE,1000000002,182,
440,,Spot,2,Image 1,15,PRE,1000000005,183,
356,,Spot,2,Image 1,15,PRE,1000000001,184,
305,,Spot,2,Image 1,15,PRE,1000000002,185,
440,,Spot,2,Image 1,16,PRE,1000000005,186,
381,,Spot,2,Image 1,16,PRE,1000000001,187,
326,,Spot,2,Image 1,16,PRE,1000000002,188,
432,,Spot,2,Image 1,17,PRE,1000000005,189,
358,,Spot,2,Image 1,17,PRE,1000000001,190,
321,,Spot,2,Image 1,17,Mito;PRE,1000000002,191,
414,,Spot,2,Image 1,18,PRE,1000000005,192,
353,,Spot,2,Image 1,18,PRE,1000000001,193,
470,,Spot,2,Image 1,18,PRE;d1,1000000002,194,
393,,Spot,2,Image 1,18,PRE;d2,1000000002,214,
380,,Spot,2,Image 1,19,PRE,1000000005,215,
441,,Spot,2,Image 1,19,PRE,1000000001,216,
687,,Spot,2,Image 1,19,PRE;d1,1000000002,217,
420,,Spot,2,Image 1,19,PRE;d2,1000000002,218,
406,,Spot,2,Image 1,20,PRE,1000000005,219,
432,,Spot,2,Image 1,20,PRE,1000000001,220,
663,,Spot,2,Image 1,20,PRE;d1,1000000002,221,
381,,Spot,2,Image 1,20,PRE;d2,1000000002,222,
398,,Spot,2,Image 1,21,PRE,1000000005,223,
373,,Spot,2,Image 1,21,PRE,1000000001,224,
402,,Spot,2,Image 1,21,PRE;d1,1000000002,225,
421,,Spot,2,Image 1,21,PRE;d2,1000000002,226,
363,,Spot,2,Image 1,22,PRE,1000000005,227,
460,,Spot,2,Image 1,22,PRE,1000000001,228,
582,,Spot,2,Image 1,22,PRE;d1,1000000002,229,
399,,Spot,2,Image 1,22,PRE;d2,1000000002,230,
377,,Spot,2,Image 1,23,PRE,1000000005,231,
543,,Spot,2,Image 1,23,PRE,1000000001,232,
665,,Spot,2,Image 1,23,PRE;d1,1000000002,233,
353,,Spot,2,Image 1,23,PRE;d2,1000000002,234,
370,,Spot,2,Image 1,24,PRE,1000000005,235,
357,,Spot,2,Image 1,24,PRE,1000000001,236,
518,,Spot,2,Image 1,24,PRE;d1,1000000002,237,
368,,Spot,2,Image 1,24,PRE;d2,1000000002,238,
508,,Spot,2,Image 1,25,PRE,1000000005,239,
332,,Spot,2,Image 1,25,PRE,1000000001,240,
469,,Spot,2,Image 1,25,PRE;d1,1000000002,241,
291,,Spot,2,Image 1,25,PRE;d2,1000000002,242,
420,,Spot,2,Image 1,26,PRE,1000000005,243,
388,,Spot,2,Image 1,26,PRE,1000000001,244,
360,,Spot,2,Image 1,26,PRE;d1,1000000002,245,
341,,Spot,2,Image 1,26,PRE;d2,1000000002,246,
