
Intensity Min Ch=1 Img=1
 ==================== 
Intensity Min,Unit,Category,Channel,Image,Time,NS-labs,TrackID,ID,
8,,Spot,1,Image 1,1,PRE;targeted,1000000000,0,
7,,Spot,1,Image 1,1,PRE;targeted,1000000001,1,
6,,Spot,1,Image 1,1,PRE;targeted,1000000002,2,
8,,Spot,1,Image 1,1,PRE;targeted,1000000003,3,
10,,Spot,1,Image 1,1,PRE;targeted,1000000004,4,
4,,Spot,1,Image 1,1,PRE;targeted,1000000005,5,
6,,Spot,1,Image 1,1,PRE;targeted,1000000006,6,
5,,Spot,1,Image 1,1,PRE;targeted,1000000007,7,
4,,Spot,1,Image 1,2,PRE;targeted,1000000000,8,
9,,Spot,1,Image 1,2,PRE;targeted,1000000001,12,
8,,Spot,1,Image 1,2,PRE;targeted,1000000003,30,
8,,Spot,1,Image 1,2,PRE;targeted,1000000002,80,
11,,Spot,1,Image 1,2,PRE;targeted,1000000004,131,
4,,Spot,1,Image 1,2,PRE;targeted,1000000005,160,
7,,Spot,1,Image 1,2,PRE;targeted,1000000006,167,
6,,Spot,1,Image 1,2,PRE;targeted,1000000007,189,
5,,Spot,1,Image 1,3,PRE;targeted,1000000000,190,
11,,Spot,1,Image 1,3,PRE;targeted,1000000001,191,
9,,Spot,1,Image 1,3,PRE;targeted,1000000003,192,
7,,Spot,1,Image 1,3,PRE;targeted,1000000002,193,
11,,Spot,1,Image 1,3,PRE;targeted,1000000004,194,
8,,Spot,1,Image 1,3,PRE;targeted,1000000005,195,
8,,Spot,1,Image 1,3,PRE;targeted,1000000006,196,
8,,Spot,1,Image 1,3,PRE;targeted,1000000007,197,
6,,Spot,1,Image 1,4,PRE;targeted,1000000000,198,
10,,Spot,1,Image 1,4,PRE;targeted,1000000001,199,
11,,Spot,1,Image 1,4,PRE;targeted,1000000003,200,
8,,Spot,1,Image 1,4,PRE;targeted,1000000002,201,
11,,Spot,1,Image 1,4,PRE;targeted,1000000004,202,
8,,Spot,1,Image 1,4,PRE;targeted,1000000005,203,
3,,Spot,1,Image 1,4,PRE;targeted,1000000006,204,
8,,Spot,1,Image 1,4,PRE;targeted,1000000007,205,
6,,Spot,1,Image 1,5,Apoptosis;PRE;targeted,1000000000,206,
7,,Spot,1,Image 1,5,PRE;targeted,1000000003,207,
5,,Spot,1,Image 1,5,PRE;targeted,1000000002,208,
7,,Spot,1,Image 1,5,PRE;targeted,1000000001,209,
9,,Spot,1,Image 1,5,PRE;targeted,1000000004,210,
10,,Spot,1,Image 1,5,PRE;targeted,1000000005,211,
5,,Spot,1,Image 1,5,PRE;targeted,1000000006,212,
6,,Spot,1,Image 1,5,PRE;targeted,1000000007,213,
12,,Spot,1,Image 1,6,PRE;targeted,1000000003,214,
6,,Spot,1,Image 1,6,PRE;targeted,1000000002,215,
7,,Spot,1,Image 1,6,PRE;targeted,1000000001,216,
8,,Spot,1,Image 1,6,PRE;targeted,1000000004,217,
9,,Spot,1,Image 1,6,PRE;targeted,1000000005,218,
5,,Spot,1,Image 1,6,PRE;targeted,1000000006,219,
8,,Spot,1,Image 1,6,PRE;targeted,1000000007,220,
10,,Spot,1,Image 1,7,PRE;targeted,1000000001,221,
11,,Spot,1,Image 1,7,PRE;targeted,1000000003,222,
9,,Spot,1,Image 1,7,PRE;targeted,1000000002,223,
6,,Spot,1,Image 1,7,PRE;targeted,1000000004,224,
9,,Spot,1,Image 1,7,PRE;targeted,1000000005,225,
8,,Spot,1,Image 1,7,PRE;targeted,1000000006,226,
5,,Spot,1,Image 1,7,PRE;targeted,1000000007,227,
9,,Spot,1,Image 1,8,PRE;targeted,1000000003,228,
8,,Spot,1,Image 1,8,PRE;targeted,1000000002,229,
7,,Spot,1,Image 1,8,PRE;targeted,1000000001,230,
7,,Spot,1,Image 1,8,PRE;targeted,1000000004,231,
9,,Spot,1,Image 1,8,Apoptosis;PRE;targeted,1000000005,232,
6,,Spot,1,Image 1,8,PRE;targeted,1000000006,233,
5,,Spot,1,Image 1,8,PRE;targeted,1000000007,234,
11,,Spot,1,Image 1,9,PRE;targeted,1000000003,235,
11,,Spot,1,Image 1,9,PRE;targeted,1000000002,236,
6,,Spot,1,Image 1,9,PRE;targeted,1000000001,237,
7,,Spot,1,Image 1,9,PRE;targeted,1000000004,238,
4,,Spot,1,Image 1,9,PRE;targeted,1000000006,239,
8,,Spot,1,Image 1,9,PRE;targeted,1000000007,240,
8,,Spot,1,Image 1,10,PRE;targeted,1000000003,241,
12,,Spot,1,Image 1,10,PRE;targeted,1000000002,242,
7,,Spot,1,Image 1,10,PRE;targeted,1000000001,243,
7,,Spot,1,Image 1,10,PRE;targeted,1000000004,244,
3,,Spot,1,Image 1,10,PRE;targeted,1000000006,245,
8,,Spot,1,Image 1,10,PRE;targeted,1000000007,246,
8,,Spot,1,Image 1,11,PRE;targeted,1000000003,247,
10,,Spot,1,Image 1,11,PRE;targeted,1000000002,248,
6,,Spot,1,Image 1,11,PRE;targeted,1000000001,249,
12,,Spot,1,Image 1,11,PRE;targeted,1000000004,250,
6,,Spot,1,Image 1,11,PRE;targeted,1000000006,251,
7,,Spot,1,Image 1,11,PRE;targeted,1000000007,252,
6,,Spot,1,Image 1,12,PRE;targeted,1000000003,253,
7,,Spot,1,Image 1,12,PRE;targeted,1000000002,254,
9,,Spot,1,Image 1,12,PRE;targeted,1000000004,256,
4,,Spot,1,Image 1,12,PRE;targeted,1000000006,257,
8,,Spot,1,Image 1,12,Apoptosis;PRE;targeted,1000000007,258,
6,,Spot,1,Image 1,13,PRE;targeted,1000000003,259,
8,,Spot,1,Image 1,13,PRE;targeted,1000000002,260,
8,,Spot,1,Image 1,13,PRE;targeted,1000000004,262,
6,,Spot,1,Image 1,13,PRE;targeted,1000000006,263,
5,,Spot,1,Image 1,14,PRE;targeted,1000000003,264,
8,,Spot,1,Image 1,14,PRE;targeted,1000000002,265,
8,,Spot,1,Image 1,14,PRE;targeted,1000000001,266,
11,,Spot,1,Image 1,14,PRE;targeted,1000000004,267,
7,,Spot,1,Image 1,14,PRE;targeted,1000000006,268,
7,,Spot,1,Image 1,15,PRE;targeted,1000000003,269,
12,,Spot,1,Image 1,15,PRE;targeted,1000000002,270,
8,,Spot,1,Image 1,15,PRE;targeted,1000000004,272,
6,,Spot,1,Image 1,15,PRE;targeted,1000000006,273,
8,,Spot,1,Image 1,16,PRE;targeted,1000000003,274,
10,,Spot,1,Image 1,16,PRE;targeted,1000000002,275,
8,,Spot,1,Image 1,16,PRE;targeted,1000000001,276,
8,,Spot,1,Image 1,16,PRE;targeted,1000000004,277,
8,,Spot,1,Image 1,16,PRE;targeted,1000000006,278,
7,,Spot,1,Image 1,17,PRE;targeted,1000000003,279,
10,,Spot,1,Image 1,17,PRE;targeted,1000000002,280,
6,,Spot,1,Image 1,17,PRE;targeted,1000000004,282,
5,,Spot,1,Image 1,17,PRE;targeted,1000000006,283,
6,,Spot,1,Image 1,18,PRE;targeted,1000000003,284,
10,,Spot,1,Image 1,18,PRE;targeted,1000000002,285,
7,,Spot,1,Image 1,18,PRE;targeted,1000000004,287,
8,,Spot,1,Image 1,18,PRE;targeted,1000000006,288,
12,,Spot,1,Image 1,19,Apoptosis;PRE;targeted,1000000001,289,
9,,Spot,1,Image 1,19,PRE;targeted,1000000003,290,
7,,Spot,1,Image 1,19,PRE;targeted,1000000002,291,
10,,Spot,1,Image 1,19,PRE;targeted,1000000004,292,
7,,Spot,1,Image 1,19,PRE;targeted,1000000006,293,
8,,Spot,1,Image 1,20,PRE;targeted,1000000003,294,
11,,Spot,1,Image 1,20,PRE;targeted,1000000002,295,
6,,Spot,1,Image 1,20,PRE;targeted,1000000004,296,
6,,Spot,1,Image 1,20,PRE;targeted,1000000006,297,
4,,Spot,1,Image 1,21,PRE;targeted,1000000003,298,
9,,Spot,1,Image 1,21,PRE;targeted,1000000002,299,
9,,Spot,1,Image 1,21,PRE;targeted,1000000004,300,
6,,Spot,1,Image 1,21,PRE;targeted,1000000006,301,
9,,Spot,1,Image 1,22,PRE;targeted,1000000003,302,
12,,Spot,1,Image 1,22,PRE;targeted,1000000002,303,
6,,Spot,1,Image 1,22,PRE;targeted,1000000004,304,
6,,Spot,1,Image 1,22,PRE;targeted,1000000006,305,
9,,Spot,1,Image 1,23,PRE;targeted,1000000003,306,
7,,Spot,1,Image 1,23,PRE;targeted,1000000002,307,
11,,Spot,1,Image 1,23,PRE;targeted,1000000004,308,
8,,Spot,1,Image 1,23,Apoptosis;PRE;targeted,1000000006,309,
6,,Spot,1,Image 1,24,PRE;targeted,1000000003,310,
10,,Spot,1,Image 1,24,PRE;targeted,1000000002,311,
11,,Spot,1,Image 1,24,PRE;targeted,1000000004,312,
7,,Spot,1,Image 1,25,PRE;targeted,1000000003,313,
13,,Spot,1,Image 1,25,PRE;targeted,1000000002,314,
9,,Spot,1,Image 1,25,PRE;targeted,1000000004,315,
5,,Spot,1,Image 1,26,PRE;targeted,1000000003,316,
11,,Spot,1,Image 1,26,PRE;targeted,1000000002,317,
9,,Spot,1,Image 1,26,PRE;targeted,1000000004,318,
7,,Spot,1,Image 1,27,PRE;targeted,1000000003,319,
10,,Spot,1,Image 1,27,PRE;targeted,1000000002,320,
11,,Spot,1,Image 1,27,PRE;targeted,1000000004,321,
8,,Spot,1,Image 1,28,PRE;targeted,1000000003,322,
12,,Spot,1,Image 1,28,PRE;targeted,1000000002,323,
9,,Spot,1,Image 1,28,PRE;targeted,1000000004,324,
8,,Spot,1,Image 1,29,PRE;targeted,1000000003,325,
11,,Spot,1,Image 1,29,PRE;targeted,1000000002,326,
11,,Spot,1,Image 1,29,PRE;targeted,1000000004,327,
5,,Spot,1,Image 1,30,PRE;targeted,1000000003,328,
14,,Spot,1,Image 1,30,PRE;targeted,1000000002,329,
8,,Spot,1,Image 1,30,Apoptosis;PRE;targeted,1000000004,330,
4,,Spot,1,Image 1,31,PRE;targeted,1000000003,331,
10,,Spot,1,Image 1,31,PRE;targeted,1000000002,332,
7,,Spot,1,Image 1,32,PRE;targeted,1000000003,333,
9,,Spot,1,Image 1,32,PRE;targeted,1000000002,334,
9,,Spot,1,Image 1,33,PRE;targeted,1000000003,335,
12,,Spot,1,Image 1,33,PRE;targeted,1000000002,336,
9,,Spot,1,Image 1,34,PRE;targeted,1000000003,337,
14,,Spot,1,Image 1,34,PRE;targeted,1000000002,338,
5,,Spot,1,Image 1,35,PRE;targeted,1000000003,339,
16,,Spot,1,Image 1,35,PRE;targeted,1000000002,340,
7,,Spot,1,Image 1,36,PRE;targeted,1000000003,341,
13,,Spot,1,Image 1,36,PRE;targeted,1000000002,342,
6,,Spot,1,Image 1,37,PRE;targeted,1000000003,343,
10,,Spot,1,Image 1,37,PRE;targeted,1000000002,344,
6,,Spot,1,Image 1,38,PRE;targeted,1000000003,345,
13,,Spot,1,Image 1,38,PRE;targeted,1000000002,346,
6,,Spot,1,Image 1,39,PRE;targeted,1000000003,347,
12,,Spot,1,Image 1,39,Apoptosis;PRE;targeted,1000000002,348,
5,,Spot,1,Image 1,40,PRE;targeted,1000000003,349,
8,,Spot,1,Image 1,41,PRE;targeted,1000000003,350,
8,,Spot,1,Image 1,42,PRE;targeted,1000000003,351,
6,,Spot,1,Image 1,43,PRE;targeted,1000000003,352,
