
Intensity Mean Ch=1 Img=1
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,NS-labs,TrackID,ID,
43.5969,,Spot,1,Image 1,1,PRE,1000000000,0,
51.0474,,Spot,1,Image 1,1,DP,1000000001,1,
39.3884,,Spot,1,Image 1,1,PRE,1000000002,2,
49.7276,,Spot,1,Image 1,2,DP,1000000001,3,
54.3248,,Spot,1,Image 1,2,PRE,1000000000,121,
38.7131,,Spot,1,Image 1,2,PRE,1000000002,157,
48.668,,Spot,1,Image 1,3,DP,1000000001,158,
57.0846,,Spot,1,Image 1,3,PRE,1000000000,159,
41.1356,,Spot,1,Image 1,3,PRE,1000000002,160,
46.76,,Spot,1,Image 1,4,DP,1000000001,161,
60.166,,Spot,1,Image 1,4,PRE,1000000000,162,
47.2732,,Spot,1,Image 1,4,PRE,1000000002,163,
42.3944,,Spot,1,Image 1,5,DP,1000000001,164,
55.8784,,Spot,1,Image 1,5,PRE,1000000000,165,
44.837,,Spot,1,Image 1,5,PRE,1000000002,166,
39.7225,,Spot,1,Image 1,6,DP,1000000001,167,
56.0623,,Spot,1,Image 1,6,PRE,1000000000,168,
45.4505,,Spot,1,Image 1,6,PRE,1000000002,169,
45.9863,,Spot,1,Image 1,7,DP,1000000001,170,
59.098,,Spot,1,Image 1,7,PRE,1000000000,171,
48.6125,,Spot,1,Image 1,7,PRE,1000000002,172,
48.3416,,Spot,1,Image 1,8,DP,1000000001,173,
57.2324,,Spot,1,Image 1,8,PRE,1000000000,174,
47.8597,,Spot,1,Image 1,8,PRE,1000000002,175,
46.0593,,Spot,1,Image 1,9,DP,1000000001,176,
59.5976,,Spot,1,Image 1,9,PRE,1000000000,177,
48.0456,,Spot,1,Image 1,9,PRE,1000000002,178,
49.2868,,Spot,1,Image 1,10,DP,1000000001,179,
58.7044,,Spot,1,Image 1,10,PRE,1000000000,180,
47.3175,,Spot,1,Image 1,10,PRE,1000000002,181,
51.9143,,Spot,1,Image 1,11,DP,1000000001,182,
62.1279,,Spot,1,Image 1,11,PRE,1000000000,183,
49.8499,,Spot,1,Image 1,11,PRE,1000000002,184,
54.6442,,Spot,1,Image 1,12,DP,1000000001,185,
64.5848,,Spot,1,Image 1,12,PRE,1000000000,186,
51.3657,,Spot,1,Image 1,12,PRE,1000000002,187,
55.6621,,Spot,1,Image 1,13,DP,1000000001,188,
60.7349,,Spot,1,Image 1,13,PRE,1000000000,189,
51.8448,,Spot,1,Image 1,13,PRE,1000000002,190,
55.0961,,Spot,1,Image 1,14,DP,1000000001,191,
61.6565,,Spot,1,Image 1,14,PRE,1000000000,192,
51.2922,,Spot,1,Image 1,14,PRE,1000000002,193,
57.5655,,Spot,1,Image 1,15,DP,1000000001,194,
62.0005,,Spot,1,Image 1,15,PRE,1000000000,195,
53.171,,Spot,1,Image 1,15,PRE,1000000002,196,
58.6557,,Spot,1,Image 1,16,DP,1000000001,197,
63.0789,,Spot,1,Image 1,16,PRE,1000000000,198,
52.6598,,Spot,1,Image 1,16,PRE,1000000002,199,
55.6338,,Spot,1,Image 1,17,DP,1000000001,200,
65.1551,,Spot,1,Image 1,17,PRE,1000000000,201,
55.8103,,Spot,1,Image 1,17,PRE,1000000002,202,
53.5169,,Spot,1,Image 1,18,DP,1000000001,203,
