
Intensity Min Ch=1 Img=1
 ==================== 
Intensity Min,Unit,Category,Channel,Image,Time,NS-labs,TrackID,ID,
9,,Spot,1,Image 1,1,DP,1000000010,10,
7,,Spot,1,Image 1,1,DP,1000000085,85,
7,,Spot,1,Image 1,1,DP,1000000086,86,
7,,Spot,1,Image 1,1,DP,1000000087,87,
7,,Spot,1,Image 1,1,DP,1000000088,88,
5,,Spot,1,Image 1,1,DP,1000000089,89,
8,,Spot,1,Image 1,1,DP,1000000090,90,
3,,Spot,1,Image 1,1,DP,1000000091,91,
7,,Spot,1,Image 1,1,DP,1000000303,303,
7,,Spot,1,Image 1,1,DP,1000000588,588,
4,,Spot,1,Image 1,2,DP,1000000010,589,
6,,Spot,1,Image 1,2,DP,1000000087,590,
9,,Spot,1,Image 1,2,DP,1000000085,591,
9,,Spot,1,Image 1,2,DP;Mito,1000000091,592,
7,,Spot,1,Image 1,2,DP,1000000088,593,
7,,Spot,1,Image 1,2,DP,1000000086,594,
6,,Spot,1,Image 1,2,DP,1000000090,595,
7,,Spot,1,Image 1,2,DP,1000000089,596,
7,,Spot,1,Image 1,2,DP,1000000303,597,
8,,Spot,1,Image 1,2,DP,1000000588,598,
8,,Spot,1,Image 1,3,DP,1000000010,599,
7,,Spot,1,Image 1,3,DP,1000000087,600,
8,,Spot,1,Image 1,3,DP,1000000085,601,
10,,Spot,1,Image 1,3,DP;d1,1000000091,602,
4,,Spot,1,Image 1,3,DP,1000000088,603,
8,,Spot,1,Image 1,3,DP,1000000086,604,
7,,Spot,1,Image 1,3,DP,1000000090,605,
6,,Spot,1,Image 1,3,DP,1000000089,606,
5,,Spot,1,Image 1,3,DP,1000000303,607,
8,,Spot,1,Image 1,3,DP,1000000588,608,
6,,Spot,1,Image 1,3,DP;d2,1000000091,631,
7,,Spot,1,Image 1,4,DP,1000000010,632,
8,,Spot,1,Image 1,4,DP,1000000087,633,
8,,Spot,1,Image 1,4,DP,1000000085,634,
6,,Spot,1,Image 1,4,DP;d1,1000000091,635,
6,,Spot,1,Image 1,4,DP,1000000088,636,
