
Time
 ==================== 
Time,Unit,Category,Time,NS-labs,TrackID,ID,
0,min,Spot,1,DP,1000000010,10,
0,min,Spot,1,DP,1000000085,85,
0,min,Spot,1,DP,1000000086,86,
0,min,Spot,1,DP,1000000087,87,
0,min,Spot,1,DP,1000000088,88,
0,min,Spot,1,DP,1000000089,89,
0,min,Spot,1,DP,1000000090,90,
0,min,Spot,1,DP,1000000091,91,
0,min,Spot,1,DP,1000000303,303,
0,min,Spot,1,DP,1000000588,588,
0.0166667,min,Spot,2,DP,1000000010,589,
0.0166667,min,Spot,2,DP,1000000087,590,
0.0166667,min,Spot,2,DP,1000000085,591,
0.0166667,min,Spot,2,DP;Mito,1000000091,592,
0.0166667,min,Spot,2,DP,1000000088,593,
0.0166667,min,Spot,2,DP,1000000086,594,
0.0166667,min,Spot,2,DP,1000000090,595,
0.0166667,min,Spot,2,DP,1000000089,596,
0.0166667,min,Spot,2,DP,1000000303,597,
0.0166667,min,Spot,2,DP,1000000588,598,
0.0333333,min,Spot,3,DP,1000000010,599,
0.0333333,min,Spot,3,DP,1000000087,600,
0.0333333,min,Spot,3,DP,1000000085,601,
0.0333333,min,Spot,3,DP;d1,1000000091,602,
0.0333333,min,Spot,3,DP,1000000088,603,
0.0333333,min,Spot,3,DP,1000000086,604,
0.0333333,min,Spot,3,DP,1000000090,605,
0.0333333,min,Spot,3,DP,1000000089,606,
0.0333333,min,Spot,3,DP,1000000303,607,
0.0333333,min,Spot,3,DP,1000000588,608,
0.0333333,min,Spot,3,DP;d2,1000000091,631,
0.05,min,Spot,4,DP,1000000010,632,
0.05,min,Spot,4,DP,1000000087,633,
0.05,min,Spot,4,DP,1000000085,634,
0.05,min,Spot,4,DP;d1,1000000091,635,
0.05,min,Spot,4,DP,1000000088,636,
0.05,min,Spot,4,DP,1000000086,637,
0.05,min,Spot,4,DP,1000000090,638,
0.05,min,Spot,4,DP,1000000089,639,
0.05,min,Spot,4,DP,1000000303,640,
0.05,min,Spot,4,DP,1000000588,641,
0.05,min,Spot,4,DP;d2,1000000091,642,
0.0666667,min,Spot,5,DP,1000000010,643,
0.0666667,min,Spot,5,DP,1000000087,644,
0.0666667,min,Spot,5,DP,1000000085,645,
0.0666667,min,Spot,5,DP;d1,1000000091,646,
0.0666667,min,Spot,5,DP,1000000088,647,
0.0666667,min,Spot,5,DP,1000000086,648,
0.0666667,min,Spot,5,DP,1000000090,649,
0.0666667,min,Spot,5,DP,1000000089,650,
0.0666667,min,Spot,5,DP,1000000303,651,
0.0666667,min,Spot,5,DP,1000000588,652,
0.0666667,min,Spot,5,DP;d2,1000000091,653,
0.0833333,min,Spot,6,DP,1000000010,654,
0.0833333,min,Spot,6,DP,1000000087,655,
0.0833333,min,Spot,6,DP,1000000085,656,
0.0833333,min,Spot,6,DP;d1,1000000091,657,
0.0833333,min,Spot,6,DP,1000000088,658,
0.0833333,min,Spot,6,DP,1000000086,659,
0.0833333,min,Spot,6,DP,1000000090,660,
0.0833333,min,Spot,6,DP,1000000089,661,
0.0833333,min,Spot,6,DP,1000000303,662,
0.0833333,min,Spot,6,DP,1000000588,663,
0.0833333,min,Spot,6,DP;d2,1000000091,664,
0.1,min,Spot,7,DP,1000000010,665,
0.1,min,Spot,7,DP,1000000087,666,
0.1,min,Spot,7,DP,1000000085,667,
0.1,min,Spot,7,DP;d1,1000000091,668,
0.1,min,Spot,7,DP,1000000088,669,
0.1,min,Spot,7,DP,1000000086,670,
0.1,min,Spot,7,DP,1000000090,671,
0.1,min,Spot,7,DP,1000000089,672,
0.1,min,Spot,7,DP,1000000303,673,
0.1,min,Spot,7,DP,1000000588,674,
0.1,min,Spot,7,DP;d2,1000000091,685,
0.116667,min,Spot,8,DP,1000000010,686,
0.116667,min,Spot,8,DP,1000000087,687,
0.116667,min,Spot,8,DP,1000000085,688,
0.116667,min,Spot,8,DP;d1,1000000091,689,
0.116667,min,Spot,8,DP,1000000088,690,
0.116667,min,Spot,8,DP,1000000086,691,
0.116667,min,Spot,8,DP,1000000090,692,
0.116667,min,Spot,8,DP,1000000089,693,
0.116667,min,Spot,8,DP,1000000303,694,
0.116667,min,Spot,8,DP,1000000588,695,
0.116667,min,Spot,8,DP;d2,1000000091,696,
0.133333,min,Spot,9,DP,1000000010,697,
0.133333,min,Spot,9,DP,1000000087,698,
0.133333,min,Spot,9,DP,1000000085,699,
0.133333,min,Spot,9,DP;d1,1000000091,700,
0.133333,min,Spot,9,DP,1000000088,701,
0.133333,min,Spot,9,DP,1000000086,702,
0.133333,min,Spot,9,DP,1000000090,703,
0.133333,min,Spot,9,DP,1000000089,704,
0.133333,min,Spot,9,DP,1000000303,705,
0.133333,min,Spot,9,DP,1000000588,706,
0.133333,min,Spot,9,DP;d2,1000000091,707,
0.15,min,Spot,10,DP,1000000010,708,
0.15,min,Spot,10,DP,1000000087,709,
0.15,min,Spot,10,DP,1000000085,710,
0.15,min,Spot,10,DP;d1,1000000091,711,
0.15,min,Spot,10,DP,1000000088,712,
0.15,min,Spot,10,DP,1000000086,713,
0.15,min,Spot,10,DP,1000000090,714,
0.15,min,Spot,10,DP,1000000089,715,
0.15,min,Spot,10,DP,1000000303,716,
0.15,min,Spot,10,DP,1000000588,717,
0.15,min,Spot,10,DP;d2,1000000091,718,
0.166667,min,Spot,11,DP,1000000010,719,
0.166667,min,Spot,11,DP,1000000087,720,
0.166667,min,Spot,11,DP,1000000085,721,
0.166667,min,Spot,11,DP;d1,1000000091,722,
0.166667,min,Spot,11,DP,1000000088,723,
0.166667,min,Spot,11,DP,1000000086,724,
0.166667,min,Spot,11,DP,1000000090,725,
0.166667,min,Spot,11,DP,1000000089,726,
0.166667,min,Spot,11,DP,1000000303,727,
0.166667,min,Spot,11,DP,1000000588,728,
0.166667,min,Spot,11,DP;d2,1000000091,729,
0.183333,min,Spot,12,DP,1000000010,730,
0.183333,min,Spot,12,DP,1000000087,731,
0.183333,min,Spot,12,DP,1000000085,732,
0.183333,min,Spot,12,DP;d1,1000000091,733,
0.183333,min,Spot,12,DP,1000000088,734,
0.183333,min,Spot,12,DP,1000000086,735,
0.183333,min,Spot,12,DP,1000000090,736,
0.183333,min,Spot,12,DP,1000000089,737,
0.183333,min,Spot,12,DP,1000000303,738,
0.183333,min,Spot,12,DP,1000000588,739,
0.183333,min,Spot,12,DP;d2,1000000091,740,
0.2,min,Spot,13,DP,1000000010,741,
0.2,min,Spot,13,DP,1000000087,742,
0.2,min,Spot,13,DP,1000000085,743,
0.2,min,Spot,13,DP;d1,1000000091,744,
0.2,min,Spot,13,DP,1000000088,745,
0.2,min,Spot,13,DP,1000000086,746,
0.2,min,Spot,13,DP,1000000090,747,
0.2,min,Spot,13,DP,1000000089,748,
0.2,min,Spot,13,DP,1000000303,749,
0.2,min,Spot,13,DP,1000000588,750,
0.2,min,Spot,13,DP;d2,1000000091,751,
0.216667,min,Spot,14,DP,1000000010,752,
0.216667,min,Spot,14,DP,1000000087,753,
0.216667,min,Spot,14,DP,1000000085,754,
0.216667,min,Spot,14,DP;d1,1000000091,755,
0.216667,min,Spot,14,DP,1000000088,756,
0.216667,min,Spot,14,DP,1000000086,757,
0.216667,min,Spot,14,DP,1000000090,758,
0.216667,min,Spot,14,DP,1000000089,759,
0.216667,min,Spot,14,DP,1000000303,760,
0.216667,min,Spot,14,DP,1000000588,761,
0.216667,min,Spot,14,DP;d2,1000000091,762,
0.233333,min,Spot,15,DP,1000000010,763,
0.233333,min,Spot,15,DP,1000000087,764,
0.233333,min,Spot,15,DP,1000000085,765,
0.233333,min,Spot,15,DP;d1,1000000091,766,
0.233333,min,Spot,15,DP,1000000088,767,
0.233333,min,Spot,15,DP,1000000086,768,
0.233333,min,Spot,15,DP,1000000090,769,
0.233333,min,Spot,15,DP,1000000089,770,
0.233333,min,Spot,15,DP,1000000303,771,
0.233333,min,Spot,15,DP,1000000588,772,
0.233333,min,Spot,15,DP;d2,1000000091,773,
0.25,min,Spot,16,DP,1000000010,774,
0.25,min,Spot,16,DP,1000000087,775,
0.25,min,Spot,16,DP,1000000085,776,
0.25,min,Spot,16,DP;d1,1000000091,777,
0.25,min,Spot,16,DP,1000000088,778,
0.25,min,Spot,16,DP,1000000086,779,
0.25,min,Spot,16,DP,1000000090,780,
0.25,min,Spot,16,DP,1000000089,781,
0.25,min,Spot,16,DP,1000000303,782,
0.25,min,Spot,16,DP,1000000588,783,
