
Intensity Median Ch=2 Img=1
 ==================== 
Intensity Median,Unit,Category,Channel,Image,Time,NS-labs,TrackID,ID,
225.088,,Spot,2,Image 1,1,PRE,1000000000,0,
193.048,,Spot,2,Image 1,1,PRE,1000000001,1,
233.92,,Spot,2,Image 1,1,PRE,1000000002,2,
202.12,,Spot,2,Image 1,1,PRE,1000000003,3,
216.928,,Spot,2,Image 1,1,PRE,1000000004,4,
226.12,,Spot,2,Image 1,1,PRE,1000000005,5,
208.08,,Spot,2,Image 1,1,PRE,1000000006,6,
195.944,,Spot,2,Image 1,2,PRE,1000000001,7,
244.136,,Spot,2,Image 1,2,PRE,1000000002,71,
151.096,,Spot,2,Image 1,2,Apoptosis;PRE,1000000006,292,
235.124,,Spot,2,Image 1,2,PRE,1000000005,293,
194.896,,Spot,2,Image 1,2,PRE,1000000004,371,
192.928,,Spot,2,Image 1,2,PRE,1000000003,487,
216.576,,Spot,2,Image 1,3,PRE,1000000001,488,
245.024,,Spot,2,Image 1,3,PRE,1000000002,489,
226.96,,Spot,2,Image 1,3,PRE,1000000005,491,
174.088,,Spot,2,Image 1,3,PRE,1000000004,492,
186.92,,Spot,2,Image 1,3,PRE,1000000003,493,
193.044,,Spot,2,Image 1,4,PRE,1000000001,494,
232.12,,Spot,2,Image 1,4,PRE,1000000002,495,
255.952,,Spot,2,Image 1,4,PRE,1000000000,496,
240.848,,Spot,2,Image 1,4,PRE,1000000005,497,
194.096,,Spot,2,Image 1,4,PRE,1000000004,498,
196.932,,Spot,2,Image 1,4,PRE,1000000003,499,
170.008,,Spot,2,Image 1,5,PRE,1000000001,500,
208.984,,Spot,2,Image 1,5,PRE,1000000002,501,
222,,Spot,2,Image 1,5,PRE,1000000005,503,
197.528,,Spot,2,Image 1,5,PRE,1000000004,504,
179.04,,Spot,2,Image 1,5,PRE,1000000003,505,
174.888,,Spot,2,Image 1,6,PRE,1000000001,506,
210,,Spot,2,Image 1,6,PRE,1000000002,507,
232.904,,Spot,2,Image 1,6,PRE,1000000005,509,
200.96,,Spot,2,Image 1,6,PRE,1000000004,510,
190.064,,Spot,2,Image 1,6,PRE,1000000003,511,
160.1,,Spot,2,Image 1,7,PRE,1000000001,512,
195.984,,Spot,2,Image 1,7,PRE,1000000002,513,
214.64,,Spot,2,Image 1,7,PRE,1000000005,515,
207.112,,Spot,2,Image 1,7,PRE,1000000004,516,
182.076,,Spot,2,Image 1,7,PRE,1000000003,517,
191.968,,Spot,2,Image 1,8,PRE,1000000001,518,
207.944,,Spot,2,Image 1,8,PRE,1000000002,519,
212.024,,Spot,2,Image 1,8,PRE,1000000000,520,
206.96,,Spot,2,Image 1,8,PRE,1000000005,521,
233.104,,Spot,2,Image 1,8,Mito;PRE,1000000004,522,
189,,Spot,2,Image 1,8,PRE,1000000003,523,
198.016,,Spot,2,Image 1,9,PRE,1000000001,524,
178.96,,Spot,2,Image 1,9,PRE,1000000002,525,
226.072,,Spot,2,Image 1,9,PRE,1000000000,526,
213.992,,Spot,2,Image 1,9,PRE,1000000005,527,
182.928,,Spot,2,Image 1,9,PRE;d1,1000000004,528,
235.976,,Spot,2,Image 1,9,PRE;d2,1000000004,529,
173,,Spot,2,Image 1,9,PRE,1000000003,530,
208.952,,Spot,2,Image 1,10,PRE,1000000001,531,
193.96,,Spot,2,Image 1,10,PRE,1000000002,532,
232.956,,Spot,2,Image 1,10,PRE,1000000000,533,
214.976,,Spot,2,Image 1,10,PRE,1000000005,534,
166.168,,Spot,2,Image 1,10,PRE;d1,1000000004,535,
224.076,,Spot,2,Image 1,10,PRE;d2,1000000004,536,
165.024,,Spot,2,Image 1,10,PRE,1000000003,537,
194.08,,Spot,2,Image 1,11,PRE,1000000001,538,
180.024,,Spot,2,Image 1,11,PRE,1000000002,539,
199.096,,Spot,2,Image 1,11,PRE,1000000005,541,
166.984,,Spot,2,Image 1,11,PRE;d1,1000000004,542,
194.816,,Spot,2,Image 1,11,PRE;d2,1000000004,543,
169.024,,Spot,2,Image 1,11,PRE,1000000003,544,
176.92,,Spot,2,Image 1,12,PRE,1000000001,545,
175.928,,Spot,2,Image 1,12,PRE,1000000002,546,
203.992,,Spot,2,Image 1,12,PRE,1000000005,548,
197.568,,Spot,2,Image 1,12,PRE;d1,1000000004,549,
198.928,,Spot,2,Image 1,12,PRE;d2,1000000004,550,
186.912,,Spot,2,Image 1,12,PRE,1000000003,551,
177.136,,Spot,2,Image 1,13,PRE,1000000001,552,
158.072,,Spot,2,Image 1,13,PRE,1000000002,553,
202.048,,Spot,2,Image 1,13,PRE,1000000005,555,
182.096,,Spot,2,Image 1,13,PRE;d1,1000000004,556,
203.144,,Spot,2,Image 1,13,PRE;d2,1000000004,557,
