
Intensity Mean Ch=1 Img=1
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,NS-labs,TrackID,ID,
78.9313,,Spot,1,Image 1,1,PRE;targeted,1000000000,0,
114.733,,Spot,1,Image 1,1,Apoptosis;PRE;targeted,,1,
48.5084,,Spot,1,Image 1,1,PRE;targeted,1000000003,3,
48.7708,,Spot,1,Image 1,1,PRE;targeted,1000000026,26,
77.88,,Spot,1,Image 1,2,PRE;targeted,1000000000,27,
48.1807,,Spot,1,Image 1,2,PRE;targeted,1000000003,28,
51.8896,,Spot,1,Image 1,2,PRE;targeted,1000000026,29,
82.2625,,Spot,1,Image 1,3,PRE;targeted,1000000000,30,
47.4122,,Spot,1,Image 1,3,PRE;targeted,1000000003,31,
46.8896,,Spot,1,Image 1,3,PRE;targeted,1000000026,32,
89.0392,,Spot,1,Image 1,4,Apoptosis;PRE;targeted,1000000000,33,
50.6245,,Spot,1,Image 1,4,PRE;targeted,1000000003,34,
51.8109,,Spot,1,Image 1,4,PRE;targeted,1000000026,35,
46.9512,,Spot,1,Image 1,5,PRE;targeted,1000000003,36,
52.4058,,Spot,1,Image 1,5,PRE;targeted,1000000026,37,
51.5597,,Spot,1,Image 1,6,PRE;targeted,1000000003,38,
51.0936,,Spot,1,Image 1,6,PRE;targeted,1000000026,39,
51.4623,,Spot,1,Image 1,7,PRE;targeted,1000000003,40,
53.1857,,Spot,1,Image 1,7,PRE;targeted,1000000026,41,
52.4029,,Spot,1,Image 1,8,PRE;targeted,1000000003,42,
53.1152,,Spot,1,Image 1,8,PRE;targeted,1000000026,43,
51.3728,,Spot,1,Image 1,9,PRE;targeted,1000000003,44,
53.3154,,Spot,1,Image 1,9,PRE;targeted,1000000026,45,
50.5186,,Spot,1,Image 1,10,PRE;targeted,1000000003,46,
54.4553,,Spot,1,Image 1,10,PRE;targeted,1000000026,47,
57.0617,,Spot,1,Image 1,11,PRE;targeted,1000000003,48,
56.6055,,Spot,1,Image 1,11,PRE;targeted,1000000026,49,
61.5549,,Spot,1,Image 1,12,PRE;targeted,1000000003,50,
62.1333,,Spot,1,Image 1,12,PRE;targeted,1000000026,51,
59.2407,,Spot,1,Image 1,13,PRE;targeted,1000000003,52,
65.3077,,Spot,1,Image 1,13,PRE;targeted,1000000026,53,
61.9095,,Spot,1,Image 1,14,PRE;targeted,1000000003,54,
66.0407,,Spot,1,Image 1,14,PRE;targeted,1000000026,55,
60.3709,,Spot,1,Image 1,15,PRE;targeted,1000000003,56,
66.3723,,Spot,1,Image 1,15,PRE;targeted,1000000026,57,
64.4286,,Spot,1,Image 1,16,PRE;targeted,1000000003,58,
68.4796,,Spot,1,Image 1,16,PRE;targeted,1000000026,59,
67.9233,,Spot,1,Image 1,17,PRE;targeted,1000000003,60,
67.6288,,Spot,1,Image 1,17,PRE;targeted,1000000026,61,
65.8419,,Spot,1,Image 1,18,PRE;targeted,1000000003,62,
88.1354,,Spot,1,Image 1,18,Apoptosis;PRE;targeted,1000000026,63,
68.5412,,Spot,1,Image 1,19,PRE;targeted,1000000003,64,
77.3391,,Spot,1,Image 1,20,Apoptosis;PRE;targeted,1000000003,65,
