
Intensity Min Ch=2 Img=1
 ==================== 
Intensity Min,Unit,Category,Channel,Image,Time,NS-labs,TrackID,ID,
139,,Spot,2,Image 1,1,PRE;targeted,1000000000,0,
130,,Spot,2,Image 1,1,Apoptosis;PRE;targeted,,1,
129,,Spot,2,Image 1,1,PRE;targeted,1000000003,3,
108,,Spot,2,Image 1,1,PRE;targeted,1000000026,26,
71,,Spot,2,Image 1,2,PRE;targeted,1000000000,27,
108,,Spot,2,Image 1,2,PRE;targeted,1000000003,28,
86,,Spot,2,Image 1,2,PRE;targeted,1000000026,29,
95,,Spot,2,Image 1,3,PRE;targeted,1000000000,30,
104,,Spot,2,Image 1,3,PRE;targeted,1000000003,31,
102,,Spot,2,Image 1,3,PRE;targeted,1000000026,32,
66,,Spot,2,Image 1,4,Apoptosis;PRE;targeted,1000000000,33,
134,,Spot,2,Image 1,4,PRE;targeted,1000000003,34,
94,,Spot,2,Image 1,4,PRE;targeted,1000000026,35,
113,,Spot,2,Image 1,5,PRE;targeted,1000000003,36,
81,,Spot,2,Image 1,5,PRE;targeted,1000000026,37,
110,,Spot,2,Image 1,6,PRE;targeted,1000000003,38,
110,,Spot,2,Image 1,6,PRE;targeted,1000000026,39,
128,,Spot,2,Image 1,7,PRE;targeted,1000000003,40,
106,,Spot,2,Image 1,7,PRE;targeted,1000000026,41,
116,,Spot,2,Image 1,8,PRE;targeted,1000000003,42,
146,,Spot,2,Image 1,8,PRE;targeted,1000000026,43,
140,,Spot,2,Image 1,9,PRE;targeted,1000000003,44,
116,,Spot,2,Image 1,9,PRE;targeted,1000000026,45,
109,,Spot,2,Image 1,10,PRE;targeted,1000000003,46,
102,,Spot,2,Image 1,10,PRE;targeted,1000000026,47,
141,,Spot,2,Image 1,11,PRE;targeted,1000000003,48,
97,,Spot,2,Image 1,11,PRE;targeted,1000000026,49,
130,,Spot,2,Image 1,12,PRE;targeted,1000000003,50,
82,,Spot,2,Image 1,12,PRE;targeted,1000000026,51,
96,,Spot,2,Image 1,13,PRE;targeted,1000000003,52,
116,,Spot,2,Image 1,13,PRE;targeted,1000000026,53,
111,,Spot,2,Image 1,14,PRE;targeted,1000000003,54,
130,,Spot,2,Image 1,14,PRE;targeted,1000000026,55,
120,,Spot,2,Image 1,15,PRE;targeted,1000000003,56,
134,,Spot,2,Image 1,15,PRE;targeted,1000000026,57,
123,,Spot,2,Image 1,16,PRE;targeted,1000000003,58,
96,,Spot,2,Image 1,16,PRE;targeted,1000000026,59,
92,,Spot,2,Image 1,17,PRE;targeted,1000000003,60,
110,,Spot,2,Image 1,17,PRE;targeted,1000000026,61,
88,,Spot,2,Image 1,18,PRE;targeted,1000000003,62,
75,,Spot,2,Image 1,18,Apoptosis;PRE;targeted,1000000026,63,
102,,Spot,2,Image 1,19,PRE;targeted,1000000003,64,
77,,Spot,2,Image 1,20,Apoptosis;PRE;targeted,1000000003,65,
