
Intensity Min Ch=1 Img=1
 ==================== 
Intensity Min,Unit,Category,Channel,Image,Time,NS-labs,TrackID,ID,
10,,Spot,1,Image 1,1,PRE;targeted,1000000000,0,
10,,Spot,1,Image 1,1,PRE;targeted,1000000001,1,
8,,Spot,1,Image 1,1,PRE;targeted,1000000002,2,
10,,Spot,1,Image 1,2,PRE;targeted,1000000000,3,
8,,Spot,1,Image 1,2,PRE;targeted,1000000001,5,
8,,Spot,1,Image 1,2,PRE;targeted,1000000002,21,
6,,Spot,1,Image 1,3,Apoptosis;PRE;targeted,1000000000,22,
7,,Spot,1,Image 1,3,PRE;targeted,1000000001,23,
9,,Spot,1,Image 1,3,PRE;targeted,1000000002,24,
9,,Spot,1,Image 1,4,PRE;targeted,1000000001,25,
8,,Spot,1,Image 1,4,PRE;targeted,1000000002,26,
9,,Spot,1,Image 1,5,PRE;targeted,1000000001,27,
9,,Spot,1,Image 1,5,PRE;targeted,1000000002,28,
11,,Spot,1,Image 1,6,PRE;targeted,1000000001,29,
8,,Spot,1,Image 1,6,PRE;targeted,1000000002,30,
9,,Spot,1,Image 1,7,PRE;targeted,1000000001,31,
7,,Spot,1,Image 1,7,PRE;targeted,1000000002,32,
6,,Spot,1,Image 1,8,PRE;targeted,1000000001,33,
8,,Spot,1,Image 1,8,PRE;targeted,1000000002,34,
7,,Spot,1,Image 1,9,PRE;targeted,1000000001,35,
8,,Spot,1,Image 1,9,PRE;targeted,1000000002,36,
9,,Spot,1,Image 1,10,PRE;targeted,1000000001,37,
7,,Spot,1,Image 1,10,PRE;targeted,1000000002,38,
9,,Spot,1,Image 1,11,PRE;targeted,1000000001,39,
9,,Spot,1,Image 1,11,PRE;targeted,1000000002,40,
8,,Spot,1,Image 1,12,PRE;targeted,1000000001,41,
6,,Spot,1,Image 1,12,Apoptosis;PRE;targeted,1000000002,42,
9,,Spot,1,Image 1,13,PRE;targeted,1000000001,43,
9,,Spot,1,Image 1,14,PRE;targeted,1000000001,44,
11,,Spot,1,Image 1,15,PRE;targeted,1000000001,45,
9,,Spot,1,Image 1,16,Apoptosis;PRE;targeted,1000000001,46,
