
Intensity Mean Ch=1 Img=1
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,NS-labs,TrackID,ID,
86.5459,,Spot,1,Image 1,1,PRE,1000000000,0,
69.0934,,Spot,1,Image 1,1,PRE,1000000001,1,
90.0608,,Spot,1,Image 1,1,PRE,1000000002,2,
83.5105,,Spot,1,Image 1,1,DP;Mito,1000000003,3,
94.8766,,Spot,1,Image 1,2,PRE,1000000002,4,
91.53,,Spot,1,Image 1,2,DP;d1,1000000003,55,
99.122,,Spot,1,Image 1,2,DP;d2,1000000003,95,
89.1361,,Spot,1,Image 1,2,PRE,1000000000,163,
75.7884,,Spot,1,Image 1,2,PRE,1000000001,166,
98.9119,,Spot,1,Image 1,3,PRE,1000000002,167,
86.396,,Spot,1,Image 1,3,DP;d1,1000000003,168,
91.4508,,Spot,1,Image 1,3,DP;d2,1000000003,169,
89.6374,,Spot,1,Image 1,3,PRE,1000000000,170,
83.3772,,Spot,1,Image 1,3,PRE,1000000001,171,
106.414,,Spot,1,Image 1,4,PRE,1000000002,172,
69.0944,,Spot,1,Image 1,4,DP;d1,1000000003,173,
78.3145,,Spot,1,Image 1,4,DP;d2,1000000003,174,
89.5428,,Spot,1,Image 1,4,Apoptosis;PRE,1000000000,175,
86.2181,,Spot,1,Image 1,4,PRE,1000000001,176,
105.3,,Spot,1,Image 1,5,PRE,1000000002,177,
59.3179,,Spot,1,Image 1,5,DP;d1,1000000003,178,
58.343,,Spot,1,Image 1,5,DP;d2,1000000003,179,
86.7462,,Spot,1,Image 1,5,PRE,1000000001,180,
112.304,,Spot,1,Image 1,6,PRE,1000000002,181,
50.9703,,Spot,1,Image 1,6,DP;d1,1000000003,182,
54.6955,,Spot,1,Image 1,6,DP;d2,1000000003,183,
89.1655,,Spot,1,Image 1,6,PRE,1000000001,184,
111.082,,Spot,1,Image 1,7,PRE,1000000002,185,
52.1559,,Spot,1,Image 1,7,DP;d1,1000000003,186,
46.3131,,Spot,1,Image 1,7,DP;d2,1000000003,187,
89.699,,Spot,1,Image 1,7,PRE,1000000001,188,
110.431,,Spot,1,Image 1,8,PRE,1000000002,189,
52.0705,,Spot,1,Image 1,8,DP;d1,1000000003,190,
52.538,,Spot,1,Image 1,8,DP;d2,1000000003,191,
91.6486,,Spot,1,Image 1,8,PRE,1000000001,192,
107.241,,Spot,1,Image 1,9,PRE,1000000002,193,
48.686,,Spot,1,Image 1,9,DP;d1,1000000003,194,
49.335,,Spot,1,Image 1,9,DP;d2,1000000003,195,
82.9116,,Spot,1,Image 1,9,PRE,1000000001,196,
102.932,,Spot,1,Image 1,10,PRE,1000000002,197,
49.8933,,Spot,1,Image 1,10,DP;d1,1000000003,198,
48.2315,,Spot,1,Image 1,10,DP;d2,1000000003,199,
78.9752,,Spot,1,Image 1,10,PRE,1000000001,200,
103.381,,Spot,1,Image 1,11,PRE,1000000002,201,
47.9681,,Spot,1,Image 1,11,DP;d1,1000000003,202,
49.4684,,Spot,1,Image 1,11,DP;d2,1000000003,203,
79.778,,Spot,1,Image 1,11,PRE,1000000001,204,
104.442,,Spot,1,Image 1,12,PRE,1000000002,205,
43.9331,,Spot,1,Image 1,12,DP;d1,1000000003,206,
44.0817,,Spot,1,Image 1,12,DP;d2,1000000003,207,
73.8275,,Spot,1,Image 1,12,PRE,1000000001,208,
107.48,,Spot,1,Image 1,13,PRE,1000000002,209,
46.9356,,Spot,1,Image 1,13,DP;d1,1000000003,210,
45.9515,,Spot,1,Image 1,13,DP;d2,1000000003,211,
67.5348,,Spot,1,Image 1,13,PRE,1000000001,212,
105.971,,Spot,1,Image 1,14,PRE,1000000002,213,
47.5353,,Spot,1,Image 1,14,DP;d1,1000000003,214,
44.1325,,Spot,1,Image 1,14,DP;d2,1000000003,215,
72.6564,,Spot,1,Image 1,14,PRE,1000000001,216,
106.291,,Spot,1,Image 1,15,PRE,1000000002,217,
45.7198,,Spot,1,Image 1,15,DP;d1,1000000003,218,
43.9748,,Spot,1,Image 1,15,DP;d2,1000000003,219,
82.1087,,Spot,1,Image 1,15,PRE,1000000001,220,
103.638,,Spot,1,Image 1,16,PRE,1000000002,221,
46.6409,,Spot,1,Image 1,16,DP;d1,1000000003,222,
44.5557,,Spot,1,Image 1,16,DP;d2,1000000003,223,
96.6364,,Spot,1,Image 1,16,PRE,1000000001,224,
102.98,,Spot,1,Image 1,17,PRE,1000000002,225,
49.8459,,Spot,1,Image 1,17,DP;d1,1000000003,226,
45.3186,,Spot,1,Image 1,17,DP;d2,1000000003,227,
105.108,,Spot,1,Image 1,17,PRE,1000000001,228,
104.956,,Spot,1,Image 1,18,PRE,1000000002,229,
46.0544,,Spot,1,Image 1,18,DP;d1,1000000003,230,
46.1562,,Spot,1,Image 1,18,DP;d2,1000000003,231,
110.748,,Spot,1,Image 1,18,PRE,1000000001,232,
103.146,,Spot,1,Image 1,19,PRE,1000000002,233,
50.4822,,Spot,1,Image 1,19,DP;d1,1000000003,234,
45.3345,,Spot,1,Image 1,19,DP;d2,1000000003,235,
108.447,,Spot,1,Image 1,19,PRE,1000000001,236,
104.625,,Spot,1,Image 1,20,PRE,1000000002,237,
51.4991,,Spot,1,Image 1,20,DP;d1,1000000003,238,
45.4909,,Spot,1,Image 1,20,DP;d2,1000000003,239,
106.915,,Spot,1,Image 1,20,PRE,1000000001,240,
107.61,,Spot,1,Image 1,21,PRE,1000000002,241,
49.1683,,Spot,1,Image 1,21,DP;d1,1000000003,242,
44.6977,,Spot,1,Image 1,21,DP;d2,1000000003,243,
115.601,,Spot,1,Image 1,21,PRE,1000000001,244,
109.003,,Spot,1,Image 1,22,PRE,1000000002,245,
50.3621,,Spot,1,Image 1,22,DP;d1,1000000003,246,
42.9617,,Spot,1,Image 1,22,DP;d2,1000000003,247,
120.934,,Spot,1,Image 1,22,PRE,1000000001,248,
105.323,,Spot,1,Image 1,23,PRE,1000000002,249,
51.2989,,Spot,1,Image 1,23,DP;d1,1000000003,250,
44.6042,,Spot,1,Image 1,23,DP;d2,1000000003,251,
119.559,,Spot,1,Image 1,23,PRE,1000000001,252,
106.588,,Spot,1,Image 1,24,PRE,1000000002,253,
56.4102,,Spot,1,Image 1,24,DP;d1,1000000003,254,
44.1686,,Spot,1,Image 1,24,DP;d2,1000000003,255,
119.511,,Spot,1,Image 1,24,PRE,1000000001,256,
103.802,,Spot,1,Image 1,25,PRE,1000000002,257,
54.675,,Spot,1,Image 1,25,DP;d1,1000000003,258,
43.0754,,Spot,1,Image 1,25,DP;d2,1000000003,259,
125.52,,Spot,1,Image 1,25,PRE,1000000001,260,
105.763,,Spot,1,Image 1,26,PRE,1000000002,261,
53.8148,,Spot,1,Image 1,26,DP;d1,1000000003,262,
44.394,,Spot,1,Image 1,26,DP;d2,1000000003,263,
108.275,,Spot,1,Image 1,26,PRE,1000000001,264,
103.198,,Spot,1,Image 1,27,PRE,1000000002,265,
55.8182,,Spot,1,Image 1,27,DP;d1,1000000003,266,
45.0102,,Spot,1,Image 1,27,DP;d2,1000000003,267,
97.3908,,Spot,1,Image 1,27,PRE,1000000001,268,
106.979,,Spot,1,Image 1,28,PRE,1000000002,269,
57.1735,,Spot,1,Image 1,28,DP;d1,1000000003,270,
49.0482,,Spot,1,Image 1,28,DP;d2,1000000003,271,
109.603,,Spot,1,Image 1,28,PRE,1000000001,272,
106.527,,Spot,1,Image 1,29,PRE,1000000002,273,
58.7858,,Spot,1,Image 1,29,DP;d1,1000000003,274,
46.7941,,Spot,1,Image 1,29,DP;d2,1000000003,275,
110.843,,Spot,1,Image 1,29,PRE,1000000001,276,
103.393,,Spot,1,Image 1,30,PRE,1000000002,277,
56.4061,,Spot,1,Image 1,30,DP;d1,1000000003,278,
47.9223,,Spot,1,Image 1,30,DP;d2,1000000003,279,
121.564,,Spot,1,Image 1,30,PRE,1000000001,280,
102.106,,Spot,1,Image 1,31,PRE,1000000002,281,
55.2636,,Spot,1,Image 1,31,DP;d1,1000000003,282,
47.3757,,Spot,1,Image 1,31,DP;d2,1000000003,283,
117.17,,Spot,1,Image 1,31,PRE,1000000001,284,
106.729,,Spot,1,Image 1,32,PRE,1000000002,285,
57.3868,,Spot,1,Image 1,32,DP;d1,1000000003,286,
43.1298,,Spot,1,Image 1,32,DP;d2,1000000003,287,
100.612,,Spot,1,Image 1,32,PRE,1000000001,288,
96.7931,,Spot,1,Image 1,33,PRE,1000000002,289,
56.3413,,Spot,1,Image 1,33,DP;d1,1000000003,290,
43.0791,,Spot,1,Image 1,33,DP;d2,1000000003,291,
109.436,,Spot,1,Image 1,33,PRE,1000000001,292,
103.562,,Spot,1,Image 1,34,PRE,1000000002,293,
56.8299,,Spot,1,Image 1,34,DP;d1,1000000003,294,
43.924,,Spot,1,Image 1,34,DP;d2,1000000003,295,
109.721,,Spot,1,Image 1,34,PRE,1000000001,296,
110.525,,Spot,1,Image 1,35,PRE,1000000002,297,
52.6581,,Spot,1,Image 1,35,DP;d1,1000000003,298,
42.8356,,Spot,1,Image 1,35,DP;d2,1000000003,299,
106.776,,Spot,1,Image 1,35,PRE,1000000001,300,
102.944,,Spot,1,Image 1,36,PRE,1000000002,301,
59.1327,,Spot,1,Image 1,36,DP;d1,1000000003,302,
44.0968,,Spot,1,Image 1,36,DP;d2,1000000003,303,
107.859,,Spot,1,Image 1,36,PRE,1000000001,304,
103.707,,Spot,1,Image 1,37,PRE,1000000002,305,
60.4561,,Spot,1,Image 1,37,DP;d1,1000000003,306,
42.5797,,Spot,1,Image 1,37,DP;d2,1000000003,307,
111.816,,Spot,1,Image 1,37,PRE,1000000001,308,
105.947,,Spot,1,Image 1,38,PRE,1000000002,309,
58.3051,,Spot,1,Image 1,38,DP;d1,1000000003,310,
42.8602,,Spot,1,Image 1,38,DP;d2,1000000003,311,
112.738,,Spot,1,Image 1,38,PRE,1000000001,312,
106.823,,Spot,1,Image 1,39,PRE,1000000002,313,
60.5224,,Spot,1,Image 1,39,DP;d1,1000000003,314,
45.7715,,Spot,1,Image 1,39,DP;d2,1000000003,315,
118.854,,Spot,1,Image 1,39,PRE,1000000001,316,
105.569,,Spot,1,Image 1,40,PRE,1000000002,317,
64.1867,,Spot,1,Image 1,40,DP;d1,1000000003,318,
44.9968,,Spot,1,Image 1,40,DP;d2,1000000003,319,
121.286,,Spot,1,Image 1,40,PRE,1000000001,320,
108.278,,Spot,1,Image 1,41,PRE,1000000002,321,
86.4928,,Spot,1,Image 1,41,Apoptosis;DP;d1,1000000003,322,
43.2326,,Spot,1,Image 1,41,DP;d2,1000000003,323,
120.91,,Spot,1,Image 1,41,PRE,1000000001,324,
107.365,,Spot,1,Image 1,42,PRE,1000000002,325,
46.2138,,Spot,1,Image 1,42,DP;d2,1000000003,326,
114.798,,Spot,1,Image 1,42,PRE,1000000001,327,
108.943,,Spot,1,Image 1,43,PRE,1000000002,328,
45.3154,,Spot,1,Image 1,43,DP;d2,1000000003,329,
122.936,,Spot,1,Image 1,43,PRE,1000000001,330,
107.013,,Spot,1,Image 1,44,PRE,1000000002,331,
44.7405,,Spot,1,Image 1,44,DP;d2,1000000003,332,
149.84,,Spot,1,Image 1,44,Apoptosis;PRE,1000000001,333,
114.399,,Spot,1,Image 1,45,PRE,1000000002,334,
45.4131,,Spot,1,Image 1,45,DP;d2,1000000003,335,
108.427,,Spot,1,Image 1,46,PRE,1000000002,336,
42.8605,,Spot,1,Image 1,46,DP;d2,1000000003,337,
105.926,,Spot,1,Image 1,47,PRE,1000000002,338,
43.408,,Spot,1,Image 1,47,DP;d2,1000000003,339,
106.436,,Spot,1,Image 1,48,PRE,1000000002,340,
46.6346,,Spot,1,Image 1,48,DP;d2,1000000003,341,
118.052,,Spot,1,Image 1,49,PRE,1000000002,342,
47.1493,,Spot,1,Image 1,49,DP;d2,1000000003,343,
114.458,,Spot,1,Image 1,50,PRE,1000000002,344,
49.526,,Spot,1,Image 1,50,DP;d2,1000000003,345,
128.872,,Spot,1,Image 1,51,PRE,1000000002,346,
52.8276,,Spot,1,Image 1,51,DP;d2,1000000003,347,
151.291,,Spot,1,Image 1,52,Apoptosis;PRE,1000000002,348,
49.4283,,Spot,1,Image 1,52,DP;d2,1000000003,349,
53.0129,,Spot,1,Image 1,53,DP;d2,1000000003,350,
54.155,,Spot,1,Image 1,54,DP;d2,1000000003,351,
52.6262,,Spot,1,Image 1,55,DP;d2,1000000003,352,
51.7996,,Spot,1,Image 1,56,DP;d2,1000000003,353,
49.1709,,Spot,1,Image 1,57,DP;d2,1000000003,354,
52.6557,,Spot,1,Image 1,58,DP;d2,1000000003,355,
54.8164,,Spot,1,Image 1,59,DP;d2,1000000003,356,
53.6576,,Spot,1,Image 1,60,DP;d2,1000000003,357,
53.992,,Spot,1,Image 1,61,DP;d2,1000000003,358,
57.8069,,Spot,1,Image 1,62,DP;d2,1000000003,359,
55.061,,Spot,1,Image 1,63,DP;d2,1000000003,360,
56.6124,,Spot,1,Image 1,64,DP;d2,1000000003,361,
55.1633,,Spot,1,Image 1,65,DP;d2,1000000003,362,
55.0544,,Spot,1,Image 1,66,DP;d2,1000000003,363,
57.505,,Spot,1,Image 1,67,DP;d2,1000000003,364,
59.9119,,Spot,1,Image 1,68,DP;d2,1000000003,365,
60.606,,Spot,1,Image 1,69,DP;d2,1000000003,366,
