
Intensity Max Ch=2 Img=1
 ==================== 
Intensity Max,Unit,Category,Channel,Image,Time,NS-labs,TrackID,ID,
408,,Spot,2,Image 1,1,DP,1000000001,1,
403,,Spot,2,Image 1,1,DP,1000000002,2,
442,,Spot,2,Image 1,1,DP,1000000003,3,
647,,Spot,2,Image 1,1,DP,1000000006,6,
435,,Spot,2,Image 1,1,DP,1000000007,7,
525,,Spot,2,Image 1,1,DP,1000000009,9,
768,,Spot,2,Image 1,1,DP,1000000329,329,
355,,Spot,2,Image 1,1,DP,1000000758,758,
436,,Spot,2,Image 1,1,DP,1000002173,2173,
690,,Spot,2,Image 1,1,DP,1000002381,2381,
435,,Spot,2,Image 1,1,EPI,1000002418,2418,
396,,Spot,2,Image 1,2,DP,1000000001,2419,
473,,Spot,2,Image 1,2,DP,1000000002,2420,
470,,Spot,2,Image 1,2,DP,1000000003,2421,
742,,Spot,2,Image 1,2,DP,1000000329,2422,
647,,Spot,2,Image 1,2,DP,1000000006,2423,
365,,Spot,2,Image 1,2,DP,1000000758,2424,
622,,Spot,2,Image 1,2,DP,1000000009,2425,
400,,Spot,2,Image 1,2,DP,1000000007,2426,
467,,Spot,2,Image 1,2,DP,1000002173,2427,
604,,Spot,2,Image 1,2,DP,1000002381,2428,
660,,Spot,2,Image 1,2,EPI,1000002418,2429,
434,,Spot,2,Image 1,3,DP,1000000001,2430,
391,,Spot,2,Image 1,3,DP,1000000002,2431,
514,,Spot,2,Image 1,3,DP,1000000003,2432,
677,,Spot,2,Image 1,3,DP,1000000329,2433,
576,,Spot,2,Image 1,3,DP,1000000006,2434,
845,,Spot,2,Image 1,3,DP,1000000009,2435,
399,,Spot,2,Image 1,3,DP,1000000007,2436,
574,,Spot,2,Image 1,3,DP,1000002173,2437,
539,,Spot,2,Image 1,3,DP,1000000758,2438,
632,,Spot,2,Image 1,3,DP,1000002381,2439,
473,,Spot,2,Image 1,3,EPI,1000002418,2440,
441,,Spot,2,Image 1,4,DP,1000000001,2441,
354,,Spot,2,Image 1,4,DP,1000000002,2442,
487,,Spot,2,Image 1,4,DP,1000000003,2443,
800,,Spot,2,Image 1,4,DP,1000000329,2444,
