
Intensity Mean Ch=3 Img=1
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,NS-labs,TrackID,ID,
799.337,,Spot,3,Image 1,1,PRE,1000000000,0,
703.976,,Spot,3,Image 1,1,DP,1000000116,116,
830.95,,Spot,3,Image 1,1,DP,1000000245,245,
768.313,,Spot,3,Image 1,1,DP,1000000269,269,
624.582,,Spot,3,Image 1,1,DP,1000000325,325,
720.003,,Spot,3,Image 1,1,DP,1000000433,433,
657.034,,Spot,3,Image 1,1,DP,1000000591,591,
781.146,,Spot,3,Image 1,2,PRE,1000000000,592,
719.597,,Spot,3,Image 1,2,DP,1000000116,593,
811.397,,Spot,3,Image 1,2,DP,1000000245,594,
743.094,,Spot,3,Image 1,2,DP,1000000269,595,
661.933,,Spot,3,Image 1,2,DP,1000000325,596,
718.656,,Spot,3,Image 1,2,DP,1000000433,597,
719.482,,Spot,3,Image 1,2,DP,1000000591,598,
784.541,,Spot,3,Image 1,3,PRE,1000000000,599,
700.334,,Spot,3,Image 1,3,DP,1000000116,600,
792.611,,Spot,3,Image 1,3,DP,1000000245,601,
725.715,,Spot,3,Image 1,3,DP,1000000269,602,
649.152,,Spot,3,Image 1,3,DP,1000000325,603,
669.359,,Spot,3,Image 1,3,DP,1000000433,604,
710.599,,Spot,3,Image 1,3,DP,1000000591,605,
783.289,,Spot,3,Image 1,4,PRE,1000000000,606,
719.55,,Spot,3,Image 1,4,DP,1000000116,607,
787.646,,Spot,3,Image 1,4,DP,1000000245,608,
666.214,,Spot,3,Image 1,4,DP,1000000269,609,
650.9,,Spot,3,Image 1,4,DP,1000000325,610,
638.256,,Spot,3,Image 1,4,DP,1000000433,611,
686.155,,Spot,3,Image 1,4,DP,1000000591,612,
789.192,,Spot,3,Image 1,5,PRE,1000000000,613,
698.866,,Spot,3,Image 1,5,DP,1000000116,614,
754.607,,Spot,3,Image 1,5,DP,1000000245,615,
648.257,,Spot,3,Image 1,5,DP,1000000269,616,
693.394,,Spot,3,Image 1,5,DP,1000000325,617,
618.135,,Spot,3,Image 1,5,DP,1000000433,618,
675.875,,Spot,3,Image 1,5,DP,1000000591,619,
797.159,,Spot,3,Image 1,6,PRE,1000000000,620,
694.33,,Spot,3,Image 1,6,DP,1000000116,621,
697.352,,Spot,3,Image 1,6,DP,1000000245,622,
610.156,,Spot,3,Image 1,6,DP,1000000269,623,
724.776,,Spot,3,Image 1,6,DP,1000000325,624,
606.549,,Spot,3,Image 1,6,DP,1000000433,625,
682.801,,Spot,3,Image 1,6,DP,1000000591,626,
803.889,,Spot,3,Image 1,7,PRE,1000000000,627,
706.423,,Spot,3,Image 1,7,DP,1000000116,628,
679.507,,Spot,3,Image 1,7,DP,1000000245,629,
708.81,,Spot,3,Image 1,7,DP,1000000269,630,
745.665,,Spot,3,Image 1,7,DP,1000000325,631,
588.091,,Spot,3,Image 1,7,DP,1000000433,632,
732.396,,Spot,3,Image 1,7,DP,1000000591,633,
784.17,,Spot,3,Image 1,8,PRE,1000000000,634,
786.335,,Spot,3,Image 1,8,DP,1000000116,635,
623.591,,Spot,3,Image 1,8,DP,1000000245,636,
704.248,,Spot,3,Image 1,8,DP,1000000269,637,
799.575,,Spot,3,Image 1,8,DP,1000000325,638,
609.136,,Spot,3,Image 1,8,DP,1000000433,639,
741.248,,Spot,3,Image 1,8,DP,1000000591,640,
774.828,,Spot,3,Image 1,9,PRE,1000000000,641,
756.006,,Spot,3,Image 1,9,DP,1000000116,642,
785.914,,Spot,3,Image 1,9,DP,1000000591,643,
698.713,,Spot,3,Image 1,9,DP,1000000245,644,
692.42,,Spot,3,Image 1,9,DP,1000000269,645,
799.317,,Spot,3,Image 1,9,DP,1000000325,646,
618.656,,Spot,3,Image 1,9,DP,1000000433,647,
774.607,,Spot,3,Image 1,10,PRE,1000000000,648,
793.848,,Spot,3,Image 1,10,DP,1000000116,649,
819.004,,Spot,3,Image 1,10,DP,1000000591,650,
679.135,,Spot,3,Image 1,10,DP,1000000245,651,
739.783,,Spot,3,Image 1,10,DP,1000000269,652,
813.035,,Spot,3,Image 1,10,DP,1000000325,653,
