
Intensity Max Ch=1 Img=1
 ==================== 
Intensity Max,Unit,Category,Channel,Image,Time,NS-labs,TrackID,ID,
446,,Spot,1,Image 1,1,EPI,1000000000,0,
522,,Spot,1,Image 1,1,EPI,1000000132,132,
465,,Spot,1,Image 1,1,EPI,1000000164,164,
457,,Spot,1,Image 1,1,EPI,1000000316,316,
552,,Spot,1,Image 1,1,EPI,1000000472,472,
420,,Spot,1,Image 1,2,EPI,1000000000,473,
493,,Spot,1,Image 1,2,EPI,1000000132,474,
502,,Spot,1,Image 1,2,EPI,1000000164,475,
585,,Spot,1,Image 1,2,EPI,1000000316,476,
530,,Spot,1,Image 1,2,EPI,1000000472,477,
544,,Spot,1,Image 1,3,EPI,1000000000,478,
556,,Spot,1,Image 1,3,EPI,1000000132,479,
360,,Spot,1,Image 1,3,EPI,1000000164,480,
548,,Spot,1,Image 1,3,EPI,1000000316,481,
455,,Spot,1,Image 1,3,EPI,1000000472,482,
320,,Spot,1,Image 1,4,EPI,1000000000,483,
390,,Spot,1,Image 1,4,EPI,1000000132,484,
388,,Spot,1,Image 1,4,EPI,1000000164,485,
496,,Spot,1,Image 1,4,EPI,1000000316,486,
459,,Spot,1,Image 1,4,EPI,1000000472,487,
471,,Spot,1,Image 1,5,EPI,1000000000,488,
403,,Spot,1,Image 1,5,EPI,1000000132,489,
514,,Spot,1,Image 1,5,EPI,1000000164,490,
530,,Spot,1,Image 1,5,EPI;Mito,1000000316,491,
1090,,Spot,1,Image 1,5,EPI,1000000472,492,
559,,Spot,1,Image 1,6,EPI,1000000000,493,
523,,Spot,1,Image 1,6,EPI,1000000132,494,
489,,Spot,1,Image 1,6,EPI,1000000164,495,
540,,Spot,1,Image 1,6,EPI;d1,1000000316,496,
472,,Spot,1,Image 1,6,EPI;d2,1000000316,497,
596,,Spot,1,Image 1,6,EPI,1000000472,498,
428,,Spot,1,Image 1,7,EPI,1000000000,499,
720,,Spot,1,Image 1,7,EPI,1000000132,500,
719,,Spot,1,Image 1,7,EPI,1000000164,501,
546,,Spot,1,Image 1,7,EPI;d1,1000000316,502,
560,,Spot,1,Image 1,7,EPI;d2,1000000316,503,
461,,Spot,1,Image 1,7,EPI,1000000472,504,
500,,Spot,1,Image 1,8,EPI,1000000000,505,
601,,Spot,1,Image 1,8,Apoptosis;EPI,1000000132,506,
377,,Spot,1,Image 1,8,EPI;Mito,1000000164,507,
477,,Spot,1,Image 1,8,EPI;d1,1000000316,508,
376,,Spot,1,Image 1,8,EPI;d2,1000000316,509,
403,,Spot,1,Image 1,8,EPI,1000000472,510,
429,,Spot,1,Image 1,9,EPI,1000000000,511,
786,,Spot,1,Image 1,9,EPI;d1,1000000164,512,
329,,Spot,1,Image 1,9,EPI;d2,1000000164,513,
522,,Spot,1,Image 1,9,EPI;d1,1000000316,514,
517,,Spot,1,Image 1,9,EPI;d2,1000000316,515,
576,,Spot,1,Image 1,9,EPI,1000000472,516,
385,,Spot,1,Image 1,10,EPI,1000000000,517,
454,,Spot,1,Image 1,10,EPI;d1,1000000164,518,
382,,Spot,1,Image 1,10,EPI;d2,1000000164,519,
548,,Spot,1,Image 1,10,EPI;d1,1000000316,520,
522,,Spot,1,Image 1,10,EPI;d2,1000000316,521,
655,,Spot,1,Image 1,10,EPI,1000000472,522,
593,,Spot,1,Image 1,11,EPI,1000000000,523,
400,,Spot,1,Image 1,11,EPI;d1,1000000164,524,
376,,Spot,1,Image 1,11,EPI;d2,1000000164,525,
395,,Spot,1,Image 1,11,EPI;d1,1000000316,526,
404,,Spot,1,Image 1,11,EPI;d2,1000000316,527,
507,,Spot,1,Image 1,11,EPI,1000000472,528,
525,,Spot,1,Image 1,12,EPI,1000000000,529,
353,,Spot,1,Image 1,12,EPI;d1,1000000164,530,
369,,Spot,1,Image 1,12,EPI;d2,1000000164,531,
384,,Spot,1,Image 1,12,EPI;d1,1000000316,532,
484,,Spot,1,Image 1,12,EPI;d2,1000000316,533,
428,,Spot,1,Image 1,12,EPI,1000000472,534,
357,,Spot,1,Image 1,13,EPI,1000000000,535,
417,,Spot,1,Image 1,13,EPI;d1,1000000164,536,
572,,Spot,1,Image 1,13,EPI;d2,1000000164,537,
447,,Spot,1,Image 1,13,EPI;d1,1000000316,538,
461,,Spot,1,Image 1,13,EPI;d2,1000000316,539,
398,,Spot,1,Image 1,13,EPI,1000000472,540,
372,,Spot,1,Image 1,14,EPI,1000000000,541,
374,,Spot,1,Image 1,14,EPI;d1,1000000164,542,
606,,Spot,1,Image 1,14,EPI;d2,1000000164,543,
520,,Spot,1,Image 1,14,EPI;d1,1000000316,544,
421,,Spot,1,Image 1,14,EPI;d2,1000000316,545,
437,,Spot,1,Image 1,14,EPI,1000000472,546,
391,,Spot,1,Image 1,15,EPI,1000000000,547,
301,,Spot,1,Image 1,15,EPI;d1,1000000164,548,
291,,Spot,1,Image 1,15,EPI;d2,1000000164,549,
467,,Spot,1,Image 1,15,EPI;d1,1000000316,550,
392,,Spot,1,Image 1,15,EPI;d2,1000000316,551,
472,,Spot,1,Image 1,15,EPI,1000000472,552,
443,,Spot,1,Image 1,16,EPI,1000000000,553,
301,,Spot,1,Image 1,16,EPI;d1,1000000164,554,
449,,Spot,1,Image 1,16,EPI;d2,1000000164,555,
538,,Spot,1,Image 1,16,EPI;d1,1000000316,556,
399,,Spot,1,Image 1,16,EPI;d2,1000000316,557,
444,,Spot,1,Image 1,16,EPI,1000000472,558,
503,,Spot,1,Image 1,17,EPI,1000000000,559,
488,,Spot,1,Image 1,17,EPI;d1,1000000164,560,
342,,Spot,1,Image 1,17,EPI;d2,1000000164,561,
430,,Spot,1,Image 1,17,EPI;d1,1000000316,562,
320,,Spot,1,Image 1,17,EPI;d2,1000000316,563,
462,,Spot,1,Image 1,17,EPI,1000000472,564,
377,,Spot,1,Image 1,18,EPI,1000000000,565,
311,,Spot,1,Image 1,18,EPI;d1,1000000164,566,
428,,Spot,1,Image 1,18,EPI;d2,1000000164,567,
488,,Spot,1,Image 1,18,EPI;d1,1000000316,568,
413,,Spot,1,Image 1,18,EPI;d2,1000000316,569,
598,,Spot,1,Image 1,18,EPI,1000000472,570,
325,,Spot,1,Image 1,19,EPI,1000000000,571,
339,,Spot,1,Image 1,19,EPI;d1,1000000164,572,
655,,Spot,1,Image 1,19,EPI;d2,1000000164,573,
564,,Spot,1,Image 1,19,EPI;d1,1000000316,574,
391,,Spot,1,Image 1,19,EPI;d2,1000000316,575,
400,,Spot,1,Image 1,19,EPI,1000000472,576,
366,,Spot,1,Image 1,20,EPI,1000000000,577,
378,,Spot,1,Image 1,20,EPI;d1,1000000164,578,
590,,Spot,1,Image 1,20,EPI;d2,1000000164,579,
511,,Spot,1,Image 1,20,EPI;d1,1000000316,580,
435,,Spot,1,Image 1,20,EPI;d2,1000000316,581,
455,,Spot,1,Image 1,20,EPI,1000000472,582,
518,,Spot,1,Image 1,21,EPI,1000000000,583,
372,,Spot,1,Image 1,21,EPI;d1,1000000164,584,
439,,Spot,1,Image 1,21,EPI;d2,1000000164,585,
704,,Spot,1,Image 1,21,EPI;d1,1000000316,586,
370,,Spot,1,Image 1,21,EPI;d2,1000000316,587,
528,,Spot,1,Image 1,21,EPI,1000000472,588,
339,,Spot,1,Image 1,22,EPI,1000000000,589,
447,,Spot,1,Image 1,22,EPI;d1,1000000164,590,
335,,Spot,1,Image 1,22,EPI;d2,1000000164,591,
699,,Spot,1,Image 1,22,EPI;d1,1000000316,592,
778,,Spot,1,Image 1,22,EPI;d2,1000000316,593,
413,,Spot,1,Image 1,22,EPI,1000000472,594,
535,,Spot,1,Image 1,23,EPI,1000000000,595,
552,,Spot,1,Image 1,23,EPI;d1,1000000164,596,
393,,Spot,1,Image 1,23,EPI;d2,1000000164,597,
560,,Spot,1,Image 1,23,EPI;d1,1000000316,598,
440,,Spot,1,Image 1,23,EPI;d2,1000000316,599,
435,,Spot,1,Image 1,23,EPI,1000000472,600,
329,,Spot,1,Image 1,24,EPI,1000000000,601,
440,,Spot,1,Image 1,24,EPI;d1,1000000164,602,
277,,Spot,1,Image 1,24,EPI;d2,1000000164,603,
684,,Spot,1,Image 1,24,EPI;d1,1000000316,604,
409,,Spot,1,Image 1,24,EPI;d2,1000000316,605,
387,,Spot,1,Image 1,24,EPI,1000000472,606,
401,,Spot,1,Image 1,25,EPI,1000000000,607,
336,,Spot,1,Image 1,25,EPI;d1,1000000164,608,
355,,Spot,1,Image 1,25,EPI;d2,1000000164,609,
498,,Spot,1,Image 1,25,EPI;d1,1000000316,610,
357,,Spot,1,Image 1,25,EPI;d2,1000000316,611,
525,,Spot,1,Image 1,25,EPI,1000000472,612,
388,,Spot,1,Image 1,26,EPI,1000000000,613,
336,,Spot,1,Image 1,26,EPI;d1,1000000164,614,
371,,Spot,1,Image 1,26,EPI;d2,1000000164,615,
873,,Spot,1,Image 1,26,EPI;d1,1000000316,616,
677,,Spot,1,Image 1,26,EPI;d2,1000000316,617,
591,,Spot,1,Image 1,26,EPI,1000000472,618,
309,,Spot,1,Image 1,27,EPI,1000000000,619,
320,,Spot,1,Image 1,27,EPI;d1,1000000164,620,
422,,Spot,1,Image 1,27,EPI;d2,1000000164,621,
455,,Spot,1,Image 1,27,EPI;d1,1000000316,622,
479,,Spot,1,Image 1,27,EPI;d2,1000000316,623,
790,,Spot,1,Image 1,27,EPI,1000000472,624,
423,,Spot,1,Image 1,28,EPI,1000000000,625,
423,,Spot,1,Image 1,28,EPI;d1,1000000164,626,
305,,Spot,1,Image 1,28,EPI;d2,1000000164,627,
452,,Spot,1,Image 1,28,EPI;d1,1000000316,628,
498,,Spot,1,Image 1,28,EPI;d2,1000000316,629,
403,,Spot,1,Image 1,28,EPI,1000000472,630,
468,,Spot,1,Image 1,29,EPI,1000000000,631,
319,,Spot,1,Image 1,29,EPI;d1,1000000164,632,
367,,Spot,1,Image 1,29,EPI;d2,1000000164,633,
475,,Spot,1,Image 1,29,EPI;d1,1000000316,634,
392,,Spot,1,Image 1,29,EPI;d2,1000000316,635,
392,,Spot,1,Image 1,29,EPI,1000000472,636,
310,,Spot,1,Image 1,30,EPI,1000000000,637,
317,,Spot,1,Image 1,30,EPI;d1,1000000164,638,
342,,Spot,1,Image 1,30,EPI;d2,1000000164,639,
457,,Spot,1,Image 1,30,EPI;d1,1000000316,640,
469,,Spot,1,Image 1,30,EPI;d2,1000000316,641,
480,,Spot,1,Image 1,30,EPI,1000000472,642,
387,,Spot,1,Image 1,31,EPI,1000000000,643,
296,,Spot,1,Image 1,31,EPI;d1,1000000164,644,
376,,Spot,1,Image 1,31,EPI;d2,1000000164,645,
444,,Spot,1,Image 1,31,EPI;d1,1000000316,646,
676,,Spot,1,Image 1,31,EPI;d2,1000000316,647,
535,,Spot,1,Image 1,31,EPI,1000000472,648,
368,,Spot,1,Image 1,32,EPI,1000000000,649,
569,,Spot,1,Image 1,32,EPI;d1,1000000164,650,
347,,Spot,1,Image 1,32,EPI;d2,1000000164,651,
637,,Spot,1,Image 1,32,EPI;d1,1000000316,652,
407,,Spot,1,Image 1,32,EPI;d2,1000000316,653,
526,,Spot,1,Image 1,32,EPI,1000000472,654,
390,,Spot,1,Image 1,33,EPI,1000000000,655,
472,,Spot,1,Image 1,33,EPI;d1,1000000164,656,
380,,Spot,1,Image 1,33,EPI;d2,1000000164,657,
1221,,Spot,1,Image 1,33,EPI;d1,1000000316,658,
463,,Spot,1,Image 1,33,EPI;d2,1000000316,659,
408,,Spot,1,Image 1,33,EPI,1000000472,660,
411,,Spot,1,Image 1,34,EPI,1000000000,661,
248,,Spot,1,Image 1,34,EPI;d1,1000000164,662,
419,,Spot,1,Image 1,34,EPI;d2,1000000164,663,
