
Intensity Mean Ch=2 Img=1
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,NS-labs,TrackID,ID,
620.314,,Spot,2,Image 1,1,EPI,1000000000,0,
651.907,,Spot,2,Image 1,1,EPI,1000000132,132,
2031.83,,Spot,2,Image 1,1,EPI,1000000164,164,
1394.5,,Spot,2,Image 1,1,EPI,1000000316,316,
976.534,,Spot,2,Image 1,1,EPI,1000000472,472,
616.587,,Spot,2,Image 1,2,EPI,1000000000,473,
632.611,,Spot,2,Image 1,2,EPI,1000000132,474,
2138.13,,Spot,2,Image 1,2,EPI,1000000164,475,
1350.25,,Spot,2,Image 1,2,EPI,1000000316,476,
727.363,,Spot,2,Image 1,2,EPI,1000000472,477,
590.656,,Spot,2,Image 1,3,EPI,1000000000,478,
602.617,,Spot,2,Image 1,3,EPI,1000000132,479,
2034.82,,Spot,2,Image 1,3,EPI,1000000164,480,
656.74,,Spot,2,Image 1,3,EPI,1000000316,481,
744.549,,Spot,2,Image 1,3,EPI,1000000472,482,
600.731,,Spot,2,Image 1,4,EPI,1000000000,483,
577.286,,Spot,2,Image 1,4,EPI,1000000132,484,
2186.06,,Spot,2,Image 1,4,EPI,1000000164,485,
678.103,,Spot,2,Image 1,4,EPI,1000000316,486,
966.156,,Spot,2,Image 1,4,EPI,1000000472,487,
615.076,,Spot,2,Image 1,5,EPI,1000000000,488,
538.608,,Spot,2,Image 1,5,EPI,1000000132,489,
2186.65,,Spot,2,Image 1,5,EPI,1000000164,490,
579.995,,Spot,2,Image 1,5,EPI;Mito,1000000316,491,
896.094,,Spot,2,Image 1,5,EPI,1000000472,492,
659.265,,Spot,2,Image 1,6,EPI,1000000000,493,
516.269,,Spot,2,Image 1,6,EPI,1000000132,494,
1824.49,,Spot,2,Image 1,6,EPI,1000000164,495,
895.82,,Spot,2,Image 1,6,EPI;d1,1000000316,496,
520.712,,Spot,2,Image 1,6,EPI;d2,1000000316,497,
1037.45,,Spot,2,Image 1,6,EPI,1000000472,498,
584.807,,Spot,2,Image 1,7,EPI,1000000000,499,
459.079,,Spot,2,Image 1,7,EPI,1000000132,500,
723.152,,Spot,2,Image 1,7,EPI,1000000164,501,
