
Intensity Max Ch=3 Img=1
 ==================== 
Intensity Max,Unit,Category,Channel,Image,Time,NS-labs,TrackID,ID,
1091,,Spot,3,Image 1,1,PRE,1000000001,1,
1133,,Spot,3,Image 1,1,PRE,1000000022,22,
1065,,Spot,3,Image 1,1,PRE,1000000039,39,
1151,,Spot,3,Image 1,1,PRE,1000000048,48,
955,,Spot,3,Image 1,1,PRE,1000000067,67,
835,,Spot,3,Image 1,1,PRE,1000000189,189,
1048,,Spot,3,Image 1,1,PRE,1000000299,299,
1142,,Spot,3,Image 1,1,PRE,1000000350,350,
1087,,Spot,3,Image 1,1,PRE,1000000460,460,
1141,,Spot,3,Image 1,1,PRE,1000000461,461,
1079,,Spot,3,Image 1,1,PRE,1000000462,462,
1041,,Spot,3,Image 1,1,PRE,1000001037,1037,
981,,Spot,3,Image 1,2,PRE,1000000001,1038,
944,,Spot,3,Image 1,2,PRE,1000000022,1039,
894,,Spot,3,Image 1,2,PRE,1000000039,1040,
982,,Spot,3,Image 1,2,PRE,1000000048,1041,
992,,Spot,3,Image 1,2,PRE,1000000067,1042,
778,,Spot,3,Image 1,2,PRE,1000000189,1043,
924,,Spot,3,Image 1,2,PRE,1000000299,1044,
1000,,Spot,3,Image 1,2,PRE,1000000350,1045,
1020,,Spot,3,Image 1,2,PRE,1000000462,1046,
1020,,Spot,3,Image 1,2,PRE,1000000461,1047,
1225,,Spot,3,Image 1,2,PRE,1000000460,1048,
1040,,Spot,3,Image 1,2,PRE,1000001037,1049,
995,,Spot,3,Image 1,3,PRE,1000000001,1050,
1059,,Spot,3,Image 1,3,PRE,1000000022,1051,
1080,,Spot,3,Image 1,3,PRE,1000000039,1052,
1184,,Spot,3,Image 1,3,PRE,1000000048,1053,
972,,Spot,3,Image 1,3,PRE,1000000067,1054,
968,,Spot,3,Image 1,3,PRE,1000000189,1055,
1006,,Spot,3,Image 1,3,PRE,1000000299,1056,
970,,Spot,3,Image 1,3,PRE,1000000350,1057,
935,,Spot,3,Image 1,3,PRE,1000000462,1058,
1034,,Spot,3,Image 1,3,PRE,1000000461,1059,
956,,Spot,3,Image 1,3,PRE,1000000460,1060,
989,,Spot,3,Image 1,3,PRE,1000001037,1061,
920,,Spot,3,Image 1,4,PRE,1000000001,1062,
973,,Spot,3,Image 1,4,PRE,1000000022,1063,
1011,,Spot,3,Image 1,4,PRE,1000000039,1064,
1047,,Spot,3,Image 1,4,PRE,1000000048,1065,
897,,Spot,3,Image 1,4,PRE,1000000067,1066,
933,,Spot,3,Image 1,4,PRE,1000000189,1067,
996,,Spot,3,Image 1,4,PRE,1000000299,1068,
1045,,Spot,3,Image 1,4,PRE,1000000350,1069,
1077,,Spot,3,Image 1,4,PRE,1000000462,1070,
1409,,Spot,3,Image 1,4,PRE,1000000461,1071,
936,,Spot,3,Image 1,4,PRE,1000000460,1072,
996,,Spot,3,Image 1,4,PRE,1000001037,1073,
944,,Spot,3,Image 1,5,PRE,1000000001,1074,
1120,,Spot,3,Image 1,5,PRE,1000000022,1075,
1213,,Spot,3,Image 1,5,PRE,1000000039,1076,
1165,,Spot,3,Image 1,5,PRE,1000000048,1077,
972,,Spot,3,Image 1,5,PRE,1000000067,1078,
850,,Spot,3,Image 1,5,PRE,1000000189,1079,
1031,,Spot,3,Image 1,5,PRE,1000000299,1080,
1015,,Spot,3,Image 1,5,PRE,1000000350,1081,
1039,,Spot,3,Image 1,5,Apoptosis;PRE,1000000462,1082,
1098,,Spot,3,Image 1,5,PRE,1000000461,1083,
1044,,Spot,3,Image 1,5,PRE,1000000460,1084,
1018,,Spot,3,Image 1,5,PRE,1000001037,1085,
939,,Spot,3,Image 1,6,PRE,1000000001,1086,
1097,,Spot,3,Image 1,6,PRE,1000000022,1087,
1142,,Spot,3,Image 1,6,PRE,1000000039,1088,
1227,,Spot,3,Image 1,6,PRE,1000000048,1089,
1033,,Spot,3,Image 1,6,PRE,1000000067,1090,
934,,Spot,3,Image 1,6,PRE,1000000189,1091,
969,,Spot,3,Image 1,6,PRE,1000000299,1092,
931,,Spot,3,Image 1,6,PRE,1000000350,1093,
1043,,Spot,3,Image 1,6,PRE,1000000461,1094,
1184,,Spot,3,Image 1,6,PRE,1000000460,1095,
1110,,Spot,3,Image 1,6,PRE,1000001037,1096,
946,,Spot,3,Image 1,7,PRE,1000000001,1097,
1060,,Spot,3,Image 1,7,PRE,1000000022,1098,
1154,,Spot,3,Image 1,7,PRE,1000000039,1099,
1173,,Spot,3,Image 1,7,PRE,1000000048,1100,
1022,,Spot,3,Image 1,7,PRE,1000000067,1101,
852,,Spot,3,Image 1,7,PRE,1000000189,1102,
1015,,Spot,3,Image 1,7,PRE,1000000299,1103,
978,,Spot,3,Image 1,7,PRE,1000000350,1104,
1000,,Spot,3,Image 1,7,PRE,1000000461,1105,
1080,,Spot,3,Image 1,7,PRE,1000000460,1106,
990,,Spot,3,Image 1,7,PRE,1000001037,1107,
929,,Spot,3,Image 1,8,PRE,1000000001,1108,
1133,,Spot,3,Image 1,8,PRE,1000000022,1109,
1043,,Spot,3,Image 1,8,PRE,1000000039,1110,
1235,,Spot,3,Image 1,8,PRE,1000000048,1111,
996,,Spot,3,Image 1,8,PRE,1000000067,1112,
896,,Spot,3,Image 1,8,PRE,1000000189,1113,
1049,,Spot,3,Image 1,8,PRE,1000000299,1114,
969,,Spot,3,Image 1,8,PRE,1000000350,1115,
1037,,Spot,3,Image 1,8,PRE,1000000461,1116,
1046,,Spot,3,Image 1,8,PRE,1000000460,1117,
