
Intensity Mean Ch=3 Img=1
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,NS-labs,TrackID,ID,
221.764,,Spot,3,Image 1,1,DP,1000000000,0,
270.482,,Spot,3,Image 1,1,DP,1000000001,1,
192.111,,Spot,3,Image 1,1,DP,1000000002,2,
264.761,,Spot,3,Image 1,1,PRE,1000000003,3,
317.014,,Spot,3,Image 1,1,PRE,1000000004,4,
294.518,,Spot,3,Image 1,1,PRE,1000000005,5,
380.817,,Spot,3,Image 1,1,DP,1000000006,6,
284.043,,Spot,3,Image 1,1,EPI,1000000007,7,
245.106,,Spot,3,Image 1,1,PRE;targeted,1000000008,8,
182.218,,Spot,3,Image 1,1,PRE;targeted,1000000009,9,
276.766,,Spot,3,Image 1,1,PRE;targeted,1000000010,10,
216.967,,Spot,3,Image 1,1,DP,1000000012,12,
264.287,,Spot,3,Image 1,1,DP,1000000013,13,
254.61,,Spot,3,Image 1,1,PRE;targeted,1000000014,14,
274.051,,Spot,3,Image 1,1,EPI,1000000015,15,
254.894,,Spot,3,Image 1,1,PRE;targeted,1000000017,17,
260.32,,Spot,3,Image 1,1,EPI,1000000018,18,
354.133,,Spot,3,Image 1,1,EPI,1000000019,19,
224.491,,Spot,3,Image 1,1,EPI,1000000020,20,
237.554,,Spot,3,Image 1,1,PRE;targeted,1000000021,21,
186.264,,Spot,3,Image 1,1,PRE;targeted,1000000022,22,
271.341,,Spot,3,Image 1,1,DP,1000000024,24,
207.776,,Spot,3,Image 1,1,EPI,1000000026,26,
274.326,,Spot,3,Image 1,1,PRE,1000000028,28,
316.149,,Spot,3,Image 1,1,PRE,1000000030,30,
250.521,,Spot,3,Image 1,1,PRE;targeted,1000000031,31,
200.514,,Spot,3,Image 1,2,DP,1000000002,32,
298.922,,Spot,3,Image 1,2,DP,1000000001,58,
205.745,,Spot,3,Image 1,2,DP,1000000000,92,
249.78,,Spot,3,Image 1,2,DP,1000000024,148,
198.736,,Spot,3,Image 1,2,PRE;targeted,1000000008,212,
161.555,,Spot,3,Image 1,2,PRE;targeted,1000000009,231,
161.313,,Spot,3,Image 1,2,PRE;targeted,1000000022,257,
255.017,,Spot,3,Image 1,2,PRE;targeted,1000000014,282,
308.972,,Spot,3,Image 1,2,PRE;targeted,1000000017,347,
249.843,,Spot,3,Image 1,2,Apoptosis;PRE;targeted,1000000010,362,
264.261,,Spot,3,Image 1,2,PRE;targeted,1000000021,363,
221.988,,Spot,3,Image 1,2,PRE,1000000003,381,
253.643,,Spot,3,Image 1,2,DP,1000000013,445,
281.825,,Spot,3,Image 1,2,EPI,1000000020,510,
