
Intensity Median Ch=2 Img=1
 ==================== 
Intensity Median,Unit,Category,Channel,Image,Time,NS-labs,TrackID,ID,
72.5,,Spot,2,Image 1,1,DP,1000000000,0,
68.12,,Spot,2,Image 1,1,DP,1000000001,1,
50.04,,Spot,2,Image 1,1,DP,1000000002,2,
78.984,,Spot,2,Image 1,1,PRE,1000000003,3,
40.984,,Spot,2,Image 1,1,PRE,1000000004,4,
45.952,,Spot,2,Image 1,1,PRE,1000000005,5,
69.005,,Spot,2,Image 1,1,DP,1000000006,6,
126.044,,Spot,2,Image 1,1,EPI,1000000007,7,
30,,Spot,2,Image 1,1,PRE;targeted,1000000008,8,
26.984,,Spot,2,Image 1,1,PRE;targeted,1000000009,9,
26.996,,Spot,2,Image 1,1,PRE;targeted,1000000010,10,
37.064,,Spot,2,Image 1,1,DP,1000000012,12,
101.984,,Spot,2,Image 1,1,DP,1000000013,13,
28.984,,Spot,2,Image 1,1,PRE;targeted,1000000014,14,
111.471,,Spot,2,Image 1,1,EPI,1000000015,15,
28.996,,Spot,2,Image 1,1,PRE;targeted,1000000017,17,
59.544,,Spot,2,Image 1,1,EPI,1000000018,18,
119.03,,Spot,2,Image 1,1,EPI,1000000019,19,
71.948,,Spot,2,Image 1,1,EPI,1000000020,20,
27,,Spot,2,Image 1,1,PRE;targeted,1000000021,21,
25.992,,Spot,2,Image 1,1,PRE;targeted,1000000022,22,
105.04,,Spot,2,Image 1,1,DP,1000000024,24,
65.98,,Spot,2,Image 1,1,EPI,1000000026,26,
30.024,,Spot,2,Image 1,1,PRE,1000000028,28,
32.01,,Spot,2,Image 1,1,PRE,1000000030,30,
40.06,,Spot,2,Image 1,1,PRE;targeted,1000000031,31,
48.944,,Spot,2,Image 1,2,DP,1000000002,32,
63.432,,Spot,2,Image 1,2,DP,1000000001,58,
67.544,,Spot,2,Image 1,2,DP,1000000000,92,
106.142,,Spot,2,Image 1,2,DP,1000000024,148,
31.488,,Spot,2,Image 1,2,PRE;targeted,1000000008,212,
26.018,,Spot,2,Image 1,2,PRE;targeted,1000000009,231,
26,,Spot,2,Image 1,2,PRE;targeted,1000000022,257,
28.008,,Spot,2,Image 1,2,PRE;targeted,1000000014,282,
30.984,,Spot,2,Image 1,2,PRE;targeted,1000000017,347,
29.005,,Spot,2,Image 1,2,Apoptosis;PRE;targeted,1000000010,362,
27.976,,Spot,2,Image 1,2,PRE;targeted,1000000021,363,
74.866,,Spot,2,Image 1,2,PRE,1000000003,381,
107.54,,Spot,2,Image 1,2,DP,1000000013,445,
79.997,,Spot,2,Image 1,2,EPI,1000000020,510,
32.936,,Spot,2,Image 1,2,PRE;targeted,1000000031,575,
61.976,,Spot,2,Image 1,2,EPI,1000000018,578,
43.05,,Spot,2,Image 1,2,PRE,1000000004,591,
64.951,,Spot,2,Image 1,2,DP,1000000006,656,
67.996,,Spot,2,Image 1,2,EPI,1000000026,1256,
117.54,,Spot,2,Image 1,2,EPI,1000000015,1358,
116.04,,Spot,2,Image 1,2,EPI,1000000007,1380,
126.58,,Spot,2,Image 1,2,EPI,1000000019,1427,
30.04,,Spot,2,Image 1,2,PRE,1000000028,1546,
33.04,,Spot,2,Image 1,2,PRE,1000000030,1610,
47.992,,Spot,2,Image 1,2,PRE,1000000005,1724,
40.047,,Spot,2,Image 1,2,DP,1000000012,1787,
48.985,,Spot,2,Image 1,3,DP,1000000002,1788,
65.948,,Spot,2,Image 1,3,DP,1000000001,1789,
71.996,,Spot,2,Image 1,3,DP,1000000000,1790,
116.094,,Spot,2,Image 1,3,DP,1000000024,1792,
35,,Spot,2,Image 1,3,PRE;targeted,1000000008,1793,
27,,Spot,2,Image 1,3,PRE;targeted,1000000009,1794,
26.02,,Spot,2,Image 1,3,PRE;targeted,1000000022,1795,
34.536,,Spot,2,Image 1,3,PRE;targeted,1000000017,1796,
27.968,,Spot,2,Image 1,3,PRE;targeted,1000000021,1797,
80.496,,Spot,2,Image 1,3,PRE,1000000003,1798,
130.072,,Spot,2,Image 1,3,DP,1000000013,1799,
74.87,,Spot,2,Image 1,3,EPI,1000000020,1800,
31.512,,Spot,2,Image 1,3,PRE;targeted,1000000031,1801,
74.008,,Spot,2,Image 1,3,EPI,1000000018,1802,
47.968,,Spot,2,Image 1,3,PRE,1000000004,1803,
68.952,,Spot,2,Image 1,3,DP,1000000006,1804,
71.02,,Spot,2,Image 1,3,EPI,1000000026,1805,
127.004,,Spot,2,Image 1,3,EPI,1000000015,1806,
127.001,,Spot,2,Image 1,3,EPI,1000000007,1807,
133.47,,Spot,2,Image 1,3,EPI,1000000019,1808,
32.04,,Spot,2,Image 1,3,PRE,1000000028,1809,
32.98,,Spot,2,Image 1,3,PRE,1000000030,1810,
51.048,,Spot,2,Image 1,3,PRE,1000000005,1811,
41.979,,Spot,2,Image 1,3,DP,1000000012,1812,
50.94,,Spot,2,Image 1,4,DP,1000000002,1813,
67.029,,Spot,2,Image 1,4,DP,1000000001,1814,
75.006,,Spot,2,Image 1,4,DP,1000000000,1815,
103.908,,Spot,2,Image 1,4,DP,1000000024,1817,
39.976,,Spot,2,Image 1,4,PRE;targeted,1000000008,1818,
27.04,,Spot,2,Image 1,4,PRE;targeted,1000000009,1819,
25.976,,Spot,2,Image 1,4,PRE;targeted,1000000022,1820,
31.52,,Spot,2,Image 1,4,PRE;targeted,1000000017,1821,
29.008,,Spot,2,Image 1,4,PRE;targeted,1000000021,1822,
74.008,,Spot,2,Image 1,4,PRE,1000000003,1823,
118.124,,Spot,2,Image 1,4,DP,1000000013,1824,
75.01,,Spot,2,Image 1,4,EPI,1000000020,1825,
35.018,,Spot,2,Image 1,4,Apoptosis;PRE;targeted,1000000031,1826,
72.12,,Spot,2,Image 1,4,EPI,1000000018,1827,
42.975,,Spot,2,Image 1,4,PRE,1000000004,1828,
66.96,,Spot,2,Image 1,4,DP,1000000006,1829,
68.16,,Spot,2,Image 1,4,EPI,1000000026,1830,
113.956,,Spot,2,Image 1,4,EPI,1000000015,1831,
