"Exp_date","Img_date","Experiment","Litter","Embryo_ID","Cellcount","TE_ICM","Treatment","Stage","Background","Gene1","Genotype1","Gene2","Genotype2","icm.count","litter.median","Identity","count","pc.icm"
20150914,20160126,"091415_FGF4ko_H.het","H","091415_FGF4ko_H10",72,"ICM","Littermate","64_90","CD1/mixed","Fgf4","het","any","wt",20,72,"PRE",0,0
20150914,20160126,"091415_FGF4ko_H.het","H","091415_FGF4ko_H6",78,"ICM","Littermate","64_90","CD1/mixed","Fgf4","het","any","wt",29,72,"PRE",6,20.6896551724138
20150914,20160126,"091415_FGF4ko_H.ko","H","091415_FGF4ko_H3",64,"ICM","Littermate","64_90","CD1/mixed","Fgf4","ko","any","wt",26,72,"PRE",0,0
20150914,20160126,"091415_FGF4ko_H.ko","H","091415_FGF4ko_H4",64,"ICM","Littermate","64_90","CD1/mixed","Fgf4","ko","any","wt",28,72,"PRE",0,0
20150914,20160126,"091415_FGF4ko_H.ko","H","091415_FGF4ko_H7",65,"ICM","Littermate","64_90","CD1/mixed","Fgf4","ko","any","wt",24,72,"PRE",0,0
20150914,20160126,"091415_FGF4ko_H.ko","H","091415_FGF4ko_H8",76,"ICM","Littermate","64_90","CD1/mixed","Fgf4","ko","any","wt",24,72,"PRE",0,0
20150914,20160126,"091415_FGF4ko_H.wt","H","091415_FGF4ko_H1",98,"ICM","Littermate","90_120","CD1/mixed","Fgf4","wt","any","wt",31,72,"PRE",1,3.2258064516129
20150914,20160126,"091415_FGF4ko_H.wt","H","091415_FGF4ko_H2",72,"ICM","Littermate","64_90","CD1/mixed","Fgf4","wt","any","wt",13,72,"PRE",0,0
20150914,20160126,"091415_FGF4ko_H.wt","H","091415_FGF4ko_H5",67,"ICM","Littermate","64_90","CD1/mixed","Fgf4","wt","any","wt",22,72,"PRE",1,4.54545454545455
20150914,20160126,"091415_FGF4ko_H.wt","H","091415_FGF4ko_H9",92,"ICM","Littermate","90_120","CD1/mixed","Fgf4","wt","any","wt",30,72,"PRE",1,3.33333333333333
20160112,20160126,"011216_FGF4fl_B.het","B","011216_FGF4fl_B4",94,"ICM","Littermate","90_120","CD1/mixed","Fgf4","het","any","wt",37,107,"PRE",18,48.6486486486487
20160112,20160126,"011216_FGF4fl_B.het","B","011216_FGF4fl_B5",107,"ICM","Littermate","90_120","CD1/mixed","Fgf4","het","any","wt",39,107,"PRE",2,5.12820512820513
20160119,20160126,"011916_mzFGF4_F.ko","F","011916_mzFGF4_F1",76,"ICM","Littermate","64_90","CD1/mixed","Fgf4","ko","any","wt",30,92,"PRE",0,0
20160119,20160126,"011916_mzFGF4_F.ko","F","011916_mzFGF4_F2",72,"ICM","Littermate","64_90","CD1/mixed","Fgf4","ko","any","wt",24,92,"PRE",0,0
20160119,20160126,"011916_mzFGF4_F.ko","F","011916_mzFGF4_F3",92,"ICM","Littermate","90_120","CD1/mixed","Fgf4","ko","any","wt",28,92,"PRE",0,0
20160119,20160126,"011916_mzFGF4_F.ko","F","011916_mzFGF4_F4",72,"ICM","Littermate","64_90","CD1/mixed","Fgf4","ko","any","wt",23,92,"PRE",0,0
20160119,20160126,"011916_mzFGF4_F.ko","F","011916_mzFGF4_F5",102,"ICM","Littermate","90_120","CD1/mixed","Fgf4","ko","any","wt",46,92,"PRE",0,0
20160119,20160126,"011916_mzFGF4_F.ko","F","011916_mzFGF4_F6",100,"ICM","Littermate","90_120","CD1/mixed","Fgf4","ko","any","wt",40,92,"PRE",0,0
20160122,20160129,"012216_mzFGF4_G.ko","G","012216_mzFGF4_G1",121,"ICM","Littermate","120_150","CD1/mixed","Fgf4","ko","any","wt",70,129,"PRE",0,0
20160122,20160129,"012216_mzFGF4_G.ko","G","012216_mzFGF4_G2",129,"ICM","Littermate","120_150","CD1/mixed","Fgf4","ko","any","wt",57,129,"PRE",0,0
20160122,20160129,"012216_mzFGF4_G.ko","G","012216_mzFGF4_G4",86,"ICM","Littermate","64_90","CD1/mixed","Fgf4","ko","any","wt",43,129,"PRE",0,0
20161208,20161215,"120816_mzFGF4_Y.ko","Y","120816_mzFGF4_Y2",55,"ICM","Littermate","32_64","CD1/mixed","Fgf4","ko","any","wt",20,55,"PRE",0,0
20161208,20161215,"120816_mzFGF4_Y.ko","Y","120816_mzFGF4_Y3",44,"ICM","Littermate","32_64","CD1/mixed","Fgf4","ko","any","wt",15,55,"PRE",0,0
20161208,20161215,"120816_mzFGF4_Z.ko","Z","120816_mzFGF4_Z2",109,"ICM","Littermate","90_120","CD1/mixed","Fgf4","ko","any","wt",44,109,"PRE",0,0
20170320,20170328,"032017Abl_E.het","E","032017Abl_E1",56,"ICM","Littermate","32_64","CD1/mixed","Pdgfra","het","any","wt",18,69,"PRE",15,83.3333333333333
20170320,20170328,"032017Abl_E.het","E","032017Abl_E2",61,"ICM","Littermate","32_64","CD1/mixed","Pdgfra","het","any","wt",31,69,"PRE",14,45.1612903225806
20170320,20170328,"032017Abl_E.het","E","032017Abl_E3",84,"ICM","Littermate","64_90","CD1/mixed","Pdgfra","het","any","wt",21,69,"PRE",17,80.9523809523809
