"Exp_date","Img_date","Experiment","Litter","Embryo_ID","Cellcount","TE_ICM","Treatment","Stage","Background","Gene1","Genotype1","Gene2","Genotype2","icm.count","litter.median","Identity.hc","count","pc.icm"
20170130,20170207,"013017Spry_Z","Z","013017Spry_Z1",58,"ICM","Littermate","32_64","CD1/mixed","Spry4","het","any","wt",42,59,"PRE",13,30.952380952381
20170130,20170207,"013017Spry_Z","Z","013017Spry_Z10",60,"ICM","Littermate","32_64","CD1/mixed","Spry4","wt","any","wt",42,59,"PRE",0,0
20170130,20170207,"013017Spry_Z","Z","013017Spry_Z2",56,"ICM","Littermate","32_64","CD1/mixed","Spry4","het","any","wt",41,59,"PRE",2,4.8780487804878
20170130,20170207,"013017Spry_Z","Z","013017Spry_Z3",58,"ICM","Littermate","32_64","CD1/mixed","Spry4","het","any","wt",41,59,"PRE",2,4.8780487804878
20170130,20170207,"013017Spry_Z","Z","013017Spry_Z4",59,"ICM","Littermate","32_64","CD1/mixed","Spry4","het","any","wt",41,59,"PRE",5,12.1951219512195
20170130,20170207,"013017Spry_Z","Z","013017Spry_Z5",67,"ICM","Littermate","64_90","CD1/mixed","Spry4","het","any","wt",50,59,"PRE",10,20
20170130,20170207,"013017Spry_Z","Z","013017Spry_Z6",67,"ICM","Littermate","64_90","CD1/mixed","Spry4","wt","any","wt",49,59,"PRE",2,4.08163265306122
20170130,20170207,"013017Spry_Z","Z","013017Spry_Z7",49,"ICM","Littermate","32_64","CD1/mixed","Spry4","wt","any","wt",32,59,"PRE",4,12.5
20170130,20170207,"013017Spry_Z","Z","013017Spry_Z8",60,"ICM","Littermate","32_64","CD1/mixed","Spry4","het","any","wt",42,59,"PRE",2,4.76190476190476
20170130,20170207,"013017Spry_Z","Z","013017Spry_Z9",41,"ICM","Littermate","32_64","CD1/mixed","Spry4","wt","any","wt",29,59,"PRE",2,6.89655172413793
20170203,20170207,"020317Spry_AA","AA","020317Spry_AA1",43,"ICM","Littermate","32_64","CD1/mixed","Spry4","het","any","wt",30,32,"PRE",0,0
20170203,20170207,"020317Spry_AA","AA","020317Spry_AA10",32,"ICM","Littermate","32_64","CD1/mixed","Spry4","het","any","wt",21,32,"PRE",0,0
20170203,20170207,"020317Spry_AA","AA","020317Spry_AA2",32,"ICM","Littermate","32_64","CD1/mixed","Spry4","het","any","wt",22,32,"PRE",0,0
20170203,20170207,"020317Spry_AA","AA","020317Spry_AA3",32,"ICM","Littermate","32_64","CD1/mixed","Spry4","het","any","wt",21,32,"PRE",0,0
20170203,20170207,"020317Spry_AA","AA","020317Spry_AA4",32,"ICM","Littermate","32_64","CD1/mixed","Spry4","wt","any","wt",21,32,"PRE",0,0
20170203,20170207,"020317Spry_AA","AA","020317Spry_AA5",44,"ICM","Littermate","32_64","CD1/mixed","Spry4","wt","any","wt",28,32,"PRE",0,0
20170203,20170207,"020317Spry_AA","AA","020317Spry_AA7",34,"ICM","Littermate","32_64","CD1/mixed","Spry4","wt","any","wt",24,32,"PRE",4,16.6666666666667
20170203,20170207,"020317Spry_AA","AA","020317Spry_AA8",34,"ICM","Littermate","32_64","CD1/mixed","Spry4","wt","any","wt",23,32,"PRE",0,0
20170203,20170207,"020317Spry_AB","AB","020317Spry_AB1",191,"ICM","Littermate",">150","CD1/mixed","Spry4","wt","any","wt",137,187,"PRE",51,37.2262773722628
20170203,20170207,"020317Spry_AB","AB","020317Spry_AB2",155,"ICM","Littermate",">150","CD1/mixed","Spry4","het","any","wt",116,187,"PRE",49,42.2413793103448
20170203,20170207,"020317Spry_AB","AB","020317Spry_AB3",197,"ICM","Littermate",">150","CD1/mixed","Spry4","het","any","wt",142,187,"PRE",57,40.1408450704225
20170203,20170207,"020317Spry_AB","AB","020317Spry_AB4",121,"ICM","Littermate","120_150","CD1/mixed","Spry4","wt","any","wt",92,187,"PRE",34,36.9565217391304
20170203,20170207,"020317Spry_AB","AB","020317Spry_AB5",187,"ICM","Littermate",">150","CD1/mixed","Spry4","wt","any","wt",135,187,"PRE",54,40
20170206,20170220,"020617Spry_AC","AC","020617Spry_AC1",88,"ICM","Littermate","64_90","CD1/mixed","Spry4","het","any","wt",60,97,"PRE",16,26.6666666666667
20170206,20170220,"020617Spry_AC","AC","020617Spry_AC2",113,"ICM","Littermate","90_120","CD1/mixed","Spry4","wt","any","wt",78,97,"PRE",18,23.0769230769231
