"Cell_ID","identity_t0","ending"
"010719Abl_EH3.1000000000.PRE.intact.d.1","PRE","death"
"010719Abl_EH3.1000000000.PRE.intact.d.2","PRE","death"
"010719Abl_EH3.1000000000.PRE.intact.m.0","PRE","division"
"010719Abl_EH3.1000000001.PRE.targeted.m.0","PRE","death"
"010719Abl_EH3.1000000002.PRE.targeted.m.0","PRE","death"
"010719Abl_EH3.1000000003.PRE.targeted.m.0","PRE","death"
"010719Abl_EH3.1000000004.PRE.targeted.m.0","PRE","death"
"010719Abl_EH3.1000000005.PRE.intact.d.1","PRE","end point"
"010719Abl_EH3.1000000005.PRE.intact.d.2","PRE","end point"
"010719Abl_EH3.1000000005.PRE.intact.m.0","PRE","division"
"010719Abl_EH3.1000000006.PRE.intact.d.1","PRE","end point"
"010719Abl_EH3.1000000006.PRE.intact.d.2","PRE","end point"
"010719Abl_EH3.1000000006.PRE.intact.m.0","PRE","division"
"010719Abl_EH3.1000000007.PRE.intact.m.0","PRE","lost"
"010719Abl_EH3.1000000008.PRE.intact.m.0","PRE","death"
"010719Abl_EH3.1000000337.DP.intact.d.1","DP","death"
"010719Abl_EH3.1000000337.DP.intact.d.2","DP","lost"
"010719Abl_EH3.1000000337.DP.intact.m.0","DP","division"
"010719Abl_EH3.1000000338.DP.intact.m.0","DP","death"
"010719Abl_EH3.1000000339.DP.intact.m.0","DP","death"
"010719Abl_EH3.1000000340.DP.intact.m.0","DP","lost"
"010719Abl_EH3.1000000341.DP.intact.d.1","DP","end point"
"010719Abl_EH3.1000000341.DP.intact.d.2","DP","end point"
"010719Abl_EH3.1000000341.DP.intact.m.0","DP","division"
"010719Abl_EH3.1000000342.DP.intact.m.0","DP","death"
"010719Abl_EH3.1000000343.DP.intact.d.1","DP","end point"
"010719Abl_EH3.1000000343.DP.intact.d.2","DP","lost"
"010719Abl_EH3.1000000343.DP.intact.m.0","DP","division"
"010719Abl_EH3.1000000344.DP.intact.m.0","DP","death"
"010719Abl_EH3.1000000345.DP.intact.m.0","DP","death"
"010719Abl_EH3.1000000346.DP.intact.m.0","DP","lost"
"010719Abl_EH3.1000000347.DP.intact.d.1","DP","end point"
"010719Abl_EH3.1000000347.DP.intact.d.2","DP","end point"
"010719Abl_EH3.1000000347.DP.intact.m.0","DP","division"
"010719Abl_EH3.1000001701.EPI.intact.m.0","EPI","lost"
"010719Abl_EH3.1000001702.EPI.intact.m.0","EPI","end point"
"010719Abl_EH3.1000001703.EPI.intact.m.0","EPI","lost"
"010719Abl_EH3.1000001704.DP.intact.m.0","DP","death"
"010719Abl_EH4.1000000001.PRE.intact.m.0","PRE","end point"
"010719Abl_EH4.1000000002.PRE.intact.d.2","PRE","end point"
"010719Abl_EH4.1000000002.PRE.intact.m.0","PRE","end point"
"010719Abl_EH4.1000000003.PRE.intact.m.0","PRE","death"
"010719Abl_EH4.1000000004.PRE.intact.m.0","PRE","death"
"010719Abl_EH4.1000000005.DP.intact.d.1","DP","death"
"010719Abl_EH4.1000000005.DP.intact.d.2","DP","death"
"010719Abl_EH4.1000000005.DP.intact.m.0","DP","division"
"010719Abl_EH4.1000000007.PRE.intact.m.0","PRE","end point"
"010719Abl_EH4.1000000008.PRE.intact.m.0","PRE","end point"
"010719Abl_EH4.1000000009.PRE.intact.m.0","PRE","end point"
"010719Abl_EH4.1000000010.PRE.intact.m.0","PRE","death"
"010719Abl_EH4.1000000011.PRE.intact.m.0","PRE","death"
"010719Abl_EH4.1000000012.DP.intact.m.0","DP","death"
"010719Abl_EH4.1000000013.DP.intact.d.1","DP","lost"
"010719Abl_EH4.1000000013.DP.intact.d.2","DP","end point"
"010719Abl_EH4.1000000013.DP.intact.m.0","DP","division"
"010719Abl_EH4.1000000014.DP.intact.d.1","DP","death"
"010719Abl_EH4.1000000014.DP.intact.d.2","DP","off frame"
"010719Abl_EH4.1000000014.DP.intact.m.0","DP","division"
"010719Abl_EH4.1000000015.DP.intact.m.0","DP","death"
"010719Abl_EH4.1000000016.EPI.intact.m.0","EPI","lost"
"010719Abl_EH4.1000000017.DP.intact.m.0","DP","death"
"010719Abl_EH4.1000000018.DP.intact.m.0","DP","end point"
"010719Abl_EH4.1000000760.EPI.intact.d.1","EPI","end point"
"010719Abl_EH4.1000000760.EPI.intact.d.2","EPI","end point"
"010719Abl_EH4.1000000760.EPI.intact.m.0","EPI","division"
"010719Abl_EH4.1000000761.EPI.intact.m.0","EPI","end point"
"010719Abl_EH4.1000000762.EPI.intact.m.0","EPI","end point"
"010719Abl_EH4.1000000763.EPI.intact.m.0","EPI","lost"
"010719Abl_EH4.1e+05.PRE.intact.m.0","PRE","death"
"010719Abl_EH5.1000000000.DP.intact.m.0","DP","death"
"010719Abl_EH5.1000000001.DP.intact.m.0","DP","death"
"010719Abl_EH5.1000000002.DP.intact.m.0","DP","death"
"010719Abl_EH5.1000000003.PRE.intact.d.1","PRE","end point"
"010719Abl_EH5.1000000003.PRE.intact.d.2","PRE","end point"
"010719Abl_EH5.1000000003.PRE.intact.m.0","PRE","division"
"010719Abl_EH5.1000000004.PRE.intact.m.0","PRE","end point"
"010719Abl_EH5.1000000005.PRE.intact.m.0","PRE","death"
"010719Abl_EH5.1000000006.DP.intact.m.0","DP","end point"
"010719Abl_EH5.1000000007.EPI.intact.m.0","EPI","death"
"010719Abl_EH5.1000000008.PRE.targeted.m.0","PRE","death"
"010719Abl_EH5.1000000009.PRE.targeted.m.0","PRE","death"
"010719Abl_EH5.1000000010.PRE.targeted.m.0","PRE","death"
"010719Abl_EH5.1000000012.DP.intact.m.0","DP","death"
"010719Abl_EH5.1000000013.DP.intact.m.0","DP","end point"
"010719Abl_EH5.1000000014.PRE.targeted.m.0","PRE","death"
"010719Abl_EH5.1000000015.EPI.intact.d.1","EPI","end point"
"010719Abl_EH5.1000000015.EPI.intact.d.2","EPI","end point"
"010719Abl_EH5.1000000015.EPI.intact.m.0","EPI","division"
"010719Abl_EH5.1000000017.PRE.targeted.m.0","PRE","death"
"010719Abl_EH5.1000000018.EPI.intact.m.0","EPI","death"
"010719Abl_EH5.1000000019.EPI.intact.d.1","EPI","end point"
"010719Abl_EH5.1000000019.EPI.intact.d.2","EPI","end point"
"010719Abl_EH5.1000000019.EPI.intact.m.0","EPI","division"
"010719Abl_EH5.1000000020.EPI.intact.d.1","EPI","end point"
"010719Abl_EH5.1000000020.EPI.intact.d.2","EPI","end point"
"010719Abl_EH5.1000000020.EPI.intact.m.0","EPI","division"
"010719Abl_EH5.1000000021.PRE.targeted.m.0","PRE","death"
"010719Abl_EH5.1000000022.PRE.targeted.m.0","PRE","death"
"010719Abl_EH5.1000000024.DP.intact.m.0","DP","end point"
"010719Abl_EH5.1000000026.EPI.intact.m.0","EPI","division"
"010719Abl_EH5.1000000028.PRE.intact.m.0","PRE","end point"
"010719Abl_EH5.1000000030.PRE.intact.m.0","PRE","end point"
"010719Abl_EH5.1000000031.PRE.targeted.m.0","PRE","death"
"010719Abl_EH5.1000002988.DP.intact.d.1","DP","end point"
"010719Abl_EH5.1000002988.DP.intact.d.2","DP","death"
"010719Abl_EH5.1000002988.DP.intact.m.0","DP","division"
"010719Abl_EH5.1000003152.EPI.intact.d.1","EPI","end point"
"010719Abl_EH5.1000003152.EPI.intact.d.2","EPI","end point"
"010719Abl_EH5.1000003152.EPI.intact.m.0","EPI","division"
"012119Abl_EI2.1000000000.DP.intact.m.0","DP","end point"
"012119Abl_EI2.1000000000.EPI.targeted.m.0","EPI","death"
"012119Abl_EI2.1000000000.PRE.intact.d.1","PRE","end point"
"012119Abl_EI2.1000000000.PRE.intact.d.2","PRE","death"
"012119Abl_EI2.1000000000.PRE.intact.m.0","PRE","division"
"012119Abl_EI2.1000000001.EPI.intact.m.0","EPI","death"
"012119Abl_EI2.1000000001.PRE.intact.d.1","PRE","end point"
"012119Abl_EI2.1000000001.PRE.intact.d.2","PRE","end point"
"012119Abl_EI2.1000000001.PRE.intact.m.0","PRE","division"
"012119Abl_EI2.1000000002.EPI.targeted.m.0","EPI","death"
"012119Abl_EI2.1000000002.PRE.intact.d.1","PRE","end point"
"012119Abl_EI2.1000000002.PRE.intact.d.2","PRE","end point"
"012119Abl_EI2.1000000002.PRE.intact.m.0","PRE","division"
"012119Abl_EI2.1000000003.EPI.intact.m.0","EPI","death"
"012119Abl_EI2.1000000003.PRE.intact.m.0","PRE","death"
"012119Abl_EI2.1000000004.EPI.targeted.m.0","EPI","death"
"012119Abl_EI2.1000000004.PRE.intact.m.0","PRE","end point"
"012119Abl_EI2.1000000005.EPI.intact.m.0","EPI","end point"
"012119Abl_EI2.1000000005.PRE.intact.d.1","PRE","end point"
"012119Abl_EI2.1000000005.PRE.intact.d.2","PRE","end point"
"012119Abl_EI2.1000000005.PRE.intact.m.0","PRE","division"
"012119Abl_EI2.1000000006.EPI.intact.m.0","EPI","lost"
"012119Abl_EI3.1000000000.DP.intact.m.0","DP","death"
